Gamers:,Unnamed: 1,Unnamed: 2,Unnamed: 3,Tanglebones,SixteenBlue,Chumpy_McChump,silentsod,Slumberland,Blind_Evil,Scratched,misplacedbravado,McIrishJihad,TrashiDawa,Greg,Sonicator,Jasonofindy,Bonus Eruptus,Hyetal,Mayfield,Aristophan,kyrieee,garion333,tboon,Infyrnos,Gunner,Deadmonkeys,iaintgotnopants,Malor,Blondish83,conejote,Higgledy,billt721,complexmath,MadGav,stevenmack,ranalin,Ludditus,cube,BlackSabre,mateofalcone,kuddles,Thewnos,Luggage,Coolbeans,estorino,Farscry,Carlbear95,MilkmanDanimal,Demyx,MoonDragon,trichy,Shadout,ccesarano,Eleima,MrDeVil909,kergguz,davet010,CptGlanton,Crhis,Baron of Hell,Maq,tetranomad,Dysplastic,Dakuna,Rykin,blackanchor,tuffalobuffalo,IUMogg,Thin_J,demonbox,TempestBlayze,evilseed,Vector,CEJ,Chaotic Clown,Jonman,juv3nal,DSGamer,mjp38,RoughneckGeek,Puce Moose,MrAndrewJ,philucifer,Latrine,IHateDRM,BadKen,oilypenguin,Quintin_Stone,Strangeblades,Bnice,JohnKillo,Pacman,Certis,Demiurge,Ravenlock,juv3nal.1,gravity,Stengah,Dryden,Zaque,Squee9,Budo,dejanzie,Bullion Cube,Minarchist,Paralax Abstraction,MeatMan,babakotia,jdzappa,CptDomano,django,Cobble,Cragmyre,Lex Cayman,spider_j,Aaron D.,shoptroll,Elysium,Alien Love Gardener,TAZ89,kincher,Serenj,Taharka,Parallelteeth,nel e nel,Rivers,Gravey,mr_n00b,Stele,Stilgar Black,Tscott,Furtivespy,4xis.black,cyrax,jonfentyler,LeapingGnome,Dyni,clever id,WolverineJon
Title,Weighted Score,Total Votes,#1 Votes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,000 Amps",1,1,0,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10,000,000",32,7,0,,,,,7.0,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,8.0,,,,5.0,,,,,,,,,,,,,,,,,,
Alan Wake,20,3,1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,
Alice: Madness Returns,9,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha Protocol,15,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,8.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amnesia: The Dark Descent,5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angry Birds Star Wars,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ascension,54,8,0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,6.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,2.0,,2.0,,,
