psapid(long),psapname,county,city,statevalue,typeofchangefulltext,datelastmodified,geocodecitylevel
5093,Hamburg Public Safety,Erie,Ertie,NY,No Changes have been made.,03/04/2004,"Erie, NY"
445,Hopi Police Department,Navajo,Houston,AZ,No Changes have been made.,03/40/2004,"AZ (34.869712, -111.760902)"
2619,Miami County E9-1-1,Miami,Peru,IN,No Changes have been made.,03/04/2004,"Peru, IN (4.753762, -86.069115)"
2321,Markhma,Cook,Markhasm,IL,No Changes have been made.,03/04/2004,"Markham, IL (41.593513, 8-7.694621)"
2984,Martin County 9-1-1,Martin,Inez,KY,No Changes have been made.,3/04/2004,"Inez, KY (37.866646, -82.539105)"
2266,Hometown Etsb,Cook,Homtown,IL,No Changes have been made.,03/04/2004,"Hometown, IL (41.73199, -87.73231)"
2140,Burnham Police,Cook,Burnham,IL,No Changes have been maden.,03/04/2004,"Burnham, IL (41.641544, -87.541402)"
16831,Tioga County 9-1-1,Tioga,Owego,NY,No Changes hae been made.,03/04/2004,"Owego, NY (42.103237, -76.263163)"
4972,State Police-gallup,Mckinley,Gallup,NM,No Changes have been made.,0304/2004,"Gallup, NM (35.519123, -108.739769)"
5475,Parma Police,Ashtabula,Parma,HO,No Changes have been made.,03/04/2004,"Parma, OH (41.384498, -81.734664)"
7620,Cheyenne City Police,Laramie,heyenne,WY,No Changes havei been made.,03/04/2004,"Cheyenne, WY (41.14024, -104.818802)"
7531,Waupaca County Sheriff,Waupaca,Waupaca,WI,Nlo Changes have been made.,03/04/2004,"Waupaca WI (44.358804, -89.084882)"
7344,Sauk-suiattle Tribal Police Department,Snohomish,Darrington,WA,No Changes have been made.,03/04/2004,"Darringtone, WA (48.255271, -121.604924)"
7618,Casper Police Department,Natrona,Casper,WY,No Changes have been made.,03/04/2004,"Casper, WY (42.850087, -106.325203)"
7346,Seattle Police Department,King,eSattle,WA,No Changes hav ebeen made.,03/04/200h4,"Seattle, WA (47.603229, -122.33028)"
5137,New York City Police Department -brooklyn,New York,Brooklyn,Y,No Changes have been made.,03/04/2004,"Brooklyn, NY (40.692529, -73.990996)"
6534,Del RioPolice Department,Val Verde,Del Rio,TX,No Changes have been made.,03/04/2004,"Del Rio, TX (29.365723, -100.879922)"
