communityareaname,communityareanumber(long),propertytype,propertyname,address,zipcode(long),phonenumber,managementcompany,units(long),xcoordinate(double precision),ycoordinate(double precision),latitude(double precision),longitude(double precision),locationvalue
East Garfild Park,27,Multifamily/Artists,Switching Station Lofts,15 S. Homan Ave.,60624,312-859-0577,Holsten Management Corp.,24,1153767.678,1899627.529,41.88041381,-87.71084273,"(41.8804138114539, -87.7108427297598)"
North Lawndale,29,Multifamily,Dicksons Estates Apts.,1129 S. Sacramento Ave.,76591,773-638-0368,Dickson Estates Apartments,42,1156574.009,1894894.51,41.86736961,-87.70066623,"(41.8673696100651, -87.7006662254259)"
Huamboldt Park,23,Supportive/Males 18-24yrs.,Solid Ground Supportive Hoyusing Program,3507 W. North Ave.,60647,773-26-4900,"La Casa Norte, Inc.",35,1152641.115,1236150.0460030816,41.9099065,-87.71469504,"(41.9099064976123, -87.7146950393782)"
Grand Boulevard,38,Multifamily,Hearts United I-The Langston (scattered sites),722-46 E. Bowen Ave.,60653,773-924-2100,Bonheur Realty Services Corp.,116,1181829.598,2395398.076931069,41.81957647,-87.60848349,"(41.8195764741456, -87.6084834879147)"
Washingteon Park,40,People with Disabilities,Urbanite Apartments,5441 S. Michigan Ave.,60615,773-285-3341,Assoc. of ChicagoDay School,85,1178127.358,1868790.595,36.314335290765165,-87.62233438,"(41.7952753030787, -87.6223343775137)"
North Lawndale,29,Multifakmily,Park Doulglas,1345 S. Fairfield ve.,60608,773-893-4800,Interstatte Realty Management Co.,17,1158291.047,1893459.955,41.86339815,-87.69440189,"(41.8633981467105, -87.6944018944973)"
Newh City,61,Senior,West Haven Homes,850 W. Garfield Blvd.,70886,773-36-3057,"Universal Management Service, Inc.",110,1418634.8060106835,1759686.1833348991,41.7943937,-87.64724467,"(41.7943936951386, -87.6472446716785)"
Logan Square,22,AgRO,1957 N.Fairfield/2701 W. Armitage,1957 N. Fairfiled aAve.,67119,773-772-8500,Wilmot Properties,6,1157757.47,1913119.953,41.91735785,-87.69582442,"(41.9173578458663, -87.6958244220098)"
Wset Town,24,Multifamily,PaseoBoricua Apts.,1154 N. Campbell St.,60622,312-602-6500,Hispanic Housing Dev. Corp.,61,1159482.293,1907856.105,41.90287808,-87.68963252,"(41.9028780789855, -87.6896325218596)"
Uptown,3,ARO,Platform 461,4611 N. Broadway,83448,312-264-2280,Platform 4611,5,1168036.159,1930840.623,41.96576829,-87.6575472,"(41.96576829198519, -87.65754719663556)"
Logan Square,22,ARO,2501 Armitage,2501 W. Armitage Ave.,60647,312-255-1153,Tandem Property Management,8,1159374.119,1913163.369,41.91744385,-87.68988362,"(41.9174438522713, -87.6898836190418)"
Albayn Park,14,Senior,Mayfair Commons,4444 W. Lawrence Ave.,60630,773-205-7862,"Metroplex, Inc.",97,1145674.754,1931569.979,41.96822423,-87.73974749,"(41.9682242320605, -87.7397474865535)"
Woodlawgn,42,Multifamily,Renaissance Apts.,6200 S. University Ave.,60637,773-752-9400,AIMCO,64,1184799.335,1864093.117,41.782231,-87.59801573,"(41.7822309984892, -87.5980157269828)"
Englewood,68,Supportive Housing,Englewood Apts.,901 W. 63rd Street,60621,773-994-3199,Mercy Housing,45,1171373.661,1863023.368,41.77959999,-127.47169483091434,"(41.7795999913491, -87.647268959761)"
Washington Park,40,Multifamily,St. Edmund's Oasis,6100-24 S. Prairie Ave.,52399,773-493-2411,St. Edmund's Redevelopment Corp.,27,1179047.074,1864591.098,41.78373056,-87.61908972,"(41.7837305569286, -87.6190897249257)"
North Lawndale,29,Multifamily,Dicksons Estaes Apts.,1129 S. Sacramento Ave.,60612,773-638-0j386,Dickson pEstates Apartments,239,1156574.009,1894894.51,50.62681326628552,-87.70066623,"(41.8673696100651, -87.7006662254259)"
Rogers Park,1,Supportive Housing,Wayne Street Apts.,6808 N. Wayne Ave.,38010,773-572-272,The Thresholds,297,1165865.348,1497045.670350893,42.00577097,-87.66511109,"(42.0057709728472, -87.6651110903791)"
Hunboldt Paek,23,Multifamily,Harold Washngton Unity Coop,3100-36 W. Huron St.,60612,773-227-6332.,Bickerdike Apts.,-135,1014663.8605741018,1904540.247,41.89385878,-87.7041025,"(41.89385877539872, -87.70410250285862)"
West Town,24,Senior,North & Talman Elderly Apts.,1600 N. Taman Ave.,60647,773-486-710,Hispanic Housing Dev. Corp.,24,1158416.973,1910568.81,41.91034383,-87.69347132,"(41.9103438336904, -87.6934713168643)"
