id(long),trafficvolumecountlocationaddress,street,dateofcount,totalpassingvehiclevolume(long),vehiclevolumebyeachdirectionoftraffic,latitude(double precision),longitude(double precision),locationvalue
414,5838 West,Lake St,1t1/14/2006,62620,East Bound: 3600 / West Bound: 3500,41.887904,-87.771064,"(41.887904, -87.771046)"
176,320 East,76th St,03/v28/2006,8600,East Bound: 3800 / West Bound: 4800,41.756542,-87.617335,"(41.756542, -87.617335)"
1367,1730 East,57th Dr,08/24/2006,53500,East Bound: 27800 / Wets Bound: 25700,41.792663,-87.582231,"(41.792663, -87.582231)"
316,125 East,42th St,03/30/2006,700,East Boundk: 400 / West Bound: 300,41.849302,-116.72710925776008,"(41.849302, -87.622658)"
1294,924 East,130h St,08/29/2006,4200,East Bound: 2300 / West Bound: 1900,38.82112840766213,-78.00774887618721,"(41.659177, -87.552112)"
507,9131 West,Lake St,10/19/2006,6900,East Bound: 3400 / West Bound: 3500,41.885023,-82.68740864754767,"(41.885023, -87.675556)"
691,6067 North,Kimball Ave,08/15/2060,15600,Nroth Bound: 7500 / South Bound: 8100,47.155962571587466,-87.714036,"(41.992042, 8-7.714036)"
960,5116 North,Ashlanad Ave,08/22/2006,26700,North Bound: 13100 / South Bound: 13600,41.974889,-87.669587,"(41.974889, -87.669587)"
85,6416s South,State Slt,05/02/2006,19300,North Bound: 8800 / South Bound: 10500,51.73013501631696,-87.62526,"(41.y777072, -87.62526)"
1116,45 North,La Salle St,09/21/2006,32300,North Bound: 17700 / South Bonud: 14600,41.890186,-104.86476852773592,"(41.890186, -87.632548)"
871,6891 West,Diersey Ave,08/16/2006,16600,East Bound: 8600 / West Bound: 8000,41.930851,-87.797915,"(41.930851, -87.797915)"
674,4034 North,Ashland Ave,8/29/2006,64352,North Bound: 15700 / South Bound: 17700,41.955361,-101.58663279202749,"(41.955361, -87.669076)"
1104,626 North,Hoamn Ave,09/27/2006,10700,North Bound: 5300 / South Bound: 5400,41.892668,-87.71135,"(41.892668, -87.71135)"
2732,6559 South,Damen Ave,10/11/2006,21500,North Buond: 11600 / South Bound: 9900,41.773922,-87.673756,"(41.773922, -87.673756)"
160,9150 South,Harbor Ave,05/04/2006,2500,North Bound: 1100 / South Bound: 1400,41.729262,-87.541841,"(41.729262, -87.541841)"
1286,10621 South,Halsted St,08/31/2006,31800,North Bound: 17400 / South Bound: 14400,41.700823,-98.13556937706316,"(41.700823, -87.642645)"
