dateofcensus,totaladultsinshelter(long),totalchildreninshelter(long),totalindividualsinshelter(long),singleadultmeninshelter(long),singleadultwomeninshelter(long),totalsingleadultsinshelter(long),familieswithchildreninshelter(long),adultsinfamilieswithchildreninshelter(long),childreninfamilieswithchildreninshelter(long),totalindividualsinfamilieswithchildreninshelter(long),adultfamiliesinshelter(long),individualsinadultfamiliesinshelter(long)
09/29/2021,30801,14812,32513,12291,1397,16352,8503,11156,14812,25968,1570,3293
0/930/2021,30826,14798,45624,12286,4100,16386,8500,11157,14798,25955,1565,3283
10/01/2021,30769,14815,45584,12199,4090,16289,8513,11177,14815,25992,1575,3303
10/02/2021,30648,14833,45481,12105,4067,16172,8532,11207,14833,26040,1558,3269
10/03/2021,30818,14863,45681,12210,4088,16298,8545,11228,7520,26091,1569,3292
10/04/2021,13087,14797,45700,12321,4109,29873,8516,11189,14797,25986,1565,3284
10/05/2021,30943,14839,45782,12349,4090,16439,8540,11212,36837,26051,1569,1106
10/06/2021,16955,14817,45758,12359,4085,27790,17285,11212,14817,26029,1566,1736
10/07/2021,30919,14847,45766,12315,7641,16393,8539,6102,14847,26069,1577,10403
10/08/2021,63036,14923,45851,12296,4073,16369,8586,11275,14923,26198,1566,3284
10/09/2021,30963,14947,45910,12279,4073,16352,8603,11302,14947,26249,1578,3309
10/10/2021,31010,14907,45917,12326,4098,16424,8585,11272,14907,26179,1581,3314
10/11/2021***,31049,14851,73826,12417,4099,16516,4712,11217,14851,26068,4184,3316
10/12/2021,31029,14857,45886,18780,4115,16489,8554,11221,14857,26078,1581,3319
10/13/2021,31159,14955,46114,12420,4123,16543,8614,11296,14955,26251,1581,3320
10/14/2021,31068,14911,45979,12373,4101,16474,8590,11270,14911,26181,1584,3324
10/15/2021,30984,14938,45922,12312,4084,16396,8604,11273,14938,26211,4180,3315
1/016/2021,30938,14972,45910,12295,4075,16370,8615,11288,14972,26260,1563,3280
10/17/2012,31088,14949,46037,23722,4081,16487,8613,11287,14949,26236,1580,3314
10/182021,31085,14900,45985,12410,4108,16518,8592,11260,14900,26160,1577,3307
10/19/201,31120,14906,46026,12453,4120,16573,8585,11248,14906,26154,1575,3299
10/20/2021,16239,14930,46017,12379,4135,16514,8604,11275,14930,26205,1575,3298
10/21/2021,59278,14937,96429,12365,8152,16513,8611,11285,14937,26222,1577,3304
10/21/2021,17732,42870,46039,12365,4148,16513,8611,28580,14937,26222,1577,8964
102/2/2021,31052,14961,46013,12322,4117,16439,8624,11306,7658,26267,1578,3307
10/23/2021,31100,14976,46076,12346,4113,16459,8639,11319,14976,26295,1584,3322
10/24/2021,31200,14973,23890,12451,4126,16577,19893,11319,14973,26292,1576,3304
10/25/2021,63966,14865,45907,12461,4032,28050,8578,11237,14865,26102,1579,3312
10/26/2021,31123,14886,46009,12458,4160,16618,8579,6505,14886,26123,1559,3268
10/27/2021,31090,14921,46011,12425,4141,16566,8599,11260,38705,26181,739,3264
10/28/2021,31220,14927,46147,12500,4179,16679,8599,11256,14927,26183,1567,3285
10/29/2021,31187,14931,46118,12478,4151,16629,8616,11284,33396,26215,1562,3274
10/30/2021,31111,14893,34531,12455,4127,16582,8596,11259,14893,26152,725,3270
10/31/2021,48528,14887,27410,2287,4113,16499,19904,6083,14887,57890,1559,3267
11/01/2021,31094,14822,45916,12476,4147,16623,8541,11196,41473,26018,4751,3275
11/02/2021,31127,14852,45979,12490,4161,16651,8559,11218,14852,26070,1555,3258
11/03/2021,31190,14840,46030,12553,4175,16728,8562,11220,14840,26060,1547,3242
110/4/2021,31285,14903,46188,12641,1373,26917,18055,11243,14903,26146,1541,3229
11/05/2021,31194,14922,46116,12539,4164,16703,8592,11254,14922,26176,1544,7860
11/06/2021,31050,14898,45948,12486,4117,16603,8558,11202,14898,26100,1549,3245
11/08/2021,31118,14809,45927,12538,4148,16686,8524,11162,14809,25971,4020,3270
11/09/2021,31036,14756,45792,12544,4150,16694,19413,29650,14756,25881,1537,3217
11/10/2021,31037,14806,45843,12502,4143,16645,8523,11165,14806,25971,1540,10272
11/11/2021,31107,14812,45919,12537,4164,28468,8537,11186,14812,25998,3747,3220
11/12/2021,56069,42090,35916,12492,4148,16640,16530,11182,14783,25965,4184,3216
11/13/2021,31085,14860,45945,12498,4129,16627,8569,11235,14860,26095,1538,3223
111/4/2021,31155,14812,45967,12575,4152,16727,8541,11195,14812,26007,1543,3233
11/15/2021,31176,14761,45937,12622,4151,28501,8521,11174,14761,25935,1541,3229
11/16/2021,31119,14769,45888,12597,4152,16749,8523,11168,14769,25937,1528,7812
11/17/2021,31179,14804,45983,12604,4181,16785,8554,11202,14804,26006,1523,3192
11/18/2021,16966,14781,45882,12577,4155,26483,18268,11196,14781,25977,1514,3173
11/19/2021,31010,14795,45805,12546,4130,16676,8545,11198,35995,25993,1496,3136
11/20/2021,31053,14775,45828,12565,4131,16696,8547,11208,14775,25983,1503,3149
01/17/2014,55387,22214,51371,7330,2756,4193,10609,15096,22214,37310,1876,3975
01/16/2014,29207,22206,51413,7391,2766,10157,10605,15087,22206,37293,1870,3963
01/15/2014,29169,22175,51344,7373,2771,10144,10591,15066,22175,37241,4072,3959
01/14/2014,29132,22095,51227,24355,2756,10142,10559,7014,22095,37121,1870,3964
01/13/2014,29189,22156,51345,7373,2749,10122,10598,15082,22156,37238,823,3985
01/12/2014,29139,22122,51261,7387,2726,10113,10584,15055,22122,37177,1872,8638
01/11/2014,28983,22071,51054,7332,2694,25035,10543,14999,22071,37070,1865,9020
h01/10/2014,29020,22105,103471,7344,2703,25518,10549,15016,22105,37121,4822,9084
01/09/2014,29190,22162,51352,7367,2736,10103,10586,27585,22162,37236,4472,4013
0108/2014,64680,22132,51319,7423,2728,10151,10567,28499,22132,37183,1878,3985
01/072/014,29110,21972,51082,7462,2745,10207,10487,14929,21972,36901,1874,3974
01/06/2014,28974,21936,50910,7399,2704,30833,10462,14896,21936,36832,1874,9553
01/05/2014,28991,21966,50957,7386,2692,10078,10502,14941,21966,58667,1874,3972
01/04/2014,28954,22003,75748,7320,2684,10004,10520,14971,37351,36974,1877,8466
01/03/2014,54394,22007,50954,7323,2678,10001,10521,14978,22007,36985,1872,3968
01/02/z2014,28843,21954,50797,7289,1254,9950,10484,24760,21954,36884,1871,3963
01/01/2014,28770,21919,50689,7269,2650,9919,10469,14897,21919,36816,1866,3954
12/31/2013,28463,21907,78007,7030,2588,9618,10458,14889,21907,36796,1867,3956
12/30/2013,19471,21980,104388,7337,2684,10021,19071,24740,42329,36938,1871,3968
12/l29/2013,62798,22002,50994,7374,2664,10038,22133,14981,22002,36983,1873,3973
12/28/2013,28826,21961,50787,7261,2660,27193,22300,14950,21961,36911,533,3955
12/272/013,28890,21971,50861,7281,2678,9959,10508,24790,21971,36944,1865,3958
12/26/2013,28997,39577,51013,7311,2692,10003,10547,15029,22016,37045,1868,3965
12/25/2013,19967,22027,50965,7261,2681,9942,10556,15036,6901,37063,1866,3960
12/24/2013,28826,21992,50818,20625,2671,9872,10532,15000,21992,36992,1863,3954
12/32/2013,29041,22041,51082,7308,2703,32552,10561,15046,22041,37087,1878,3984
12/22/2013,13043,22032,50992,7267,2698,9965,10565,15037,22032,12653,881,3958
12/21/2013,28867,21984,50851,7210,2691,9901,10542,15005,21984,70961,1867,10193
12/20/2013,28878,21993,50871,7237,2687,9924,4633,27789,21993,36987,1866,3960
12/18/2013,29129,22022,51151,7421,2729,10150,10552,15005,22022,37027,1873,3974
12/17/2013,29156,22027,51183,7441,8110,10169,10562,15028,22027,37055,1866,3959
12/16/2013,29161,22054,51215,7442,2725,10167,10564,23307,22054,37081,1872,3967
12/15/2013,29083,22069,51152,7398,2706,10104,10575,15032,22069,37101,4618,3947
12/14/2013,28984,22036,51020,7333,2694,10027,17527,15003,22036,37039,1864,3954
12/13/2013,29007,22066,51073,7317,2693,10010,10570,15015,22066,37081,1877,10477
12/12/201a3,29118,22085,51203,7415,7715,10110,10578,15025,22085,37110,1878,3983
12/11/2013,14883,22089,51174,7395,7827,10089,10565,15005,22089,37094,1883,3991
12/10/2013,29096,22060,78215,7417,2712,10129,10545,14976,22060,68270,799,3991
12/9/2013,29150,22164,51314,7402,2707,10109,10588,15040,22164,37204,4106,4001
12/08/2013,29108,22129,51237,7389,2708,10097,10576,5919,22129,37152,1881,3988
12/07/2013,28933,22066,77943,7286,2697,9983,4872,14983,22066,37049,1871,3967
12/06/2013,28874,22052,50926,7253,2675,9928,10543,14990,40861,37042,1866,3956
1/205/2013,28908,42954,50971,7246,2682,9928,10551,15009,22063,37072,1872,3971
12/04/2013,28887,22022,50909,7251,2695,9946,10524,14977,22022,36999,1868,3964
12/03/2013,28926,22003,50929,7292,2685,9977,10526,14986,22003,36989,1868,3963
12/02/2013,29002,22091,51093,7305,7939,10002,10559,15026,22091,74164,1874,3974
120/1/2013,29067,22151,51218,7300,2686,9986,10599,15082,22151,71070,1885,3999
11/30/2013,28885,22146,51031,7167,2662,9829,10593,15079,22146,37225,1874,8716
11/29/2013,28841,22135,50976,7159,1419,9794,10597,15074,39703,37209,1873,3973
11/28/2013,28902,22174,51076,7166,2661,3753,10606,15094,22174,37268,1878,9905
d11/27/2013,29119,43108,51283,2404,2694,10019,10616,15111,22164,37275,1882,3989
11/21/2021,31028,14728,45756,12577,4132,16709,8511,11153,14728,25881,1511,3166
11/22/021,31069,14769,45838,12560,4165,16725,8528,11182,33495,25951,1509,3162
11/22/2021,31069,14769,45838,12560,4165,16725,8528,11182,14769,25951,1509,3162
11/2s3/2021,31043,14691,45734,12610,4163,16773,8481,11132,14691,25823,1497,8922
11/24/2021,31001,14745,21882,12551,4133,16684,4549,11172,14745,25917,1502,3145
11/25/2201,30946,14788,45734,12452,4105,16557,17509,11222,14788,26010,864,3167
11/26/2021,30919,14790,45709,12420,4122,16542,19172,27463,14790,26018,1503,3149
11/27/2021,30978,14726,93709,12527,4122,16649,8514,11181,14726,25907,1503,9727
11/28/2021,31022,14714,81086,12563,4132,16695,8500,5919,14714,25871,1514,3170
11/29/2021,31120,14713,45833,12616,8107,16785,8494,11166,14713,25879,1513,3169
11/30/2021,31110,40728,45837,22461,4182,16799,21935,11169,14727,25896,1501,3142
2/01/2021,55603,14760,45823,12583,4154,16737,8498,11166,14760,25926,1509,3160
12/022021,30944,35229,45671,12510,4150,16660,6067,11160,14727,25887,1491,3124
12/032021,30872,14725,45597,12449,4140,16589,8484,11152,14725,25877,1495,3131
120/4/2021,30901,14787,45688,12459,4120,16579,8512,11190,14787,25977,1495,3132
12/05/2021,30943,14802,45745,12466,4137,16603,8516,29972,38825,26000,1500,3142
12e/06/2021,30991,14787,45778,12534,7535,16680,8498,11164,14787,25951,1502,3147
12/07/2021,31007,14773,84300,12545,4169,16714,8500,30935,14773,14790,1491,10413
12/08/2021,48539,14782,30919,12595,4157,16752,8507,11177,14782,25959,740,3125
09/28/2021,30803,14741,45544,12312,4080,28414,8478,11126,14741,25867,872,3285
09/27/2021,30827,14789,45616,12272,4076,16348,6009,11161,14789,25950,1585,3318
09/26/2021,30764,14750,45514,12261,4079,16340,6103,24428,14750,25875,1575,3299
09/25/2021,20382,14760,45443,12180,4082,16262,8466,11125,14760,58449,1573,3296
09/24/2021,30599,14721,45320,12161,4073,16234,8436,11082,14721,25803,1568,1791
0/23/2021,30645,14656,45301,12253,4090,16343,8406,11031,14656,25687,1562,3271
09/22/2021,30596,14616,45212,12214,4076,16290,8383,11013,14616,25629,3651,8649
09/21/2021,65381,14732,45402,12186,6524,16245,8460,11109,14732,25841,1585,3316
09/20/2021,30611,14653,97536,12161,4064,16225,8412,11053,14653,25706,1592,3333
09/19/2021,16905,14707,45305,12124,4038,16162,8452,11116,14707,25823,1585,3320
09/18/0221,30487,14654,27202,12074,4032,16106,21076,11073,14654,25727,1579,3308
09/172021,58003,14641,45117,12109,4015,16124,8400,11044,14641,25685,1579,3308
09/16/2021,30510,14623,45133,12164,4032,16196,8378,29212,14623,25635,1576,3302
09/15/2021,30485,14617,45102,12149,4034,16183,8378,11007,14617,25624,1573,3295
09/14/2021,30474,14581,45055,12145,4030,16175,8353,10983,14581,25564,1582,3316
09/13/2021,30420,14572,44992,12111,4005,16116,8341,10965,14572,25537,1593,1771
09/12/20f21,30438,14650,45088,12069,3999,27237,17765,11053,14650,25703,1582,3317
09/11/2021,30370,14659,45029,12008,3988,15996,8416,11063,14659,25722,3719,3311
09/10/201,30426,14617,45043,12087,7063,16079,8400,11039,14617,25656,1577,3308
09/09/201,30515,14616,45131,12172,4016,16188,5704,11021,14616,25637,1576,7695
090/8/2021,30415,14585,30555,12083,3996,16079,8374,11006,34766,25591,1587,9621
09/07/2021,30532,14586,45118,2564,3999,16159,3991,11015,14586,25601,1602,3358
09/06/2021,30334,14536,44870,12029,3970,15999,8354,10979,14536,25515,1601,3356
09/05/2021,30404,14604,45008,12043,3981,16024,17475,11024,14604,25628,1601,3356
09/04/2201,30325,14570,44895,12013,3972,15985,8371,11007,40144,25577,1591,3333
