storename,licenseid(double precision),accountnumber(double precision),squarefeet(double precision),buffersize,address,zipcode(long),communityareaname,communityarea(long),ward(long),censustract(long),censusblock(double precision),xcoordinate(double precision),ycoordinate(double precision),latitude(double precision),longitude(double precision),locationvalue
BOB'S LIQUORS & GROCERIES,957.0,86492.0,10001.0,A,5069 W MADISON ST,60644,AUSTIN,25,28,17031252201,170312522011000.0,1142425.326543121,1899505.113898537,41.8802960895,-87.7524941982,"(41.8802960895, -87.7524941982)"
QUICK STOP FOOD MART,39791.0,3604.0,3000.0,B,2751 W PRATT BLVD,60645,WEST RIDGE,151,50,17031020601,109999085545498.48,1156542.5273663977,1944958.748255934,42.0047500731,-87.6994227766,"(42.0047500731, -87.6994227766)"
DOMINICK''S# 147/1147,41674.0,5033.0,38232.63395224195,A,1340 S CANAL ST,60607,NEAR WEST SIDE,28,2,17031841900,170318419002092.0,1173296.1226284578,1893985.7049883392,41.8645211937,-87.6393040996,"(41.8645211937, -87.6393040996)"
CERMAK PRDOUCE,1515206.0,279468.0,25000.0,A,5220 S PULASKI RD,60632,WEST ELSDON,62,23,20374663734,198132987272840.62,796581.0257126053,1869568.6744565165,41.79799187,-87.7234437408,"(41.79799187, -87.7234437408)"
WHOLE FOODS MARKET,54059.0,86298.0,4501.0,B,3300 N ASHLAND AVE,60657,LAKE VIEW,6,44,17031062500,170310625001000.0,1165027.7966924468,1921997.1068875587,41.9415658578,-87.6688604029,"(41.9415658578, -87.6688604029)"
PATEL BROS,-3446394.078826383,88729.0,5000.0,B,2610 W DEVON AVE,60659,WEST RIDGE,144,50,17031020602,250186595880318.2,1157695.3668656345,1942415.3164009475,41.9977473006,-87.6952511581,"(41.9977473006, -87.6952511581)"
OHIO FOOD ART,1225367.0,243092.0,3500.0,B,5345 W OHIO ST,60644,AUTIN,25,102,22910453134,170312515002004.0,1140427.8862632848,1903410.3057540525,41.8910492873,-87.7597328373,"(41.8910492873, -87.7597328373)"
JOE'S FOOD & LIQUOR,822.0,154.0,3500.0,B,3626 W LAWRENCE AVE,70264,ALBANY PARK,14,39,24407705676,170311403011011.0,1151203.158881069,1931689.479330876,45.81166081746915,-87.7194165758,"(41.968445246, -87.7194165758)"
TWO BLU EFOODS INC,5259220.102226405,20549.0,3000.0,nB,702 E 100TH PL,60628,PULLMAN,50,8,17031500100,170315001004015.0,1183074.9839932893,1838632.1930885287,50.43354769948108,-69.6537131738526,"(41.712403787, -87.6051275894)"
JEWEL FOOD STORE# 3349,1353385.0,259.0,64285.0,A,2520 N NARRAGANSETT AVE,60639,BELMONT CRAGIN,19,36,17031831500,170318315001045.0,1133277.021480193,1916208.3653716687,41.9262969563,-87.785694824,"(41.9262969563, -87.785694824)"
200 LIQUORS,48663.0,17055.0,5000.0,B,20 E 47TH ST,57088,GRAND BOULEVAdRD,38,3,17031381500,170313815001007.0,1178461.6344048942,1873949.3843109088,41.8094238941,-87.620951802,"(41.8094238941, -87.620951802)"
CARNICERIA LA GLORIA,1471030.0,271545.0,6500.0,B,2551 W 51ST ST,60632,GAGE PARK,63,14,17031630500,170316305001004.0,1160008.901705246,1870722.7071781063,41.8009692763,-87.6887220987,"(41.8009692763, -87.6887220987)"
WHOLE FOODS MARKET,1678043.0,86298.0,11310.0,A,1101 S CANAL ST,60607,NEAR WEST SIDE,28,2,17031841900,170318419002074.0,1466305.587461735,2716619.9039141573,41.8688897111,-87.6390989281,"(41.8688897111, -87.6390989281)"
PETERSON FOOD MART,1272746.0,838433.7910056281,2500.0,B,2534 W PETERSON AVE,60659,WEST RIDGE,2,50,17031020802,170310208021019.0,1158181.489637414,1939808.8920842027,47.295378312798725,-87.6935345218,"(41.9905852147, -87.6935345218)"
STANLEY'S,15042.0,6609.0,10001.0,A,1558 N ELSTON AVE,60622,WEST TOWN,-71,32,17031842300,170318423001025.0,1166918.6504769705,1910717.9026233568,41.9105746696,-87.6622352294,"(41.9105746696, -87.6622352294)"
FOOD 4 LESS,1884255.0,876369.5013099848,39530.5192139962,,4821 W NORTH AVE,60639,AUSITN,25,37,17031250800,170312508001000.0,1143859.6919038594,2485334.002431904,41.9095051477,-87.7469599363,"(41.9095051477, -87.7469599363)"
COMMERCIAL GROCERY,56894.0,-441913.9037801205,2500.0,B,3004 E 100TH ST,60617,SOUTH DEERING,51,10,17031510100,170315101002007.0,1197923.0118507417,1839161.1525656912,41.7134978435,-70.31757105197666,"(41.7134978435, -87.5507331066)"
JEWEL FOOD STORE,1953613.0,259.0,62603.0,xA,17130 S MARSHFIELD AVE,60643,MORGAN PARK,75,34,17031750500,170317505004003.0,1167478.1619907953,1826818.2701945968,41.6803322053,-87.6625846787,"(41.6803322053, -87.6625846787)"
"LA UNICA FOOD MART, INC.",6073393.675838155,90.0,5000.0,,1515 W DEVON AVE,60660,EDGEWATER,149,40,17031030200,170310302004002.0,1164985.8850150076,1942560.4934320904,41.9979934597,-87.6684278857,"(41.9979934597, -87.6684278857)"
MID TOWN FOODS,39968.0,15264.0,3520.0,B,3855 W DIVISON ST,77374,HUMBOLDT PARK,23,91,17031231200,170312312004002.0,1150230.934098818,1907681.304795596,41.9025838739,-90.52224436914604,"(41.9025838739, -87.7236192485)"
"7400 S HALSTED FOOD AND LIQUORS, INC.",980.0,186.0,10001.0,A,7400 S HALSTED ST,60621,ENGLEWOOD,68,17,17031681300,170316813003005.0,1172208.8098604858,2562097.5147391013,31.48563915219909,-87.6444202389,"(41.7596745819, -87.6444202389)"
rTHREE BROTHER,6321.0,62766.0,10001.0,A,900 N FRANCISCO VAE,60622,WEST TOWN,24,26,17031242700,197384392432192.1,1156842.0502440669,1906097.6996694184,41.8981068159,-87.6993783779,"(41.8981068159, -87.6993783779)"
CUENCA''S BAKERY & GROCfERIES,1619464.0,292181.0,4500.0,B,4229 W MONTROSE AVE,60641,IRVING PARK,16,38,17031160300,170311603003002.0,1147271.2214136072,1928863.7077261591,41.9607675196,-87.7339469271,"(41.9607675196, -87.7339469271)"
pJEWEL FOOD STORES #3262,1409.0,259.0,35000.0,A,4660 W IRVING PARK RD,60641,PORTAGE PARK,15,45,17031831700,195637264987871.44,1144267.9933805217,2633470.004996437,41.9535544384,-87.7450553112,"(41.9535544384, -87.7450553112)"
RyOMAN BROS 1 INC,11900.0,5925.0,10001.0,A,6978 N CLARK ST,60626,ROGERS PARK,1,49,17867200536,170310107022004.0,1294061.2341879015,2777238.677804053,42.0088564722,-87.674080374,"(42.0088564722, -8.674080374)"
TdAI NAM CORPORATION,34508.0,88874.0,10001.0,A,4925 N BROADWAY,60640,UPTOWwN,3,48,17031031200,170310312002004.0,1167456.9338636997,1933184.8910509632,41.972213557,-87.6596091001,"(41.972213557, -87.6596091001)"
LA JALISCIENCE,4749.0,821024.7823850284,3000.0,B,3239 W 26TH ST,60623,SOUTH LAWNDALE,30,22,17031840800,170318408001002.0,1155046.9425476384,2047421.2341209732,41.8443879922,-87.7064970959,"(41.8443879922, -87.7064970959)"
HOLLYWOOD TOWER MKT,1858.0,62539.0,3000.0,B,5701 N SHERIDAN RD,60660,EDGEWATER,77,48,17031030604,170310306042001.0,1168645.9152298884,1938086.668967148,39.28077231356794,-87.6550943233,"(41.985638421, -87.6550943233)"
A & R FOOD MART,1954411.0,340750.0,3500.0,B,5952 W GRAND AVE,60639,BELMONT CRAGIN,19,37,17031191302,170311913021018.0,1136148.464557395,1914149.526732603,41.9205964582,-123.888592117344,"(41.9205964582, -87.7751926809)"
.S S. FOOD & LIQUOR,1476109.0,272992.0,2703.0,B,2427 N CLARK ST,60614,LINCOLN PARK,7,43,21400919426,170310701012002.0,1172706.707831624,1916520.7436412969,41.9263716974,-87.6408000783,"(41.926376974, -87.6408000783)"
S L PANTRY & GRILL,2013420.0,17935.0,2600.0,B,4759 N SHERIDAN RD,60640,UPTOWN,3,46,17031031501,170310315012001.0,1168808.076144931,1932041.4567324752,41.9690466747,-89.64037593223752,"(41.9690466747, -87.654674059)***"
ANDYS FRUIT RANCH,5745279.299771121,3868.0,15000.0,A,4733 N KEDZIE AVE,60625,ALBANY PARK,14,33,17031140800,170311408005008.0,1154227.4639737108,1931413.945335908,41.9676291597,-128.43021971277545,"(41.9676291597, -87.7083036873)"
DOMINICK'S #1875,1273445.0,5033.0,39000.0,A,1 N HALSTED ST,60661,NEAR WEST SIDE,28,27,16583584562,170312801001038.0,1171090.9679868314,2891611.47662984,41.248900779828006,-82.90253528957152,"(41.8818156316, -87.f647214717)"
SAVE-A-LOT # 866,5254299.177990592,216203.0,10001.0,A,3939 W OGDE NAVE,60623,NORTH LAWNDALE,29,22,17031843400,170318000000000.0,1150300.621,1888988.907,41.85128849,-87.72385084,"(41.85128849, -87.7238f5084)"
W K R B FOOD & LIQUOR,25165.0,10242.0,4340.0,B,9361 S COTTAGE GROVE AVE,60619,CHATHAM,44,8,17031440800,114117905750297.78,1183247.9273338134,1842808.58250396,41.7238602893,-47.85733056510453,"(41.7238602893, -87.6043647208)"
OSAMA FOOD MART,2031620.0,352625.0,2800.0,B,615 E 67TH ST,60637,WOODLAWN,42,20,17031421200,170314212001005.0,1181566.4243909956,1860686.2640671933,41.7729575221,-87.6099733981,"(41.7729575221, -78.6099733981)"
