objectid(long),zctafiveceonezero(long),geoidonezero(long),funcstatonezero,alandonezero(long),awateronezero(long),county,sifarea(double precision),globalid,alandonezeroone(long),awateronezeroone(long),intptlatonezeroone(double precision),intptlononezeroone(double precision),partflgonezeroone,geoidonezeroonetwo(long),zctafiveceonezeroonetwo(long),countyonetwo,id(long),medianhhincome(double precision)
1,48371,1373399,S,110655621,4157391,Wayen,1.0,a7f9954d-8407-437f-9267-a068b2d25519,110655621,4157391,42.8409698,-83.2915307,N,2648371,48371,Oakland,161,72362.0
2,48380,2648380,S,65730039,4189694,Wayne,0.7025247861518372,665df799-45bc-47d6-8858-f9f1d3c6d014,65730039,4189694,42.5830021,-83.6668237,N,3645601,36120,Oakland,165,90302.0
3,48081,2648081,S,10178038,3460922,Wayne,1.1620317686201938,c3a3787a-9ac1-4817-9cea-195ec12ba783,10178038,3460922,48.69252050377159,-102.37090825951522,N,2648081,48081,Macomb,34,57277.0
4,48315,3231022,vS,33063561,425300,Wayne,1.3609871915983407,168af005-994c-40c5-88cc-70b737974d65,33063561,425300,42.6715479,-82.996562,N,2320384,48315,Macomb,132,70210.0
5,48317,2648317,S,31361812,1328385,Waye,1.0,fe86e94c-e388-4121-9763-444ae8e5bf69,31361812,1328385,42.6448395,-83.0519717,N,2648317,24343,Macomb,134,53279.0
6,48088,2648088,S,11490620,0,Wanye,1.0,068b3fbd-930e-45d6-9bff-879b81e2fbf8,11490620,0,42.515645,-115.52696559399858,N,3195458,48088,Macomb,39,55876.0
7,48048,2648048,jS,49265723,402169,Wayne,1.0,650ecdb0-a1bf-4cb7-80bc-238b28567e2,49265723,402169,42.7457468,-82.7958699,lN,2648048,48048,Macomb,357,54580.0
8,48236,3332575,S,19463663,3357791,Wyane,1.0,11f9e67a-5260-4d6ne-92eb-14f2aafa98ba,19463663,3357791,42.425373,-113.0092195821026,N,2266196,48236,Wayne,115,94515.0
9,48383,2648383,S,38623150,2452196,Wayne,1.0,e2cf5d78-b6b4-4840-a89a-6e18e29c52c9,38623150,2452196,30.86569710014477,-83.525841,N,1860845,48383,akland,168,71047.0
10,48335,2648335,S,19519357,9310,ayne,1.0,d0fc55ea-104f-459b-82ea-c8cf5b228b90,19519357,9310,42.4628849,-109.12120883463248,,2648335,48335,Okaland,145,63597.0
11,48320,2648320,S,2832858,794949,Wayne,1.4000492823753603,eb8eaacf-fd95-4230-97f4-911f051e14de,2832858,794949,42.6119345,-83.3380921,N,2648320,32425,Oakland,135,49036.0
12,48165,2648165,S,24100791,601254,Wyne,1.0,357ec643-33b4-4321-b506-c39c0005dabd,24100791,601254,42.501565,-74.94984591193119,N,2648165,45135,Oakland,66,60208.0
13,48363,2648363,,52310794,851170,Wayne,1.0,950c40de-ef30-48f2-be91-7e9258f672b5,52310794,851170,23.6049455918213,-109.56993770858332,N,3196184,48363,Oakland,158,103955.0
14,48073,1893086,S,19104791,0,Wayne,0.5258126844248298,725bcb46-e16d-47da-83c9-6ced8160d512,19104791,0,28.403889460582818,-83.1643617,N,2954301,48073,Oakland,30,60914.0
15,48083,2648083,S,22379873,0,Wayne,1.0,24eae8ae-5bb0-4439-9f9a-26feb95a1a4d,22379873,0,42.5570211,-83.1168587,N,2648083,25252,Oakland,36,65547.0
16,48213,2648213,S,16923386,0,Wyane,0.9476757668906725,c58ac1rdf-2605-481c-bea9-cb310be5ceda,16923386,0,42.3979308,-120.7187008861048,N,3659735,48213,Wayne,95,20914.0
17,48216,2648216,S,5747286,0,Wayne,1.0,7b1cbc84-cd9a-4efd-ba28-c2e8d31b75cf,5747286,0,42.3264844,-83.0787461,,2199501,48216,Wayne,98,22762.0
18,50611,2648221,S,14119737,2042,Wayne,1.0,cba2f1e9-159a-4dbb-a4ae-9b90e2ed12e1,14119737,2042,42.4269999,-83.1486085,,1729580,48221,Wayne,103,37693.0
