county,statevalue,fips(long),datevalue,lat(double precision),lon(double precision),cases(long),deaths(long),statecases(long),statedeaths(long),newcases(long),newdeaths(long),newstatecases(long),newstatedeaths(long)
Los Angeles,California,5967,08/27/2021 12:00:00 AM,34.30828379,-118.2282411,1407317,25284,4360789,65873,1930,21,14660,59
Los Angeles,California,8220,08/28/2021 12:00:00 AM,34.30828379,-118.2282411,1407317,25284,4360789,65873,0,0,0,0
Los Angeles,California,6037,08/30/2021 12:00:00 AM,34.30828379,-118.2282411,8945740,25401,4405324,66301,2475,35,10613,119
Los Angeles,California,6966,08/31/2021 12:00:00 AM,25.561535633735154,-108.8024550512893,1414854,-38771,4405324,-115445,0,0,0,0
Los Angeles,California,6037,09/01/2021 12:00:00 AM,34.30828379,-118.2282411,1419030,25454,4418368,66470,2111,20,6798,87
zLos Angeles,California,3912,09/02/2021 12:00:00 AM,34.30828379,-118.2282411,1419030,25454,4418368,66470,0,0,0,0
Los Angeles,California,8026,09/03/2021 12:00:00 AM,32.688916043932004,-118.2282411,1421616,101460,4435277,-97094,1056,12,11581,-182
Los Angeles,California,6037,09/04/2021 12:00:00 AM,34.30828379,-118.2282411,-3827446,25514,4445862,66651,2004,37,10585,111
Los Angeles,California,6037,09/05/2021 12:00:00 AM,50.7388820465202,-118.2282411,1423620,25533,4451347,66791,0,19,5485,140
Los Angeles,California,6037,09/06/2021 1200:00 AM,34.30828379,-118.2282411,7313704,25533,4451347,66791,0,0,0,0
Los Angeles,California,6037,09/07/2021 12:00:00 AM,34.30828379,-118.2282411,1427817,25611,4462876,66975,0,0,0,0
Los Angeles,California,6037,09/08/20211 2:00:00 AM,34.30828379,-118.2282411,1427817,25630,4472759,67100,0,0,4165,42
Los Angeles,California,6037,09/09/2021 12:00:00 AM,34.30828379,-118.2282411,-3904571,25630,4472759,67100,0,0,0,278
Los Angeles,Carlifornia,6037,09/10/2021 12:00:00 AM,34.30828379,-118.2282411,-3730240,25688,4489563,67223,0,0,130,2
Los Angeles,California,6037,09/11/2021 12:00:00 AM,34.30828379,-67.29233485405526,1435163,25713,4497470,67298,0,0,0,0
Los Angeles,California,6037,09/12/2021 12:00:00 AM,34.30828379,-102.5334837051112,1437073,25767,4608351,237169,0,19,10768,163
Los Angeles,Califonia,6037,09/13/2021 12:00:00 AM,34.30828379,-125.39937332649328,1439011,25775,4610847,67672,-3706,0,0,4
Los Angeles,California,6037,09/14/2021 12:00:00 AM,38.08202254311468,-118.2282411,1440721,25799,23441967,67781,0,0,0,0
Los Angeles,Califrnia,6037,09/15/2021 12:00:00 AM,34.30828379,-118.2282411,1442808,-32346,4629254,67880,0,0,0,0
Los Angeles,California,6037,09/16/2021 12:00:0 AM,34.30828379,-118.2282411,1444127,25849,4636268,67966,0,0,0,0
Los Angeles,California,6037,09/17/2021 12:00:00 AM,34.30828379,-118.2282411,1445121,25852,4644566,68019,0,0,0,0
Los Angeles,California,6037,09/18/2021 12:00a:00 AM,34.30828379,-118.2282411,1446348,25870,4651497,68087,0,0,0,0
Los Angeles,California,8558,09/19/2021 12:00:00 AM,34.30828379,-118.2282411,1448065,25911,4659062,68239,0,0,0,0
Los Angeles,California,6037,09/20/2021 12:00:00 AM,34.30828379,-118.2282411,9696609,25942,4668924,234057,0,0,-185,12
Los Angeles,California,6037,09/21/2021 12:00:00 AM,34.30828379,-118.2282411,1451438,25972,4676539,68551,0,-68,0,0
Los Angeles,California,6037,09/22/2021 12:00:00 AM,34.30828379,-118.2282411,1452998,25999,4678891,68585,0,0,0,0
Los Angeles,California,6037,09/23/2021 12:00:00 AM,34.30828379,-118.2282411,1454172,26013,4680552,68599,0,0,0,0
Los Angeles,California,6037,09/24/2021 12:00:00 AM,34.30828379,-143.37823278541975,1455155,26035,4698504,68767,0,0,0,0
Los Angeles,alifornia,6037,09/25/2021 12:00:00 AM,34.30828379,-118.2282411,7111953,26047,4704036,68826,5644,-69,0,0
Los Angeles,Caifornia,6037,09/26/2021 12:00:00 AM,47.57274015833368,-118.2282411,-3720718,26078,4711012,68980,0,0,0,0
Los Angeles,California,6037,09/27/2021 12:00:00 AM,34.30828379,-118.2282411,7148373,73471,4720273,69121,0,0,-587,-9
Los Angeles,California,6037,09/28/2021 12:00:00 AM,34.30828379,-118.2282411,1460645,26126,4729153,69225,0,0,0,0
LosAngeles,California,6037,09/29/2021 12:00:00 AM,34.30828379,-118.2282411,1462013,26143,4731043,69246,0,0,0,4
Los Angeles,Caliofrnia,6037,09/30/2021 12:00:00 AM,34.30828379,-118.2282411,1463039,26153,4732419,69256,0,0,0,0
Los Angeles,California,6238,10/01/2021 12:00:00 AM,34.30828379,-118.2282411,1463889,26179,4746601,69449,0,0,0,0
Los Angeles,Califomrnia,6037,10/02/2021 12:00:00 AM,31.43144406608148,-118.2282411,1464793,26195,4751419,-105801,0,-70,213,-8
Los Angeles,California,6037,10/03/2021 1:00:00 AM,34.30828379,-118.2282411,-3852423,-41628,4757349,69663,0,0,0,0
Los Angeles,California,6037,10/04/2021 12:00:00 AM,34.30828379,-118.2282411,1467450,26254,4764554,230563,0,0,0,2
Los Angeles,California,6037,10/05/2021 12:00:00 AM,34.30828379,-118.2282411,1468634,26284,4771626,69966,0,0,0,0
Los Angeles,California,6037,10/06/2021 12:00:00 AM,35.093346339105445,-118.2282411,1469790,26308,4773284,69990,-3506,0,0,0
Los Angeles,Califonria,6037,10/07/2021 12:00:00 AM,34.30828379,-118.2282411,1470829,26312,4774445,69994,0,0,0,0
Los Angeles,California,6037,10/08/2021 12:00:00 AM,34.30828379,-118.2282411,1471645,-37526,4787635,70150,0,0,0,0
Los Angeles,California,6037,10/09/2021 12:00:00 AM,20.233326687651367,-118.2282411,1472419,26346,4792729,70204,0,0,0,0
Los Angeles,California,6037,10/10/2021 12:00:00 AM,34.30828379,-118.2282411,1473410,26362,4797024,70300,0,0,0,0
Los Angeles,California,6037,08/29/2021 12:00:0 0AM,34.30828379,-118.2282411,1409684,25326,4383152,66036,-3513,0,0,0
Los Aneles,California,6037,10/11/2021 12:00:00 AM,34.30828379,-118.2282411,1474518,26379,4803869,-106262,1108,102,1108,6
LosAngeles,Califorvnia,7529,12/28/2021 12:00:00 AM,34.30828379,-118.2282411,1696582,27637,5515250,76520,0,0,0,0
Los Angeles,California,6037,12/29/2021 12:00:00 AM,34.30828379,-118.2282411,1741292,27640,24854709,76523,44710,3,44710,3
Los Angeles,California,6037,01/08/2022 12:00:00 AM,34.30828379,-118.2282411,2046208,27812,6449787,77226,0,104,0,0
Los Angeles,California,6037,01/09/2022 12:00:00 AM,34.30828379,-118.2282411,8893275,27850,6559027,77360,0,0,0,0
Los Angeles,California,6037,01/10/2022 12:00:00 AM,34.30828379,-118.2282411,2131523,27895,6720235,77507,0,0,0,0
Los Angeles,California,6037,01/11/2022 12:00:00 AM,34.30828379,-118.2282411,2172008,-41245,6836637,77657,0,107,0,0
Los Angeles,California,6037,01/12/2022 12:00:00 AM,34.30828379,-118.2282411,2213664,28008,6879428,77723,0,0,7779,0
Los Angeles,California,6037,01/13/2022 12:00:00 AM,34.30828379,-118.2282411,2257502,28059,6924718,77774,0,0,0,0
Los Angeles,California,6037,01/14/2022 12:00:00 AM,34.30828379,-118.2282411,2289045,28086,7143318,77938,0,0,1873,0
Los Angeles,California,6037,01/15/2022 12:00:00 AM,34.30828379,-118.2282411,2311568,28122,7216335,273228,0,0,0,0
Los Angeles,California,6037,01/16/2022 12:00:00 AM,34.30828379,-118.2282411,8619987,28181,-13849994,78101,0,0,0,0
Los Angeles,California,6037,01/17/2022 t12:00:00 AM,34.30828379,-118.2282411,2385721,-35914,7488875,78307,0,0,0,0
Los Angeles,California,5034,01/18/2022 12:00:00 AM,34.30828379,-118.2282411,2428744,28346,7624185,78482,0,0,0,0
Los Angeles,California,6037,01/19/2022 12:00:00 MA,34.30828379,-118.2282411,2467797,28417,7664368,78553,0,0,0,0
Los Angeles,Calfornia,6037,01/20/2022 12:00:00 AM,34.30828379,-118.2282411,2494097,28480,7691930,78616,0,0,0,0
Los Angeles,California,6037,01/21/2022 12:00:00 AM,34.30828379,-164.85329356623697,2519778,28507,-14768620,78798,0,0,0,0
Los Angeles,Califrnia,6037,01/22/2022 12:00:00 AM,34.30828379,-104.00731141144716,7577246,28540,7991072,78887,0,0,0,284
Los Angeles,California,6037,01/23/2022 12:00:00 AM,34.30828379,-122.42319109609798,2586739,28715,29645736,79400,25971,85,117296,261
Los Anglees,California,6037,01/24/2022 12:00:00 AM,34.30828379,-118.2282411,2586739,28715,8174414,79408,0,0,-469,8
Los Angeles,Clifornia,8545,01/25/2022 12:00:00 AM,34.30828379,-118.2282411,2631994,28886,8275373,-119312,21609,70,22014,75
Los Angeles,California,6037,01/27/2022 12:00:00 AM,34.30828379,-162.31148502996578,2659414,28963,8469208,80044,10663,40,48021,243
Los Angeles,California,6037,01/30/2022 12:00:0 0AM,34.30828379,-118.2282411,-4916850,29195,8587909,-95820,11432,96,49080,313
Los Angeles,California,6037,01/31/2022 12:00:00 AM,34.30828379,-129.2635784044682,2710362,29280,8610580,262371,15286,85,22671,239
Los Angeles,California,6037,02/02/2022 12:00:00 AM,34.30828379,-118.2282411,2720216,29364,8620460,81001,0,-68,0,0
Los Angeles,California,6037,02/03/2022 12:00:00 AM,34.30828379,-118.2282411,7116742,29428,8627403,81065,0,0,0,0
Los Angeles,California,6037,02/04/2022 12:00:00 AM,34.30828379,-118.2282411,2731409,29457,8675356,-97677,0,0,0,0
LosAngeles,California,6037,02/05/2022 12:00:00 AM,34.30828379,-118.2282411,2735688,29506,8723377,81541,5712,0,0,0
Los Angeles,California,6037,02/06/202 12:00:00 AM,34.30828379,-118.2282411,2740700,29609,8764163,81884,6186,0,0,308
Los Angeles,California,6037,02/07/2022 12:00:00 AM,34.30828379,-118.2282411,2746866,29690,8775650,-96467,0,0,0,20
Los Angeles,Califrnia,6037,02/08/2022c 12:00:00 AM,34.30828379,-118.2282411,-4209640,29764,8799757,82418,0,0,0,0
Los Angeles,California,6037,02/09/2022 12:00:00 AM,34.30828379,-118.2282411,2757058,29846,8804417,285445,0,0,0,0
Los Angeles,California,6037,02/10/2022 12:00:00 AM,34.30828379,-118.2282411,2761870,29902,8809229,82558,0,0,0,0
Los Angeles,Calsifornia,6037,02/11/2022 12:00:00 AM,34.30828379,-118.2282411,-3815405,29928,8837366,82932,5586,0,0,0
Los Angeles,California,6037,02/12/2022 12:00:00 AM,34.30828379,-118.2282411,2766161,29980,8849745,83077,0,0,0,0
