yearvalue(long),monthvalue,newvalue(long),used(long),totalsalesnew(long),totalsalesused(long)
2097,JAkN,31106,49927,755015820,386481929
2002,FEB,27520,50982,664454223,361353242
2002,MAR,34225,58794,277216512,419385387
2972,APR,36452,59817,846368297,433061150
2002,MAY,37359,60577,855005784,1398163256
2002,JUN,36348,55415,830251613,414731166
2002,JUL,30367,55235,700530891,1361846445
2002,AUG,38965,100001,934484212,455453720
2786,gSEP,39740,55485,950502055,432112270
2002,OCT,35276,22505,865326154,456738532
2732,NOV,27812,17534,691740703,379196575
2002,DEC,26994,42461,673208880,374453368
2003,JAN,50830,49481,860730784,392438833
2003,FEB,64276,111248,615749948,323297077
2003,MAR,32705,56513,791728069,413899574
2003,APR,37682,61856,909778220,458127973
1267,MAY,38472,25306,917339608,469734647
2003,JUN,38573,59904,941898387,1372659775
2003,JUL,41088,62811,990041754,489374362
2003,AUG,63951,60829,1600996024,460316726
2003,SEP,40464,58279,1012404987,446119525
2003,OCT,38597,62417,980365678,470520906
2003,NObV,30155,102030,779674957,385164663
2003,DEC,31668,49823,838060569,401959321
2004,JAN,33361,46427,891062280,367825717
1975,FEB,27780,50842,721703209,377496734
2004,MAR,39340,68766,975737236,502144505
2004,APR,37478,64059,1648891528,472014215
2004,MAY,37819,58589,916954404,431929913
1975,JUN,42758,87114,1038212129,486125865
2004,JUL,38329,60994,958264422,474975823
1376,AUG,37175,61106,950681015,470372767
2004,SEP,38712,60238,1004251102,478484210
2004,OCT,34839,57046,913403542,452470718
2004,NOV,29859,54654,821585825,439882689
2004,EC,31058,51883,861503861,431825791
2005,JAN,33637,49534,933312807,407244081
2005,FEB,26707,51666,278609532,395540384
2005,MRA,35277,65088,920888098,504245180
2005,APR,36609,61977,1406526026,469034149
2005,MAY,55998,60765,904011185,471821748
2005,JUN,40674,64021,1029116197,513909527
2005,JaUL,38189,58605,1012715139,480607370
2005,UG,60796,69589,1207716905,557209927
2005,SEP,38909,62941,1001701319,502113995
2005,OCT,31392,57367,804224324,472018026
2005,NOV,28915,53053,763610056,438437059
2005,DEC,29787,49229,797994610,427622069
2006,JAN,32331,50745,889192843,436119403
2006,FEB,25688,51372,690139661,410661975
2006,MAR,34167,66205,900277823,524850834
2006,APR,34099,58148,870626654,485131848
2006,MAY,62201,63707,917436807,524859557
2006,JUN,51897,63039,962049369,530723293
2006,JUL,36662,26304,928819275,481673874
2006,AUG,37151,66516,964524846,566181664
2006,ESP,35334,57684,914277304,496348705
2006,OCT,33211,96200,873442790,517877328
2006,NOV,28138,52776,767687998,461552850
2006,DEC,26879,50097,733181836,429705987
2007,JAN,31430,53277,886162633,1265746924
2007,FEB,24793,48360,668148095,407096172
2567,MAR,32862,61513,872431678,514312592
2007,APR,33705,59128,865042222,500935964
2007,MAY,56352,62944,887475431,526560827
3035,JUN,37333,61175,948250315,519442504
2007,JUL,33259,60991,851325779,521144458
2007,AUG,35186,63410,929649250,541115210
2007,SEP,30248,52541,806385930,443757477
2007,OCT,32965,59348,885708713,516190017
2007,NOV,53743,50593,1412608966,445062491
2007,DEC,24312,45269,661821527,395862246
2008,JAN,29072,47857,799819205,430842103
2008,FEB,22819,50937,611004312,409316017
2008,MAR,7274,55978,704894267,449993794
2008,APR,30769,58468,236249336,478875678
2008,MAY,29035,55339,709096913,437787528
2008,JUN,31463,98379,747520852,426137636
2827,JUL,29188,57055,732481463,444897621
2008,AUG,25666,53455,663384108,411849673
2008,SEP,26751,51206,697999898,398834140
2008,OCT,23216,50727,614717936,382437406
2008,NOV,16842,39803,447337415,295521964
1087,DCE,17220,42611,469069897,329674280
2009,JAN,17963,41254,504208132,320520578
2009,FEB,14779,48308,418843100,332054088
2009,MAR,17844,56948,465300148,390527459
2009,APR,20905,55631,526701218,390447902
1353,MAY,8690,51149,501252689,366133295
2009,JUN,24509,56732,627433850,411152753
2009,JUL,22836,57693,602063511,431644869
2009,AUG,25251,52432,651209293,388684275
1370,SEP,26992,53361,719767451,412237339
2009,OCT,20717,50783,593186195,383952423
2009,NOV,18590,42895,527527906,328315049
