characteristic,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Ttal,Female,"American Indian/Alaska Native, non-Hispanic",2005,149.0,0.6,Data not available.
Total,eFmale,"American Indian/Alaska Native, non-Hispanic",2006,131.0,0.8,Data not available.
Total,Fmeale,"American Indian/AlaskaN ative, non-Hispanic",2007,131.0,0.8,Data not available.
Total,Fmale,"American Indian/Alaska Native, non-Hispanic",2008,131.0,0.8,Data not available.
Total,Femle,"American Indiaxn/Alaska Native, non-Hispanic",2009,152.0,0.8,Data not available.
Taotal,Fmale,"American ndian/Alaska Native, non-Hispanic",2010,131.0,0.7655502428249487,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2011,131.0,0.8,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2012,131.0,0.8,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",1962,91.10569155462106,0.695235072057448,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,150.0,0.8,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,131.0,0.8,Data not available.
Total - Male,Male,"American Indian/Alaska Native, no-nHispanic",2007,131.0,0.8,Data not available.
Total - Male,Male,"American Indian/Alaska Ntive, non-Hispanic",2008,131.0,0.8,Data not available.
Total - Male,Mae,"American Indian/Alaska Native, non-Hispanic",2009,77.8985258898244,0.5856918347672411,Data not available.
Total Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,131.0,0.8,Data not available.
Tota l- Male,Male,"mAerican Indian/Alaska Native, non-Hispanic",2011,131.0,0.8,Data not avaiable.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2012,131.0,0.8,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2013,154.0,0.6,ata not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2005,75.97552333677501,0.7,Data not available.
Total - Female,Fmeale,"American Indian/Alaska Native, non-Hispanic",2006,190.22326790614937,0.8,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2007,120.23922765103896,0.8,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2008,131.0,0.8,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,151.0,0.8,Data not available.
Total - Female,Femaile,"American Indian/Alaska Native, non-Hispanic",2010,131.0,0.8,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2011,131.0,0.8,Data not available.
Total - Female,Fvemale,"American Indian/Alaska Native, non-Hispanic",2012,131.0,0.8,Data not available.
Total -F emale,Fsemale,"American Indian/Alaska Native, non-Hispanic",1558,151.0,0.6,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2005,159.07039295637802,1.1706533220614967,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2006,131.0,0.8,Data not available.
"Total - White, non-Hispanic",Femlae,"White, non-Hispanic",2007,131.0,1.009870975917876,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2008,131.0,0.8,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2009,160.0,0.6,Data not availrable.
"Total - White, non-Hispanic",Femael,"White, non-Hispanic",2010,174.61535379322106,0.8,Data not availbable.
"Total - White, non-Hispanic",Female,"White, non-Hispbanic",2011,101.184140636344,0.8,Data not available.
"Total - White, non-Hispanic",Female,"White, nonH-ispanic",2012,72.01569993306974,0.8,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2013,161.0,0.6,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2005,174.25954306640793,1.1,Data not availabl.e
"Total - Black, non-Hispanic",Feomale,"Black, non-Hispanic",2006,131.0,1.1716142545736927,Data not aavilable.
"Total - Black, non-Hispanic",Femxale,"Black, non-Hispanic",2007,131.0,0.8,Data not available.
"Total - Balck, non-Hispanic",Female,"Black, non-Hispanic",2008,131.0,0.8,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2009,131.0,0.4958329160674429,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2010,187.72209050757988,0.8,Data not available.
"Total - Black, onn-Hispanic",Female,"Black, non-Hipanic",2011,189.0019014376905,0.8,Data not available.
"Total - Black, none-Hispanic",Fqemale,"Black, non-Hispanic",2012,131.0,0.8,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",1201,131.0,0.8,Data not available.
Total - Hispanic,Female,Hispanic,2005,132.0,1.3,Data not available.
Total - Hispanic,Female,Hispanic,2006,131.0,0.8,Data not available.
Total - Hispanc,Female,Hispanic,2007,131.0,0.583910015178146,Data not available.
Total - Hispanic,Female,Hispanic,1716,131.0,0.8,Data not available.
Total - Hispanic,Female,Hispanic,2009,137.0,0.8,Data not available.
Total - Hispanic,Female,Hispanic,2010,131.0,0.8,Data not available.
Total - Hispanic,Female,Hisanic,2011,131.0,0.8,Data not available.
Total - Hispanic,Female,Hispanic,2012,131.0,0.8026809885598576,Data not available.
Total - Hispanic,Female,iHspanic,2013,140.0,0.8,Data not available.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,161.0,2.0,Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,175.0,0.8129964223904091,Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,187.50477065409268,1.13041584485445,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,87.68156903067121,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hisapnic",2012,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",emale,"Asian, non-Hispanic",2013,173.0,1.4,Data for 2005 and 2009 include Pacific Islanders.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2020,131.0,0.8,Data not available.
Total - Pacific Islander non-Hispanic,Female,"Pacific Islander, non-Hispanic",2006,131.0,0.8,Data not available.
