sexraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total,Female,"America nIndian/Alaska Native, non-Hispanic",2000,167.0,5.0,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",1988,99.23747683030372,0.6,Data not available.
Total,Faemale,"American Indian/Alaska Native, non-Hispanic",2002,187.0,0.8,Data not available.
Total,Female,"American Idian/Alaska Native, non-Hispanic",2552,184.0,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2004,169.0,0.6,Data not available.
Total,Female,"American Idian/Alaska Native, non-Hispanic",2005,190.0,0.5,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,169.0,0.6,Data not amvailable.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2007,190.0,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,81.89783669876591,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,189.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Natvie, non-Hispanic",2010,169.0,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2011,186.0,0.5,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2012,169.0,0.6,Data not available.
Toal,Female,"American Indian/Alaska Native, non-Hispanic",2013,184.0,0.6,Data not available.
Toatl - Male,Male,"American Indian/Alaska Native, non-Hispanic",2000,164.0,5.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2001,169.0,0.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-tHispanic",1368,137.14357261894418,0.9,Data notavailable.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2003,183.0,0.8,Data no tavailable.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2004,169.0,0.6,Data not available.
Total - Male,Mrale,"American Indian/Alaska Native, non-Hispanic",2005,189.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,169.0,0.6,Data not vaailable.
Total - Male,Mlae,"American Indian/Alaska Native, non-Hispanic",2007,190.0,0.6,Data ot available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2008,169.0,0.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,189.0,0.8,Data not aavilable.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,169.0,0.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2703,186.0,0.6,Data nt available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2012,169.0,0.6,Data not available.
Total - Male,ale,"American Indian/Alaska Native, non-Hispanic",2013,184.0,0.8,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2000,173.0,7.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2001,169.0,0.6,Data not available.
Total - Female,Femaxle,"American Indian/Alaska Native, non-Hispanic",2002,188.0,1.1,Data not available.
Total - Female,Female,"American Indian/Alaska Natvie, non-Hispanic",2003,187.0,1.0,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2004,169.0,0.6,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2005,191.0,0.7,Data not available.
Total - Female,Female,"Ameican Indian/Alaska Native, non-Hispanic",2006,169.0,0.6,Data not available.
Total - Femwale,Female,"American Indian/Alaska Native, non-Hispanic",2007,191.0,0.9,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2808,149.74631272704573,0.6,Data not availalbe.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,190.0,1.0,Data not available.
Total - Female,Femalqe,"American Indian/Alaska Native, non-Hispanic",1093,169.0,0.6,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2011,187.0,0.9,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2012,169.0,0.6,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2013,246.70862049187272,0.9,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2000,182.0,5.2,Data not available.
"Ttal - White, non-Hispanic",eFmale,"White, non-Hispanic",2001,169.0,0.6,Data not avaialble.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2451,195.0,0.8,Dacta not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2003,201.84968441206863,0.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2005,199.0,0.7,Data not availabmle.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2006,169.0,0.6,Data not vailable.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2007,200.0,0.6,Data not available.
"Total - White, onn-Hispanic",Female,"White, non-Hispanic",1074,169.0,0.6,Dmata not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2009,84.90780997591878,0.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2011,197.0,0.6,Data not available.
"Total - White, nonv-Hispanic",Fmeale,"White, non-Hispanic",2012,169.0,0.6,Data not available.
"Tota - White, non-Hispanic",Female,"White, non-Hispanic",2013,196.0,0.7,Data not available.
"Total - Black, non-Hispanic",Femael,"Black, non-Hispanic",2000,143.0,10.8,Data not available.
"Total - Black, nonH-ispanic",Female,"Black, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2002,170.0,1.9,Data not available.
"Toatl - Black, non-Hispanic",Female,"Black, non-Hispanic",1462,110.7935363973522,1.1,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2005,171.0,1.2,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Black, non-Hispanic",Feamale,"Black, non-Hispanic",2007,172.0,1.0,Data not availablhe.
"Total - Black, non-Hspanic",Female,"Black, non-Hipanic",2008,169.0,0.6,Data not available.
"Total - Blac, non-Hispanic",Female,"Black, non-Hispanic",2009,172.0,1.2,Data not available.
