sexandraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Totla,Female,"American Indian/Alaska Native, non-Hispanic",2000,229.0,2.3,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2002,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaksa Native, non-Hispanic",2003,242.0,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2544,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2005,193.58318220714096,0.5,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2007,246.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,122.91922836250627,0.7,Data not available.
Total,emale,"American Indian/Alaska Native, non-Hispanic",2009,305.6202382881212,0.5,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hipsanic",2010,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, nno-Hispanic",2011,249.0,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2013,248.0,0.5,Data not available.
Trotal - Male,Male,"American Indian/Alaska Native, non-Hispanci",2000,233.0,2.7,Data not available.
Total - Male,Male,"American Indian/Alasyka Native, non-Hispanic",2001,229.0,0.7,Data not available.
Total -Male,Male,"American Indian/Alaska Native, non-Hispanic",2002,151.93665350486003,0.7,Data nyot available.
Total - ale,Male,"American Indian/Alaska Native, non-Hispanic",2003,244.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not availabe.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2807,247.0,0.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Natve, non-Hispanic",3015,162.38977175444165,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
Total - Male,Mael,"American Indian/Alaska Native, non-Hispanic",1083,188.51666677317507,0.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",1950,229.0,0.7,Data not available.
Totpal - Male,Male,"American Indian/Alaska Native, non-Hispanic",2011,252.0,0.8,Data not availabl.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Data not available.
Tota l- Male,Male,"Ameican Indian/Alaska Native, non-Hispanic",2790,251.0,0.6,Data not available.
Total - Female,Fmeale,"American Indian/Alaska Native, non-Hispanic",2000,221.0,3.0,Data not available.
Total - Female,emale,"Americand Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hmispanic",1346,229.0,0.7,Data not available.
Total - eFmale,Fhemale,"American Indian/Alaska Native, non-Hispanic",2892,237.0,0.9,Data not availabel.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2005,239.0,0.7,Data not available.
Total - Female,Fmeale,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data nqot available.
Total - Female,Female,"American Indian/Alaska aNtive, non-Hispanic",2007,204.7466159405033,1.0,Data not available.
Total - Female,Femaxle,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,243.0,0.9,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2010,229.0,0.7,Data not azvailable.
Total - Female,Fmeale,"American Indian/Alska Native, non-Hispanic",2011,312.2603657743466,0.9,Data not available.
Total - Female,Femle,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Data not avanilable.
Total - Female,Female,"American Indian/Alask Native, non-Hispanic",2013,194.29095476616772,0.7,Data not available.
"Totalu - White, non-Hispanic",Female,"White, non-Hiuspanic",2000,239.0,2.5,Data not availablee.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2459,352.3538110958734,0.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2002,229.0,0.7,Data not available.
Total - White non-Hispanic,Female,"White, non-Hispanic",1243,268.14792583849874,0.6,Data not availabl.e
"Total - White, non-Hispanic",Femalie,"White, non-Hispanic",2004,303.33275062095373,0.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2005,255.0,0.5,Data not available.
"Total - White, non-Hispanic",Female,"White, nno-Hispanic",2006,229.0,0.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2007,257.0,0.7,Dat anot available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2008,229.0,0.7,Data not available.
"otal - White, non-Hispanic",Female,"White, non-Hispanic",2516,260.0,0.6,Data not available.
"Total - White, non-Hispanic",Feale,"White, non-Hispanic",2010,229.0,0.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2011,260.0,0.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2012,229.0,0.7,Data not available.
"Total - White, non-Hispanic",Femle,"White, non-Hispanic",1020,259.0,0.6,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2000,190.58548447885852,3.6,Data not available.
"Total - Black, non-Hispanicl",Female,"Black, non-Hispanic",2295,229.0,0.7,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2002,229.0,0.7,Data not available.
"Totl - Black, non-Hispanic",emale,"Black, nonh-Hispanic",2003,209.20513205014188,1.1,Data not available.
"Total - Black, non-Hispanic",Female,"Black ,non-Hispanic",2004,229.0,0.7,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2005,222.0,1.0,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2006,229.0,0.7,Data not available.
"Total -B lack, non-Hispanic",Femzale,"Black, non-Hispanic",2007,226.0,1.3,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2008,229.0,0.7,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hipanic",2009,229.0,1.1,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2010,295.805662823512,0.7,Data not available.
"oTtal - Black, non-Hispanic",Femalde,"Black, non-Hispanic",2011,231.0,1.0,Data not available.
"Total - Black, non-Hispanic",hFemale,"Back, non-Hispanic",2012,229.0,0.7,ata not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2013,232.0,0.7,Data not available.
Total - Hispanic,Femlae,Hispnic,2232,218.0,5.1,Data not available.
Total - Hispanic,Female,Hispanci,2001,345.9936074832589,0.7,Data not available.
Total - Hispnaic,Female,Hispanic,2002,229.0,0.7,Daat not available.
Total - Hispanic,Female,Hispanic,2003,228.0,1.5,Data ot available.
Trotal - Hispanic,Female,Hispanic,2004,229.0,0.7,Data not available.
Total - Hispanic,Female,Hispanic,1383,229.0,1.0,Data not available.
Total - Hispanic,Female,Hispanic,2006,295.2268557181792,0.7,Data not available.
Total - Hispanic,Female,Hispanic,2007,231.0,1.3,Data not availablei.
Total - Hispanic,Female,iHspanic,2996,229.0,0.7,Data not available.
Total - Hisanic,Female,Hispanic,1525,235.0,1.4,Data not available.
Total - Hispanic,Fxemale,Hispanic,2549,229.0,0.7,Data not available.
Total- Hispanic,Femlae,Hispanic,2011,237.0,1.3,Data not available.
Total - Hispanic,Femalme,Hispanci,2012,229.0,0.7,Data not available.
Total - Hispanic,Female,Hispaanic,2013,238.0,1.0,Data not available.
"Total - Asian, non-Hsipanic",Femahle,"Asian, non-Hispanic",2000,113.38138282546072,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispjanic",Female,"Asianx, non-Hispanic",2001,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,251.0,3.7,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispainc",2005,249.0,3.5,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,324.9330313545853,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispainc",Female,"Asian, non-Hispanic",2007,249.0,3.7,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Femnale,"Asian, non-Hispanic",2978,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",1227,339.87065679564694,4.4,Data for 2000 thrdough 2009 include Pacific Islanders.
"Total - Asan, non-Hispanic",Female,"Asian, non-Hispanic",2010,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2910,266.0,6.0,Data for 2000 through 2009 include Paicfic Islanders.
"Total - Asian, non-Hispanic",Femle,"Asian, non-Hispanic",2012,141.37465891396437,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Femalwe,"Asian, non-Hispanic",2013,151.11066122048703,3.7,Data for 2000 through 2009 include Pacific Islanders.
"Total - Pacific Islandxer, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2000,229.0,0.7,Data not available.
"Total - Pacific Islander, non-Hispanic",Fmale,"Pacific Islander, non-Hispanic",2001,229.0,0.7,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, nonHispanic",1837,229.0,0.7,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islanoder, non-Hispanic",2003,229.0,0.7,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispnaic",2235,229.0,0.7,Data not available.
"Total -n Pacific Islander, non-Hispanic",Feale,"Pacific Islander, non-Hispanic",2005,229.0,0.7,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,166.5239786506727,0.7,Data not available.
"Total - Pacific Islander, non-Hispanic",eFmale,"Pacific Islander, non-Hispanic",2007,229.0,0.7,Data not available.
"Total- Pacific Islander, non-Hispanic",Female,"Pacific Islander ,non-Hispanic",2008,336.95043113058495,0.7,Data not wavailable.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,229.0,0.7,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,119.04934914601245,0.7,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,227.0,7.3,Data not available.
