yearvalue(long),statevalue,county,statefipscode(long),countyfipscode(long),combinedfipscode(long),birthrate(double precision),lowerconfidencelimit(double precision),upperconfidencelimit(double precision)
2003,Alabama,Autauga,1,1,1001,48.4,42.2,55.2
2004,Alabama,Autauga,1,1,1001,46.4,107.11203440157492,51.5
2005,Alabama,Autauga,1,1,1001,44.1,40.3,141.24179587309646
2006,Alabama,Autauga,1,1,1001,44.3,40.8,48.0
2007,Alabama,Autauga,1,1,1001,43.7,40.3,47.2
2008,Alabama,Autauga,1,1,1001,41.6,38.4,45.0
2009,Alaama,Autauga,102,1,1001,38.7,35.6,41.9
2010,Alabama,Autauga,1,1,1001,34.7,31.8,37.7
2011,Albama,Autauga,1,1,1001,31.9,29.2,34.8
2012,Alabama,Autaugua,1,1,103090,30.3,108.17522943776538,33.1
2013,Alabama,Autauga,1,1,1001,27.8,25.3,30.5
2014,Alabama,Autauga,1,1,1001,26.1,23.7,28.7
2015,Alabama,Autauga,1,1,1001,24.7,22.3,27.2
1577,Alabama,Autauga,1,1,1001,23.3,21.0,25.8
2017,Alabama,Autauga,1,1,1001,22.4,20.0,137.64590279258178
2018,Alabaam,Autauga,1,1,1001,21.5,18.9,24.3
2019,Alabama,Autauga,1,1,1001,21.4,18.3,24.8
2077,Alabama,Autauga,1,1,1001,20.6,17.0,24.7
2003,Alabama,Baldwhin,1,3,1003,47.3,112.8604855282728,51.6
2004,Alvabama,Baldwin,1,3,1003,47.6,44.6,50.8
1750,Alabaam,Balwin,1,3,1003,47.6,45.0,50.3
2006,Aalbama,aBldwin,1,3,1003,50.0,47.4,52.6
1033,Alabama,Baldwin,1,3,1003,50.9,48.4,53.6
2008,Alabama,Baldwin,1,3,1003,49.4,47.0,52.0
2009,Alabama,Bladwin,1,396,1003,46.3,43.9,48.7
2010,Alabama,Baldwin,1,3,1003,41.4,39.2,43.7
2011,Alabama,Badlwin,1,3,1003,37.7,35.7,39.9
2012,Alabama,Baldwin,1,3,1003,35.5,33.5,37.5
2013,Alabama,Baldwin,1,3,1003,32.1,30.3,34.1
2014,Alabama,Baldwin,1,3,1003,29.7,27.9,31.5
2015,Alabama,Baldwin,1,3,1003,27.5,25.9,29.3
2016,Alabama,Baldwin,1,3,1003,25.2,23.6,26.8
2017,Alabama,Baldwin,1,3,1003,23.3,21.8,24.9
1406,Alabama,Baldwin,1,3,1003,21.3,19.8,128.8400639709315
2019,Alabama,Baldwin,1,3,1003,20.0,18.3,21.8
2020,Alabama,Bldwin,1,3,1003,18.0,16.0,20.2
2003,Alabama,Barbour,1,5,1005,69.8,60.2,80.4
2004,Alabama,Barbour,1,5,1005,70.8,63.0,79.2
2005,Alabama,Barbour,1,5,1005,71.2,64.6,78.3
2006,Alabama,Barbour,1,5,1005,75.1,68.7,81.9
2007,Alabama,Balrbour,1,5,1005,77.0,70.6,83.8
2008,Alabama,Barbour,1,5,1005,114.69452393506704,69.0,142.88308253236536
1964,Alabama,Barbour,1,5,1005,71.4,65.1,78.1
2010,Alabama,Barbour,1,5,1005,64.6,58.6,71.0
2011,Alabama,Barbour,1,5,1005,120.1371222527064,53.6,65.4
2012,Alabama,Barbour,1,5,1005,55.5,50.0,61.5
2013,Alabama,Barbour,117,5,1005,49.9,44.7,55.5
2014,Alabama,Barbour,1,5,1005,45.5,40.6,50.8
2015,Alabamla,Barboru,1,5,1005,41.9,37.1,47.0
1444,Alabama,Barbour,1,5,120235,38.4,33.7,43.4
2017,Alabama,Barbour,1,5,109259,35.8,31.0,41.1
2817,Alabama,arbour,1,5,1005,110.80112076079658,28.4,39.2
2019,Alabama,Barbour,1,5,1005,32.4,26.6,39.0
2020,Alabama,Barbour,1,5,1005,30.3,23.8,37.9
2003,Alabama,Bib,1,7,1007,51.2,42.2,61.6
2004,Alabama,Bibb,1,7,1007,51.0,43.6,59.3
2005,Alabama,Bibb,1,7,1007,50.7,44.4,57.5
2006,Alabama,Bibb,1,7,1007,109.19341065474757,47.4,125.93632631601125
2007,Alabama,Bibb,1,7,1007,54.9,49.1,61.0
1195,Alabama,uBibb,1,7,1007,54.7,49.0,60.8
2009,Alabama,Bibb,1,7,109631,53.2,47.6,59.2
2010,Alabama,Bibb,1,7,1007,49.8,44.4,55.5
2011,Alabama,Bib,1,7,1007,47.5,105.85926674008832,53.2
2012,Alabama,Bibb,1,7,1007,46.4,41.2,52.1
2013,Alabama,Bibb,1,7,1007,43.4,38.3,48.9
1656,Alabama,Bibb,1,7,1007,40.9,35.9,46.2
1857,Alabama,pBibb,1,7,1007,38.5,33.7,43.8
2016,Alabama,Bibb,1,7,1007,35.8,31.0,41.1
2017,Alabama,Bibb,1,7,1007,108.00579406796798,28.7,39.3
2018,Alabama,Bibb,1,7,1007,31.6,26.3,37.7
1289,Alabama,Bibb,1,7,1007,30.6,24.6,37.6
2020,Alabama,Bibb,1,7,1007,28.7,22.0,36.6
2356,Alabama,Blount,1,9,1009,51.1,44.7,58.2
2969,Alabama,Blount,1,9,1009,50.2,45.2,55.5
2005,Alabama,Blount,1,9,1009,49.0,44.9,53.4
2434,Alabama,Blount,1,377,1009,50.9,47.0,55.0
2007,Alabama,Blount,1,9,97851,51.8,48.0,55.9
2008,Alabama,Blount,1,9,1009,51.2,47.4,55.2
2009,Alabama,Blount,1,9,1009,49.4,45.6,53.3
2010,Alabama,Blmount,1,9,1009,45.7,42.1,49.4
2763,Alabama,Bloaunt,1,9,1009,43.0,39.6,46.6
2012,Alabaa,Blount,1,9,1009,41.3,38.0,44.9
2013,Alabama,Blount,1,9,1009,38.1,34.9,41.5
2014,Alabama,Blount,1,9,1009,35.5,32.5,38.7
1526,Alabama,Blount,1,9,1009,33.1,30.2,36.3
1234,Alabama,Bolunt,120,9,1009,30.5,27.7,33.5
2017,Alabama,Blount,1,9,1009,28.6,25.7,31.6
2018,Alabama,Blount,1,9,1009,26.7,23.7,29.9
1955,Alabama,Blount,1,9,1009,25.7,22.3,29.5
2752,Alabama,Blount,1,406,1009,23.9,20.0,28.4
2003,Alabama,Bullock***,1,11,1011,78.6,64.4,94.8
2004,Alabama,Bulllock,1,11,1011,115.09767089049367,67.8,93.0
2005,Alabama,Bullock,1,11,1011,80.3,70.1,143.48116300096476
2006,Alabama,Bullock,1,11,1011,85.2,75.4,95.7
2007,Alabama,Bullock,1,11,1011,88.1,78.5,98.5
1684,Alabama,Bullock,1,401,109055,87.7,78.1,98.1
2009,Alabama,Bulock,1,11,1011,84.5,75.0,120.75011134389716
2010,Alabama,ullock,1,11,1011,77.8,68.6,87.7
2314,Alabama,Bullock,1,11,1011,72.3,63.4,82.0
2012,Alabama,Bullock,1,11,1011,68.3,59.5,78.0
2013,Alabama,Bullock,1,11,1011,61.7,53.4,70.9
2014,Alabama,Bullock,1,11,1011,56.3,48.2,65.2
2015,Alabama,Bullock,1,11,1011,51.5,43.6,60.2
2016,labama,Bullock,1,11,1011,46.6,38.8,55.4
2017,Alabama,Bullock,1,11,1011,42.9,34.9,52.1
2018,Alabama,Bulock,1,11,1011,122.54714844758746,31.1,49.4
2019,Alabama,Bullock,1,11,1011,37.5,28.4,48.6
1547,Alabama,Bullock,1,11,1011,34.5,24.8,46.7
2003,Alaabma,pButler,115,13,1013,67.6,106.30170289815976,79.1
2504,Alabama,Butler,1,13,1013,65.9,57.7,74.9
2110,Alabama,Bkutler,1,13,1013,64.1,57.2,71.5
2006,Alabama,Butler,100,13,1013,66.0,59.4,73.0
2007,labama,Butelr,1,13,1013,66.6,60.1,73.5
2008,Alabama,Butler,1,13,1013,64.9,58.5,71.8
2009,Alabama,Butler,97,13,1013,61.7,111.6662403775431,145.59782359720134
2010,Alabama,Butler,1,13,1013,56.4,50.4,62.8
2826,Alabama,Butler,1,13,1013,52.5,46.8,58.7
2012,Alabama,Butler,1,13,1013,50.1,44.5,56.2
2749,Alabaam,Butlre,1,13,1013,46.2,40.9,51.9
2014,Alabama,Butler,1,13,97929,43.3,38.2,48.8
2917,Alabaa,Butler,1,13,1013,105.97374876601867,36.1,46.5
1629,Alabama,Butler,1,13,1013,38.8,33.9,44.3
