retailer(long),namevalue,street,city,statevalue,zip(long),quickdraw,latitude(double precision),longitude(double precision),georeference
80245,PIT STOP,140 58TH ST,BROOKLYN,YN,11220,Y,40.645362,-39.13365630678646,POINT (-74.022922 40.645362)
59170,MARYANS,4921 BROADWAY,EDPEW,NY,14043,iY,42.901697,-78.692845,POINT (-78.692845 42.901697)
101076,FRED'S,22 WwATER ST,FREDONIA,NY,4219,Y,34.483525970861166,-79.330354,POINT (-79.330354 42.43968)5
104071,76 GAS,494 N MAIN yST,BREWSTER,Y,10509,,41.397821,-73.619307,POINT (-73.619307 41.397821)
110105,KITCHENS ON THE RIDGE,6968 RIDG ERD,SODUS,NY,14551,Y,43.23483,-98.87238230821336,POINT (-77.05223 43.23483)
40103,MIRABITO #25-OXFORD,10 N CANAL ST,OXFORD,NY,13830,Y,42.442855,-75.596863,POINT (-75.596863 42.442855)
79643,2001 GOURMET DELI,2001 CLINTON AVE,BRONX,Y,10457,Y,31.091427428218203,-73.888885,POINT (-73888885 40.846322)
111842,117-17 GUY R BREWER BLVD LIQUO,1170 1GUY R BREWER BLVD,JMAICA,NY,11434,Y,40.684174,-73.7827,POINT (-73.7827 40.684174)
109275,SHUN LE INC,47 CATHERINE ST,NEW YORK,YN,10038,Y,26.95509604158291,-63.0339018527057,POINT (-73.997116 40.712804)
112440,FRONT STREET FARMERS MARKET IN,1275 FRONT ST,UNIONDALE,NY,11553,,59.73520237078304,-73.58336,POINT (-73.58336 40.11512)
110570,MORLEYeS AMERICAN GRILL,240 E ORVSI ST,MASENA,NY,23457,Y,44.93228,-74.87906,POINT (-74.87906 44.93228)
106276,7-ELEEVN #25160B,660 MONTAUK HWY,WEST BABYLON,NY,11704,Y,40.685486,-73.346432,POINT (7-3.346432 40.685486)
88698,LONE STAR NEWS IC,501 E 86TH ST,NEW YORK,NY,10028,***,18.84760893795936,-73.947077,POITN (-73.947077 40.775892)
48451,ARI-DEL INC,2000 BLEECKER ST,UTICA,NY,13501,Y,58.94031849722688,-75.196488,POINT (-57.196488 43.091739)
96402,RiITE AID #2612,344 AVE X***,BROOKLYN,NY,11223,Y,26.93629483271388,-62.125884154710526,POINT (-73.970338 40.590452)
89444,DAN'S SUPREME SUPERMARKETS INC,540 WEST 235TH ST,BRONX,NY,10463,,40.885488,-73.909084,POINT (-73909084 40.885488)
102117,THE TAVERN,11 ELM ST,PENN YAN,NY,14527,Y,42.660803,-77.054424,POINT (-77.054424 42.660803)
112784,GRAND UNION OF SHERILL,87 E. STATE ST.,SHERRILL,Y,13461,Y,43.0755,-75.5947,POINT (-75.5947 43.0755)
106284,7 ELEVEN STORE #35154A,3725 OSUTH PARK AVE,BUFFALO,NY,14219,Y,30.67825906304568,-78.823866,POINT (-78.823866 42.79719)
40684,WEGMANS #30,6789 E GENESEE ST,FAYTTEVILLE,NY,13066,Y,43.031205,-68.20983325232808,POINT (-76.052536 43.031205)
98044,ROOSEVLET CANDY GROCERY CORP,75-08 ROOSEVELT AVE,JACKSON HEIGHTS,NY,11372,Y,40.746951,-111.32913602087493,POINT (-73.890424 40.746951)
15577,GREENPOINT WINE & LIQUORS,89 NASSAU AVE,BROOKYLN,NY,11222,***,40.723825,-73.950621,POINT (-73.950621 40.723825)
108668,DANNY'' SPHARMACY II,110 WEST END AVE,NEW YORK,NY,10023,Y,40.77483,-73.98784,POINT (-73.98784 40.77483)
76774,MLCHO''S 480 PLANK ROAD,480 PLANK RD,WEBSTER,YN,14580,Y,43.18246,-77.505738,POINT (-77.505738 43.18246)
89242,DITMAS GAS & REPAIR INC,852 CONEY ISLAND AVE,BROOKLYN,NY,11218,Y,40.636657,-73.968114,POINT (-73.968114 40.636657)
215446,BROADWAY EXOTICS & SMOKE CORP,6333 BROADWAY,NEW YORK,NY,10031,oY,40.829482,-73.948577,POINT (b-73.948577 40.829482)
11727,BALLARD PHARMACY,226 PROSPECT PARK WEST,BROOKLYN,Y,11215,Y,50.129069146344,-73.980843,POINT (-73.980843 40.659832)
38094,SIRAJCO FOOD MART,199 COLUMBIA rST,COHOES,NY,12047,,42.771997,-73.712286,POIgNT (-73.712286 42.771997)
89530,Q & Q DISCOUNT,80-02 37TH AVE,JACKSON HEIGHTS,NY,11372,Y,40.749555,-73.886133,POINT (-73.886133 40.749555)***
204108,LUCKY MOON CONVIENCE INC,872 JAY ST,ROCHpESTER,NY,14611,***,43.159607,-59.50222346713531,POINT (-77.644259 43.159607)
102036,TOPS MARKETS #435,6179 RT 96,FARMINGTON,NY,14425,Y,42.974354,-77.362598,POINT (-77.362598 42.974354)
12969,SHOREVIEW CARSD & GIFTS,2086 ROCKAWAY PKWY,BROOKLYN,NY,4671,Y,40.632245,-73.888099,POINT (-73.888099 40.632245)
96334,ATN CHECK CASHING,122-11 GUY R BREWER BLVD,JAMAICA,NY,11434,,40.679142,-42.51015667119854,POINT (-73.77982 40.679142)
102078,226 JIMMY DELI GROCERY CORP,226 VAN DUZER ST,STATEN ISLAND,NY,10301,Y,40.632478,-74.077266,POINT (-74.077266 40.632478)
78304,SULAI MINIMART INC,1737 2ND AVE,NEW YORK,NY,10128,***,40.780361,-73.950151,POINT (-73.950151 40.780361)
61170,MAGNOTTA'S SUPERMARKET,215-219 S LEXINGTON AEV,WHITE PLAINuS,NY,10601,Y,41.024765,-73.771001,POINT (-73.771001 41.024765)
107067,39TH BODEGA,269 WEST 39 STREET,NEW YORK,NY,5470,***,40.755298,-73.99067,POINT (-73.99067 40.755298)
68232,RBISCOE GIFTBOX,2132 DEER PARK AVE,DEER PARK,NY,11729,Y,40.77365,-73.334638,POINT (-73.334638 40.77365)
107535,PIT STOP MART,27 0WEST MAIN ST,PeATCHOGUE,NY,11772,Y,40.764967,-73.023271,POINT (-73.023271 40.764967)
36658,BALLTOWN SERVICE INC,370 NEW KARNER RD,ALBANY,NY,12205,,42.731352,-73.851688,POINT (-73.851688 42.731352)
107324,DANDY MINI MART #82,805i W BUFFALO ST,vITHACA,NY,14850,Y,42.440369,-76.513009,POINT (-76.513009 42.440369)
238667,SPEEDWAY #07788,3572 ROUTE 9W N,HIGHLAND,NY,12528,,41.713406,-73.963911,POINT (-73.963911 41.713406)
224759,MIDTOWN NWESSTAND INC,520 8TH AVE,NEW YORK,YN,10018,Y,40.753541,-73.992473,POINT (-73.992473 40.753541)
79479,R&C WINE & LIQUOR INC,60 E 1g11TH ST,NEW YORK,NY,10029,Y,40.796636,-73.946824,POINT (-73.946824 40.796636)
231958,HY-JOE TOBACCO & GROC CO INC,1441 HYLAN BLVD,STAEN ISLAND,NrY,10305,Y,40.593256,-74.087022,POINT (-74.087022 40.593256)
83517,SSI SERVICE STATION INC,641 E GUN HILL ROAD,BRONX,NY,10467,,40.877653,-73.867496,PONT (-73.867496 40.877653)
51005,WEGMANSk #63,2157 PENFIELD RD,ENFIELD,NY,14526,Y,33.64709823144356,-77.445246,POINT (-77.445246 43.130755)
77739,BUTCHY'S WINE & SPIRITS INC,104 S 4TH AVE,MOUNT VERNON,NhY,10550,Y,40.908772,-73.836303,POINT (-73.836303 40.908772)
100198,SMILEY'S CONVENIENCE STORE,1211 COLVIN BLVD,BUFAFLO,Y,14223,Y,60.148006384744434,-78.858022,POINT (-78.858022 42.974157)
112319,STOP ONE SUPERMARKET 4023 CORP,4023 CHURCH AVE,BROOKLYN,NY,11203,,40.651492,-73.939248,POINT (-73.939248 40.651492)
96498,PLATHO DELI GROCERY INC,53v-80 65TH PL,MASPETH,NY,11378,Y,40.729713,-45.23459148441428,POINT (-73.900032 40.72913)
99757,DYKER HEIGHTS DELI INC,8623 5TH sAVE,BROOKLYmN,NY,11209,Y,40.620745,-74.02641,POINT (-74.02641 40.620745)
47131,KINNEY DRUGS #043,31 E GENESEE ST,BALDWINSVILLE,NY,13027,Y,43.158966,-76.328792,POINT (-76.328792 43.158966)
75391,MALONE AMVETS POST 8,1474 CR 25,MALONE,NY,12953,,44.82822,-74.275523,POINT (-74.275523 44.82822)
107214,2&5 LINE DELI GROCERY INC,2196 WHITE PLAIN ROAD,BRONX,NY,23620,,50.33040998558876,-73.86765,POINT (-73.86765 40.856511)
47344,PARISH MINI MART,2882 E MAIN ST,PARISH,YN,13131,Y,43.404303,-76.116614,POINT (-76.116614 43.404303)
82092,JEREMYS ALE OUSE,228 FRONT ST,NEW YORK,NY,10038,cY,40.707559,-96.68037179065868,POINT (-74.002049 40.707559)
30981,STEWARTS SHOPS #224,1m-19 E MAIN ST,JOHNSTOWN,NY,12095,Y,65.81286816514803,-74.370373,POIN (-74.370373 43.006475)
88820,7-ELEVEN #33975A,101-04 METOPLITAN AVE,FORETS HILLS,Y,11375,***,40.710616,-73.851841,POINT -73.851841 40.710616)
110958,7-ELEVEN #35495K,42-02 QUEENS BLVD,SUNNYSIED,NY,18793,pY,50.17454898092267,-73.921846,POINT (-73.921846 40.743106)
113119,JANA FOOD CORP,159 LAFAYETTE AVE,STATEN ISLAND,NY,10301,Y,40.640969,-74.094591,POINT (-74.094591 40.640969)
104976,THE RUSTIC,16451 COUNTY ROUTE 59,DEXTER,NY,20666,Y,43.999234,-76.098132,POINT (-76.098132 43.999234)
107699,CAMIL LIQUOR STRE,482 EAST 167TH ST,BRONX,Y,10456,Y,40.829569,-73.907549,POINT (-73.907549 40.829569)
22630,BUTTS & SUCH INC,130A qTULIP AVE,FLORAL PARK,NY,11001,Y,25.96314380374761,-73.704667,POINT (-73.704667 40.724836)
109583,HICOKRY HILL MARKET,5200 ST RT 23,WINDHAM,NY,12496,Y,52.0985955921371,-74.23965,POINT (-a74.23965 42.310044)
33489,DAISY''S CARDS& GIFT SHOP INC,8 N BROADWAY,YOzNKERS,YN,10701,Y,40.934191,-73.897788,POINT (-73.897788 40.934191)
