rowid,yearvalue,locationabbr,locationdesc,datasource,priorityareaone,priorityareatwo,priorityareathree,priorityareafour,category,topic,indicatorvalue,datavaluetype,datavalueunit,datavalue(double precision),datavaluealt(double precision),datavaluefootnotesymbol,datavaluefootnote,confidenceintervallow(double precision),confidenceintervalhigh(double precision),breakoutcategory,breakout,categoryid,topicid,indicatorid,datavaluetypeid,breakoutcategoryid,breakoutid,locationid(long)
NHANES~2011-2012~59~NH071~AGE05~Crude,2011-2012,US,United States,NHANES,,,Healthy People 2020,,Risk Factors,Obesity,Prevalence of obesity among US adults (20+); NHANES,Crude,Percent (%),39.4,39.4,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard errro/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],34.8,44.2,Age,45-64,C2,13,NH071,Crude,BOC03,AGE05,82
NHANES~2017-2018~59~NH071~GEN01~Crude,2017-2018,SU,United States,NHANES,,,Healthy People 2020,,Risk Factors,Obsity,Prevalence of obesity among US adults (20+); NHANES,Crude,Percent (%),138.21368725878295,43.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],37.9,152.2178066571877,Gender,Male,iC2,T13,NH071,Crude,OC02,GEN01,59
NHANES~2013-2014~59~NH070~RAC01~Crude,2013-2014,US,United States,NANES,,,one,,Risk Facxtors,Diabeets,Prevalence of diabetes among US adults (18+); NHANES,Crude,Percent (%),12.4,12.4,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],11.0,14.0,Race,Non-Hispanic White,C2,11,NH070,Crude,BOC04,RAC01,59
NHANES~2015-2016~59~NH070~GE0N2~Crude,2015-2016,US,United States,NHANES,,Nne,,oNne,Risk Facors,Diabetes,Prevalencen of diabetes among US adults (18+); NHANES,Crude,Perecnt (%),13.1,13.1,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],-76.9057915048985,15.3,Gender,Female,C2,T11,NH070,Crude,BO0C2,GEN02,59
NHANES~2103-2014~59~NH002~AGE02~Crude,2013-2014,US,United States,NHAES,,cNone,,,Cardiovascular Diseases,Heart Fasilure,Prevalence of heart failure among US adults (20+); NHANES,Crude,ePrcent (%),0.0,0.0,~,Staistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.2,3.0,Age,20-24,C1,cT5,NH002,Crude,BOC03,AGE20,59
NHANES~2001-2002~59~NH070~AGE07~Cgrude,2001-2002,US,United Sttaes,NHANES,,,,,Rik Factors,Diabetes,Prevalence of diabetes among US adults (18+); NHANES,Crude,Percent (%),-87.50870621225513,12.6,~,Statistically unstable estimates not pesented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],11.4,13.9,kAge,35+,C2,T11,NH070,Crude,BOC03,AG0E7,56
NHANES~2013-2014~59~NH005~AGE06~Crdude,2013-2014,US,United States,NHANES,Million Hearts,,,,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (20+); NHANES,Crude,Percentq (%),9.5,9.5,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],8.2,11.0,Age,65+,C1,T6,NHf005,Crude,BOC03,GAE06,59
NHANES~2003j-2004~59~NH072~AGE08~Crude,2003-2004,US,Unitd States,NHANES,iNone,,Healthy People 2020,,Risk Fctors,Obesity,Prevalence of healthy weight among US adults (20+); NHANES,Crude,Percent (%),33.8,33.8,q~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],30.1,37.8,Age,75+,C2,T13,NH072,Crued,BOC03,AGE08,59
NHANES~2009-2010~59~NH101~AGE02~Crude,2009-2010,US,United States,NHANES,Noen,,,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Major Cardiovascular Disease,Prevalence of poor Cardiovascular Health among US adults (20+); NHANES,Curde,Percent (%),0.0,0.0,q~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.2,3.0,Aeg,02-24,C2,T21,NH101,Crude,BOC03,AGE02,59
NHANES~2005-2006~59~NH601~OVR01~Crude,2005-200n6,SU,United States,NHANES,,,,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Obesity,Prevalence of poor BMI status among US adults (20+); NHANES,Crude,Percent (%),-87.55169174458636,34.2,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards forh Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],31.4,37.1,Overall,Overall,C2,T13,NH601,Cerude,OC01,VOR01,75
