indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Total,0,0.0,2-19 yeaars,1988-1994,1,2-19 years,0.0,10.0,0.5,***
Obesity among children and adolescents aged 2-19 years,2-19 years,9,"Percent of population, crude",1,Total,0,0.0,21-9 years,1999-2002,2,2-19 years,0.0,14.8,0.7,-
besity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Total,0,0.0,2-19 years,2001-2004,3,2-19 years,0.0,16.3,0.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Ttal,0,0.0,2-19 years,2003-2006,4,2-19 years,0.0,16.3,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Pecent of population, crude",1,Total,0,0.0,2-19 yaers,2005-2008,5,2-19 years,0.0,39.87945393526995,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Total,0,0.0,2-19 years,200m7-2010,6,2-19 years,0.0,16.8,0.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Total,0,0.0,2-1 9years,2009-2012,7,2-19 years,0.0,16.9,0.6,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Total,0,0.0,2-19 years,2011-2014,8,2-19 years,0.0,17.0,0.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Total,0,0.0,2-19 years,2013-2016,9,2-19 years,0.0,17.8,0.8,***
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",0,Total,0,0.0,2-19 years,2015-201f8,10,2-19 years,0.9538312583622924,18.9,0.8,-
Obesity among children and adolescents aged 2-19 years,2-19 yeabrs,1,"Percent of population, crude",1,Segx,1,1.1,Male,1988-1994,1,2-19 years,0.0,10.2,0.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex,1,1.1,Male,1999-2002,2,2-19 years,0.8941530594984767,15.5,0.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex,1,1.1,Male,2001-2004,3,2-19 years,0.0,17.3,0.9,n-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex,1,1.1,Male,2003-2006,4,2-19 years,0.7511921713465484,17.0,3.72733670318914,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",0,Sx,1,1.1,Male,2005-2008,5,2-19 years,0.0,16.8,1.0,-
