rxdevice(long),fileid(long),txdevice(long),starttime(long),endtime(long),valuevalue(long)
1127,194291,-9681,276241476160264,276241776060440,255
2911,17513,-18420,276462576171083,276462876090536,349
1128,17513,-81202,276464976140637,276465276072572,255
1128,17517,24780,276638076105560,276638376038216,255
1128,17537,2516,277317876180932,277318176081460,255
1128,17545,-7515,277590876184139,277591176084261,255
5469,17557,4032,277840476121047,178401631303472,255
1128,17557,24917,277840176120980,219320177649255,255
4139,17569,-27833,278023776155386,278024076055098,255
1128,17569,-26863,214897888374076,355991949555229,255
1128,17571,-93995,278110776133500,278111076033409,255
3591,17572,-29694,249787776624449,278163876072903,255
1133,52435,-30004,318123523315953,277082976004901,154
8675,52484,4008,278025576142527,278025876041974,264
1138,5084,-28877,276175476117401,276175776049107,255
8219,5087,12349,276208176167440,276208476082796,255
1138,5087,32761,276207576167750,276207876067719,255
1138,5089,-24468,276261876188769,276262176089047,255
1138,5109,-92294,276522576124107,276522876024026,153
1138,5109,-88015,276523176123894,276523476024709,255
1138,5115,29870,276634176145561,276634476045573,255
5008,195556,-2148,276262176189054,346827281136865,164
4536,195580,20657,276551676192496,276551976092620,255
1140,5466,-9609,276471876167402,331992129709907,201
291,24842,9882,276905076189763,276905376089894,255
291,24863,6613,277475976171669,277476276071822,255
291,24871,-18655,277762176155104,277762476055040,317
7522,24871,-8109,277762776154921,342589146046233,255
2497,285305,-82869,278208866039417,278209165916220,255
2497,285308,13838,278350766035008,278351065910906,255
3271,288703,86777,245146695043257,407530947199361,255
3271,288735,-31547,277569866041657,277570165917889,255
3271,288746,-241,277756166060666,277756465937451,255
1064,866339,6691,183165107393969,328720514346600,255
1111,68628,-17741,276473676139252,364814517944505,294
1111,68629,-18701,276481176176773,276481476076837,255
1111,68691,-16618,277932876172438,277933176003946,201
1111,68721,-21321,278545176161881,278545476062143,255
1112,53964,-23055,276174576121177,276174876021024,255
3279,53973,-8253,276372876132897,276373176032673,255
1112,54002,7099,276952476111087,276952776058713,255
1112,54008,31184,277080876148941,277081176049172,255
8724,54034,383,277384176105023,277384476004952,255
1112,54058,-15847,277988376140422,277988676040638,255
1112,54076,19176,278247876158889,278248176017012,255
1112,54080,-9801,247635959421181,278282976068795,255
9683,15457,-11052,276725676183646,276725976083488,255
1115,15880,-26707,276557676162540,276557976062531,255
1115,15893,-21328,405078180621501,276741276074118,255
1117,190947,-80859,278734166140214,278734466016573,255
6037,296407,-16027,276712766076197,276713065952828,255
6042,296553,21939,276350666038219,212285298802149,255
6042,296605,25682,377657420733980,276982765950421,255
4169,585506,7460,255686698027629,277504765976272,255
6048,585533,-18343,278283266066061,278283565942647,255
6048,585545,-20959,278687666089805,171425209683762,255
6048,585545,94568,278688566089785,278688865966193,168
6060,1132567,21648,277501466127529,277501766015739,255
4162,1132598,-7660,278244866118597,280795986285137,255
6064,297877,-17338,252060195264874,276467365991168,192
6303,309768,78847,353056279760941,276193165932172,255
6303,309789,27003,276790166084715,276790465961204,255
6303,309797,-18979,317774224500534,276877166001148,255
6303,309808,20030,277317566101572,277317865978100,255
6303,309824,28269,277767566131559,277767866008175,255
7222,312168,27877,276620366051611,276620665927897,255
6362,312242,-8950,276554066047629,276554365924083,255
6362,312255,18915,276651266098834,211879528757924,255
6362,312268,-1299,185583108833657,276803665911404,255
10165,312288,-553,277559666126390,277559966003092,255
5397,312314,-17324,164457030712006,228716721639479,255
6363,312346,26304,277252166033516,346142640377683,351
7374,312396,-19408,278174066034492,278174365911273,255
5205,1103070,24961,277236866043115,277237165919842,255
8716,1240288,5486,276222266127454,276222566003672,255
6365,1240313,-8081,276553466075487,276553765952197,255
6365,1240348,-18861,277083566113852,277083865990071,255
7910,1240373,19317,277478666046843,277478965923517,255
6365,1240441,-17657,278198666079701,278198965956277,255
6365,1240442,21568,301576067051066,278200765993798,142
6365,1240476,-20722,363168356859055,278462665933398,255
6367,312456,-22641,276174266080353,168410931135439,255
6367,312465,-31012,276353066116613,231671275301137,255
6367,312533,29256,278594366112317,278594665988657,255
6367,312537,5623,278679866103534,278680165980262,255
6367,312540,-25211,147016349978146,278718865941493,182
