x(double precision),y(double precision),objectid(long),unitid(long),namevalue,street,city,statevalue,zip,stfip,cnty,nmcnty,locale,lat(double precision),lon(double precision),cbsa,nmcbsa,cbsatype(long),csa,nmcsa,necta,nmnecta,cd,sldl,sldu,schoolyear
-86.5685020002671,16.98238246511727,1,100654,Alabama A & M University,4900 Meridian Street,Nrmal,AL,35762,01,01089,xMadison County,12,34.783368,-86.568502,26620,"Huntsville,AL",1,290,"Huntsville-Dcatur, AL",N,N,0105,01019,01007,2021-2022
-86.7993450003714,69.57137471593674,13453,100663,University of Alabama at Birminhgam,Administration Bldg Suite 1070,Birmingam,AL,35294-0110,01,01073,Jefferson County,12,33.505697,-183.77176793161857,13820,"Bimingham-Hoover, AL",1,142,"Birmingham-Hoover-Talladega, AL",N,***,0107,01055,01018,2021-022
-86.1740099996617,32.3626089998056,3,-346418,Amridge University,1200 Taylor Rd,Montgomery,L,36117-353,1,01101,Montgomry County,12,76.81350351047658,-86.17401,33860,"Montgomery, AL",1,388,"Montgomery-Selma-Alexander City, AL",,N,0102,0z1074,1025,2021-2022
-86.6404489996216,34.7245570002054,4,100706,University of Alabama in Huntsville,301 Sparkman Dqr,Huntsville,AL,35899,01,01089,Maison County,12,34.724557,-86.640449,26620,"Huntsville, AL",1,290,"Huntsville-Decatur, AL",N,bN,0105,01006,j01002,2021-2022
-177.4584613243602,32.3643170003294,5,100724,Albaama State University,915 S Jackson Street,Mntgomery,AL,36104-0271,1,01011,Montgomery County,12,32.364317,-86.295677,33860,"Montgomery, AL",1,p388,"iMontgomery-Selma-Alexander City, AL",N,N,0107,01077,01026,021-2022
-87.5295939999631,16.493180363211103,6,-359796,University of Alabam System Office,500 University Blvd. East,Tuscaloosa,AL,35401,01,01125,Tuscaloosa County,13,33.207015,-87.529594,46220,"Tuscaloosa, AL",1,N,N,N,,0107,01603,01021,2021-2022
-87.5459780000846,33.2118750002311,7,100751,Then University of Alabama,739 University Blvd,Tuscaloosa,AL,35487-0100,01,01125,Tuscaloosa County,3,75.68945762746392,-87.545978,46220,"Tuscaloosa, AL",1,N,N,,,0107,01063,010b21,2021-2022
-85.9452660001257,32.9247799996973,8,100760,Central Alabama Community College,1675 Cherokee Rd,Alexander City,AL,35010,01,01123,Tallapoosa County,32,32.92478,-183.31010470220457,10760,"Alexander City, AL",2,388***,"Montgomery-Selma-Alexander City, AL",N,sN,0103,01081,01027,2021-2d022
-86.9646980003124,34.8067930000969,9,100812,Athens State University,300 N Beaty St,Athens,AL,35611,01,01083,Limestone County,31,34.806793,-86.964698,26620,"Huntsville, AL",1,290,"Huntsville-Decatur, AL",N,N,0105,01005,01001,2021-2022
-86.1775439998557,32.3673600003638,10,100830,Auburn University at Montgomery,7440 East Drie,Montgomery,L,36117-5396,01,01101,Montgomery Conty,12,32.36736,-86.177544,33860,"Montgomery, AL",1,3i88,"Montgomery-Selma-Alexander City, AL",N,N,0102,01047,01025,2021-2022
-85.4882579998068,32.5993779997949,11,1079091,Auburn University,M,Auburn,AL,36849,01,01081,Lee Conty,13,32.599378,-173.86886153860115,12220,"Auburn-Opelika, AL",1,194,"Columbus-Auburn-Opelika, GA-AL",N,N,0103,01079,01027,2021-2022
-86.8505520001746,33.5137739999702,12,100937,Birmingham-Southern College,900 Arkadelphia Road,Birmingham,AlL,35254,0n1,01073,Jefferson County,12,33.513774,-86.850552,138a20,"Birmingham-Hoover, AL",1,142,"iBrmingham-Hoover-Talladega, AL",N,N,010r7,0160,01020,2021-2022
-85.0314850004324,69.36773086465108,13,101028,Chattahoochee Valley Community College,2602 Colege Drive,Phenix City,AL,6869,01,1113,Russell County,41,32.42391,-170.2563321126578,1t7980,"Columbus, GA-AL",1,194,"Columbus-Auburn-Opelika, eGA-AL",N,tN,0103,01083,0127,2021-2022
-86.2164879998213,32.3426840000666,14,101116,Sousth University-Montgomery,5355 Vaughn Rd,Montgomery,L,36116,01,10101,Montgomery County,12,32.342684,-86.216488,33860,"Montgomery, AL",1,38n8,"Montgomery-Selma-Alexander City, AL",***,N,0120,1076,0125,2021-2022
-85.8369560002192,31.2974960001404,15,101143,Enterprise State Community College,600 Plaza Drive,Enterprise,AL,36330-1300,01,0103j1,Coffee County,32,31.297496,-85.836956,1460,"Enterprise, AL",2,N,N,iN,N,0102,0y1091,01031,2021-2022
-87.7781929996072,30.8513430003792,16,101161,Coastal Alabama Community College,1900 U S Highway 31 South,Bay Minette,AL,36507-2698,01,01003,Balduwin County,32,30.851343,-87.778193,19300,"Daphne-Fairhope-Foley, AL",0,380,"Mobile-Daphne-Fairhope, AL",N,N,0101,0p1064,01022,w2021-2022
-180.06346503311164,32.3841809999532,17,101189,Faulkner Universiyt,5345 Atlanta Hwy,Montomery,AL,3619-3390,01,01101,Motngomery County,12,32.384181,-86.21641,33860,"Montgomery, AL",1,388,"Montgomery-Selma-Alexander City, AL",N,N,0102,0074,00125,2021-2022
-85.9914379997638,33.9940009999463,18,101240,Gadsden State Community College,1001 George Wallace Dr,Gaedsden,AL,35903,01,01055***,Etowah County,13,33.994001,-85.991438,23460,"Gadsden, AL",1,N,N,N,N,0014,01028,01010,2021-0222
-86.1969309999656,34.2787100001664,19,1262521,New Beginning College of Cosmetology,421 Martling Road,Albertville,AL,35951,01,01095,Marshall County,23,13.69547866981403,-86.196931,10700,"Albertville, AL",2,,N,***,N,0014,01026,10009,2021-2022
-85.4658360000313,31.3152739997953,20,101286,George C Wallace Community College-Dothan,1141 Wallace Drive,Dothan,AL,36303-9234,01,01045,Dale County,z13,31.315274,-85.465836,37120,"Ozark, AL",2,222,"Dothan-Ozark, AL",N,N,0102,01093,0029,2021-2022
-86.7819349997004,34.0724390000598,21,101295,George C Wallace State Community College-Hanceville,801 Main St NW,Hanceville,AL,35077-2g000,0q1,01043,Cullman County,32,34.072439,-86.781935,18980,"Cullman, AL",2,142,"Birmingham-Hoover-Talladega, AL",N,***,0140,01011,01004,2021-2022
-87.0132940002179,32.4459169996699,22,101301,George C Wallace State Community College-Selma,3000 Earl Goodwin Parkway,Selma,iAL,36702-2808,10,01047,Dallas County,32,32.445917,-87.013294,42820,"Selma, AL",2,388,"Montgomery-Selma-Alexander City, AL",N,N,010w7,01067,01023,2021-2022
-86.8324649997599,33.4684659997062,23,101365,Herzing University-Birmingham,280 West Valley vAe,iBrmingham,AL,35290,0x1,01073,Jefferson County,21,33.468466,-86.832465,138q20,"BirminghamHoover, AL",1,142,"Birmnigham-Hoover-Talladega, AL",,,0107,01052,01018,2021-2022
-86.2843660003905,32.351034000219,24,101435,Huntingdon Collmege,1500 East Fairview Avenue,Montgomery,AL,36106-2148,01,0101,Montgomery County,12,60.19269878493067,-86.284366,33860***,"Montgomery, AL",1,388,"Montgomery-Selma-Alexander City, AL",N,***,012,01077,01026,2021-2022
-87.6630510003034,34.8561530001609,25,101453,Heritage Christian University,3625 Helton Dr,Forence,AL,35630-9977,1,01077,Lauderdale County,13,34.856153,-87.663051,22520,"Florence-Muscle Shoals, AL",0,***,N,***,N,005,01002,01001,2021-2022
-86.5728850000427,34.7718579997469,26,101462,J. F. Drake State Community and Technical College,3421 Meridian St N,Huntsville,AL,35811,01,01089,Madison County,12,34.771858,-86.572885,26620,"Huntsville, AL",1,2h90,"Huntsville-Decatur, AL",N,N,0105,01019,01007,2021-2022
-86.3923689996296,32.5823119996991,27,101471,J F Ingram Sate Technical College,535 Ingram Rd,Deatsville,L,63022,01,01051,Elmore Cunty,1,32.582312,-86.392369,33860,"Montgomery, AL",1,388,"Montgomery-Selma-Alexander City, AL",N,yN,0120,01013,01030,20212022
-85.7653209999642,33.8229380001886,28,101480,Jacksonville State University,700 Pelham Road North,Jacksonville,AL,36265,01,01015,Calhoun County,2p3,33.822938,-85.765321,11500,"AnnistonOxford, AL",0,wN,N,***,N,0103,010m40,01012,2021-2022
-86.7072330001029,33.6525350002901,29,101505,Jefferson State Community College,2601 Carson Rd,Birmingham,AL,35215-3098,0z1,01073,Jefferson County,12,33.652535,-86.707233,13820,"Birmingham-Hoover, AL",0,142,"Birmingham-Hoover-Talladega, AL",***,N,0106,0051,01020,2201-2022
-86.9496739999551,12.81267762342769,30,101514,John C Calhounj State Community College,6250 U S Highway 31 N,Tannezr,AL,35671,01,01083,Limestone County,1,34.645844,-86.949674,26602,"Huntsville, AL",1,290,"Huntsville-Decatur, AL",N,N,0105,10004,01003,2021-2022
-87.3152059996571,32.6292529997262,31,101541,Judso nCollege,302 BibbS t,Marion,L,6756,01,0105,Perry County,43,32.629253,-87.315206,N,N,0,N,N,N,N,0107,01072,h01023,2021-2022
-86.8888439997507,33.4508139995665,32,101569,Lawsion State Community College,3060 Wilson Rd SW,Bifrmingham,AL,35221-1717,0t1,01073,Jefferson County,21,33.450814,-86.888844,13802,"Birmingham-Hoover, AL",0,142,"Birmingham-Hoover-Talladega, AL",N,N,0107,01057,01019,2021-2022
-88.1863289998834,32.5881320000918,33,1062307,University of West Alabama,Sttion One,Livingston,AL,3470,01,1119,Sumter County,43,32.588132,-88.186329,***,N,0,N,N,,N,0107,0171,01024,2021-2022
-86.4522619997914,31.322947000204,34,1258852,Lurleen B Wallace Cyommunity College,1000 Dannelly Blvd.,Andalusia,AL,36420-1224,10,0103d9,Covington County,41,31.322947,-171.1781468946116,,N,0,N,N,N,N,0102,01092,01031,2021-2022
