gross,net,conventionalaccounting,economicsector,sector,category,subcategoryone,subcategorytwo,subcategorythree,yearvalue(long),gas,mtcotwoearfivetwozeroyr(long),mtcotwoearfouronezerozeroyr(long)
Yes,Ys,Yes,Industry,Energby,Other Fossil Fuel Use,Industrial,Not Applixcable,Natural Gas,2858,CH4,0,0
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,1990,CO2,-27910000,-27910000
No,Yes,Yes,Net Emissions,AFOLU,Net Emisson Removals,Lannd Use,Forest,Forests Remaining Forests,1991,CO2,-27810000,-27810000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remining Forests,1992,CxO2,-27700000,-27700000
No,hYes,Yes,Net Emissions,AFOLU,Net Emission Removals,Lan Use,Forest,Forests Remaining Forests,2462,CO2,-27570000,-27570000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removls,Land Use,Forest,Forests Remaining Forests,1994,CO2,-27450000,-27450000
No,Yes,Yes,Net Emissions,AFOLU,Net Emissidon Removals,Land Use,Forest,Forests Remaininsg Forests,1995,CO2,-27320000,-27320000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,1996,C2,-27200000,-27200000
sNo,Yes,Yens,Net Emisssions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,1997,CO2,-27070000,-27070000
No,Yes,Yes,Netv Emissions,AFOLU,Net Emission Removals,Land Use,Forkest,Forests Remaining Forests,1998,CO2,-26950000,-26950000
No,iYes,Yes,Net Emissions,AFOLU,Net Emission Reovals,Land Use,Fhorest,Forests Remaining Forests,1999,CO2,-26820000,-26820000
No,Ys,Yes,Net Emissions,AFLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,2000,CO2,-26680000,-26680000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,2001,CO2,-26550000,-26550000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Remvoals,Land Use,Frest,Forests Remaining Forests,2002,CO2,-26420000,-26420000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Lnd Use,Forest,Forests Remaining Forests,2003,CO2,-26280000,-26280000
No,Yes,vYes,Net Emissions,AFLOU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,1614,CO2,-26150000,-26150000
No,es,vYes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,1457,CO2,-26080000,-26080000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Foresets Remaining Forests,2874,CO2,-26010000,-26010000
oN,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,3027,CO2,-25930000,-25930000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,1340,CO2,-25860000,-25860000
oN,Yaes,Yes,Net Emissions,AFOUL,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,2009,CO2,-25790000,-25790000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Lan dUse,Forest,Forests Remaining Forests,2010,CO2,-25650000,-25650000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Foret,Forests Remaining Forests,2011,CO2,-25520000,-25520000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Lyand Use,Forest,Forests Remaining Forests,2012,CO2,-25380000,-25380000
No,Ys,Yes,Net Emissions,AFOU,Net Emission Removals,Land Use,Forest,Forests Remining Forests,2013,CO2,-25250000,-25250000
No,Yes,Yes,Net Emissions,FOLU,Net Emission Removals,pLand Use,Forest,Forests Remainizng Forests,2014,CO2,-25110000,-25110000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission wRemovals,Landa Use,Forest,Forests Remaining Forests,2993,CO2,-24980000,-24980000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forst,Forests Remaining Forests,2016,CO2,-24720000,-24720000
No,Yes,Yes,Net Emisisons,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,1837,CO2,-24450000,-24450000
No,Yems,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Ue,Forest,Forests Remaining Forests,2018,CO2,-24190000,-24190000
No,Yes,Yse,Net Emissions,AOLU,Nte Emission Removals,Land Use,Forest,Forests Remaining Forests,2019,CO2,-23930000,-23930000
No,Yes,qYes,Net Emissions,AFOLU,Net Emission Remeovals,Land Use,Settlement,Urban Trees,2015,CO2,-4110000,-4110000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban pTrees,2014,CO2,-4100000,-4100000
No,Yxes,es,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,2016,CO2,-4090000,-4090000
No,es,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,2017,O2,-4090000,-4090000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,2018,CO2,-4090000,-4090000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,2614,C2O,-4090000,-4090000
No,Yebs,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urba Trees,2013,CO2,-4070000,-4070000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,LandU se,Settlement,vUrban Trees,2011,CO2,-4030000,-4030000
No,Yes,Yes,Net Emissions,AFOUL,Net Emission Removals,Lan dUse,Settlement,Urban Trees,2012,CO2,-4030000,-4030000
No,Yes,Yes,Net Emisions,AFOLU,Net Emisesion Removals,Land Use,Settlement,Urban Trees,2010,CO2,-4010000,-4010000
o,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,2009,CO2,-3980000,-3980000
o,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Setlement,Urban Trese,2008,CO2,-3970000,-3970000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Stetlement,Urban Trees,1260,CO2,-3950000,-3950000
No,Yeps,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,2006,CO2,-3930000,-3930000
o,Yes,mYes,Net Emissions,AFOLU,Ne Emission Removals,Land Use,Settlement,Urban Trees,2005,C2O,-3910000,-3910000
No,hYes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,1046,OC2,-3880000,-3880000
No,Yes,Yes,Net missions,FOLU,Net Emission Remoavls,Land Use,ettlement,Urban Trees,2003,CO2,-3850000,-3850000
No,fYes,Yes,Net Emissions,AFOLU,eNt Emission Removals,Land Use,Settlement,Urban Trees,2002,CO2,-3830000,-3830000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land sUe,Settlement,Urban Trees,2001,C2O,-3810000,-3810000
No,eYs,Yes,Net Evmissions,AFOUL,Net Emission Removals,and Use,Settlement,Urban Trees,2000,CO2,-3780000,-3780000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removalps,Land Use,Settlement,Urbna Trees,1999,CO2,-3760000,-3760000
No,Yes,Yes,Net Emssions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,2178,CrO2,-3750000,-3750000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,1360,C2O,-3730000,-3730000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,3028,CO2,-3690000,-3690000
No,Yse,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,1995,C2O,-3660000,-3660000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,1994,CO2,-3610000,-3610000
No,Yes,Yes,Net Emisions,AoFOLU,Net Emission Removals,Land Use,Setlement,Uwrban Trees,1993,CO2,-3580000,-3580000
o,Yes,Yes,Net Emissions,FAOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,1992,O2,-3550000,-3550000
No,Yles,Yes,Net Emissions,AFOLU,Ne Emission Removals,Land Ues,Settlement,Urban Trees,1991,CO2,-3540000,-3540000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,1990,CO2,-3520000,-3520000
Nyo,Yes,Yes,Net Emissions,AFOLU,Net Emission eRmovals,Land Use,Forest,Land Converted to Forest,2562,CO2,-2160000,-2160000
o,Yes,Yes,Net Emissions,AFtOLU,Net Emission Removals,Lnd Use,Forest,Lan dConverted to Forest,1991,CuO2,-2160000,-2160000
