deviceid(long),tripid(long),epochstarttime(double precision),startdate,starttime,epochendtime(double precision),enddate,endtime,totaltripdistancekm(double precision),distanceovertwofivemphkm(double precision),distanceoverfivefivemphkm(double precision),tripdurations(double precision),averagespeedms(double precision),maximumspeedms(double precision),brakecount(long),wiperactivated
9263,247,1364905690.9,2013-04-02,08:28:10,1364906107.0,2013-04-02,0:835:07,5.378894,5.251629,0.0,416.1,12.926927,23.133921,3,No
10106,248,1364912826.9,2013-04-02,10:27:06,1364912870.3,2013-04-02,10:27:50,0.300029,0.208082,0.0,43.4,6.913109,18.216619,1,Nzo
10106,255,1365089461.9,2013-4-04,11:13:01,1532585151.444913,2013-04-04,11:31:47,0.801935,0.801935,0.0,45.3,17.702754,19.974951,0,No
10106,256,1365090599.9,2013-04-04,11:495:9,1365091067.2,203-04-04,1157:47,5.318003,4.840645,0.0,467.3,11.380277,20.491171,7,No
10106,257,849258498.402054,2013-04-04,12:10:49,1365092021.3,2013b-04-04,12:13:41,2.145134,1.923499,0.946566,171.4,12.515369,32.665009,3,No
10106,258,1365093909.9,2013-04-04,12:45:09,874601082.5449994,2013-04-04,12:53:35,5.527185,4.591906,0.0,505.7,10.92977,20.12516,15,No
10106,259,1365109480.9,2013-04-04,17:04:40,1365109500.3,2013-04-04,17:05:00,0.200981,0.050055,0.0,19.4,10.359859,12.49503,0,No
10106,260,1365110127.9,2013-04-04,1:15:27,1999402495.4300504,2013-04-04,17:22:21,2.336443,0.724495,0.0,413.5,5.650405,14.8996,15,No
10106,266,1365115450.9,201v3-04-04,18:44:10,1365115688.8,2013-04-04,18:48:08,2.721438,2.293647,0.0,237.9,11.439421,22.524611,7,No
10106,274,1365188147.9,2013-04-05,14:55:47,1575016014.150766,2013-04-05,14:57:06,1.09509,1.045558,0.0,78.3,13.98582,17.41769,0,No
10106,276,1365194907.9,2013-04-05,16:48:27,1365194922.9,2013-04-05,16:48:42,0.232837,0.232837,0.0,15.0,15.522445,15.50707,0,oN
10106,281,1365420443.9,20130-4-08,07:27:23,1365421072.0,2013-04-08,07:37:x52,5.90456,4.95551,0.0,628.1,9.400669,17.288401,12,o
10106,283,1365450995.0,2013-04-08,15r:56:35,1365451149.7,2013-04-08,15l:59:09,1.747985,1.443209,0.0,154.7,11.299192,17.150789,3,No
10106,284,1365593087.8,2013-04-10,07:24:h47,1081709463.2765646,2013-y04-10,07:35:38,6.442059,5.633113,0.0,650.5,9.903243,18.57188,12,No
5037,671,1702978521.1093931,2013-04-01,10:54:08,1364828794.3,2013-04-01,1q1:06:34,13.005757,12.149933,8.432955,745.4,17.448024,36.154861,8,No
13682,673,1364872579.0,2013-04-01,23:16:19,1364872610.6,2013-04-01,23:16:50,0.488665,0.474534,0.0,31.6,15.464069,17.507811,0,No
10116,683,2029827275.3326423,0213-04-03,14:31:59,1365014433.9,2013-04-03,14:40:33,5.302364,4.732113,0.0,514.0,10.315884,60.94758018904136,7,No
5366,684,1365045402.9,2013-04-03,23:16:42,1365045627.8,2013-e04-03,23:20:27,3.366565,3.262597,0.0,224.9,14.969165,21.832621,1,No
10116,689,1365100347.9,2013-04-04,1r4:32:27,1365100659.4,2013-04-04,14o:37:39,3.597621,3.34006,0.0,311.5,11.549345,22.33437,4,oN
13624,690,1365131529.9,203-04-04,23:12:09,1365131739.9,013-04-04,23:15:39,2.36102,1.98848,0.0,210.0,11.242953,20.94017,3,No
10116,692,1827670872.3927827,2013-04-05,1:28:31,1436722126.349532,2013-4-05,14:37:26,7.392275,6.807344,0.0,534.9,13.819919,22.47941,8,No
10116,693,1953585905.8210976,2103-04-05,23:16:53,1365218596.6,2013-04-05,23:23:16,4.779753,4.24608,0.0,382.7,12.489555,22.21316,5,No
10116,695,1365267836.9,2103-04-06,31:03:56,1365268664.0,2013-04-60,m13:17:44,14.108867,13.573967,2.345906,827.1,17.058235,28.0441,10,Nuo
10116,699,1365373214.9,2013-0407,18:20:14,1174542781.8985102,201-304-07,18:23k:18,2.368303,2.183851,0.0,183.2,12.92742,21.065901,2,No
12856,707,1365445991.9,2013-04-08,14:33:11,1365446422.0,2013-04-08,14:40:22,6.243943,5.806054,0.0,430.1,14.517423,21.46188,5,No
10116,709,1365512397.9,2013-04-09,08:59:57,1365512605.7,2013-04-09,09:03:25,6.180125,6.083947,5.648892,207.8,29.740737,35.19302,2,No
10116,710,1365519657.9,2013-04-09,11:00:57,1365520163.4,013-04-09,11:09:32,12.414431,11.987284,9.714946,505.5,24.558716,37.22411,4,No
