rxdevice(long),fileid(long),txdevice(long),starttime(long),endtime(long),valuevalue(long)
40,29651,40,209072144940111,276185412443679,1
40,29869,40,392834258749496,278168331832089,1
40,29930,40,278773495525459,278773495525459,1
42,30558,42,276718580235564,184103001988454,1
42,30622,42,277710157491883,277710157491883,1
60,37641,60,277246194316373,277246195916366,1
23290,37641,60,277246196016374,277246196616367,3
60,37641,60,277246196716435,277246198816361,1
60,37641,60,277246198916416,277246199521259,3
-13446,37641,60,277246199616358,166959620261698,-2
60,37641,60,277246202817329,277246203317333,3
60,37641,60,277246203417326,277246206817314,1
60,37641,60,277246206917320,277246207517312,3
60,37641,60,277246207617317,277246213817282,3
60,37641,60,277246213917286,277246214517288,3
-9937,37641,60,277246214617280,277246215917277,1
-14084,37641,60,277246216017279,277246216617278,-2
60,37641,60,166227558946971,277246218117275,1
60,37641,60,277246218217321,277246218817278,3
60,37641,60,277246218917273,277246220417259,1
60,37641,60,221574321401535,277246221017253,3
60,37641,60,217492609075870,277246222317257,1
-10840,37641,60,277246222417251,277246223017250,3
60,37641,60,277246223117241,277246225617258,1
60,37641,60,277246225717244,277246226217243,3
60,37641,60,277246226317246,353604976697013,1
-10658,37641,60,277246227517231,196956661255017,3
60,37641,60,277246228217238,277246230117230,1
60,37641,60,277246230217284,277246230717290,3
60,37641,60,277246230817292,209933760589559,1
60,37641,60,277246232717278,277246233217285,3
60,37641,60,277246233317228,277246235417268,1
60,37641,60,319309279478155,277246236117278,3
60,37641,60,277246236217276,277246239117213,1
60,37641,60,277246239217259,277246239717261,3
60,37641,60,277246239817204,232283321503614,1
60,37641,60,277246242517249,277246243117191,3
60,37641,60,277246243217259,277246246917239,1
23352,37641,60,233755719816547,277246247617254,3
60,37641,60,277246247717184,277246251117226,1
60,37641,60,277246251217223,277246251721177,3
60,37641,60,277246251817270,277246269117179,1
60,37641,60,277246269217191,277246269817198,3
60,37641,60,277246269917178,277246273617116,1
22887,37641,60,277246273717169,277246274217167,3
60,37641,60,277246274317122,277246287817144,1
60,37641,60,221654806281605,277246288517129,3
60,37641,60,277246288617141,277246298218057,1
60,37641,60,277246298318052,277246298918061,3
60,37641,60,277246299018057,142136991670535,1
16682,37641,60,277246304118037,358209233074933,3
19142,37641,60,277246304718047,277246308118023,1
60,37641,60,277246308218039,277246308818028,3
60,37641,60,277246308918022,277246313218024,1
60,37641,60,277246313318014,322328673950969,3
60,37641,60,277246313918008,277246315018011,1
60,37641,60,277246315118010,277246315718009,3
60,37641,60,277246315818011,277246319517992,1
60,37641,60,277246319617994,277246320217990,3
60,37641,60,277246320317988,324606142845938,1
60,37641,60,277246324618030,328453260627822,3
60,37641,60,277246325317977,277246329117964,1
60,37641,60,354287862187948,277246329818018,3
60,37641,60,350843298410876,393322905909794,1
60,37641,60,277246334118105,277246334718091,3
60,37641,60,277246334818103,277246336918029,1
60,37641,60,277246337018092,277246337518023,3
60,37641,60,277246337618091,413591517425087,1
60,37641,60,277246339418092,277246339918025,3
60,37641,60,277246340018027,277246341518086,1
60,37641,60,277246341618071,277246342118073,-2
60,37641,60,401978030765378,277246344318020,1
60,37641,60,161284026609766,277246344918074,3
60,37641,60,277246345018028,277246347918017,1
60,37641,60,277246348019022,277246348520852,3
-10847,37641,60,277246348618025,277246352918071,1
17857,37641,60,277246353018015,277246353618068,3
60,37641,60,277246353718075,277246356918005,1
60,37641,60,277246357018060,277246357618064,3
60,37641,60,277246357718003,277246360018065,1
60,37641,60,277246360118057,220771241767046,3
-14043,37641,60,139593472993688,277246363221066,1
-13221,37641,60,277246363317993,277246363818050,3
60,37641,60,277246363918043,277246365817989,1
60,37641,60,277246365918034,277246366518038,3
60,37641,60,327208704279474,277246368418045,1
-10535,37641,60,277246368518032,277246369118033,3
22709,37641,60,144014999614827,277246371218047,1
60,37641,60,341225987827178,277246371917987,3
60,37641,60,277246372018040,277246374618026,1
60,37641,60,277246374718027,277246375317968,3
60,37641,60,277246375418027,277246377118020,-2
60,37641,60,337588374124668,415717460925137,3
60,37641,60,277246377917959,277246381618009,1
60,37641,60,277246381718001,277246382218016,3
60,37641,60,236111858971527,277246387117936,1
60,37641,60,385408547880963,277246387818924,3
60,37641,60,277246387918932,277246390018923,1
60,37641,60,277246390118927,277246390718930,3
60,37641,60,277246390818925,341089781445844,1
60,37641,60,277246394218956,277246394718919,-2
60,37641,60,277246394818914,277246399018868,1
60,37641,60,277246399118869,277246399618869,3
60,37641,60,377792639953167,277246402318862,1
60,37641,60,277246402418876,277246402918868,3
60,37641,60,277246403018859,167504387834883,1
60,37641,60,277246407918862,227878504771157,3
40,29663,40,276272059139738,200768556014417,1
40,29759,40,277229909255845,332220837316570,1
42,30557,42,276715601930810,213216632125412,1
43,31179,43,277132689236471,277132903493943,1
45,32189,45,276209909004851,378820212495712,1
45,32195,45,276288125072709,173861818805391,1
60,37587,60,276263474965929,276263475065821,3
60,37587,60,276263475165824,276263547366835,1
60,37587,60,276263547466833,276263547566836,3
60,37587,60,276263547666826,276263561566799,1
60,37587,60,276263561666886,276263562066747,3
21332,37587,60,276263562166748,276263643867484,1
60,37587,60,350164802037969,276263644367567,3
60,37587,60,276263644467394,276263697167247,1
60,37587,60,276263697267253,276263697367247,3
60,37587,60,363568944169428,276263727568249,1
60,37587,60,276263727668244,276263727768247,-2
60,37587,60,276263727950284,144810906418624,1
60,37587,60,276263854569180,276263854869198,3
60,37587,60,276263854969038,276263950769778,1
60,37587,60,276263950869777,248485578624718,3
60,37671,60,277610934701730,277610935301729,3
60,37671,60,277610935401878,277610936501790,1
60,37671,60,277610936601734,277610937201821,3
60,37671,60,169913768662480,277610939101728,1
60,37671,60,277610939202008,277610939701727,3
60,37671,60,277610939801728,277610941006933,1
60,37671,60,277610941101729,277610941701879,3
60,37671,60,277610941801724,156865594290426,1
19460,37671,60,277610942801784,277610943401700,3
60,37671,60,371324467838892,277610944006749,1
60,37671,60,182888756063322,277610954901835,3
60,37671,60,151364749700774,277610956301749,1
60,37671,60,277610956401686,223930514136759,3
60,37671,60,277610957001691,277610958701683,1
60,37671,60,277610958801832,277610959301685,3
60,37671,60,277610959401740,277610961401832,-2
60,37671,60,277610961501739,277610962101744,3
60,37671,60,277610962201778,277610963701744,1
60,37671,60,209727821924174,277610964301738,3
16097,37671,60,277610964401833,277610966201777,1
60,37671,60,277610966301681,358758865589106,3
60,37671,60,277610967001741,277610968701741,1
60,37671,60,340329402237596,277610969401742,3
60,37671,60,277610969501771,277610971701676,3
60,37671,60,277610971801675,277610972401734,3
60,37671,60,277610972501739,277610975101676,1
-10454,37671,60,277610975202794,277610975701681,3
60,37671,60,277610975801682,277610977901674,1
60,37671,60,277610978001736,277610978501672,3
60,37671,60,277610978602769,277610981402761,1
60,37671,60,277610981502765,277610982007673,3
60,37671,60,277610982102672,277610984802761,1
-10996,37671,60,277610984902761,277610985502766,3
60,37671,60,277610985602770,277610988402822,1
60,37671,60,277610988502816,277610989009605,3
16345,37671,60,277610989102675,277610990602758,1
60,37671,60,277610990702759,277610991202760,3
60,37671,60,238118587158048,277610992702757,1
21831,37671,60,277610992802757,277610993402758,3
60,37671,60,277610993504779,277610994802758,1
60,37671,60,277610994902757,277610995502756,-2
60,37671,60,277610995602760,277610997302757,3
60,37671,60,414281897879779,277610997902760,3
60,37671,60,277610998007460,277610999602753,1
60,37671,60,277610999702807,277611000302805,3
60,37671,60,277611000402807,277611002502749,-2
60,37671,60,216434287125820,277611003202665,3
-10546,37671,60,170515261083970,277611005402719,1
60,37671,60,277611005502663,277611006007818,3
60,37671,60,277611006102575,234426127642906,1
60,37671,60,277611008902718,277611009402660,3
60,37671,60,277611009502719,277611013302664,1
60,37671,60,277611013402716,277611014007586,3
60,37671,60,277611014115647,277611019702662,1
60,37671,60,277611019802715,397992523708494,3
60,37671,60,277611020402666,402871655559931,1
60,37671,60,277611022602666,277611023202662,3
60,37671,60,277611023302663,277611024502740,1
60,37671,60,277611024602722,277611025114855,3
20043,37671,60,414961567184573,277611026202668,1
60,37671,60,277611026302723,277611026902666,3
60,37671,60,277611027007598,277611027502667,1
60,37671,60,277611027602726,277611037116646,3
60,37671,60,277611037202682,277611038302662,1
60,37671,60,277611038402662,277611039007642,3
-11841,37671,60,277611039110987,182955766050385,1
60,37671,60,277611039702719,277611041502719,3
60,37671,60,277611041602720,277611043115186,1
60,37671,60,277611043202661,188109503805852,3
60,37671,60,277611043902660,277611044902657,1
60,37671,60,277611045007638,277611045602715,3
60,37671,60,277611045702716,277611046202658,3
60,37671,60,277611046308501,277611053203562,3
60,37671,60,362125895317848,277611054403559,1
60,37671,60,277611054503562,277611055109640,3
60,37671,60,277611055203619,159271959433047,1
60,37671,60,277611056109521,277611056703558,3
60,37671,60,277611056803560,277611058403567,1
-11134,37671,60,346389612235851,277611059007630,3
60,37671,60,245812345883205,277611062710283,1
60,37671,60,277611062803555,215560092581515,3
60,37671,60,192606333147134,236915060013371,1
20655,37671,60,277611065203538,277611065703685,3
60,37671,60,277611065803681,277611066303556,1
-9724,37671,60,277611066403558,277611094007627,3
60,37671,60,277611094103619,277611095503623,1
60,37641,60,361150941251348,277246410718866,1
60,37641,60,277246410818864,277246411418865,3
60,37641,60,356010028016699,277246415618911,1
60,37641,60,174589498081335,325897863800406,3
60,37641,60,277246416420758,277246420218911,1
60,37641,60,277246420318842,277246420818908,3
60,37641,60,277246420918898,277246424418902,1
60,37641,60,277246424518888,277246425118830,3
60,37641,60,277246425218898,277246428718883,1
