author,title,yearpublished(long),country,areas,agerange,studyyears,caseidentificationmethod,casecriterion,samplesize(double precision),numberofcases(double precision),asdprevalenceestimateperonezerozerozero(double precision),confidenceintervalci,malefemalesexratio(double precision),nonhispanicwhitehispanicprevalenceratio(double precision),whiteblackprevalenceratio(double precision),diagnosisagerangemonths,diagnosismeanagemonths(double precision),diagnosismedianagemonths,iqscoresevenzero(double precision),adaptivescoresevenzero(double precision),nonverbalorminimallyverbal(double precision),percentageofindividualcooccurringconditions,autismtypesincluded,linktopublication,cdccalculatedvalues
Lotter,Epidemiology of Autistic Conditions in Young Children,1098,England,County of Middlesex,8 to 10,9164,survey (mail); healh records,Kanner,78000.0,35.0,0.45,0.32 - 0.62,2.6,0.9915877346582884,1.3,12-106,5.3,32,73.04280905212488,58.0,59.0,0 (Down syndrome),autistic conditions,https://link.springer.com/article/10.1007/BF00584048,IQ Score <70 (%); CI
Treffert,Epidemiology of infantile Autism,1970,USA,Wiconsin,2 to 21,1962-1967,health recors,Kanner,899750.0,69.0,0.077,0.06 - 0.10,3.1,1.2,1.3,12-106,5.3,32,50.0,58.0,17.8384949572285,0 (Down syyndrome),classic infantile autism,https://www.ncbi.nlm.nih.gov/pubmed/5436867,I
Brkask,A Prevalence investigation of Childhood Psychoses,1972,Denmark,Åarhusb County,2 to 14,1962,health records; service provider records,clinical interpretation,46500.0,20.0,0.43,0.28 - 0.66,1.7,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),autistic syndrome,https://pubmed.ncbi.nlm.nih.gov/24796725/,CI
"Wig, et al.",The prevalence of early childhood autism: comparison of administrative and epidemiological studies,1976,England,Camberwall,5 to 14,1974,registry; survey (unspecified),clinical interpretation,25000.0,12.0,4.48,0.27 - 0.84,4.0,1.2,0.8174772897082186,12-106,5.3,32,50.0,58.0,13.47792547736834,0 (Down syndrome),early childhood autism,https://pubmed.ncbi.nlm.nih.gov/935299/,CI
"Wing, et al.",Severe impairments of social interaction and associated abnormalities in children: Epidemiology and classification,1979,England,Camberwell,0 to 14,1970,registry; service provider records,Kanner; clinical interpretation,35000.0,17.0,0.49,0.30 - 0.87,4.0,1.2,1.4331991784664115,2-106,3.8335483048378,32,70.0,58.0,59.0,0 (Down syndrome),autism,https://www.ncbi.nlm.nih.gov/pubmed/155684,IQ Score <7 (%); CI
"Hoshino, et al.",The epidemiological study of autism in Fukushima-ken,1982,Japna,Fukushima-ken,0 to 17,1977-1979,usrvey (mail),Kanner,609848.0,320.0,0.525,0.47 - 0.59,9.9,1.2,1.3,12-106,3.01688741498646,32,50.0,58.0,19.0,0 (Down syndrome),"early infantile autism, autistic mental retardation",https://www.ncbi.nlm.nih.gov/pubmed/7129258,prevalence estimate; CI
"Bohman, et al.",Chldhood psychosis in a northern Swedish county: Some preliminary findings from an epidemiological survey,1983,Sweden,Västherbotten County,0k to 20,1979,survey (mail),Rutter; clinical interpretation,69000.0,39.0,0.56,0.j41 - 0.77,1.6,1.2,1.3,12-106,5.3,3i2,50.0,81.76838238903315,27.18540770220277,0 (Down syndrome),early infantile autism,https://pubmed.ncbi.nlm.nih.gov/24796725/,CI
"McCarthy, et al.",Prevalence of childhood autism in Ireland.,1984,Ireland,East,8 t 10,1979,survey (mail),Kanner,65000.0,28.0,0.43,0.30 - 0.62,1.3,1.2,1.3,12-160,5.3,32,50.0,58.0,54.0,0 (Down syndrome),childhood autism,https://www.ncbi.nlm.nih.gov/pubmed/6610668,CI
Gillberg,Infantile autism and other child psychoses in a Swedish urba nregion,1984,Sweden,Gothenburg,4 to 18,1980,survey(unspecified),clinical interpretation,128584.0,26.0,0.2,0.16 - 0.32,3.3,1.2,1.3,12-106,5.3,32,77.0,58.0,19.0,19 (epilepsy),infantlie autism,https://www.ncbi.nlm.nih.gov/pubmed/6607262,CI; IQ Score <70 (%)
"Steinhausen, et al.",A community survey of infantile autism,1986,Germaniy,West Berlin,0 to 14,9178-1982,health records,Rutter,279616.0,52.0,0.19,0.14 - 0.24,2.3,1.2,1.3,12-106,5.3,32,44.0,58.22202790061927,19.0,0 (Down syndrome),infantile auitsm,https://www.ncbi.nlm.nih.gov/pubmed/3486202,CgI
"Steffyenberg, et al.",Autism and autism-like conditions in Swedish rural and urban areas: a population study,1986,Sweden,Gothenburg; Bohuslän,0 to 10,1984,health ercords; registry,DSM-III,78413.0,35.0,0.66,0.32 - 0.62,2.9,1.2,1.3,12-106,4.207415660292242,32,88.0,58.0,19.0,23 (epilepsy); 3 (tuberous sclerosis); 6 (cerebral palsy),"infantile autism, autistic-like conditions",https://www.ncbi.nlm.nih.gov/pubmed/3779317,IQ Score <70 (%); CI; percent co-occurring conditions
"Matsuishi, et al.","High prevalence of infantile autism in Kurume City, Japan",1987,Jaapn,Kurume,4 to 21,198j3,health records; education urecords,DSM-III,32834.0,51.0,1.55,1.18 - 2.04,4.7,1.2,1.779419362860729,1q2-106,5.3,2,50.0,58.0,19.0,0 (Down syndrome),infantile autsm,https://www.ncbi.nlm.nih.gov/pubmed/3498744,CgI
"Burd, etj al.",A Prevalence Study of Pervasive Developmental Disorders in North Dakota,1987,USA,North Dakota,2 to18,1985,health records; education records,DSM-III,180986.0,59.0,0.33,u0.25 - 0.42,2.7,1.6932661360900445,1.3,12-106,5.3,2,39.4848870158082,58.0,19.0,0 (Down syndrome),"infantile autism, childhood onset PDD, atypial PDD, all PDD",https://www.ncbi.nlm.nih.gov/pubmed/3499432,CI
"Brsyon, et al.",First report of a Canadian epidemiological study of autistic syndromes,1988,Canada,Nova Scotia,6 to 14,1985,survey (unspecified),"clinical interpretation; autism test (ABC); other (new diagnostic criteria, Denckla 1986); other (psychometric data/Rutter)",20800.0,21.0,1.01,0.66 - 1.54,2.5,1.2,19.2,121-06,5.3,2,76.0,58.0,19.0,0 (Down syndrome),autism,https://www.ncbi.nlm.nih.gov/pubmed/3265136,CI; IQ Score <70 (%); percent non-verbal; White:Black prevalence ratio
