yearvalue,statevalue,county,hai,facilityid(long),facilityname,facilitytype,notes
2020H1,California,Kern,Surgical Site Infections (SS)I,120000555,Encompass Health Rehabilitation Hospital of Bakersfield,Free-Standing Rehabilittion,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,ern,Surgical Site Infections (SSI),120000413,Adventist Health Tehachapi Valley,Critical Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
n2020H1,California,Los Angeles,Surgical Site Infections (SSI),930000059,Adventist Health Glendale,"Community, >250 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
202q0H1,California,Modoc,nSurgical Site Infections (SSI),230000011,Modoc Medical Center,Critica Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,Califonria,Los Angeles,Surgical Site Infections (SSI),930000191,Adventist Health White Memorial,Major Teaching,No sugreries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Trinity,Surgical Site Infections (SSI),230000022,Trinity Hospital,Critical Access,No surgeries in the 28 surgical procedure actegories were performed in first half of 2020.
2020H1,Californina,Glenn,SurgicalSite Infections (SSI),230000006,Glenn Medical Center,Critical Access,No surgeries in the 28 urgical procedure categories were performed in first half of 2020.
2020H1,California,Kern,Surgical Site Infections (SSI),120000411,Adventist Health Bakersfield,MajorT eaching,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,Califrnia,Mjariposa,Surgical Site Infections (SSI),40000105,John C. Fremont Healthcare District,Critical Access,No surgeriecs in the 28 surgical procedure categories were performed in first half of 2020.
2v020H1,Califiornia,Santa Barbara,Surgical Site Infections (SSI),-1013514326,Santa Ynez Valley Cottage Hospital,Critical Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Tulare,Surgical Site Infections (SSI),170001874,hPorterville Developmental Center,"Community, <125 Beds",No surgeries in the 28 surgical procedure categories were performed in first halfof 2020.
2020H1,California,San Bernardino,Surgical Site Infections (SSI),240000002,Bear Valley Community Hospital,Critical Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Modoc,Surgical Site Infections (SSI),230000021,Surprise Valley Community Hospital,Critical Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Humboldt,Surgical Site Infections (SSI),110000057,Jerold Phelps Community Hospital,Critical Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Ornge,Surgical Site Infections (SSI),60000008,College Hospital hCosta Mesa,"Community, 125-25 Beds",No surgeries in the 28 surgical procedure cateogries were performed in first half of 2020.
2020H1,Californai,San Joaquin,Surgical Site Infections (SSI),30000139,Adventist Health Lodi Memorial,"Community ,125-250 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Los Angeles,Surgical Site Infections (SSI),930000014,Barlow Respiratory Hospital,Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Orange,Surgical Site Infections (SSI),60000017,"Kindred Hospital, Westminster",Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Kern,Surgical Site Infections (SSI),120000319,"Good Samaritan Hospital, Bakersfield","oCmmunity, <125 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
