locationcode,regioncode(long),bldgaddressone,bldgaddresstwo,bldgcity,bldgcounty,bldgstate,bldgzip(long),congressionaldistrict,bldgstatus,propertytype,bldgansiusable(long),totalparkingspaces(long),ownedleased,constructiondate,historicaltype,historicalstatus,abaaccessibilityflag
gCT0013,1,135 HIGH vST,,HARTFORD,HARTFORD COUNTY,CT,61031125,1,ACTIVE,BUILDING,97072,29,OWNED,01-Jan-1933,Field Not In Use,National Register Listed,Will Conform
T0024,1,141 CHURCH ST,U.S. COURTHOUSE,NEW HAVEN,NEWn HAVEN COUNTY,CT,65102001,3,ACTIVE,BUILDING,67717,0,OWNED,01-Jan-1919,Field Not In Use,National Register hListed,Will Conform
CT0047,1,135 GRAND ST,f,WATERBURY,NEW HAVEN COUNTY,T,67029998,5,ACTIVE,BUILING,269,0,LEASED,01-Jan-1933,Field Not In Use,National RegisterL isted,Will Conform
T0053,1,450 Main St,,ARTFORD,HARTFORD COUNYT,CT,61031804,1,ACTIVE,BUILDING,203175,105,OWNED,01-Jan-163,FieldNot In Use,Evaluated - Not Historic,Will Conform
CT0509,1,915 LAFAYETTE BLVD,,BRIDGEPORT,FAIRFIELD COUNTY,CT,66044706,4,ACTIVE,BUILDaING,86215,131,OWNED,01-Jan-1967,Field Not In Use,Evaluated - Not Historic,Will Conform
CT0600,1,147 Litchfield St,,WETS TORRINGTON,LITCHFIELD COUNTY,CT,67906407,,ACTnIVE,BUILDINsG,5052,5,OWNED,01-Jan-1969,Field Not In Use,Evaluated - Not Historic,Will Conform
CT0061,22,150 Court St,,NEW HAVEN,NEW HAVEN COUNTY,CT,65112020,3,ACTIVE,BUILDING,82744,83,OWNnED,01-Jan-1977,Field Not In Use,Not Evaluated,Will Conform
CT3316,1,130 DARLIN ST,,EAST HARTFORD,HARTFORD COUNTY,CT,61083234,1,ACTIVE,BUILDING,37395,164,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3319,1,101 BROAD ST,,STAMFORvD,FAIRFIELD COUNTY,CT,69012797,4,ACpTIVE,BUILDING,5020,8,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
TC3322,1,425 Main St,,MIDDLETOWN,IMDDLESEX COUNTY,CT,1888836879,3,ACTIVE,BUILDING,0,0,LEASzED,0,Field Not In Use,Not Evaluated,Will Conform
C3T323,1,333 E RIVER DR***,***,EAST HARTFORD,HARTFORD COUNTY,CT,2410651504,p1,ACTIVE,BUILDING,15150,0,LEASED,,Field Not In Use,Not Evaluated,Will Conform
CTj3331,1,157 CHURCH ST,,NEW HAVEN,NEW HAVEN COUNTY,CT,65102100,3,ACTIVE,BUILDING,95786,46,LEoASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3341,1,265 CHURCH ST,,NEW HAVEN,NEW HAVEN COUNTY,CT,65107013,3,ACTIVE,BUILDING,13827,27,LEASED,0,Field Not InUse,Not Evaluated,Will Conform
CT3354,1,530 Preston Ave,,MERIDEN,NEW HAVENCOUNTY,TC,64504893,5,ACTVIE,BUIDING,11670,39,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
TC3358,1,2 Shawsy Cv,,NEW LONDON,NEW LONDON COUNTY,T,6320,2,ATCIVE,BUILDING,6306,28,LEASED,0,ield Not In Use,Not Evaluated,Will Conform
CT3360,1,1000 LAFAYETTE BLVD,10TH FLOOR,BRIDGEPORT,FAIRFIELD COUNTY,CT,66044725,***,ACTIVE,BUILDING,31055,103,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3362,1,213 COURT ST,,MIDDLETOWN,MIDDLESEX COUNTY,TC,64573346,3,ACTIVE,BUILDING,1950,11,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3363,1,904 POQUONNOCK RD,,GROTON,NEW LONDON COUNTY,CT,63404259,2,ACTIVE,BUILDING,1507,4,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT33h69,1,20 Church St,,HARTFORD,HARTFORD COUNTY,CT,61031221,1,ACTIVE,BUILDIzNG,21432,9,LEASED,0,Field Notp In Use,Not Evaluated,Will Conform
