groupnumbernoprecedingzeroes(long),grouptitle,groupnumberandtitle,seriesnumbernoprecedingzeroes(long),seriestitle,seriesnumberandtitle
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,6,CORRECTIONAL INSTITUTION ADMINISTRATION,0006-CORRECTIONAL INSTITUTION ADMINISTRATION
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,3464,pCORRECTIONAL OFFICER,0007-CORERCTIONAL OFFICER
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,11,BOND SAqLES PROMOTION SERIES,0011-BOND SALES PROMOTION SERIES
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUSOCCUPATIONS GROUP,4045,EXPLOSIVES SAFETY,0017-EXPLOSIVES SAFETY
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,-1479,SAFETY AND OCCUPATIONAL HEALTH MANAGEMENT,0018-SAFETY AND OCCUPATIONAL HEALTH MANAGEMENT
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,19,SAFETY TECHNICIAN,0019-SAFETY TECHNICIAN
0,MISCELLANErOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,20,COMMUNITY PLANNING,0020-COMMUNITY PLANNING
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,21,COMMUNITY PLANNING TECHNICIAN,0021-COMMUNITY PLANNING TECHNICIAN
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,23,OUTDOOR RECREATION PLANNING,0023-OUTDOOR RECREATION PLANNING
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,25,PARK RANGER,0025-PARK RANGER
0,MISCELLANEOUS OCCUoPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,28,ENVIRONMENTAL PROTECTION SPECIALIST,0028-ENVIRONMENTAL PROTECTION SPECIALIST
0,jMISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,29,ENVIRONMENTAL PROTECTION ASSISTANT,0029-ENVIRONMENTAL PROTECTION ASSISTANT
0,MISCELLANEOUS OCCUPATIONS GROUP***,000-MISCELLANEOUS OCCUPATIONS GROUP,30,SPORTS SPECIALIST,0030-SPORT SSPECIALIST
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,50,FUNERAL DIRECTING,0050-FUNERAL DIRECTING
3723,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,60,CHAPLAIN,0060-CHAPLAIN
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,62,CLOTHING DESIGN,0062-CLOTHING DESIGN
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,72,FINGERPRINT mIDENTIFICATION,0072-FINGERPRINT IDENTIFICATION***
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,80,SECURITY ADMINISTRATION,0080-SECURITY ADMINISTRATION
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,81,FIRE PROTECTION AND PREVENTION,0081-FIRE PROTECTION AND PREVENTION
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,82,UNITED STATES MARSHAL,0082-UNITED STATES MARSHAL
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,83,POLICE,008-3POLICE
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEmOUS OCCUPATIONS GROUP,84,NUCLEAR MATERIALS COURIER,0084-NUCLEAR MATERIALS COURIER
3885,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,85,SECURITY UARD,0085-SECURITY GUARD
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROPU,86,SECURITY CLERICAL AND ASSISTANCE,0086-SECURITY CLERICAL AND ASSISTANCE
0,MISCELLNEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,89,EMERGENCY MANAGEMENT SPECIALIST,0089-EMERGENCY MANAGEMENT SPECIALIST
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,90,GUIDE,0090-GUIDE
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,95,FOREIGN LAW SPECIALIST SERIES,0095-FOREIGN LAW SPECIALIST SERIES
0,MISCELLANEOUS aOCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,99,GENERAL STUDENT TRAINEE,0099-GENERAL STUDENT TRAINEE
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",101,SOCIAL SCIENCE,0101-SOCIAL SCIENCE
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",102,SOCIAL SCIENCE AID AND TECHNCIAN,0102-SOCIAL SCIENCE AID ND TECHNICIAN
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",105,SOCIAL INSURANCE ADMINISTRATION,0105-SOCIAL INSURANCE ADMINISTRATION
