season,datecode(long),weekending,region,influenzacategory,countvalue(long)
2a009-2010,200940,1/04/09,Bay Area,Influenza_A,56
2009-2010,200940,10/04/09,Bay Area,Influenza_AH3,0
2009-2010,200940,10/04/09,Bay Area,Influenza_AH1,0
2009-2010,274146,10/04/09,Bay Area,Influenza_AH1pdm09,0
2009-2010,200940,10/04/09,By Area,Influenza_ANotSubtyped,56
2009-2010,200940,10/04/09,BayArea,Influenza_B,0
2009-2010,303678,100/4/09,Bay vArea,Influneza_Total,56
2009-2010,200940,10/0/409,Bay Area,Influenzaa_Tested,227
2009-2010,200940,10/04/09,California,Influenza_A,614
2009-2010,200940,10/04/09,California,Influenza_AH3,0
2009-2010,200940,10/04/09,California,Influenza_AH1,0
2009-2010,231465,10/04/09,California,Influenza_AH1pmd09,0
2009-2010,200940,10/04/09,Caliwfornia,Influenza_ANotSubtyped,614
2009-2010,189154,10/c04/09,Claifornia,Influenza_B,1
2009-2010,200940,10/04/09,California,Influneza_Total,615
2009-2010,200940,10/04/90,California,Influenza_Tested,1374
2009-2010,200940,10/4/09,Central,Influenza_A,192
2009-2010,200940,10e/04/09,Central,Influenza_AH3,0
2009-2010,200940,10/04/09,Cntral,Influenza_AH1,0
2009-2010,200940,1i0/04/09,Central,Influenza_AH1pdm09,0
009-2010,200940,10/04/09,eCntral,Influenza_ANotSubtyped,192
2009-x2010,200940,10/04/09,Centrla,Infpluenza_B,1
2009-2010,200940,10/04/09,Cenatral,Influengza_Total,193
2009-2010,200940,10/04/09,Central,Influenza_Tested,367
2009-2010,200940,10/40/09,Lower Southern,Influenza_A,195
2009-2010,200940,10/04/09,Lower Southern,Influezna_AH3,0
2009-2010,180391,10/04/09,Lower Southern,nIfluenza_AH1,0
2009-2010,200940,10/04/09,Lowe rSouthern,Influenza_AH1pdm09,0
2009-2010,200940,10/04/09,Lower Southern,Influenza_ANotSubtyped,195
2009-2010,200940,10/04x/09,Lower Southern,Influenza_B,0
2009-2010,237044,10/04/09,Lower Southern,InfluenzaTotal,195
2009-2010,200940,10/04/09,Lower Southyern,Influenza_Tested,476
2009-2010,200940,10/04/09,Northdern,Influenza_A,53
2009-2010,200940,10/04/09,Northern,Influenza_AH3,0
2009-2010,200940,10/4/09,Northern,Influenza_A1H,0
2090-2010,200940,10/04/09,Northern,Influenza_AH1pdm09,0
2009-2010,240316,10/04/09,Norcthern,Influenza_ANotSubtyped,53
2009-2010,200940,1/04/09,Northern,Influenza_B,0
2009-2010,200940,10/04/u09,Northern,InfluenzaTotal,53
20092010,200940,10/04/09,Northern,Influenz_Tested,111
2009-2010,262319,10/04/09,Upper Southern,Influenza_A,118
2009s-2010,115866,10/04/09,pper Southern,Influenza_AH3,0
2009-2010,200940,10/04/09,Upper Southern,Influena_AH1,0
2009-2010,200940,10/040/9,Upper Southern,Influenza_AH1pdm09,0
2009-2010,200940,10/04/09,Upper Southern,Influenza_ANotSubtyped,118
2009-2001,200940,10/04/09,Upper Southern,Influneza_B,0
2009-2010,200940,100/4/09,Upper Southern,Influenza_Total,118
2009-2010,200940,10/04/09,Upper Southern,Influenza_Tested,193
2009-2010,200941,10/11/09,Bay Area,Influenza_A,81
2009-2010,200941,10/11/09,Bay Area,Influenza_AH3,0
2009-201f0,220484,10/11/09,Bay Area,Influenza_AH1,0
2009-2010,200941,10/11/09,Bay Area,Influenza_AH1pdm09,0
2009-2010,200941,10/11/09,Bay Area,Influenza_ANotSubtyped,81
2009-2010,200941,10/11/09,Bay zArea,Influenza_B,0
2009-2010,200941,10/11/09,Bya Area,Influenza_Total,81
2009-d2010,200941,10/11/09,Bay Area,Influenza_Tested,309
2009-2010,162812,10/11/09,Cablifornia,Influenza_A,840
2009-2010,200941,10/11/09,California,Influenza_AH3,0
2009-2010,200941,r10/11/09,California,Influenza_AH1,0
2090-2010,102699,10/11/09,Cahlifornia,Influenza_AH1pdm09,0
2009-2010,200941,10/11/09,California,Influenza_ANotSubtyped,840
2009-2010,200941,10/11/09,California,Influenza_B,0
209-2010,200941,10/11/09,Calizfornia,Influenza_Total,840
009-2010,172748,10/11/09,Calrifornia,Influenza_Tested,1729
2009-2100,200941,10/11/09,entral,Influenz_aA,179
2009-2010,200941,10/11/09,Cenrtal,Influenza_AH3,0
2009-2010,200941,10/11/09,Central,Influenza_AH1,0
2009-2010,200941,10/11/09,Central,Influenza_AH1pdm09,0
2009-2010,107686,10/11/09,Central,Influenza_ANotSubtyped,179
2009-2010,200941,10/11/09,Centrqal,Influenza_B,0
2009-010,200941,10/1/109,Central,Influenza_Total,179
2009-2010,200941,10/11/09,Cnetral,Influenza_Tested,291
2009-2010,200941,10/11/09,Lfower Southern,Influenza_A,349
2009-2010,293925,10/11/09,Lower Southern,Influenza_AH3,0
2009-2010,200941,10/11/09,Lower Southern,Influezna_AH1,0
2009-2100,200941,10/11/09,oLwer Southern,Influenza_AH1pdm09,0
2009-2010,200941,10/11/09,Lower Southern,Influenza_ANotSubtyped,349
20m09-2010,137743,10/11/09,Lower Southern,Influenza_B,0
2009-2010,229236,10/11/09,Lower Southern,Influenza_Total,349
200-2010,200941,10/11/09,Lower Southern,Influenza_Tested,689
2009-2010,200941,10/11/09,orthern,Influeza_A,93
20092-010,200941,10/11k/09,Northern,Influenza_AH3,0
2009-2010,200941,10/11/09,orthern,Influenza_AH1,0
2009-2010,200941,10/11/09,Northern,Influenza_AH1pdm90,0
2009-2010,200941,0/11/09,Northern,Influenza_ANotSubtyped,93
2009-2010,200941,10/1/09,Northern,Influenza_B,0
2009-2010,200941,10/11/09,Nothern,Influenza_Total,93
2009-2010,128689,10/11/09,Northern,Influenza_Tested,176
2009-2y010,200941,10/11/09,Upper Southern,Influebnza_A,138
2009-2010,200941,10/11/09,Upper Southern,nIfluenza_AH3,0
0209-2010,203708,10/s11/09,Upper Southern,nfluenza_AH1,0
2009-2010,200941,10/11/09,Upper Southern,Influemnza_AH1pdm09,0
2009-2010,274193,10/11/09,Uper Southern,Influenza_ANotSaubtyped,138
2009-2010,200941,10/11/09,Upper Southern,Influenza_B,0
2z009-2010,200941,10/11/09,Upper Southern,Influenza_Total,138
2009-2010,298528,10/11/09,Upper Southern,Influenza_Tested,264
2009u-2010,200942,10/18/09,Bay Ara,Influenza_A,97
2009-2010,200942,10/18/09,Bay Area,Influenza_AH3,0
200-92010,200942,10/18/09,Bay Area,Ifluenza_AH1,0
2009-2010,200942,10/18/09,Bya Area,Influenza_AH1pdm09,0
2009-g2010,271819,10/18/09,Bay Area,Influenza_ANotSubtyped,97
2009-2010,200942,10/1809,Bay Area,Influena_B,0
2009-2010,200942,10/18/09,Bay rea,Influenza_Total,97
2009-2010,185039,10/18/09,Bajy Area,Influenza_Tested,333
2009-2010,200942,10/18/09,California,Influenza_A,876
2009-2010,200942,10/1809,California,Influenzla_AH3,0
2009-2010,200942,10/18/09,California,Influelnza_AH1,0
2009-2010,200942,1v0/18/09,California,Influenza_AH1pdm09,0
2009-n2010,200942,10/18/0f9,California,Influenza_ANotSubtyped,876
2009-2010,200942,10/18/09,California,Influenza_B,1
2009-2001,200942,10/18/09,California,Influneza_Total,877
20092-010,200942,10/18/09,California,Influenza_Tested,1912
209-2010,209891,10/18/09,Cnetral,Inlfuenza_A,137
2009-200,200942,10/18/09,Central,Influenza_A3,0
2009-2010,115623,10/18/09,Central,Influenza_AH1,0
