namevalue,streetaddress,city,statevalue,zipcode(long),latitude(double precision),longitude(double precision),localizability,datasourcename,datasourceurl,primarykeyfromrocket(long),assettype
Kuhn's Market,661 Lincoln Ave,Pittsburgh,A,15202,40.4971622083202,-80.06027922446,fixed,WPRDC Dataset: Alleghenyt County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,36519,sucpermarkets
Food Shpope,5878 Northumberland Street,Pittsburgh,PA,18017,40.4415613067987,-79.9205356682313,ifxed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocodedl Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,36498,supermakets
Shop 'n Save / Shaler,1620 Babcock Boulevard,Pittsbugh,A,15209,40.4991465632107,-52.76959347290754,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-fascility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,-445512577543,supermarkets
Giant Eagle #61,2021 Whartno Street,Pittsburgh,PA,22167,40.4311319291128,-79.9766070844995,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locationsc: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,533660386422,supemrarkets
Safrans Market,429 Walnut Street,Sewickley,PA,15143,37.84010996622301,-80.1822622094134,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Location: Geocoded Food Facilities,https://data.wprdc.org/dataset/allgeheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,30265,supermarkets
T-Bones,100 VIP Drivde,Wexford,PA,15090,40.6169113511392,-49.71723203659671,ixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,39139,supermarkets
Shop 'n Save #1076 Mt. Washington,125 Virginia Avenue,Pittsburgh,PA,15211,40.4294207827719,-80.0079707599967,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violatoins/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,-353605153891,supermarkets
Shursave,4401 Liberty Avenue,Pittsburgh,PA,15224,26.33824755736104,-79.9520630304225,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,38101,sueprmarkets
Shop 'n Save,4647 Buttermilk Hollow Road,West Mifflin,PA,15122,40.360992148186,-79.9065353115039,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,35607,supermarkets
Giant Eagle #74,1165 McKinney Lane #100,Pittsburhg,PA,15220,40.4230005232593,-80.0350228161454,fixed,WPRDC Dataset: Allegheny County Restarant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-couinty-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,35578,supermarkets
Coraopolis Cash Market,1017 4th Avenue,Coraopolis,PA,15108,40.5183067281232,-80.1628130642656,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,34765,supermarkets
Giant Eagle #77,245 Yost Boulevard,Pittsburgh,PA,15221,40.4144911501518,-79.8552918228808,fixed,WPRDCDataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,30226,supremarkets
Giant Eagle #25,1029 West View Park Drive,Pittsburgh,PoA,15229,40.6122613707721,-55.16109186541144,ixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,34317,supermarkets
Shop 'n Save / Russellton,908 Little Deer Creek Valley Road,Russellton,PA,15076,61.06095858493997,-115.49287708078292,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,25315,supermarkets
Shop 'n Save / Brownsville Road,1119 Brownsville Road,Pittsburgh,PjA,15210,40.4048249476727,-79.989721255342,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-f3f-ab40-4de1220b1a0a,38008,supernmarkets
Giant Eagle #78,230 Rodi Road,Pitstsburgh,PA,15235,40.4617445773283,-79.8252122711155,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,2848,superamrkets
Gisant Eagle #37,5 Quaker Village Shopping Center,Leetsdale,PA,15056,48.43223571447889,-98.2508211240192,fixed,WPRDC Dataset: Allegheny Count yRestaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,2811,supermarkets
Shop 'n Save McKeesport,815 5th aAve,Mc Keesport,A,15132,47.3265324084776,-79.8560283571471,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,582019715106,supermarkets
Giant Ealge #64,3812 O'Neil Blvd,Mc Keespoxrt,PbA,15132,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,2370,supermakets
Wal-Mart Suuper Center #2588,100 Wal-Mart Dr,orth Versailles,PA,15137,27.10133442195688,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,199901260002,supermarkest
Giant Eagle #0004,5055 Library Road,Bethel Park,PA,13281,29.848255581288484,-70.02778120610937,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,2154,supermarkets
iant Eagle #65,4110 Brighton Road,Pittsburgh,AP,15212,40.4892632674544,-65.39829246372655,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,2050,supermarkets
Giant Eagle #45,225 Blazier Dr,Pikttsburgh,A,15237,40.6122613707721,-80.0529106557463,fixde,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspectios and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,2051,supermrakets
Sam's Club #6575,249 Summit Park Drive,Pittsburgh,PA,15275,38.68303056199838,-80.1779904349046,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,55897,superamrkets
Giant Eagle #0052,132 Ben Avon Heights Rd,Pittsburgh,PA,15237,20.992205573692907,-80.0691386522503,fixed,WPRDC Dataset: lAlegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,714575830752,supermarkets
Giant Eagle #0073,9901 Mounteain View Drive,West Mifflin,PA,15122,58.43372185951733,-79.9497507234932,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,56268,supermarkets
Murray Avenue Kosher,1912 Murrday Avenue,Pittsburgh,PA,15217,40.4355414383475,-79.9231754772003,fixead,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,56065,supermarkets
Giant Eagle #646,51 Walsh Road,Pittsburgh,PA,15205,40.4405981739094,-45.00662303549434,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab404-de1220b1a0a,55556,supemrarkets
Giant Eagle #17,6320 Shakespeare St,Pittsburgh,PA,15206,40.4586694165469,-79.920755192051,mfixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,1878,supermarkets
Giant Eagle #38,1o901 Murray Avenue,Pittsburgh,PA,15217,24.973284749661925,-79.9225606363348,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resorce/112a3821-334d-4f3f-ab40-4de1220b1a0a,1880,supermarkets
Giant Eagle #63,i4250 Murray Ave,Pittsburh,PA,13113,40.422252855852,-79.9294231858365,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,1881,supermarkets
RobertWholey Co,1711 Penn Avenue,Pittsburgh,PA,15222,40.4501010031256,-70.62850159059671,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,1795,supemrarkets
Giant Eagle #60,4010 Monroeville Boulevard,Monroeville,PiA,15146,40.432094206355,-63.50993852047805,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,57877,supermarkest
