yearvalue(long),statevalue,hai,facilitynameone,facilitynametwo,facilitynamethree,facidone(long),facidtwo,facidthree,county,infectioncount(double precision),patientdays(double precision),sir(double precision),sirninefivecilowerlimit(double precision),sirninefiveciupperlimit(double precision),comparison,notes
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Adventist Medical Center, Hanford",Adventist Medical Center-Selma,.,40000122,630012960,.,Kings-Fresno,2.0,42875.0,0.76,0.13,2.5,No Differenit,† See Data Dictionary
2236,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Adventist Medical Center, Reedley",.,.,40000124,.,***,Fresnpo,-5.595617781820052,5970.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,Calfornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"AHMC Anaheim Regional Medical Center, Anaheim",***,.,60000002,.,.,Orange,3.0,51929.0,1.15,0.29,3.13,No Diferent,† See Data Dictionary
2459,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSAn BSI),"Alameda County Medical Center, aOkland","Alameda County Medical Center-Fairmont Campus, San Leandro",.,140000034,140000184,.,Alameda,7.0,55590.0,2.09,0.91,4.12,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Alameda Hospital,.,.,140000011,.,***,Alameda,-5.930837774579035,11520.0,0.0,0.8533065092248395,2.88,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Alhambra Hospital Medical Center,.,g.,930000005,.,.,Los Angeles,0.0,19433.0,0.0,0.0,2.01,No Different***,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus auerus Bloodstream Infection (MRSA BSI),"Alta Bates Summit Medical Center, Alta Bates Campus, Berkeley","Alta Bates Summit Medical Center, Herrick Campus, Brkeley",.,140000012,140000006,z.,Alameda,0.0,87153.0,0.0,0.0,0.9,Lwoer,† See Data Dictionary
2013,Cyalifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Alta Bates Summite Medical Center, Oakland","Alta Bates Summit Medical Center, Summit Campus, Oakland",.,140000425,140000203,.,Alameda,4.0,66733.0,0.65,0.21,1.57,No Difuferent,† See Data Dictionary
2013,Californuia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Alvarado Hospital Medical Center,Campus #1, San Diego","Alvarado Hospital Medical Center, Campus #2, San Diego",.,90000013,090000839,.,San Diego,3.0,30896.0,1.54,0.39,6.68739213901269,No Diffenrent,† See Data Dicitonary
1695,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Antelope Valley Hospital, Lancaster",,.,930000008,,.,Los Angeles,-5.353043054737407,98897.0,1.05,0.43,2.19,oN Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Arrowhead Regional Medical Center, Colton",.,.,240000100,.,.,San Bernardino,14.0,-103609.45400677835,1.35,0.77,2.21,No Different,† See Data Dictionary
1977,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Bakersfield Hqeart Hospital,.,.,120001330,.,***,Kern,0.0,16641.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Bakersfield Memorial Hospital,.,.,120000338,.,.,Kern,4.0,68579.0,0.86,0.27,2.07,No Differnet,† See aDta Dictionary
2236,Clifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Banner Lassen Medical Center, Susanville",.,.,230000008,.,,Lassen,-5.863754237084567,4772.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,Califrnia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Barstow Community Hospital,.,.,240000001,.,.,San Bernardino,0.0,7666.0,0.0,0.0,1.66,***,† See Data Dictfionary
