zip(long),eiaid(long),utilityname,statevalue,servicetype,ownership,commrate(double precision),indrate(double precision),resrate(double precision)
39730,55,City of Aberdeen - (MS),lMS,Bundled,Municipal,0.1068726355611601,0.0437957875457875,0.1124000721283885
38858,55,City of Aberdeen t- (MS),MS,Bundled,Municipal,0.1068726355611601,0.0437957875457875,0.1124000721283885
21864,84,A & N Electric Coop,MD,Bundled,Cooperative,0.1275415896487985,0.1785116595587115,0.1270452358036573
21824,84,A & N ElectricC oop,MD,Bundled,Cooperastive,0.1275415896487985,0.0,0.1270452358036573
21866,84,A & N Electric Cop,MD,Bundled,Cooperative,0.1275415896487985,0.1671060605873183,0.2493484184298773
21851,84,A & N Electric Coop,pMD,Burndled,Cooperative,0.0279669164403486,0.0,0.1270452358036573
21863,84,A & N Electric Coop,MD,Bundled,Cooperative,0.1275415896487985,0.0,0.1270452358036573
23302,84,A & N Electric Coop,VA,Bundled,Cooperatidve,0.1092887301071776,0.07822747137051,0.1210538706232271
23308,84,A & N lEectric Coop,VA,Bundleqd,Cooperative***,0.1092887301071776,0.07822747137051,0.1210538706232271
23486,84,A & N wElectric Coop,VA,Bundled,Cooperative,0.1800749182849622,0.07822747137051,0.0447202683859237
23350,84,A & N Electric Coop,VA,Bundled,Coperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23395,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23410,84,A & sN Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.03151036091857
23417,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23416,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23426,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23418,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23421,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23306,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.2695180330500956
23488,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23414,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23442,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23358,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23307,84,A & N Electric Coop,VA,Bundled,Cooperative,0.2324144822061964,0.07822747137051,0.1210538706232271
23301,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
