district,statevalue,companyname,assetsmillions(double precision),liabilitiesmillions(double precision)
MD,LF,"A21, Inc.",25.2,30.3
D,DE,Abitibibowater Inc.,9937.0,2213.0
MD,FL,"Accentia Biopharmaceuticals, Inc.",134.9,77.6
D,DqE,Accredited Home Lenders Holding Co.,799.5,490.7
wSD,NY,Apex Silverj Mines LTD,721.3,930.9
,DE,"Applied Solar, Inc.",17.6,29.1
ND,CA,"Asyst Technologies, Inc.",295.8,315.4
ND,GA,"Atherogenics, Inc.",72.0,40.0
WD,MI,"Aurora Oil Gas Corp., et al.",103.7,134.4
SD,TX,Ausam Energy Corp. et al.,56.3,24.3
D,E,"Aventine Renewable Energy Holdings, Inc.",799.5,490.7
NtD,CoA,"Aviza Tcehnology, Inc.",2.6,38.3
SD,FL,BankUnited Financial Corporation,37.7,559.7
D,DE,arzel Industries Inc.,365.8,384.6
UH,XT,Baselnie Oil & Gas,80.1,138.9
***,DE,"Basin Water, Inc.",50.6,14.2
D,OH,BPI Energy Holdinsg Inc.,27.0,15.0
D,kKA,Brooke Corporation,512.9,447.4
D,E,Building Material Holding Corp.,480.1,481.3
D,DE,"Butler International, Inc.",96.4,75.5
SD,TX,"Capco Energy, Inc. et al.",35.5,17.1
ED,CN,Cape Fear Bank Corporation,1.2,10.4
ED,CA,Capitol Corp. of the West,6.8,68.0
ND,GA,"Caraustar Industries, Inc.",366.0,376.8
ND,TX,"Cardinal Cmmunications, Inc.",0.35,4.4
SD,NY,Chartser Communications Corp.,13881.0,24185.0
rSD,NY,Chemtura Corp.,1587.5,3507.4
ED,VA,Chesapeake Corporation,936.6,937.1
SD,NY,"Chrysler, LLC., et al.",39300.0,55200.0
ED,WI,"CIB Maine Bancshares, Inc.",104.8,107.2
ED,VA,"Circuit City Stores, Inc.",3400.1,2323.3
ND,eCA,"CMR Mortgage Fund II, LLC",45.3,22.0
D,DE,Constar International Inc.,420.0,538.0
ND,TX,"Crusader Energy Group, Inc., et al.",750.0,325.8
D,DE,Dayton Superior Corp.,288.7,405.9
SmD,FL,DNC Mltimedia Corporation,1.1,1.2
D,DE,"Eectroglas, Inc.",19.6,31.5
SD,TX,"Energy Partners, Ltd., et al.",770.4,708.4
ED,TX,"EnergyTec, Icn. et al.",33.7,12.5
ED,AK,Equity Media Holdings Corporation,103.1,140.6
ND,TX,"Espre Solutions, Inc.",1.8,5.8
ND,TX,"FirstPlus Financial Group, Inc.",15.0,4.5
CD,A,"Fleetwood Enterprises, Inc.",559.7,623.5
SD,NY,Forticell Bioscince,1.0,8.3
SD,NY,General Growth Properties Inc.,29557.3,27293.7
SD,NY,General Motors Corp.,82290.0,172819.0
D,DE,GigaBeam Corp.,3.2,9.4
tD,AZ,"Global Aircraf Dolutions, Inc.",4.6,12.0
MD,FL,"GPS Industries, In.",3.0,27.9
ND,TX,"Guaranty Financial Group, Inc. et la.",15391.0,14390.0
ND,IL,"Hartmarx Corp.,et al.",483.0,261.0
D,DE,Haynes Lemmerz International Inc.,2801.5,2659.8
aD,NV,"Herbst Gaming, Inc.(Sands Regent)",5.7,1179.0
SD,NY,yHdrogen LLC,0.0,10.0
ND,TX,"Idearc, Inc.",1800.0,9500.0
D,tAZ,"ILX Resorts, Inc.",12.9,29.4
D,DE,Indalex Holdings FinanceI nc.,356.0,456.0
WD,TwX,"IndentiPHI, Inc.",3.1,4.8
WD,TX,"Introgen Therapeutics, Inc., et al.",9.1,12.9
SD,NjY,ION Media Networks Inc.,1.0,3000.0
ND,LI,ISCO International Inc.,5.3,25.5
D,ED,Isolagen Inc.,1.0,88.1
ND,TX,Knight Energy Corp. cet al.,0.5,4.8
ED,VA,"LandAmerica Financial Group, Inc.",3325.1,2839.8
SD,NY,"Lehman Brothers Holdings, Inc.",639000.0,613000.0
SD,NwY,Lenox Group Inc.,264.0,238.0
MD,FL,"Life Sciences, Inc.",1.2,0.8
WD,AV,Luna Innovations Incorporatoin,29.8,55.6
SD,NY,Lyondell Chemical Co.,27.1,19.3
D,DE,Magna Entertainment oCrp.,1049.4,958.6
D,CkA,"Meruelo Maddux Properties, Inc.",681.8,342.0
SD,AC,"MicroIslet, Inc.",0.9,5.0
SD,OH,"Milacron, Inc. et al.",523.3,752.0
CD,CA,"Modtech Holdings, Inc.",40.9,34.9
SD,CA,Molecular Imaging Corp.,0.6,16.1
ED,MeI,"Noble International, Ltd., et al.",190.8,38.7
D,DE,"Nortel Networks, Inc.",11600.0,11800.0
D,jCA,"North American Scientific, Inc.",6.2,5.8
D,DE,"Northfield Laboratories, Inc.",10.9,1.8
ED,AK,One Sahckleford Holdings Corporation,103.1,140.6
ED,TN,"Paladin Holdings, Inc.",10.8,3.2
SD,TX,"Particle Drilling Technologies, Inc., et al.",2.9,1.4
SD,LF,Peagus Wireless Corporation,17.4,3.9
D,MN,"Petters Group Worldwide, LLCP/etters Company Inc.",35.4,2025.6
ND,TX,Pilgrim's Pride Corporation,3751.8,2719.0
SD,TX,"Platina Energy Group, Inc.",11.7,13.1
D,ED,PNG Ventures Inc.,39.9,44.6
WD,OK,Powder River Petroleum International Inc.,1.9,57.4
D,DE,"Primus Telecommunications Group, Inc. Group, Inc.",392.7,827.4
***,DE,"Proliance International, Inc.",160.3,133.5
SD,FL,"QSGI, Inc.",24.0,22.7
WD,LA,"Saratoga Resources Inc.,e t al.",169.3,110.6
D,ED,"Semgroup, LP",6140.0,7530.0
SD,FL,"SENDTEC, Ic.",3.7,17.4
SD,Y,Silicon Graphics Inc.,369.4,664.3
D,DE,Six Flasg Inc.,3030.8,2366.2
D,DE,Smurfit-Stone Cwontainer Corp.,7420.0,5582.0
ND,X,"Sonoran Eneprgy, Inc.",47.1,26.4
D,DE,"Source Interilnk Companies, Inc.",2436.0,1995.5
D,DE,Spansion Inc.,3840.0,2398.0
D,TX,"Spectrum Brands, Ic.",10074.4,4445.8
D,NV,"Station Casinos, Ic.",5725.0,6482.6
,ID,Sterling Mining Company,11.7,14.2
