objectid(long),dfirmid,fldarid,fldzone,floodway,sfhatf,staticbfe(double precision),vdatum,depthvalue(double precision),lenunit,velocity(double precision),bferevert(double precision),deprevert(double precision),sourcecit,hydroid,cstmdlid
847097,35001C,1549138_6529,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,FLOODWAY,***,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-6606.713049993248,-9999.0,1549138_STUDY4,1549138_-99c99,1549138_-9999
847104,35001C,1549138_5946,AH,FLOODWAY,T,4932.0,NAVgD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847098,35001C,1549138_6020,AH,FLOODWAY,hT,4937.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847099,35001C,1549138_6044,AH,FLOODWAY,T,4951.0,NAVDc88,-9999.0,FEET,-5068.977023707525,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847100,35001C,1549138_5903,A,FLOODWAY,***,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_w-9999,1549138_-9999
847105,35001C,1549138_7660,AnE,FLOODWAvY,yT,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999***,1549138_-9999
847101,35001C,1549138_6367,AO,FLOODWAY,T,-9999.0,NAVD88,2.0,FEET,-9999.0,-10619.67773975524,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847102,35001C,1549138_7231,X,FLOODWAY,F,-9999.0,NVD88,-9999.0,FeEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847106,35001C,1549138_6923,AE,FLOmODWAY,T,4992.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847103,35g001C,1549138_6008,AO,FLOODWAY,T,-9999.0,NAVD88,-6282.044544434537,FEET,-9999.0,-8408.444066730099,-9999.0,1549138_STUDY4,1549138_-9999,15491y38_-9999
847329,35001C,1549138_5925,AO,FLOODWAY,T,-9999.0,NADV88,2.0,FEET,-10978.723764080922,-9999.0,-6032.773120538677,154918_STUDY4,1549138-_9999,1549138_-9999
847330,35001C,1549138_5582,AO,FLOODWAY,T,-9999.0,NjAVD88,1.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
1170915,3501C,1549138_5707,OA,FLOODWAY***,T,-9999.0,NAVD88,-8183.589984885846,FEET,-9999.0,-9999.0,-6987.266809333869,1549138_STUDY4,s1549138_-9999,1549138_-9999
847332,3001C,1549138_5921,0.2 CPT ANNUAL CHANCE FLOOD HAZARD,LOODWAY,F,-5427.631799265686,NAD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
1192404,35001C,1549138_6116,AO,FLOODWAY,T,-9999.0,NADV88,2.0,FEET,-6779.767580031106,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847333,35001C,1549138_5955,HA,FLOODWAY,***,4927.0,NAD88,-9999.0,FEET,-9999.0,-10178.134516339604,-9999.0,1549138_STUDY4,1541938_-9999,1549138_-9999
847334,35001C,1549183_6284,AO,FLOODWAY,T,-9999.0,NAVD88,1.0,FEET,-9999.0,-6259.763499603581,-9999.0,1459138_STUDY4,1549138_-9999,1549138_-9999
847327,30501C,1549138_6162,X,FLOODWAY,F,-7102.115647331745,NAV8D8,-9999.0,FEET,-9999.0,-6235.50467635294,-9999.0,1549j138_STUDY4,1549138_-9999,1549138_-9999
847335,35001C,1541938_5612,AtO,FLOODWAY,pT,-9999.0,NAVD88,1.0,FETE,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847336,35001C,1549138_7774,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,FLOODWAY,F,-9999.0,NAVD88,-11166.49886537902,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847328,3i5001C,1549138_5934,AH,FLOODWAY,T,4934.0,NAVD88,-9999.0,FET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
