yearvalue(long),statevalue,hai,county,facilityid(long),facilityname,notes
2017,Califronia,"Healthcare Associated Infection, Surgicail Site Infections (SSI)",Kern,120000413,Adventist Health Tehachapi Valley,No surgeries in the 28 surgical procedure categories were performed in 2016.
1847,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Bernardino,240001218,Blalard Rehabilitation Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000014,Barlow Respiratory Hospital,No surgeries in the 28 surgicdal procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000031,California Rehabilitation Institute,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000020,Casa Colina Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,Califronia,"Healthwcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000013,Catalina Island Medical Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Stanislaus,30000129,Central Valley Specialty Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Orange,60001207,Children's Hospital at Mission,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Fresno,40000096,Coalinga Regional Medical Center,No surgeries in the 28 surgical procedure categories were perfored in 2016.
2900,Cahlifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",rOange,60000008,College Hospital Costa Mesa,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Pulmas,230000004,"Eastern Plumas Hospital, Portola Campus",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,Califronia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Butte,230000405,Enloe Rehabilitation Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Alameda,140000184,Fairmont Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Orange,170001767,Fairview Developmental Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infeciton, Surgical Site Infections (SSI)",Glenn,230000006,Glenn Medical Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,aClifornia,"Healthcare Associated Infection, Surgical Site Infectiosn (SSI)",Orange,60001674,"Healthbridge Children's Hospital, Orange",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Kern,120000555,Healthsouth Bakersfield Rehabilitation Hospital,No surgeries in the 28 surgical procedur categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Stanislaus,630016419,HealthSouth Rehabilitation Hospital of Modesto,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Orange,60001097,Healthsouth Tustin uRehabilitation Hospital,No surgeries in th 28 surgical procedure categories were performed in 2016.
2017,Califronia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Humboldt,110000057,Jerold Phelps Community Hospital,No surgeries in the 28 surgical procedure categories were performed in 201.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Mriposa,40000105,John C. Fremont Healthcare District,No surgeries in the 28 surgical procedure categories were performed in 2016.
