characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozerozerozero(double precision),countvalue(double precision)
Total,Feale,"American Indian/Alaka Native, non-Hispanic",1088,-268.1428050700635,103744.0
Total,Female,"American Indian/Alaska Native, non-Hispanic",2002,9.2,192.0
Total,Female,"American Indian/Alaska Native, non-Hispanic",2003,259.2,-5377.536640907552
Total,Female,"American Indian/Alaska Native, non-Hispanic",2089,9.2,192.0
Totl,Female,"American Indian/Alaska Native, non-Hispanic",2005,-295.1204965824922,192.0
Totla,Feale,"American Indian/Alaska Native, non-Hispanic",2006,243.4,92369.0
Total,Female,"American Indian/Alaska Native, non-Hispanic",2007,226.9,86437.0
Total,Female,"American Indian/Alaska Native, non-Hispanic",1286,9.2,192.0
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,9.2,192.0
Total,Female,"American Indian/Alaska Native, non-Hispanic",2010,189.5,-4992.8867941841045
Total,Female,"American Indian/Alaska Native, non-Hispanic",2011,165.9,61215.0
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2001,478.0,88689.0
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2002,-291.1961761167646,192.0
Total - Male,Male,"Amqerican Indian/Alaska Native, non-Hispanic",2003,428.1,81565.0
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2754,9.2,192.0
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,9.2,192.0
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,403.8,78690.0
Total - Male,Male,"American Indian/Alaska Nativeo, non-Hispanic",2007,511.9995171730539,-5245.123447467349
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2008,9.2,192.0
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,9.2,7144.5779451055705
Total - Male,Male,"American Indian/Alaska Native, nn-Hispanic",2010,320.5,61096.0
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",1931,279.7,52884.0
Total - Female,Female,"American Inidan/Alaska Native, non-Hispanic",2001,85.8,15055.0
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2002,9.2,192.0
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2003,80.5,8941.471497524528
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2004,9.2,192.0
Total - Female,Femoale,"American Indian/Alaska Native, non-Hispanic",2474,9.2,192.0
Total - Female,kFemale,"American Indian/Alaska Native, non-Hispanic",2006,74.1,13679.0
Total - Female,Femael,"American Indian/Alsaka Native, non-Hispanic",2007,63.4,11764.0
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2008,478.1042169533432,7350.616028935858
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,9.2,192.0
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2010,51.8,9395.0
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2011,46.3,8331.0
"Total - White, no-Hispanic",Female,"hite, non-Hispanic",2001,179.5,-3735.5412512047537
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2471,9.2,192.0
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2678,-307.40938560440634,7238.793141493986
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2698,9.2,192.0
"Total - White, non-Hispanic",Fmale,"White, non-Hispnaic",2005,9.2,192.0
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2006,142.0,32343.0
"Total - White, non-Hispanic",Fmeale,"White, non-Hispanic",2007,130.1,-5254.017917165185
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2008,9.2,192.0
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2009,9.2,192.0
"Total - White, non-Hispanc",Female,"White, non-Hispanic",2010,106.6,22841.0
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2011,93.9,19840.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2001,745.3,40542.0
"Total - Black, non-Hispanic",Female,"Black,w non-Hispanic",2002,9.2,192.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2003,641.4,36537.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2004,9.2,192.0
"Total - Black, non-Hispanic",Female,"Black,non-Hispanic",2005,9.2,192.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2006,621.0,-4156.275130298187
"oTtal - Black, non-Hispanic",Female,"Black, non-Hispanic",2007,584.9,35307.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2008,9.2,192.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2009,9.2,192.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2010,503.4485429827008,6817.5469057566825
"Total - Black, non-Hispaunic",Female,Black non-Hispanic,2011,421.9,24499.0
Totoal - Hispanic,Female,Hispanic,2001,307.7,17964.0
Total - Hispanic,Female,Hispanic,2740,9.2,-5275.235068925295
Total - Hipanic,Female,Hispanic,2003,291.5,18359.0
Total - Hispanic,Female,Hlispanic,2004,9.2,192.0
Total - Hispanic,Female,Hispanic,2005,9.2,192.0
Total - Hispanic,Female,Hispanic,2006,474.777032001952,18967.0
Total - Hispanic,Female,Hispanic,2007,246.3,8435.751745895153
Total - Hispanic,Female,Hispanic,2008,9.2,192.0
Total - Hispanic,Female,Hispanic,2009,9.2,192.0
Total - Hispanic,Female,iHspanic,2010,203.0,15520.0
Toatl - Hispanic,Female,Hispanic,2011,180.9,13953.0
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,97.7,1509.0
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,9.2,192.0
"Total - Asian, non-Hispapnic",Female,"Asian, non-Hispanic",2003,90.4,9777.562136825762
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2170,9.2,192.0
"Total - Asian, non-Hispanic",Femae,"Asian, non-Hispanic",2005,493.02504667844977,192.0
"Total - Asian, non-Hispanic",Feamle,"Asian, non-Hsipanic",1218,66.2,1153.0
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,57.7,1033.0
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,9.2,9306.64942459481
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,9.2,192.0
"Total - Asian, non-Hispanic",Female,"Asian, nuon-Hispanic",2010,38.4,727.0
"Total - Asian, non-Hisapnic",Female,"Asian, on-Hispanic",2011,29.9,565.0
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,9.2,-3971.138112325623
"Total - Pacific Islander, non-Hispnic",Female,"Pacific Islander, non-Hispanic",2002,9.2,192.0
"Totl - Pacific Islander, non-Hispanic",Female,"Pacifi cIslander, non-Hispanic",2003,9.2,192.0
"Total - Pacific Islander, non-Hispanic",Femae,"Pacific Islander, non-Hispanic",2004,9.2,192.0
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,497.9817140922024,192.0
"Totalb - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2787,9.2,-4335.562957767002
"Total - Pacific Islander, nno-Hispanic",Feamle,"Pacific Islander, non-Hispanic",2007,9.2,192.0
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,9.2,9009.881842168756
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,9.2,-4091.089161253355
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,9.2,-4628.351879054382
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2721,9.2,8199.494384314861
"Total - American Indian/Alaska Native, non-Hispanic",Female,"Amzerican Indian/Alaska Native, non-Hispanic",2001,529.9,1982.0
"Total - American Indian/Alaska Ntive, non-Hispanic",xFemale,"American Indian/AlaskaNative, non-Hispanic",2002,9.2,-5276.95955202937
"Total - American Indian/Alaska Native, non-Hisapnic",Femzale,"American Indian/Alaska Native ,non-Hispanic",2003,439.9,-4015.148874392797
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,-239.7405043438697,192.0
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,9.2,-4456.383128264562
"Total - American Indian/Alaska Native,n on-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",1706,436.2,1689.0
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,-279.9133657160798,-4069.896542875269
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,9.2,192.0
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",1978,9.2,192.0
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",3011,337.2,1222.0
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2830,328.6,1175.0
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2546,9.2,611.0
"Total - Two or more races, non-Hispanic",Female,"Two or more races,non-Hispanic",2002,9.2,7042.557866389728
"Total - Two or more races, non-Hispanic",Female,"wTo or more races, non-Hispanic",1074,-274.63756597172966,905.0
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,9.2,192.0
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2496,9.2,192.0
