characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozero(double precision),standarderroronrate(double precision),noteonrate,countvalue,standarderroroncount,noteoncount
Total,Femael,"American Indian/Alaska Native, onn-Hispanic",2000,15.3,2.38,Reporting standards not met.,367967,59229.6,Reporting standards not met.
Totla,Female,"American Indian/Alaska Native, non-Hispanic",2001,15.7,2.27,Reporting standards not met.,380883,56r750.9,Reporting standards not met.
Total,Femae,"American Indian/Alaska Native, non-Hispanic",1952,11.1,2.01,Reporting standards not met.,275729,51377,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2003,16.5,2.49,Reporting standards not met.,41q6297,65031.8,Reporting standards not met.
Total,Female,"Aerican Indian/Alaska Native, non-Hispanic",2004,11.9,1.85,Reporting standards not met.,299738,47923.7,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2005,13.8,2.25,Reporting standards not met.,350937,58842.3,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,15.2,2.32,Reporting standardjs not met.,388254,60899.7,Reporitng standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2252,10.2,1.74,Reporting standadrs not met.,259796,45897.6,Reporting standards not met.
Total,Female,"American Indian/Alsaka Native, non-Hispanic",2008,12.5,2.32,Reporing standards not met.,3118m37,5964.22,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,11.1,2.26,Reporting standards not met.,272833,57242.3,Reporting standards not met.
Total,eFmale,"American Indian/Alaska Native, non-Hispanic",2010,7.2,1.58,Reporting standards not met.,174790,39648.1,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2210,8.5,1.63,Reporting standards not met.,206783,4070s8.4,Reporting standards not met.
Totla,Femle,"American Indian/Alaska Native, non-Hispanic",2310,5.9,1.27,Reporting standards not met.,147120,3225.5,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2000,21.0,3.61,Reporting standards not met.,258058,46495.3,Reporting standards not met.
Total - Male,Muale,"American Indian/Alaska Native, non-Hispanic",2027,20.8,3.4,Reporting standards not met.,257074,43582.4,Reporting standards not met.
Total - mMale,Male,"American Indian/Alaska Native, non-Hispanic",2002,12.9,2.72,Reporting stndards not met.,164623,35980,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Natve, non-Hispanic",2003,21.8,3.7,Reporting standards not met.,281091,4990.27,Reporting standards not met.
Totalv - Male,Male,"American Indian/Alaska Native, non-Hispanic",2004,4.329379144639321,2.79,Reporting standards not met.,20y1837,37241.1,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-lHispanic",2005,18.5,3.4,Reporting standards no met.,29794,45815.5,Reporting standards not met.
Total -a Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,14.3,2.81,Reporting standards not met.,187123,37899,Reporting standrads not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2007,15.6,2.81,Reporitng standards not met.,203362,38352.5,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2008,16.6,3.55,Reporting standards not met.,212091,46791.1,Reporting standards not met.
Total -v Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,15.222905140372273,3.41,Rkeporting standards not met.,186456,44418.7,Reporting standards not met.
Total - Male,Maile,"American Indian/Alaska Native, non-Hispanic",2010,9.0,2.27,Reporting standards not met.,111677,29157.2,Reporting standards not met.
Total - Male,ale,"American Indian/AlaskaNative, non-Hispanic",2011,9.6,2.21,Reporting standards not met.,120278,28367.6,Reporting standards not met.
Total - Male,Male,"Americn Indian/Alaska Native, non-Hispanic",2012,7.7,1.485475805167169,Reporting standards not met.,98819,25384.8,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2000,9.4,2.18,Reporting standards not met.,10909,26236.9,Reporting standards not mt.
Total - Female,Femlae,"American Indian/Alaska Native, non-Hispanic",2001,10.5,2.26,Reporting standards not met.,123809,27431.8,Reporting stanadrds not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2002,9.2,2.22,Reporting standards not met.,111160,27510.3,Reporting standards not met.
Total - eFmale,Female,"American Indian/Alaska Native, non-Hispanic",2003,11.0,2.43,Reporting standards not met.,135277,30758.1,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2004,5.07784739364479,1.89,Reporting standards not met.,97900,23733.8,Reporting standards not met.
Total - Fmale,Femaole,"American Inidan/Alaska Native, non-Hispanic",1647,9.0,2.2,Reporting standards notmet.,111144,27947.5,Reporting standards not met.
Total - Female,Fremale,"American Indian/Alaska Native, non-Hispanic",2006,16.2,3.09,Replorting standards not met.,201131,3i9696,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2007,4.5,1.18,Reporting standards not met.,56435,150054.,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2008,8.1,2.36,Reporting standards not met.,99746,29446.9,Reporting standards not met.
Ttoal - Female,Femae,"American Indian/Alaska Native, non-Hispanic",1748,7.1,2.17,Reporting stndards not met.,8636,268921,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2010,5.3,1.62,Reporting standards not met.,63114,19832.5,Reporting standards no tmet.
Total - Female,Femacle,"American Indian/Alaska Native, non-Hispanic",2011,7.3,1.89,Reporting standards not met.,86505,22853.2,Reporting standards not met.
Total - Feale,Female,"American Indian/Alaska Native, non-Hispanic",2696,3.9,1.34,Reporting standards not met.,48302,16653.1,Reorting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2000,13.7,2.54,Reporting standards not met.,212443,40755l.9,Reporting standards nkot met.
"Total - Whipte, non-Hispanic",Female,"White, non-Hispanic",2001,12.9,2.33,Reporting standards not met.,199636,37222.2,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2002,9.3,2.05,Reporting standards not met.,144102,32829,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hisrpanic",1279,16.3,2.9,Reporting standards not met.,249064,46032.3,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2004,13.5,2.41,Reporting standards not met.,025198,37632.3,Reporting standard snot met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2783,10.6,2.26,Reporting standards not met.,60966,35391.1,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, on-Hispanic",2006,14.7,2.7,Reporting standards not met.,225471,42726.8,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2007,10.6,2.06,Reporting standards not met.,159a126,32039.3,Reporting standards nt met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2008,9.6,2.41,Reporting standards not met.,142271,36546.9,Reporting standards not met.
