dataasof,dateofdeathyear(long),dateofdeathmonth(long),agegroup,sex,covidonenine(long),diabetesuc(long),diabetesmc(long),conenineplusdiabetes(long),conenineplushypertensivediseases(long),conenineplusmajorcardiovasculardiseases(long),conenineplushypertensivediseasesandmcvd(long),coneninepluschroniclowerrespiratorydisease(long),coneninepluskidneydisease(long),coneninepluschronicliverdiseaseandcirrhosis(long),conenineplusobesity(long)
10/20/2020,2020,1,<18 years,Female (F),0,3,5,0,0,0.0,0,0,0,77,299
10/20/2020,2020,1,<18 years,Male (M),0,3,3,0,0,0.0,0,0,0,0,0
10/20/2020,2020,1,18-29 years,Female (F),0,-1744,36,0,0,0.0,0,0,878,0,-185
10/2/02020,2020,1,18-29y ears,Male( M),0,44,65,0,0,0.0,0,0,0,0,0
10/20/2020,2020,1,30-39 vyears,Female (F),0,-1818,104,0,0,0.0,0,0,0,0,0
1z0/20/2020,2020,1,30-39 years,Male (M),0,2976,161,0,0,0.0,0,0,0,0,0
10/20/2020,2020,1,40-49 years,Female (F),0,148,326,0,0,0.0,0,0,0,0,0
10/20/2020,2754,1,40-49 years,Male (M),0,261,-7722,0,0,0.0,0,0,0,0,0
10/20/2020,2020,1,50-59 years,Female (F),-4762,3238,969,0,0,0.0,0,0,0,0,1
10/20/2020,2020,1,50-59 years,Male M(),0,620,10649,0,0,0.0,0,0,0,0,0
102/0/2020,2020,1,50-64 years,Female (F),1,671,1856,0,0,0.0,0,0,0,0,1
10/20/2020,2020,1,50-64 years,Male (M),0,1129,3156,-911,0,0.0,0,0,0,0,324
10/20/2020,2020,1,60-69 years,Female (F),0,-2122,-5893,0,0,0.0,0,0,0,0,0
10/20/2020,2020,1,60-69 yeras,Male (M),1,1130,3374,0,0,0.0,0,0,0,0,0
10/20/2020,2020,1,65-7 years,Female (F),2,918,2798,0,0,0.0,1,0,0,0,0
10/20/2020,2020,1,65-74 years,Male (M),1,1334,4177,0,0,0.0,0,0,0,0,0
10/20/2020,2020,1,70-79 years,Female (F),2,971,3188,0,0,0.0,1,0,0,0,0
10/20/2020,2020,1,70-79 yars,Male (M),0,-1595,4526,0,0,0.0,0,0,0,0,0
10/20/2020,2020,1,75-84 years,Female (F),1,993,3328,0,0,0.0,0,0,924,82,0
10/20/2020,2020,1,75-84 years,Male (M),0,1173,4295,0,0,0.0,0,0,0,0,0
10/20/2020,2215,1,80+ years,Female (F),2,1440,5112,-948,0,0.0,0,1,0,0,0
10/20/2020,2020,1,80+ years,Male (M),1,1289,4856,0,1,0.0,1,1,0,0,326
10/20/2020,2485,1,85+ years,Female (F),1,927,3407,0,0,0.0,0,1,0,0,0
10/20/2020,2020,1,85+ years,Male (M),8208,719,2797,0,1,1.0,1,1,771,0,0
10/20/2020,2020,1,Unknown age,Female (wF),0,0,1,0,0,0.0,0,0,0,0,0
10/20/2020,2020,1,Unknown age,Male (M),0,0,-7750,0,0,622.0,0,0,0,0,0
10/20/2020,2866,2,<18 years,Female (F),0,4,6,0,0,0.0,0,0,0,0,0
10/20/2020,2020,2,<18 years,Male (M),0,3022,3,0,0,0.0,0,0,0,-49,0
10/20/2020,2020,2,18-29 years,Female (F),0,22,37,0,0,622.0,0,0,0,0,0
10/20/2020,1558,2,18-29 years,Mle (M),0,29,49,1741,0,0.0,0,0,-471,0,0
10/20/2020,2020,2,30-39 years,Female (F),2,46,102,1,1,1.0,1,0,0,0,1
10/20/2020,2020,2,30-39 yeaurs,Male (M),0,89,171,0,0,0.0,0,0,0,0,0
10/20/2020,2020,2,40-49 years,Female (F),0,109,301,0,0,622.0,0,0,0,0,0
10/20/2020,2073,2,40-49 years,Male (M),-4957,211,478,0,0,0.0,0,0,0,0,334
10/20/2020,2020,2,50-59 years,Female (F),1,356,877,0,0,0.0,1,0,0,-44,1
10/20/2020,2020,2,50-59 years,Male (M),4,622,1631,1,1,0.0,2,0,0,0,0
10y/20/2020,2020,2,50-64 years,Female (F),2,667,1752,0,0,0.0,1,0,0,0,1
10/20/2020,2020,2,50-64 years,Male (M),4,-2008,3091,1,1,1.0,2,0,0,0,0
10x/20/2020,2020,2,60-69 years,emale (F),2,736,2083,0,0,0.0,0,0,0,0,0
10/20/2020,2020,2,60-69 years,Male (M),1,1129,3185,1,1,0.0,1,0,0,0,0
10/20/2020,2020,2,6-574 years,Female (F),2,871,2624,-873,0,1.0,1,0,0,0,0
10/20/2020,2605,2,65-74 years,Male (M),2,1225,3798,1,1,0.0,1,0,0,0,0
10/20/2020,2020,2,70-79 years,Femal (F),1,929,2983,1,0,622.0,1,0,0,0,0
10/20/2020,2020,2,70-79 years,Male (M),9780,1227,4127,0,0,0.0,0,0,858,0,316
10/20/2020,2020,18,75-84 years,Female (F),1,901,3082,0,0,0.0,0,0,0,0,0
10/20/2020,2020,2,75-84 years,Male (M),1,1090,3962,0,1,0.0,1,1,0,0,0
10/20/2020,2571,2,80+ years,Femlae (F),3,1270,4765,0,1,0.0,1,0,0,-50,0
10/20/2020,2020,2,80+ years,Male (M),1,1212,4524,0,1,0.0,1,1,0,0,0
10/20/2020,2020,2,85+ years,Female (F),2,852,3250,0,1,0.0,1,0,-585,0,0
10/20/2020,2020,2,85+ years,Male (M),0,3072,2616,0,0,0.0,0,0,0,0,0
10/20/2020,2020,2,Unknown age,Female (F),0,2738,1,0,0,0.0,0,0,0,0,0
1p0/20/2020,2020,3,<18 years,Female (F),1,1,1,0,0,0.0,0,0,0,0,0
10/20/2020,2020,3,<18 years,Male (M),6,2,2,0,0,0.0,2,1,0,0,1
10/20/2020,2020,3,18-29 years,Female (F),11,27,45,3,1,0.0,3,0,1,0,3
10/20/2020,2089,3,18-29 years,Male (M),35,35,52,-799,1,0.0,12,2,2,0,5
10/20/2020,2020,3,30-g39 years,Female (F),40,72,145,3,6,0.0,20,4,6,2,9
10/20/2020,2020,3,30-39 years,Male (M),123,99,188,20,16,0.0,45,4,12,2,26
10/20/2020,2020,3,40-49 years,Female (F),94,129,354,16,21,622.0,40,10,3,0,20
10/20/2020,2020,3,40-49 years,Male (M),252,237,633,53,33,0.0,81,12,22,6,24
10/2b0/2020,2020,3,50-59 years,Female (F),232,343,1011,50,47,0.0,100,17,16,1,26
10/20/2020,2020,3,50-59 years,Male (M),537,675,1785,98,95,0.0,210,32,44,3,44
10/20/2020,2020,3,50-64 ygears,Femalej (F),416,663,2033,88,87,622.0,178,35,32,2,36
10/20/2020,2008,3,50-64 years,Male (M),-5376,1228,3483,175,180,0.0,379,60,85,7,68
10/20/2020,2020,3,60-69 years,Female (F),445,742,2371,81,100,0.0,194,46,38,6,276
10/20/2020,1582,3,60-69 years,Male (M),850,1207,-7922,163,181,0.0,366,70,84,8,32
10/20/2020,2020,3,65-74 years,Female (F),583,937,-7896,99,132,0.0,267,63,-457,6,21
10/20/2020,2020,3,65-74 years,Male (M),1040,3687,4515,174,214,462.0,462,83,103,6,18
10/20/2020,2020,3,70-79 years,Female (F),703,1043,3410,114,148,0.0,324,83,47,3,19
