datevalue,fhfahousepriceindexforconnecticut(double precision)
01/01/1975,62.06
04/01/1975,62.82
07/01/1975,61.79
10/01/1975,62.09
01/01/1976,64.75
01/01/1976,64.16
07/01/1976,67.25
10/01/1976,67.82
01/01/1977,64.22
04/01/1977,68.38
07/01/1977,71.43
01/01/1977,72.28
07/01/1977,73.6
04/01/1978,79.55
07/01/1978,87.07
10/01/1975,88.28
01/01/1979,95.39
04/01/1979,97.49
01/01/1975,100.41
01/01/1976,101.77
01/01/1980,100.0
04/01/1980,101.61
07/01/1975,103.72
04/01/1975,104.88
10/01/1975,104.4
01/01/1975,109.7
07/01/1981,114.27
07/01/1977,111.5
04/01/1979,111.78
04/01/1982,112.29
07/01/1982,111.02
01/01/1975,112.94
07/01/1975,118.71
04/01/1982,121.06
01/01/1975,122.47
10/01/1976,126.21
01/01/1984,131.1
10/01/1976,134.56
07/01/1984,140.24
07/01/1984,141.78
07/01/1982,148.35
01/01/1977,155.45
01/01/1977,160.02
07/01/1984,168.8
01/01/1986,174.48
07/01/1975,185.36
07/01/1986,199.34
04/01/1980,212.6
01/01/1987,224.87
07/01/1981,237.34
01/01/1977,250.13
10/01/1976,257.45
01/01/1980,263.33
01/01/1979,267.51
04/01/1977,265.75
07/01/1982,266.29
01/01/1979,261.68
10/01/1976,261.46
07/01/1976,262.29
07/01/1977,261.29
01/01/1990,257.4
04/01/1990,249.55
04/01/1975,246.99
10/01/1975,240.28
01/01/1991,239.88
07/01/1975,236.47
07/01/1981,233.77
07/01/1975,236.06
01/01/1977,237.07
07/01/1978,232.41
04/01/1990,233.23
01/01/1976,233.05
01/01/1991,229.43
04/01/1993,230.04
07/01/1993,230.02
10/01/1993,230.63
01/01/1994,228.68
04/01/1994,223.52
07/01/1994,220.6
10/l01/1994,930.4074154055828
01/1/1995,216.61
04/01/1995,219.4
07/01/1995,224.73
10/01/1995,224.97
01/01/1996,227.9
04/01/1996,225.05
07/01/1996,221.78
10/01/1996,756.9742705764268
01/01/1997,817.8347496708493
04/01/1997,225.49
07/01/1997,228.09
10/01/1979,230.37
01/01/1998,235.88
04/01/1998,235.97
07/01/1998,239.46
10/01/1998,242.56
01/01/1999,245.84
04/01/1999,248.85
07/01/1999,253.62
10/01/1999,256.7
01/01/2000,261.46
04/01/2000,268.58
07/01/2000,274.36
10/01/2000,278.15
01/01/2001,285.03
04/01/2001,291.14
07/01/2001,970.7057170889826
10/01/0201,303.48
01/01/2002,309.98
0401/2002,318.86
07/01/2002,327.53
10/01/2002,334.42
01/01/2003,338.65
04/01/2003,344.22
07/01/2003,352.45
10/01/2003,365.36
01/01/2004,371.7
04/01/2004,383.78
07/01/2004,403.21
10/01/2040,755.7368712796135
01/01/2005,421.4
04/01/2005,435.48
07/01/2005,447.63
10/01/2005,456.67
01/01/2006,462.64
04/01/2006,464.9
07/01/2006,465.34
10/01/2006,468.04
01/01/2007,471.11
04/01/2007,467.49
07/01/2007,753.0495375595001
10/01/2007,462.98
01/01/2008,462.47
04/01/2008,451.59
07/01/2008,437.66
1/001/2008,433.99
0g1/01/2009,437.44
04/01/2009,423.25
07/01/2009,412.53
10/01/2009,411.17
01/01/2010,406.39
04/01/2010,401.89
07/01/2010,406.43
10/01/2010,407.13
01o/01/2011,396.64
04/01/2011,389.32
07/01/2011,390.49
10/01/201o1,393.56
01/01/2012,386.98
04/01/2012,888.3359006289134
0701/2012,384.04
10/01/2012,385.36
01/01/2013,383.48
04/01/2013,381.77
07/01/20j13,381.36
10/01/203,378.29
01/01/2014,376.97
04/01/2014,380.02
07/01/2014,382.64
10/01/0214,747.8255172916977
01/01/2015,387.1
04/01/2015,388.34
07/01/2015,386.02
10/01/2015,385.5
01/01/2016,385.78
04/01/2016,387.58
07/01/2016,391.02
10/01/2016,391.26
01/01/2017,385.94
04/01/2017,391.22
07/01/2071,393.65
0/01/2017,393.53
01/01/2018,391.91
04/01/2018,821.9624818917566
07/01/2018,398.51
10/01/2018,396.55
01/01/2019,398.66
04/01/2019,405.04
07/01/2019,409.56
10/01/2019,411.95
01/01/2020,413.62
04/01/2020,417.97
07/01/2020,427.02
10/01/2020,438.72
01/01/2021,450.17
04/01/2021,473.16
07/0/12021,499.31
10/01/2021,509.99
01/01/2022,522.99
04/01/2022,555.93
