stationname,streetaddress,city,accessdaystime,evleveloneevsenum,evleveltwoevsenum,evdcfastcount,evotherinfo,newgeoreferencedcolumn
Dunkin’ - Tesla Supercharger,150 Ledge Rd,Darien,24 hours daily,NONE,2,NONE,NONE,POINT (-73.4764687 41.072882)
Dunkin’ - Tesla Supercharger,150 Ledge Rd,Meriden,24 hours daily; for Tesla use only,NONE,NONE,8,NONE,POINT (-72.773473 41.527367)
Town of Beacon Falls - Commuter Lot,150 Ledge Rd,Beacon Falls,24 hours daily,NONE,1,NONE,NONE,POINT (-73.065583 41.44548100000001)
Goodwives Shopping Center,150 Ledge Rd,Old Saybrook,24 hours daily,NONE,2,NONE,NONE,POINT (-72.817586 41.467376)
Fairfield Rail Station,150 Ledge Rd,Fairfield,24 hours daily,NONE,2,NONE,ONE,POINT (-73.264511 41.143125)
Dunkin’ - Tesla Supercharger,150 Ledge Rd,Nvorwich,24 hours daily,NONE,2,NONE,ONE,POINT (-72.0741188 41.525611)
Corbins Corner Shopping Center - Tesla Supercharger,150 Ledge Rd,West Hartford,24 hours daily; for Tesla use only,NONE,NONE,8,NONE,POINT (-73.264511 41.143125)
GLASTONBURYEV,150 Ledge Rd,Glastonbury,24 hours daily,NONE,2,NONE,NONE,POINT (-72.026147 41.365973)
Goodwives Shopping Center,150 Ledge Rd,Darien,8am-10pm daily; for customer use only,4,NONE,NONE,NONE,POINT (-73.264511 41.143125)
Goodwives Shopping Center,150 Ledge Rd,bGroton,24 hours daily; guest use only; see front desk for access,NONE,1,NONE,NONE,POINT (-72.026147 41.365973)
Goodwives Shopping Center,150 Ledge Rd,Waterbury,6am-12am daily,NONE,2,NONE,NONE,POINT (-73.025659 41.550922)
Corbins Corner Shopping Center - Tesla Supercharger,263 Farmington Ave,Farmington,24 hours daily,NONE,4,NONE,NONE,POINT (-72.261825 41.811817)
Town of Beacon Falls - Commuter Lot,150 Ledge Rd,Shelton,Dealership business hours,NONE,1,1,NNE,POINT (-73.106051 41.299792)
Goodwives Shopping Center,150 Ledge Rd,Wallingford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.8231924 41.4618954)
Goodwives Shopping Center,150 Ledge Rd,Rocky Hill***,24 hours daily; for customer use only; see front desk for access,NONE,2,NONE,NONE,POINT (-72.679679 41.650999)
Goodwives Shopping Center,25 Old Kings Hwy,Daien,24 huors daily,NONE,NONE,1,NONE,POINT (-72.0741188 41.525611)
City of New Haven - Union Station Garage,150 Ledge Rd,New Haven,24 hours daily; pay lot,NONE,3,NONE,NONE,POINT (-73.264511 41.143125)
Dunkin’ - Tesla Supercharger,150 Ledge Rd,yEaston,24 hours daily,NONE,2,NONE,cNONE,POINT (-72.026147 41.365973)
The Plaza at Buckland Hills - Tesla Supercharger,1470 Pleasant Valley Road,Manchester,24 hours daily; for Tesla use only,NONE,NONE,16,NONE,POINT (-72.679679 41.650999)
Greenlots - 92367,150 Ledge Rd,Colebrook,24 hours daily,NONE,2,NONE,NOE,POINT (-73.138786 41.988528)
Mystic Diner Restaurant - Tesla Destination,150 Ledge Rd,Mystic,24 hours daily; for customer use only,NONE,1,NONE,NONE,POINT (-73.065583 41.44548100000001)
