drawdate,winningnumbers,multiplier(double precision)
09/26/2020,11 21 27 36 62 24,3.0
09/30/2020,14 18 36 49 67 18,2.0
10/03/2020,18 31 36 43 47 20,2.0
10/07/2020,06 24 30 53 56 19,2.0
10/10/2020,05 18 23 40 50 18,3.0
09/30/2020,21 37 52 53 58 05,2.0
10/17/2020,06 10 31 37 44 23,2.0
10/21/2020,01 03 13 44 56 26,3.0
10/24/2020,18 20 27 45 65 06,2.0
10/28/2020,11 28 37 40 53 13,2.0
10/28/2020,02 06 40 42 55 24,3.0
10/10/2020,23 32 33 45 49 14,2.0
10/21/2020,14 16 37 48 58 18,2.0
11/11/2020,13 15 17 45 63 13,2.0
11/14/2020,07 15 18 32 45 20,2.0
11/11/2020,04 05 17 43 52 05,2.0
10/10/2020,51 54 57 60 69 11,0.3824149155906831
11/25/2020,02 57 58 60 65 26,2.0
11/28/2020,08 12 18 44 51 18,2.0
10/28/2020,28 31 40 41 46 04,3.0
10/24/2020,03 04 06 48 53 10,2.0
12/09/2020,11 14 31 47 48 04,3.0
12/12/2020,17 54 56 63 69 20,2.0
11/28/2020,04 23 37 61 67 07,2.0
12/19/2020,27 32 34 43 52 13,2.0
10/10/2020,06 13 38 39 53 06,3.0
12/26/2020,19 30 36 42 66 14,2.0
10/07/2020,03 43 45 61 65 14,2.0
10/24/2020,03 04 11 41 67 05,2.0
11/14/2020,01 20 22 60 66 03,3.0
01/09/2021,07 29 35 40 45 26,2.0
03/03/2021,27 47 61 62 69 04,2.0
01/16/2021,07 29 35 40 45 26,3.0
11/28/2020,27 32 34 43 52 13,3.0
11/11/2020,07 15 18 32 45 20,3.0
11/25/2020,17 33 35 42 52 09,6.379480661841686
11/11/2020,06 24 30 53 56 19,3.0
10/03/2020,05 37 40 64 66 05,3.0
11/28/2020,01 16 48 49 65 08,2.0
12/12/2020,15 39 58 63 67 07,2.0
12/09/2020,20 28 33 63 68 20,2.0
01/09/2021,03 04 06 48 53 10,3.0
11/14/2020,04 08 22 32 58 04,10.0
09/30/2020,04 33 43 53 65 21,3.0
11/28/2020,02 28 31 44 52 18,3.0
03/03/2021,05 18 23 40 50 18,3.0
10/03/2020,11 31 50 52 58 18,4.0
10/28/2020,04 05 17 43 52 05,3.0
10/21/2020,05 11 51 56 61 02,2.0
03/17/2021,34 38 42 61 62 19,2.0
10/28/2020,14 18 36 49 67 18,3.0
03/24/2021,02 57 58 60 65 26,2.0
03/27/2021,07 29 35 40 45 26,3.0
09/30/2020,03 10 44 55 68 24,4.900581130493346
04/03/2021,07 29 35 40 45 26,2.0
12/09/2020,06 24 30 53 56 19,5.0
03/24/2021,06 24 30 53 56 19,3.0
01/16/2021,15 28 46 62 64 17,2.0
11/28/2020,10 21 26 41 49 25,2.0
09/30/2020,21 25 32 63 67 06,2.0
01/09/2021,06 10 31 37 44 23,3.0
09/23/2020,07 15 18 32 45 20,2.0
10/07/2020,11 14 23 47 57 14,4.0
10/17/2020,10 17 31 51 53 01,2.0
09/26/2020,16 17 20 53 67 04,2.0
10/10/2020,27 52 55 60 64 21,3.0
01/16/2021,11 21 27 36 62 24,2.0
09/26/2020,01 04 11 20 69 18,2.0
09/26/2020,05 21 22 29 43 10,2.0
10/07/2020,08 12 19 47 58 02,2.0
