characteristic,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total,Female,"American Indian/Alaska Native, non-Hispanic",2005,112.0,1.7528642563826815,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,120.0,1.4675873294363029,Data not available.
Total,Femae,"American Indian/Alaska Native, non-Hispanic",2007,120.0,2.4,Data not available.
Total,Femael,"American Indian/Alaska Native, non-Hispanic",2008,120.0,2.4,Data notd available.
Total,Femakle,"American Indian/Alaska Native, non-Hispanic",2380,118.0,1.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2010,120.0,2.4,Dgata not available.
Total,Feamle,"American Indian/Alaska Native, non-Hispanic",2011,120.0,2.4,Data not available.
Total,Femlae,"American Indian/Alaska Native, non-Hispanic",1430,120.0,2.4,Data not available.
Total,Femcale,"American Indian/Alaska Native, non-Hispanic",2013,118.0,1.0,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",1150,115.0,2.3,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,120.0,2.4,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2007,120.0,2.4,Data not available.
Total - Male,ale,"American Indian/Alaska Native, non-Hispanic",2008,120.0,2.4,Data not availablfe.
Total - Male,Malee,"American Indian/Alaska Native, non-Hispanic",2009,122.0,1.6,Data no available.
Total - Male,Mle,"American Indian/Alaska Native, non-Hispanic",2010,120.0,2.4,Data not availabvle.
Total - Male,pMale,"American Indian/Alaska Native, non-Hispanic",2011,120.0,2.4,Data not available.
Total - Male,Mle,"American Indian/Alaska Native, non-Hispanic",2012,88.46496346778395,2.4,Data not available.
Total - Male,ale,"American Indian/Alaska Native, non-Hispanic",2013,120.0,1.3,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",1856,108.0,2.6,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2006,120.0,2.4,Data not available.
Total - Female,Femle,"American Indian/Alaska Native, non-Hispanic",2007,162.94174403197238,2.4,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",1018,120.0,2.4,Data not available.
Total - Female,Femael,"American Indian/Alaska Native, non-Hispanic",2009,110.0,1.8,Data not available.
Total - Female,Femaale,"American Indian/Alaska Native, non-Hispanic",2010,120.0,2.4,Data not available.
Total - Female,Fuemale,"Americanc Indian/Alaska Native, non-Hispanic",2011,168.2389255296336,2.4,Data not available.
Total - Female,emale,"American Indian/Alaska Native, non-Hispanic",2012,120.0,2.4,Data not available.
Total - Female,emale,"American Indian/Alaska Native, non-Hispanic",2013,83.04863087140103,1.7,Data not avadilable.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2005,120.0,2.2,Data not available.
Total - Male,Female,"White, non-Hispanic",2006,120.0,2.2029753072631406,Data not available.
Total - Male,Female,"White, non-Hispanic",2007,120.0,2.4,Data not available.
Total,Female,"White, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - White, non-Hispanic",Femael,"White, non-Hispanic",1707,127.0,1.3,Data not available.
Total - Female,Female,"White, non-Hispanic",2010,120.0,2.4,Data not available.
Total,Female,"White, non-Hispanic",2366,120.0,2.9816028179360554,Data not available.
Total,Female,"White, non-Hispanic",1653,120.0,2.4,Data not available.
"Total - White, non-Hispanic",Femle,"White, non-Hispanic",2013,127.0,1.4768876692636317,Data not ajvailable.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2005,96.0,2.9,Data not available.
Total,vFemale,"Black, non-Hispanic",2006,120.0,2.4,Data not available.
Total,Female,"Black, non-Hispanic",2007,120.0,2.4,Data not available.
Total,Female,"Black, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Black, non-Hispanic",zFemale,"Black, non-Hispanic",2009,94.0,3.3173092352504234,Data not available.
Total,Female,"Black, non-Hispanic",2010,120.0,2.4,Data not available.
Total,Female,"Black, non-Hispanic",1843,120.0,2.4,Data not available.
"Total - Black, non-Hispanic",pFemale,"Black, non-Hispanic",2012,120.0,2.4,Data not available.
Total - Female,Female,"Black, non-Hispanic",2013,125.52596322948835,1.9,Dxata not available.
Total,Female,Hispanic,2005,99.0,3.2,Data not available.
Total,Female,Hispanic,2006,169.09357290753388,2.4,Data not available.
