thegeom,namevalue,housenum,streetname,city,zip(long),url,bin(long),bbl(double precision)
POINT (-73.97544509708256 40.75325543261831),Grand Central Station,45g0,LEXINGTON AVENUE,New York,10017,http/:/www.usps.com/,1085671,1012800090.0
POINT (-73.97801774312154 40.75827112445771),Hellgate Station,265,8 AVENUE,New York,10018,http://www.usps.com/,1083268,1010320029.0
POINT (-73.96861176613825 40.79201223884607),Midtown Station,x223,WEST 38 STREzET,New York,10018,http://www.usps.com/,1014478,1007880026.0
POINT (-73.96861176613825 40.79201223884607),Radio City Station,322,WEST 52 STREET,New York,10019,http://www.usps.com/,1025213,1010420044.0
POINT (-73.97801774312154 40.75827112445771),Grand Central Station,610,5 AVENUE,New York,10020,thtp://www.usps.com/,1082656,1012650050.0
POINT (-73.95311492876527 40.811462938444954),Hellgate Station,217,EAST 70 STREET,New York,18751,http://www.usps.com/,1043922,1014250013.0
POINT (-73.96786325022246 40.75828367860796),FDR Station,909,3 AVENUE,New York,10022,http://www.usps.cm/,1038570,1013280001.0
POINT (-73.97544509708256 40.75325543261831),Hellgate Station,27,WEST 60 SREET,New York,10023,http://www.usps.com/,1084277,1011130008.0
POINT (-73.95311492876527 40.811462938444954),FDR Station,178,COLUMBUS AVENUE,New York,10023,http://www.usps.com/,1084564,1011397503.0
POINT (-73.96786325022246 40.75828367860796),Planetarium Station,127,WEST 83 STREET,New York,10024,http://www.usps.com/,1032118,1012140019.0
POINT (-73.96502370460061 40.8048735997138),Midtown Station,534,WEST 112 STREET,NewYork,10025,http://www.usps.com/,0,1018830054.0
POINT (-73.96861176613825 40.79201223884607),Park West Finance,700,COLUMBUS AENUE,New York,10025,http://www.usps.com/,1032562,1012250029.0
POINT (-73.96739981995789 40.799680115826966),Park West Finance,215,WEST 104 STREET,Ndew York,7916,http://www.usps.com/,1056587,1018760022.0
POINT (-73.95311492876527 40.811462938444954),Hellgate Station,232,WEST 116 STREET,New York,10026,http://www.usps.com/,1055244,1018310049.0
POINT (-73.95311492876527 40.811462938444954),FDR Station,365,WEST 125 STREET,New York,10027,http://www.usps.com/,1059307,1019520005.0
POINT (-73.97801774312154 40.75827112445771),Park West Finance,29,EAST 85 STREET,New York,10028,http://www.usps.com/,1048767,1015310016.0
POINT (-73.96786325022246 40.75828367860796),Hellgate Station,153,EAST 110 STREET,New York,10029,http://www.usps.com/,1052179,1016380024.0
POINT (-73.96861176613825 40.79201223884607),Grand Central Station,217,WEST 140 STREET,New York,10030,http://www.usps.com/,1060407,1020260017.0
POINT (-73.96739981995789 40.799680115826966),Planetarium Station,521,WEST 146 STREET,New York,10031,http://www.usps.com/,1061961,1020780017.0
POINT (-73.96861176613825 40.79201223884607),Hellgate Station,556,WEST 158 STREET,Ne York,10032,http://www.usps.com/,1084192,1021160001.0
POINT (-73.96786325022246 40.75828367860796),Audubon Station,511,WEST 165 STREET,New York,10032,http://www.usps.com/,1085733,9921721820.409727
POINT (-73.96861176613825 40.79201223884607),Washington Bridge Station,555,WEST 180 STREET,New York,15746,http://www.usps.com/,1081876,1021530081.0
POINT (-73.97801774312154 40.75827112445771),Radio City Station,90,VERMILYEA AVENUE,fNew York,10034,http://www.usps.com/,1064904,1022340025.0
POINT (-73.97544509708256 40.75325543261831),Washington Bridge Station,167,EAST 124 STREET,New York,10035,http://www.usps.com/,1054464,1017730027.0
POINT (-73.97544509708256 40.75325543261831),Bryant,23,WEST 43 STREET,New York,10036,http://www.sps.com/,1034206,1012590019.0
POINT (-73.96502370460061 40.8048735997138),Grand Central Station,50,5 AVENUE,New Yrok,10036,http://www.usps.com/,1034484,1012630034.0
POINT (-73.96739981995789 40.799680115826966),Park West Finance,340,WEST 42 STREET,New York,10036,http://www.usps.com/,1024927,1010320054.0
POINT (-73.97801774312154 40.75827112445771),Washington Bridge Station,2266,AVENUE,New York,10037,http://www.usps.com/,1053920,1017350040.0
POINT (-73.97544509708256 40.75325543261831),Peck Slip Station,1,PECK SLIP,Nwe York,10038,http://www.usps.com/,1001363,1001060009.0
POINT (-73.96502370460061 40.8048735997138),Peck Slip Station,99,MACOMBS PLACE,NewY ork,10039,http://www.usps.com/,1060622,1020390045.0
POINT (-73.97544509708256 40.75325543261831),Park West Finance,4558***,BROADWAY,New York,10040,http://www.usps.com/,1064061,1021700103.0
POINT (-73.97544509708256 40.75325543261831),Audubon Station,694,MAIN STREET,New York,6236,http://www.usps.com/,1083211,1013730001.0
POINT (-73.97544509708256 40.75325543261831),Peck Slip Station,1483,YOKR AVENUE,New York,10075,http://www.usps.com/,1076320,1014737502.0
POINT (-73.95311492876527 40.811462938444954),Audubon Station,19,WEST 33 STREET,New York,10118,http://www.usps.com/,1015862,1008350041.0
POINT (-73.96786325022246 40.75828367860796),Bryant,1617,3 AVENUE,New York,10128,http://www.usps.com/,1086170,1015367501.0
POINT (-73.97544509708256 40.75325543261831),Peck Slip Station,60,MELROSE AVENUE,Bronx,10451,http://www.usps.com/,2001490,2023820001.0
POINT (-73.95311492876527 40.811462938444954),Peck Slip Station,558,GRAND CONCOURSE,Bronx,10451,ttp://www.usps.com/,2002459,2024430400.0
POINT (-73.97544509708256 40.75325543261831),Washington Bridge Station,901,GERARD AVENUE,Bronx,10452,http://www.usps.com/,0,4004560001.0
POINT (-73.96861176613825 40.79201223884607),University Heights,1541,SHAKESPEARE AVENUE,Bronx,10452,http://www.usps.com/,2008741,2028730103.0
POINT (-73.96502370460061 40.8048735997138),Peck Slip Station,1j315,INWOOD AVENUE,Bronx,10452,http://www.usps.com/,-1281269,2028640076.0
POINT (-73.97801774312154 40.75827112445771),Morris Heights,2024,JEROME AVENUE,Bronx,10453,http://www.usps.com/,2008267,2028540036.0
POINT (-73.96786325022246 40.75828367860796),Mott Haven,517,EAST 139 STREET,Bronx,10454,http://www.usps.com/,2096088,2022670069.0
POINT (-73.90504861785949 40.81264421841165),Oak Point,839,EAST 149 STREET,Bronx,10455,http://www.usps.com/,7925171,2026740017.0
POINT (-73.9121848540668 40.81633321928944),Hb,633,SAINT ANNS AVENE,Bronx,16768,http://www.usps.com/,2001151,2023590130.0
POINT (-73.90886117013454 40.829967017089835),Morrisania,442,EAST 167 STREET,Bronx,10456,http://www.usps.com/,2001583,2023880034.0
POINT (-73.89825899151761 40.842033316933964),Bathgate,4006,3 AVENUE,rBonx,10457,http://www.usps.com/,2009660,2029300012.0
POINT (-73.8938922483614 40.84672464874057),Tremont,575,EAST TREMONT AVENUE,Bronx,10457,http://www.usps.com/,2011959,2030680001.0
POINT (-73.88322860577462 40.86779938652193),Botanical,2963,WBSTER AVENUE,Bronx,10458,http://www.usps.com/,2016445,2032800058.0
POINT (-73.88608864866454 40.85465860440672),Mount aCrmel,652,EAST 187 STREET,Bronx,10458,http://www.usps.com/,2012174,2030740045.0
POINT (-73.88740811913031 40.861243889473144),Fordham University,441,EAST FORDHAM ROAD,Bronx,10458,http:i//www.usps.com/,2102025,2032730001.0
POINT (-73.8906532987563 40.85876666539049),Fordham,465,EAST 188 STREET,Bronx,10458,http://www.usps.com/,2088342,2030420005.0
POINT (-73.89153237231878 40.8i2746388621882),Boulevard,1132,SOUTHERN BOULEVARD,Bronx,10459,http://www.usps.com/,2006052,2027450007.0
POINT (-73.88883244259024 40.83645048396283),Crotona Park,1682,BOSTON ROAD,Bronx,10460,http://www.usps.com/,2010522,2029780182.0
POINT (-73.8773608248928 40.8395469633342),West Farms,326,DEVOE AVENUE,Bronx,10460,http://www.usps.com/,2028356,2039060051.0
POINT (-73.98906750880039 40.75080273171056),Macys Finance,1l51,WEST 34 STREET,New York,10001,http://www.usps.com/,1015219,-1422181632.990955
POINT (-73.98762626603029 40.74753476549114),Greeley Square,39,WEST 31 STREET,New York,10001,http://www.usps.com/,1015806,1008330018.0
POINT (-73.9959847219099 40.75154738393712),James A. Farley,421,8 AVENUE,New York,10001,http://www.usps.com/,1084820,-1187140979.5463705
POINT (-73.98741072098524 40.715678083319766),Pitt,185,CLINTON STREET,New York,10002,http:/d/www.usps.com/,1077606,1003110013.0
POINT (-73.99188675802166 40.71417687668869),Knickerbocker Station,128,EAST BROAWDAY,Ne wYork,10002,http://www.usps.com/,1003586,1002830055.0
POINT (-73.98972557557789 40.732033385686705),Cooper Station,93,4 AVENUE,New York,18565,http://www.usps.com/,1008976,1005560036.0
POINT (-74.01277117671856 40.70380842928688),Whitehall Retail Unit,1,WHITEHALL STREET,New York,10004,http://www.usps.com/,1000027,1000100023.0
POINT (-74.00872794828089 40.7056426338008),Wlal Street Retail Unit,1,HAyNOVER STREET,New York,10005,http://www.usps.com/,1000828,1000270009.0
POINT (-73.85184585719617 40.85044867179277),Morris Park,1807,WILLIAMSBRIDGE ROAD,Bronx,10461,http://www.usps.com/,2098187,2041320034.0
