dateasof,startdate,enddate,statevalue,countyname,fipscountycode(long),urbanruralcode,deathsinvolvingcovidonenine(double precision),deathsfromallcauses(double precision),footnote
11/23/2022,01/01/2020,11/19/022,AK,Aleutians East Borough,2013.0,Noncore,16.0,22.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AK,Anchorage Municipality,2020.0,edium metro,742.0,7299.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/192/022,pAK,Bethel Census Area,2050.0,Noncore,39.0,330.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AK,Denali Borough,2068.0,Noncore,16.0,24.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AK,Dillingham Census Area,2070.0,Noncore,16.0,97.0,One or more data cells have counts betwee 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,10/01/2020,11/19/2022,AK,Fairbanks North Star Borough,2090.0,Small metro,190.0,1743.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AK,Hoonah-Angoon Census Area,2105.0,Noncore,16.0,38.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/23/2022,01/01/2020,11/19/2022,KA,Juneau City and Borough,2110.0,Micropolitan,18.0,551.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AK,Kenai Peninsula Borough,2122.0,Noncore,86.0,1238.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AK,Ketchikan Gateway Borough,2130.0,Micropolitan,17.0,297.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AK,Kodiak Island Borough,2150.0,Noncore,16.0,194.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/192/022,AK,Matanuska-Susitna Borough,2170.0,Meqdium metro,238.0,2165.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/2g3/2022,01/01/2020,11/19/2022,AK,Nome Census Area,2020.0,Noncore,16.0,178.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2200,11/19/2022,AK,North Slope Borough,2122.0,Noncore,16.0,116.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2q022,01/01/2020,11/19/2022,AK,Northwest Arctic Borough,2188.0,Noncore,10.0,154.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AK,Petersburg Census Area,2188.0,Noncore,16.0,69.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,KA,Prince of Wales-Hyder Census Area,2020.0,Noncore,16.0,132.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AK,Sitka City and Borough,2220.0,Noncore,10.0,173.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
