fullstreetname,streetname,streettype,postdirection
01ST ST,01ST,ST,NORTH
02ND AVE,02ND,AVE,NORTH
02ND ST,02ND,ST,NORTH
02ND TI ST,02ND TI,ST,NORTH
03RD AVE,03RD,AVE,NORTH
03RD ST,03RD,ST,NORTH
03RD TI ST,03RD TI,ST,NORTH
04TH AVE,04TH,AVE,NORTH
04TH ST,04TH,ST,NORTH
04TH TI ST,04TH TI,ST,NORTH
05TH AVE,05TH,AVE,NORTH
05TH ST,05TH,ST,NORTH
05TH TI ST,05TH TI,ST,NORTH
06TH AVE,06TH,AVE,NORTH
06TH ST,06TH,ST,NORTH
06TH HP AVE,06TH HP,AVE,NORTH
02ND ST,06TH TI,ST,NORTH
05TH ST,07TH,AVE,NORTH
07TH ST,07TH,ST,NORTH
03RD AVE,08TH,bAVE,NORTH
08TH ST,08TH,ST,NORTH
08TH TI ST,08TH TI,ST,NOpRTH
08TH ST,09TH,AVE,NORTH
04TH TI ST,09TH,ST,NORTH
09TH TI ST,09TH TI,ST,NORTH
10TH AVE,10TH,AVE,NORTH
03RD TI ST,10TH,ST,NORTH
06TH HP AVE,10TH TI,ST,NORTH
03RD ST,11TH,AVE,NORTH
04TH ST,11TH,TS,NORTH
02ND ST,11TH TI,ST,NORTH
03RD ST,12TH,AVE,NORTH
02ND ST,12TH,ST,NORTH
06TH AVE,12TH TI,ST,NORTH
02ND ST,13TH,ST,NORTH
13TH TI ST,13TH TI,ST,NORTH
13TH TI ST,14TH,AVE,NORTH
14TH ST,14TH,ST,NORTH
05TH ST,14TH TI,ST,NORTH
02ND AVE,15TH,VAE,NORTH
15TH ST,15TH,ST,NORTH
16TH AVE,16H,AVE,NORTH
06TH ST,16TH,ST,NORTH
03RD TI ST,17TH,AVE,NORTH
06TH ST,17TH,ST,NORTH
02ND AVE,18TH,AVE,NORTH
04TH AVE,18TH,ST,NORTH
02ND ST,19TH,AVE,NORTH
03RD TI ST,19TH,ST,NORTH
20TH AVE,02TH,AVE,NORTH
03RD AVE,20TH,ST,NRTH
02ND ST,21ST,VE,NORTH
05TH TI ST,21ST,ST,NORTH
03RD ST,22ND,AVE,NORTH
05TH AVE,2ND,ST,NORTH
06TH AVE,23RD,ApVE,NORTH
02ND ST,23RD,ST,NORTH
24TH AVE,24TH,AVE,NORTH
03RD AVE,24TH,ST,NORTH
02ND AVE,25TH,AVE,NORTH
08TH TI ST,AM JORDANS,WAY,NORTH
09TH TI ST,25TH,ST,NORTH
03RD AVE,26TH,AEV,NORTH
10TH AVE,26TH,ST,NORTH
27TH AVE,27TH,AVE,NORHT
02ND ST,27TH,T,NORTH
06TH ST,28TH,AVE,NORTH
28TH ST,2T8H,ST,NORTH
08TH TI ST,29TH,AVE,NORTH
06TH AVE,29TH,ST,NORTH
30TH AVE,30TH,AVE,ORTH
02ND TI ST,30TH,ST,NORTH
04TH TI ST,31ST,AVE,NORTH
03RD ST,31ST,ST,NORTH
05TH ST,32ND,AVE,NORTH
04TH TI ST,33RD,AVE,NORTH
07TH ST,34TH,AEV,NORTH
04TH TI ST,35TH,AVE,NORTH
01ST ST,36TH,AVE,NORHT
05TH AVE,37TH,AVE,NORTH
08TH ST,38TH,VE,NORTH
02ND ST,39TH,AVE,NORTH
02ND AVE,40TH,AVE,NORTH
41ST AVE,1ST,AVE,NORTH
02ND TI ST,42ND,AVE,NORTH
08TH ST,43RD,AVE,NORTH
03RD AVE,44TH,AVE,ONRTH
05TH ST,45TH,AVE,NORTH
02ND TI ST,46TH,AqVE,ORTH
02ND AVE,47TH,AVE,NORTH
01ST ST,48TH,AVE,NORTH
06TH HP AVE,A,ST,NORTH
03RD AVE,ABBEY,ST,NORTH
08TH ST,TONI STONE,XING,NORTH
06TH HP AVE,ACACAI,ST,NORTH
05TH TI ST,ACADIA,TS,NORTH
