yearvalue(long),statevalue,county,hai,facilityid(long),facilityname,facilitytype,numbermonthsexpected(long),notes
2019,Califoria,Satnislaus,Surgical Site Infection (SSI),30000129.0,Central Valley Specialty Hospital,Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
1133,California,Sacramento,Surgical Site Infection (SSI),90000048.0,Vibra Hospital of Sacramento,Long-Term Acuet Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Maripsa,Surgical Site Infection (SSI),90000048.0,John C. Fremont Healthcare District,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Fresno,Surgical Site Infection (SSI),40000613.0,San Joaquin Valley Rehabilitation Hospital,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,Califorknia,Santa Barbara,Surgical Site Infection (SSI),60001674.0,Santa Ynez Valley Cottage Hospital,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,Califorknia,Ventura,Surgical Site Infection (SSI),60001674.0,"Los Robles Hospital & Medical Center, East Campus",Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Orange,Surgical Site Infection (SSI),60000008.0,College Hospital Costa Mesa,"Community, <125 Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2003,California,Orange,Surgical Site Infection (SSI),60000008.0,"Kindred Hospital, Westminster",Long-Term Acute Care,16,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Orange,Surgical Site Infection (SSI),60001674.0,Encompass Health Rehabilitation Hospital of Tustin,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Oraneg,Surgical Site Infection (SSI),60001674.0,"Kindred Hospital, Brea",Long-Term Acute Care,12,No surgeries bin the 28 surgical procedure categories were performed in 2019.
2019,Caliofrnia,Orange,Surgical Site Infection (SSI),60001674.0,"Healthbridge Children's Hospital, Orange",Pediatric,12,No surgeries in the 28 surgical rocedure categories were performed in 2019.
2019,California,Santa Clara,Surgical Site Infection (SSI),40000613.0,Mission Oaks Hospital,"Community, <125 Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,San Diego,Surgical Site Infection (SSI),30000129.0,Palomar Health Downtown Campus,"Community, <125 Beds",10,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,aClifornia,San Diego,Surgical Site Infection (SSI),90000048.0,"Kindred Hospital, San Diego",Long-Term Acute Care,12,No surgeries in the 28 surgical proceduree categories were performed in 2019.
1782,California,San Diego,Surgical Site Infection (SSI),30000129.0,Vibra Hospital of San Diego,Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Sonoma,Surgical Site Infection (SSI),90000048.0,Sonoma Specialty Hospital,"Community, <125 Beds",9,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Humboldt,Surgical Site Infection (SSI),60000008.0,College Hospital Costa Mesa,Critical Access,12,No surgeries in the 28 surgical procedure categories were performe din 2019.
2826,California,Humboldt,Surgical Site Infection (SSI),60001674.0,The General Hospital,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Marin,Surgical Site Infection (SSI),90000048.0,Santa Ynez Valley Cottage Hospital,Long-Term Acute Care,10,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Kern,Surgical Site Infection (SSI),40000613.0,Encompass Health Rehabilitation Hospital of Bakersfield,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Tularje,Surgicl Site Infection (SSI),120001444.0,"Kaweah Delta Medical Center, Rehabilitation Unit",Rehabilitation Unit,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,Californai,Alameda,Surgical Site Infection (SSI),90000048.0,"Kindred Hospital, San Francisco Bay Area",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
1587,California,Alameda,Surgical Site Infection (SSI),140000184.0,Fairmont Hospital,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Oange,Surgical Site Infection (SSI),170001767.0,Fairview Developmental Center,"Community, <125 Beds",14,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Tulare,Surgical Site Infection (SSI),170001874.0,Porterville Developmental Center,"Community, <125 Beds",8,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,San Francisco,Surgical Site Infection (SSI),220000012.0,Laguna Honda Hospital& Rehabilitation Center,"Community, <125 Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Plumas,Surgical ite Infection (SSI),230000004.0,"Eastern Plumas Hospital, Portola Campus",Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Glenn,Surgcal Site Infection (SSI),230000006.0,Glenn Medical Center,Critical Access,6,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Plumas,Surgical Site Infection (SSI),230000017.0,Seneca District Hospital,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Modoc,Surgical Site Infection (SSI),230000021.0,Surprise Valley Community Hospital,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019a.
2447,California,Trnity,Surgical Site Infection (SSI),230000022.0,Trinity Hospital,Critical Access,10,No surgeries in the 28 surgical procedure categories were performed in 2019.
2598,California,Colusa,Surgical Site Infection (SSI),230000259.0,Colusa Medical Center,"Community, <125 Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Butte,Surgical Ste Infection (SSI),-1199646830.0,Enloe Rehabilitation Center,Free-Standing Rehabiiltation,11,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Shazsta,Surgical Site Infecrtion (SSI),230000422.0,Viba Hospital of Northern California,Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
1165,Califronia,fSan Bernardino,Surgical Site Infection (SSI),240000002.0,Bear Valley Community Hospital,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,Cailfornia,San ernardino,Surgical Site Infection (SSI),240000040.0,"Kindred Hospital, Ontario",Long-Tem Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2359,California,Kenr,Surgical Site Infection (SSI),-1208645769.0,Mountains Community Hospital,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
