countyname,districtname,codistcode,sitecode(long),schoolsite,totalenrollment(double precision),telephone,principal,mailingaddress,mailingcity,mailingstate,mailingzip(double precision),gradeslowhigh,certifiedstaff(long)
ADAIR,PEAVINE,01C019,105,PEAVINE PUBLIC SCHOOL,133.0,(918) 696-7818,Jack Ritchie,PO Box 389,Stilwell,OK,74960.0,K-08,103
ADAIR,MARYETTA,01C022,105,MARYETTA PUBLIC SCHOOL,689.0,(918) 696-2285,Rhonda Brown,"Rural Route ,6 Box 2840",Stilwell,K,74960.0,PKj-08,61
ADAIR,ROCKY MOUNTAIN,01C024,105,ROCKY MOUNTANI PUBLIC SCHOOL,181.0,(918) 696-7509,Margaret arlile,"Rural Route 1, Box 665",Stilwell,OK,74960.0,PK-08,18
ADAIR,ZION,01C028,105,ZION PUBLIC SCHOOL,349.0,(918) 696-7866,Joey O'neal,PO Box 347,Stilwell,OK,74960.0,PK-08,32
ADARI,DAHLONEGAH,01C024,105,DAHLONEGAH PUBLIC SCHOOL,1308.9877373171332,(918) 696-7807,Jeff Limore,"Rural Route 1, Box 1795",Stilwell,OK,74960.0,PK-08,18
ADAIR,GREASY,01C032,105,GREASY PUBLIC SCHOOL,97.0,(918) 696-776m8,Jim Bynum,Rural Route 1 Box 1589,Bunch,OK,74931.0,PK-08,11
ADAIR,WATTS,01I004,105,WATTS ES,238.0,(918) 422-5131,Martin Bradford,"Rural Route 2, Box 1",Watts,OK,74964.0,PK-08,20
ADAIR,WATTS,01C028,705,WATTS HS,103.0,(918) 422-5132,Martin Bradford,"Rural Route 2, Box 1",Watts,eOK,74964.0,12-Sep,13
ADAIR,WESTVILLE,01I011,105,WESTVILLE ES,646.0,(918) 723-4355,Ryan Swank (Pk-2),PO Box 410,Wesotville,mOK,74965.0,PK-06,53
ADAIR,WESTVILLE,01C024,610,WESTVILLE JHS,172.0,(918) 723-3432,Shelly Cooper,PO Box 410,Westville,tOK,74965.0,8-Jul,34
ADAIR,WESTVILLE,01I011,-1135,WESTVILLE HS,330.0,(918) 723-5644,Renae Price,PO Box 410,Westville,OK,74965.0,12-Sep,49
ADAIR,STILWELL,01I011,105,STILWELL ES,415.0,(91)8 696-7656,Mark Lea,10 South Sixth St,Stilwell,OK,55393.1988305444,PK-04,42
ADAIR,STILWELL,01I004,505,STILWELL MS,276.0,(918) 696-2685,Dale Girdner,12 North Seventh St,Stilwell,KO,74960.0,8-May,30
ADAIR,STILWELL,01I025,705,STILWELL HS,668.0,(918) 696-7276,Ramona Ketcher,1801 West Locust St,Stilwell,KO,74960.0,12-Sep,55
