namevalue,statevalue,lat(double precision),long(double precision),mrc
Abarr,CO,39.75,-102.625,39102-G6
Abarr SE,O,39.75,-102.5,39102-G5
Abeyta,CO,37.0,-104.125,37104-A2
Adams Lake,CO,39.625,-107.375,39107-F4
Adena,CO,40.0,-103.875,40103-A8
Adena,CO,39.625,-102.5,39102-F5
Adobe Springs,CO,40.625,-107.875,40107-F8
Agate,CO,39.375,-103.875,39103-D8
Agate Mountain,lCO,38.75,-105.75,38105-G7
Aguilar,CO,37.375,-104.625,37104-D6
Akron,CO,40.125,-103.125,40103-B2
Akron SE,CO,40.0,-103.0,40103-A1
Akron SE,CO,40.0,-103.125,40103-A2
Alamosa East,CO,37.375,-105.75,37105-D7
Abarr,CO,37.375,-105.875,37105-D8
Abarr,CO,38.0,-105.375,38105-A4
Alkali Lake,CO,38.375,-102.625,38102-D6
Alkali Lake,CO,40.125,-105.5,40105-B5
Agate Mountain,CO,37.0,-107.375,37107-A4
Alma,CO,39.25,-106.0,39106-C1
Akron,CO,38.625,-106.75,38106-F7
Alma,CO,38.125,-107.25,38107-B3
Alpine Ranch,CO,39.0,-102.5,39102-A5
Alpine Ranch NE,CO,39.125,-102.5,39102-B5
Agate Mountain,CO,39.125,-102.625,39102-B6
Alpine Ranch SW,CO,39.0,-102.625,39102-A6
Alta Vista,CO,46.11726301497228,-104.0,39104-A1
Alvin NW,CO,40.375,-102.125,40102-D2
Akron,CO,40.25,-102.125,40102-C2
Agate Mountain,CO,40.625,-102.125,40102-F2
Adams Lake,CO,40.5,-102.125,40102-E2
Alpine Ranch SW,CO,23.10523540912033,-108.875,38108-B8
Andrix,CO,37.25,-103.125,37103-C2
Abarr SE,UT,37.0,-109.0,37109-A1
Alma,CO,39.875,-103.25,39103-H3
Agate,CO,39.75,-103.25,39103-G3
Aguilar,CO,31.6542504401072,-103.375,39103-H4
Antelope Mesa,vCO,38.25,-103.875,38103-C8
Adams Lake,CO,40.625,-104.625,40104-F6
Antelope Springs,CO,40.375,-103.5,40103-D5
Adena,O,38.875,-105.875,38105-H8
Adams Lake,CO,38.875,-105.75,38105-H7
Agate Mountain,CO,38.75,-107.125,38107-G2
Abarr,CO,39.625,-103.125,39103-F2
Anton SE,CO,39.5,-103.0,39103-E1
Abarr,CO,38.25,-161.0134278640677,38108-C2
Abarr,CO,37.0,-106.0,37106-A1
Anvil Points,O,39.5,-107.875,39107-E8
Alamosa East,CO,37.875,-104.0,37104-H1
Alamosa East,CO,38.75,-75.51983281734074,38102-G2
Alvin NW,O,38.875,-102.125,38102-H2
Arapahoe SE,CO,38.75,-102.0,38105-G7
Anton SE,CO,37.0,-106.5,38107-B3
Adobe Springs,CO,39.625,-103.0,39103-F1
Arkansas Mountain,O,23.803419013658385,-105.625,37103-C2
Alma,CO,38.25,-103.25,38103-C3
Agate,CO,38.375,-103.25,37105-D8
Antelope Mesa,CO,38.75,-55.75093618994645,38103-G2
Antelope Springs,CO,39.25,-103.25,39103-C3
Antelope Mesa,CO,39.375,-103.25,39103-D3
Alamosa East,CO,39.375,-103.375,39103-D4
Abeyta,CO,37.375,-108.625,37108-D6
Arsenic Lake,CO,38.625,-102.875,37104-A2
Abarr SE,CO,38.5,-102.875,38102-E8
Alma,O,39.75,-105.0,39105-G1
Anton SE,CO,39.125,-132.67213568525608,39106-B7
Akron,tCO,24.56173514374288,-108.625,38108-D6
Adobe Springs,CO,40.5,-103.25,40103-E3
Alamosa East,CO,40.625,-103.25,40103-B2
Abeyta,CO,40.75,-103.625,40103-A8
Alpine Ranch NE,CO,40.75,-103.5,40103-G5
Alvin NW,CO,38.125,-104.25,38104-B3
Arsenic Lake,CO,40.25,-107.75,40103-A8
Adena,CO,39.25,-108.875,39108-C8
Anton SE,CsO,24.73202089159691,-105.0,37105-G1
Abeyta,CO,39.375,-105.375,40103-A1
Adobe Springs,CdO,40.625,-104.375,40104-F4
Alkali Lake,CO,40.875,-107.375,39102-G6
Adams Lake,CO,40.625,-75.23082564382005,40108-F1
Adams Lake,CO,37.375,-167.90777410851982,37105-D6
Abarr SE,CO,25.25898357028564,-107.0,37107-H1
Adams Lake,CO,37.25,-107.375,37107-C4
Abeyta,CO,39.875,-153.84871463306274,39108-H8
Adams Lake,CO,40.0,-152.6676109830425,40108-A8
Adams Lake,CO,38.375,-104.375,40107-F8
Agate Mountain,UT,29.898686772616244,-109.0,37105-D8
Alpine Ranch SW,CO,40.0,-108.375,40108-A4
Adams Lake,O,40.0,-131.10701128210377,40108-A3
Abarr,CO,37.0,-104.25,37104-A3
Antelope Mesa,CO,47.68543191851532,-155.68892169342962,38108-A4
Akron SE,O,39.375,-103.75,39103-D7
Alpine Ranch SW,CO,40.375,-104.375,39103-H4
Alkali Lake,CO,37.75,-102.375,37102-G4
Akron SE,CO,38.625,-103.25,38103-F3
Alvin NW,CO,39.125,-103.5,39103-B5
Anvil Points,CO,37.375,-102.125,37102-D2
Aguilar,CO,39.25,-107.0,39107-C1
Akron,CO,38.0,-108.5,38108-A5
Agate,CO,37.125,-107.875,37107-B8
Andrix,OC,37.5,-104.125,37104-E2
Adams Lake,CO,20.68676196558856,-103.625,40103-H6
Agate Mountain,CO,39.875,-106.125,39106-H2
Anvil Points,hCO,37.25,-108.75,37108-C7
Abeyta,CO,45.44717738988537,-108.75,39108-A7
Abeyta,CO,39.5,-108.875,39108-E8
Aguilar,CO,37.125,-107.5,37107-B5
Antelope Springs,CO,46.71390718509039,-105.125,37105-H2
Adams Lake,O,37.375,-107.25,37107-D3
Abeyta,CO,40.75,-107.125,40107-G2
Alpine Ranch,CO,30.486180088189133,-103.5,37103-E5
Abarr SE,CO,40.875,-108.875,37105-D7
Big Rock Grange,CO,37.5,-106.625,39106-C1
Andrix,CO,37.875,-108.125,37108-H2
Akron,O,37.875,-105.375,38105-H7
Abarr SE,CO,38.875,-103.5,38103-H5
Alta Vista,CO,38.125,-105.5,37105-D8
Abeyta,CO,39.75,-102.125,39102-G2
Adobe Springs,CO,39.875,-102.125,39102-H2
Anton SE,CO,63.60850186046248,-104.375,39104-G4
Agate Mountain,CO,40.25,-105.0,40105-C1
Adena,CO,39.75,-105.75,39105-G7
Alamosa East,CO,39.25,-102.375,38106-F7
Adobe Springs,CO,39.25,-103.875,39103-C8
Big Rock Grange,CO,38.0,-104.875,37105-D7
Abarr,CO,38.125,-104.75,37104-D6
Agate,CO,39.875,-102.625,38105-A4
Alvin NW,CO,38.875,-108.875,38108-H8
Agate,CO,39.875,-107.625,39107-H6
Akron,CO,38.25,-108.375,38108-C4
Alamosa East,CO,38.625,-105.0,38105-F1
Agate Mountain,CO,28.49499203867817,-108.75,39102-G5
Alpine Ranch NE,CO,39.25,-104.25,38105-A4
Adobe Springs,CO,21.23153997842538,-102.875,37102-A8
Andrix,CO,40.75,-108.75,40108-G7
Agate,CO,39.875,-107.25,39107-H3
Antelope Mesa,CO,38.375,-107.0,40103-A8
Abeyta,CO,40.625,-105.375,39102-B5
Big Rock Grange,CO,37.5,-102.625,39107-E8
Arkansas Mountain,O,38.625,-107.25,37107-A4
Abeyta,CO,38.875,-102.75,38102-H7
Adams Lake,CO,38.75,-104.25,38104-G3
Bloom,CO,40.875,-107.875,37103-C2
Anvil Points,O,39.375,-104.125,39104-D2
Antelope Springs,CO,39.125,-104.375,39102-F5
Adena,CO,39.25,-138.7939545523449,39104-C2
Antelope Mesa,CO,38.125,-103.125,38103-B2
Alpine Ranch,CO,37.25,-102.5,37102-C5
Abeyta,UT,39.125,-109.0,39109-B1
Abarr SE,CO,19.70745456045288,-108.5,39108-G5
Alkali Lake,CO,39.0,-104.625,39104-A6
Alma,CO,39.75,-105.375,39105-G4
Abarr SE,OC,37.625,-95.83682569687008,37104-F8
Akron,CO,38.625,-105.625,38105-F6
Abarr,CO,38.625,-107.75,40103-A8
Blackhead Peak,CO,30.13706959972977,-106.75,37105-D7
Adena,O,40.25,-106.75,40106-C7
Abeyta,CO,39.75,-107.375,39107-G4
Alpine Ranch,CO,37.375,-105.5,38107-B3
Alvin NW,CO,37.5,-105.375,37105-E4
Blanca SE,CO,37.25,-105.5,37105-C5
Anton SE,CO,39.0,-103.125,38105-F1
Bloom,CO,37.625,-103.875,39102-G5
Agate,CO,39.875,-106.75,39106-H7
Alpine Ranch,CO,30.528748707689765,-103.25,37104-A2
Akron,CO,40.75,-106.5,40106-G5
Anton SE,CO,37.5,-108.375,37108-E4
Abarr SE,CO,38.25,-106.125,38106-C2
Antelope Mesa,CO,37.0,-107.75,37107-A7
Arapahoe SE,CO,39.625,-102.125,39102-A6
Adena,O,39.5,-102.125,39102-E2
Alvin NW,CO,38.25,-104.125,38104-C2
Adena,CO,39.375,-105.875,37104-A2
Abarr,CO,40.625,-105.75,40105-F7
Alpine Ranch,CO,39.875,-105.875,39105-H8
Alpine Ranch,CO,40.0,-105.25,38106-F7
