namevalue,lat(double precision),long(double precision),mrc
Abbott,36.25,-104.25,36104-C3
Abbott Lake,36.125,-104.25,36104-B3
Abbott NW,36.375,-104.375,36104-D4
Abeyta,37.0,-104.125,37104-A2
Abeytas,34.375,-106.75,34106-D7
Abiquiu,36.125,-106.25,36106-B3
Abo,34.375,-106.25,34106-D3
Abreu Canyon,36.625,-105.0,36105-F1
Acme,33.5,-104.25,33104-E3
Acoma Pueblo,34.875,-107.5,36104-D4
Adams Diggings,34.375,-108.25,34108-D3
Aden Crater,32.0,-107.0,36104-B3
Aden Hills,32.125,-107.0,32107-B1
Adobe Downs Ranch,36.875,-108.0,36108-H1
Afton,32.0,-106.875,32106-A8
Afton NW,32.125,-127.3460552068133,36104-B3
Agua Fria,35.625,-141.42074144876426,36108-H1
Agua Fria Peak,36.25,-105.125,36105-C2
Akela,32.125,-107.375,32107-B4
Alameda,35.125,-106.5,35106-B5
Alamito,35.75,-104.375,37104-A2
Alamo Mesa East,36.25,-108.0,36108-H1
Alamo Mesa West,36.25,-108.125,36106-B3
Alamo Mountain,32.0,-105.625,34108-D3
Alamo Mountain NE,32.125,-105.5,33104-E3
Alamo Ranch,34.25,-104.25,34104-C3
Alamogordo North,32.875,-105.875,32105-H8
Alamogordo South,32.75,-105.875,32105-G8
Alamosa Canyon,35.5,-93.69955940832727,36104-C3
Alamosa Creek,35.875,-104.5,35104-H5
Albert,35.875,-103.75,34106-D3
Albuquerque East,35.0,-106.5,32105-G8
Albuquerque West,35.0,-106.625,35106-A6
Alegres Mountain,34.125,-108.125,34108-B2
Algerita Canyon,32.25,-104.875,36104-B3
Alire,36.375,-106.5,37104-A2
Alivio,51.67996161789472,-107.0,37104-A2
Allie Canyon,32.875,-94.40680422972274,35106-A6
Alligatogr Draw,31.875,-104.375,34104-C3
Allison,37.0,-107.375,36104-D4
Alma,33.375,-108.875,36105-C2
Alma Mesa,33.375,-109.0,32107-B1
Alpine,33.75,-109.125,33109-G2
Alps Mesa,36.875,-103.875,36104-D4
Alston Ranch,33.125,-103.375,34106-D7
Alto De Hormiga,21.385999018215248,-104.5,36104-C3
Amalia,36.875,-105.375,34106-D7
Ambrosia Lake,35.375,-107.75,32106-A8
Amistad,53.4225693485549,-103.125,36104-C3
Amistad SE,35.75,-103.0,34108-D3
Anastacio Spring,36.875,-107.625,36106-B3
Ancho,57.325579611960286,-105.625,32107-B4
Anderson Peak,34.0,-107.75,32107-B1
Andrews Place,19.00381284800217,-103.375,35106-A6
Angel Draw,32.5,-104.125,33104-E3
Angus,33.375,-105.625,36104-D4
Animas,31.875,-108.75,35106-A6
Animas Peak,31.5,-108.75,36105-F1
Animas Peak NE,31.625,-108.75,36104-D4
Antelope Hill,32.375,-108.0,36104-D4
Antelope Lookout Mesa,35.75,-108.125,32105-G8
Antelope Pass,31.875,-108.875,37104-A2
Antelope Ridge,32.875,-108.625,35106-B5
Antelope Sink,32.625,-104.625,36104-C3
Anthony,19.25615464201932,-106.5,34106-D7
Anton Chico,35.125,-105.125,35105-B2
Antonito,37.0,-106.0,37104-A2
Apache,31.625,-109.125,36104-D4
Apache Canyon,34.875,-103.375,32105-H8
Apache Gap,32.875,-107.125,32107-H2
Apache Mesa,36.625,-106.75,36104-B3
Apache Peak,33.0,-107.625,34108-B2
Apache Springs,35.25,-105.125,32107-B1
Apache Summit,33.125,-105.625,36104-D4
Applegate Mountain,56.58632547757672,-108.75,37103-A7
Arabela,33.5,-105.125,32106-A8
Aragon,33.875,-108.5,36105-F1
Aragon Hill,36.125,-103.75,37104-A2
Arch,34.0,-103.125,36104-B3
Arch Mesa,35.125,-107.125,35105-B2
Arch NE,34.125,-103.0,32107-H2
Arch NW,34.125,-103.125,32105-G8
Archuleta,36.75,-107.625,36104-B3
Archuleta Creek,43.161767929215735,-106.5,37104-A2
Ares Peak,32.25,-104.75,36106-B3
Armstrong Canyon,34.25,-108.5,32105-H8
Arrosa Ranch,22.915437980311715,-107.875,36108-H1
Arrowhead Well,34.0,-107.5,36105-F1
Arroyo Alamocito,35.625,-104.25,37104-A2
Arroyo Chijuillita,36.0,-107.0,36104-C3
Arroyo Cuervo,32.625,-107.25,36108-H1
Arroyo Del Agua,36.125,-106.625,32107-B4
Arroyo Del Alamo,35.75,-103.75,34106-D3
Arvroyo Empedrado,35.625,-107.125,35107-F2
Arroyo Hondo,36.5,-105.625,36104-C3
Arroyo Landavaso,34.0,-107.25,35104-H5
Arroyo Seco,36.5,-146.1243416200087,36104-B3
Arroyo Serrano East,33.625,-105.0,34104-C3
Arroyo Serrano West,33.625,-105.125,33104-E3
Arroyo de las Calabacillas,20.152436293159447,-106.75,32106-A8
Artesia,32.75,-104.375,36104-B3
Artesia NE,32.875,-104.25,34108-B2
Ash Mountain,36.75,-105.125,34106-D7
Aspen Basin,35.75,-105.75,34106-D7
Atarque Lake,34.75,-108.75,34108-G7
Atencio,36.75,-103.125,32106-A8
Augustine Well,34.0,-107.625,36105-C2
Aurora,35.125,-105.375,35105-B4
Avis,32.625,-105.375,35104-H5
Azotea Peak,32.375,-104.375,36106-B3
Aztec,36.75,-107.875,33104-E3
B T Ranch,32.125,-105.625,36104-C3
Badger Lake,33.875,-103.5,32105-H8
