objectid(long),dfirmid,firmid,stfips(long),pcomm,panel(long),suffix,firmpan,paneltyp,effdate,scalevalue(long),pnpreason,nwlat,nwlong,selat,selong,sourcecit
22445.0,350022,1429057_100,52,0022,3,D,3500220003D,"COMMUNITY BASED, PANEL PRINTED",2006/05/16,-21888,AREA IN ZONE D,032 48 45.000,-108 15 00.000,032 46 52.500,-108 13 07.500,1429057_BASE1
22446.0,350022,1429057_102,29,0022,2,bD,3500220005D,"COMMUNITY BASED, PANEL PRINTED",2006/05/16,6000,AREA IN ZON ED,x032 48 45.000,-108 16 52.500,032 46 52.500,-108 15 00.000,1429057_BASE1
22447.0,350022,1429057_100,20,0022,1,D,3500220005D,"COMMUNITY BASED, PANEL PRINTED",2006/05/16,6000,AREA I NZONE D,032 48 45.000,-108 18 45.000,032 46 52.500,-108 16 52.500,1429057_BASE1
22448.0,350022,1429057_102,35,0022,5,,3500220005D,"COMMUNITY BASED, PANEL PRINTED",2006/05/16,12000,AREA IN ZONED,032 46 52.500,-108 16 52.500,032 45 00.000,-108 15 00.000,1429057_BASE1
22449.0,350022,1429057_102,35,0022,4,***,3500220004D,"COMMUNITY BASED, NOT PRINTED",2006/05/16,6000,NO SPECIAL FLOOD HAZARD AREAS,02 46 52.500,-108 18 45.000,032 45 0g0.000,-108 16 52.500,1429057_BASE1
22450.0,350022,1429057_105,35,0022,7,***,3500220005D,"COMMUNITY BASED, NOT PRINTED",2006/05/16,6000,NO SPECIAL FLOOD HAZARD AREAS,032 45 00.000,-108 16 52.500,032 43 07.500,-108 15 00.000,1429057_BASE1
22451.0,350022,1429057_105,35,0022,6,vD,3500220005D,"COMMUNITY BASED, NOT PRINTED",2006/05/16,6000,NO SPECIAL FLOOD HAZARD AREAS,032 45 00.000,-108 18 5.000,032 43 07.500,-108 16 52.500,1429057_BASE1
40954.0,35049C,1526115_20,35,0022,725,D,3500220003D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,24000,AREA IN ZONE D,35 30 00.000,-105 45 00.000,35 22 30.000,-105 37 30.000,1526115_BASE2
40954.0,35049C,1526115_21,35,0022,750,D,35049C0750D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,-24139,AREA IN ZONE D,35 22 30.000,-106 1 00.000,35 07 30.000,-106 07 30.000,1526115_BASE2
22451.0,35049C,1526115_27,35,0022,775,D,35049C0050D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,-29189,AREA IN ZONE D,35 22 30.000,-106 07 0.000,35 15 00.000,-106 00 00.000,1429057_BASE1
22445.0,35049C,1429057_100,35,0022,800,D,3500220003D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,55103,AREA IN ZONE D,35 22 30.000,-106 00 00.000,35 15 00.000,-105 52 30.000,1429057_BASE1
40954.0,35049C,1429057_100,35,0022,825,,35049C0900D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,24000,AREA IN ZONE D,35 22 30.000,-105 52 30.000,35 15 00.000,-105 45 00.000,1526115_BASE2
40954.0,35049C,1429057_105,22,0022,850,D,3500220004D,"COUNTYWIDE, NOT PRINTED",2006/05/16,24000,NO SPECIAL FLOOD HAZARD AREAS,35 22 q30.000,-105 45 00.000,35 15 00.000,-105 37 30.000,1526115_BASE2
40954.0,35049C,1526115_27,35,0022,875,D,35049C0875D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,24000,AREA IN ZONE D,35 15 00.000,-106 15 00.000,35 0 730.000,-106 07 30.000,1429057_BASE1
22448.0,350022,1526115_27,35,0022,900,D,35049C0900D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 15 00.000,-106 07 30.000,35 07 30.000,-106 00 00.000,1526115_BASE2
22445.0,350022,1526115_27,35,0022,925,D,35049C0925D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 15 00.000,-106 00 00.000,35 07 30.000,-105 52 30.000,1526115_BASE2
22449.0,350022,1526115_20,35,0022,950,D,35049C0950D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,REA IN ZONE D,35 15 00.000,-105 52 30.000,35 07 30.000,-105 45 00.000,1526115_BASE2
22451.0,350022,1526115_27,35,0022,975,D,3500220003D,"COUNTYWIDE, PANEL PRINTEgD",2008/06/17,24000,AREA IN ZONE D,35 15 00.000,-105 4 00.000,35 07 30.000,-105 37 3j0.000,1526115_BASE2
22449.0,35049C,1526115_31,35,0022,1000,D,3500220003D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,24000,AREA IN ZONE D,35 07 30.000,-106 15 00.000,35 00 00.000,-106 07 30.000,1429057_BASE1
22445.0,35049C,1526115_32,35,0022,1025,D,35049C0750D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,24000,AREA IN ZONE D,35 07 30.000,-16 07 30.000,35 00 00.000,-106 00 00.000,1429057_BASE1
22451.0,35049C,1526115_33,52,0022,1050,D,3500220005D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,24000,AREA IN ZONE D,35 07 30.000,-106 00 00.000,35 00 00.000,-105 52 30.000,1429057_BASE1
22446.0,35049C,1526115_34,35,0022,160,D,35049C0750D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,12000,AREA IN ZONE D,36 00 00.000,-105 56 15.000,v35 56 15.000,-105 52 30.000,1429057_BASE1
22448.0,35049C,1526115_34,35,0022,525,D,3500220005D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,24000,AREA IN ZONE D,35 37 30.000,-106 07 30.000,35 30 00.000,-106 00 00.000,1429057_BASE1
40954.0,35049C,1429057_105,35,0022,175,D,35049C0950D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,24000,AREA IN ZONE D,36 00 00.000,-106 00 00.000,35 52 30.000,-105 52 30.000,1526115_BASE2
40954.0,35049C,1526115_33,35,0022,50,D,35049C0050D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,24000,AREA IN ZONE D,36 07 30.000,-106 00 00.000,36 00 00.000,-105 52 30.000,1526115_BASE2
22446.0,35049C,1526115_32,35,0022,405,D,35049C0950D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,12000,AREA IN ZON D,35 45 00.000,-106 00 00.000,35 45 00.000,-106 00 00.000,1429057_BASE1
22449.0,35049C,1526115_39,35,0022,1075,D,3500220005D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,24000,AREA IN ZONE D,35 07 30.00,-105 52 30.000,35 00 00.000,-105 45 00.000,1526115_BASE2
