AGENCY CODE,STATE AGENCY,PROPERTY CLASSIFICATION,TYPE OF PROPERTY,NAME OF BUILDING,PHYSICAL ADDRESS,CITY,COUNTY,YEAR PROPERTY ACQUIRED,PURPOSE,SECTIONTOWNSHIPRANGE,SIZE OF STRUCTURE AND/OR ACRES,LIST VALUE,% OF PROPERTY BEING UTILIZED,YEAR BUILT,OCCUPANCY RATE OF THE BUILDING,STATE EMPLOYEES AT THIS BUILDING,% OCCUPIED BY THE STATE,ADDITIONAL DESCRIPTION OF % OCCUPIED BY THE STATE,% OF THE BUILDING BEING LEASED OR SUBLEASED,ADDITIONAL DESCRIPTION % BUILDING LEASED OR SUBLEASED,"USAGE BY STATE: DAILY, WEEKLY, MONTHLY",ACRES,ACRES USED BY STATE,ADDITIONAL DESCRIPTION OF ACRES ,PURPOSE- LAND,"USAGE BY STATE: DAILY, WEEKLY, MONTHLY-LAND",% OF ACRES OF THE LAND BEING LEASED OR SUBLEASED,STATE,Location 1
308,BUREAU OF INVESTIGATION,OWNED,OFFICE BUILDING,CENTRAL LABORATORY,2132 N.E. 36TH,OKLAHOMA CITY,OKLAHOMA,01/01/1972 12:00:00 AM,LABORATORY/OFFICE SPACE,"SECTION - 24NW
TOWNSHIP - 12N
RANGE - 3WIM","19,000 SF; 1.8160 ACRES",,50,01/01/1972 12:00:00 AM,50,0,100,,,,DAILY FOR STORAGE - WEEKLY USED BY STAFF,,,,,,,OK,"2132 N.E. 36TH
OKLAHOMA CITY, ok
(35.50764319900003, -97.47445988699997)"
165,CONNORS STATE COLLEGE    ,OWNED,ACADEMIC BUILDING,HASKELL BUILDING,201 COURT STREET,MUSKOGEE,MUSKOGEE,01/01/1991 12:00:00 AM,VACANT BUILDING/PARKING LOT/ NOT USED,,"630,752 SF",$460000.00,0,01/01/1889 12:00:00 AM,0,0,0,,,,,,,,,,,OK,"201 COURT STREET
MUSKOGEE, ok
(35.75002804600007, -95.36912266799999)"
131,CORRECTIONS DEPARTMENT,OWNED,WAREHOUSE ,JOHN LILLEY CORRECTIONAL CENTER CENTRAL SUPPLY,105150 N 3670 ROAD,BOLEY,OKFUSKEE,01/01/1930 12:00:00 AM,SUPPLY/WAREHOUSE (PLANS IN PLACE FOR THE OTHER 50%),"SECTION 28
TOWNSHIP 12 N
RANGE 8 E","11,964 SF",$1050000.00,50,01/01/1930 12:00:00 AM,,1,,,,,DAILY,,,,,,,OK,"105150 N 3670 ROAD
BOLEY, ok
(35.533821045000025, -96.47686181699999)"
131,CORRECTIONS DEPARTMENT,OWNED,OFFENDER HOUSING ,OKLAHOMA STATE PENITENTIARY F. CELL,WEST & STONEWALL,MCALESTER,PITTSBURG,,INMATE HOUSING,"SECTION 35
TOWNSHIP 6 NORTH
RANGE 14 EAST","67,200 SF",$20781685.00,25,,100,8,100,,,,DAILY,,,,,,,OK,"WEST &amp; STONEWALL
MCALESTER, ok
(34.93397118100006, -95.76960951299998)"
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING,JAMES CRABTREE CORRECTIONAL CENTER HOUSING UNIT 7,3RD & MURRAY,HELENA,ALFALFA,01/01/1968 12:00:00 AM,HOUSING UNIT,"SECTION 16
TOWNSHIP 24N
RANGE 10W","3,750 SF",$1250000.00,20,01/01/1968 12:00:00 AM,100,0,100,,,,DAILY,,,,,,,OK,"3RD &amp; MURRAY
HELENA, ok
(36.54565136900004, -98.26559718499999)"
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING,FORMER WSPC ADMIN,ONE WILLIAM KEY BLVD,FORT SUPPLY,WOODWARD,01/01/1948 12:00:00 AM,UNOCUPD AT PRESENT,"SECTION  9
TOWNSHIP  24 NORTH
RANGE  22 WEST","14,520 SF",$1452000.00,0,01/01/1948 12:00:00 AM,,,0,,,,N/A,,,,,,,OK,"ONE WILLIAM KEY BLVD
FORT SUPPLY, ok
(36.57371290800006, -99.57131678999997)"
131,CORRECTIONS DEPARTMENT,OWNED,WATER PLANT,OKLAHOMA STATE REFORMATORY WATER PLANT,1700 E 1ST,GRANITE,GREER,01/01/1984 12:00:00 AM,NEVER USED,"SECTION  31
TOWNSHIP  6
RANGE  20","2,000 SF",$180000.00,0,01/01/1984 12:00:00 AM,,0,,,,,MONDAY-FRIDAY,,,,,,,OK,"1700 E 1ST
GRANITE, ok
(34.95792288000007, -99.36587138599998)"
131,CORRECTIONS DEPARTMENT,OWNED,STAFF HOUSING ,OKLAHOMA STATE REFORMATORY WEST CELL HOUSE,1700 E 1ST,GRANITE,GREER,,VAC INMATE HOUSING,"SECTION  31
TOWNSHIP  6
RANGE  20","9,826 SF",$1159350.00,0,,,0,100,,,,,,,,,,,OK,"1700 E 1ST
GRANITE, ok
(34.95792288000007, -99.36587138599998)"
131,CORRECTIONS DEPARTMENT,OWNED,GYM,"GYM & ""I"" UNIT",WEST & STONEWALL,MCALESTER,PITTSBURG,01/01/1940 12:00:00 AM,CLOSED,"SECTION 35
TOWNSHIP 6 NORTH
RANGE 14 EAST","23,405 SF",$4867628.00,0,01/01/1940 12:00:00 AM,100,0,,,,,,,,,,,,OK,"WEST &amp; STONEWALL
MCALESTER, ok
(34.93397118100006, -95.76960951299998)"
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING ,"OKLAHOMA STATE PENITENTIARY ""G"" UNIT",WEST & STONEWALL,MCALESTER,PITTSBURG,01/01/1940 12:00:00 AM,CLOSED,"SECTION 35
TOWNSHIP 6 NORTH
RANGE 14 EAST","7,000 SF",$2284241.00,0,01/01/1940 12:00:00 AM,100,0,,,,,,,,,,,,OK,"WEST &amp; STONEWALL
MCALESTER, ok
(34.93397118100006, -95.76960951299998)"
