AGENCY CODE,STATE AGENCY,PROPERTY CLASSIFICATION,TYPE OF PROPERTY,NAME OF BUILDING,PHYSICAL ADDRESS,COUNTY,YEAR PROPERTY ACQUIRED,PURPOSE- BUILDING,SECTIONTOWNSHIPRANGE,SIZE OF STRUCTURE AND/OR ACRES,LIST VALUE,% OF PROPERTY BEING UTILIZED,YEAR BUILT,OCCUPANCY RATE OF THE BUILDING,VACANT SQUARE FOOTAGE,STATE EMPLOYEES AT THIS BUILDING,% OCCUPIED BY THE STATE,ADDITIONAL DESCRIPTION OF % OCCUPIED BY THE STATE,% OF THE BUILDING BEING LEASED OR SUBLEASED,ADDITIONAL DESCRIPTION % BUILDING LEASED OR SUBLEASED,"USAGE BY STATE: DAILY, WEEKLY, MONTHLY- BUILDING",ACRES,ACRES USED BY STATE,ADDITIONAL DESCRIPTION OF ACRES ,PURPOSE- LAND,"USAGE BY STATE: DAILY, WEEKLY, MONTHLY- LAND",% OF ACRES OF THE LAND BEING LEASED OR SUBLEASED,LISTED ON THE NATIONAL REGISTER OF HISTORIC PLACES,LISTED WITH THE NATIONAL TRUST FOR  HISTORIC PRESERVATION,PROPERTY IS OF POTENTIAL HISTORIC SIGNIFICANCE,Location 1
308,BUREAU OF INVESTIGATION,OWNED,OFFICE BUILDING,CENTRAL LABORATORY,2132 N.E. 36TH,OKLAHOMA,1972,LABORATORY/OFFICE SPACE,"SECTION - 24NW
TOWNSHIP - 12N
RANGE - 3WIM","19,000 SF; 1.8160 ACRES","688,000; BUILDING REPLACEMENT VALUE: 5,700,000",50,1972,50,,0,100,,,,DAILY FOR STORAGE - WEEKLY USED BY STAFF,1.186,1.186,,LAND BUILDING SITS ON,DAILY,,,,,"2132 N.E. 36TH
OKLAHOMA CITY, OK
(35.50764319900003, -97.47445988699997)"
131,CORRECTIONS DEPARTMENT,OWNED,WAREHOUSE ,JOHN LILLEY CORRECTIONAL CENTER CENTRAL SUPPLY,105150 N 3670 ROAD,OKFUSKEE,1930,SUPPLY/WAREHOUSE (PLANS IN PLACE FOR THE OTHER 50%),"SECTION 28
TOWNSHIP 12 N
RANGE 8 E","11,964 SF","1,050,000",50,1930,,,1,,,,,DAILY,,,,,,,NO,NO,NO,"105150 N 3670 ROAD
BOLEY, OK
(35.533821045000025, -96.47686181699999)"
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING,FORMER WSPC ADMIN,ONE WILLIAM KEY BLVD,WOODWARD,1948,UNOCUPD AT PRESENT,"SECTION  9
TOWNSHIP  24 NORTH
RANGE  22 WEST","14,520 SF","1,452,000",0,1948,,,,0,,,,N/A,,,,,,,YES,NO,YES,"ONE WILLIAM KEY BLVD
FORT SUPPLY, OK
(36.57371290800006, -99.57131678999997)"
131,CORRECTIONS DEPARTMENT,OWNED,WATER PLANT,OKLAHOMA STATE REFORMATORY WATER PLANT,1700 E 1ST,GREER,1984,STORAGE,"SECTION  31
TOWNSHIP  6
RANGE  20","2,000 SF","180,000",0,1984,,,0,,,,,MONDAY-FRIDAY,,,,,,,NO,NO,NO,"1700 E 1ST
GRANITE, OK
(34.95792288000007, -99.36587138599998)"
131,CORRECTIONS DEPARTMENT,OWNED,OFFENDER HOUSING/SECURITY WALL,OKLAHOMA STATE REFORMATORY WEST CELL HOUSE,1700 E 1ST,GREER,,VAC INMATE HOUSING/SECURITY WALL,"SECTION  31
TOWNSHIP  6
RANGE  20","9,826 SF","1,159,350",0,,,,0,100,,,,,,,,,,,NO,NO,YES,"1700 E 1ST
GRANITE, OK
(34.95792288000007, -99.36587138599998)"
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING,JAMES CRABTREE CORRECTIONAL CENTER HOUSING UNIT 7,3RD & MURRAY,ALFALFA,1968,HOUSING UNIT,"SECTION 16
TOWNSHIP 24N
RANGE 10W","3,750 SF","1,250,000",20,1968,100,3720,0,100,,,,DAILY,,,,,,,NO,NO,NO,"3RD &amp; MURRAY
HELENA, OK
(36.54565136900004, -98.26559718499999)"
131,CORRECTIONS DEPARTMENT,OWNED,OFFENDER HOUSING ,OKLAHOMA STATE PENITENTIARY F. CELL,WEST & STONEWALL,PITTSBURG,,INMATE HOUSING,"SECTION 35
TOWNSHIP 6 NORTH
RANGE 14 EAST","67,200 SF","20,781,685",25,,100,,8,100,,,,DAILY,,,,,,,,,,"WEST &amp; STONEWALL
MCALESTER, OK
(34.93397118100006, -95.76960951299998)"
131,CORRECTIONS DEPARTMENT,OWNED,GYM,"GYM & ""I"" UNIT",WEST & STONEWALL,PITTSBURG,1940,CLOSED,"SECTION 35
TOWNSHIP 6 NORTH
RANGE 14 EAST","23,405 SF","4,867,628",0,1940,100,23405,0,,,,,,,,,,,,,,,"WEST &amp; STONEWALL
MCALESTER, OK
(34.93397118100006, -95.76960951299998)"
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING ,"OKLAHOMA STATE PENITENTIARY ""G"" UNIT",WEST & STONEWALL,PITTSBURG,1940,CLOSED,"SECTION 35
TOWNSHIP 6 NORTH
RANGE 14 EAST","7,000 SF","2,284,241",0,1940,100,7000,0,,,,,,,,,,,,,,,"WEST &amp; STONEWALL
MCALESTER, OK
(34.93397118100006, -95.76960951299998)"
131,CORRECTIONS DEPARTMENT,OWNED,CELL HOUSE ,OKLAHOMA STATE PENITENTIARY E W CELL HOUSE,WEST & STONEWALL,PITTSBURG,,CLOSED,"SECTION 35
TOWNSHIP 6 NORTH
RANGE 14 EAST","91,520 SF","19,983,815",0,,100,91520,0,,,,,,,,,,,,,,,"WEST &amp; STONEWALL
MCALESTER, OK
(34.93397118100006, -95.76960951299998)"
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING ,OKLAHOMA STATE PENITENTIARY TRUSTY BLDG/T.H.M.H.,WEST & STONEWALL,PITTSBURG,,CLOSED,"SECTION 35
TOWNSHIP 6 NORTH
RANGE 14 EAST","711,304 SF","10,529,835",0,,100,711304,0,,,,,,,,,,,,,,,"WEST &amp; STONEWALL
MCALESTER, OK
(34.93397118100006, -95.76960951299998)"
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING ,OKLAHOMA STATE PENITENTIARYT.H.M.U. VISITING,WEST & STONEWALL,PITTSBURG,,CLOSED,"SECTION 35
TOWNSHIP 6 NORTH
RANGE 14 EAST","2,758 SF","179,500",0,,100,2758,0,,,,,,,,,,,,,,,"WEST &amp; STONEWALL
MCALESTER, OK
(34.93397118100006, -95.76960951299998)"
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING ,OKLAHOMA STATE PENITENTIARY T.H.M.U. KITCHEN,WEST & STONEWALL,PITTSBURG,,INMATE SHAKEDOWN,"SECTION 35
TOWNSHIP 6 NORTH
RANGE 14 EAST","1,875 SF","133,137",0,,100,,2,100,,,,DAILY,,,,,,,,,,"WEST &amp; STONEWALL
MCALESTER, OK
(34.93397118100006, -95.76960951299998)"
131,CORRECTIONS DEPARTMENT,OWNED,LIBRARY BUILDING ,OKLAHOMA STATE PENITENTIARYBOOK BINDERY/LAW LIBRARY,WEST & STONEWALL,PITTSBURG,,CLOSED,"SECTION 35
TOWNSHIP 6 NORTH
RANGE 14 EAST","17,722 SF","3,922,144",0,,100,17722,0,,,,,,,,,,,,,,,"WEST &amp; STONEWALL
MCALESTER, OK
(34.93397118100006, -95.76960951299998)"
131,CORRECTIONS DEPARTMENT,OWNED,OFFICE BUILDING ,OKLAHOMA STATE PENITENTIARYOCI COORD OFFICE,WEST & STONEWALL,PITTSBURG,,CLOSED,"SECTION 35
TOWNSHIP 6 NORTH
RANGE 14 EAST",460 SF,,0,,100,,0,,,,,,,,,,,,,,,"WEST &amp; STONEWALL
MCALESTER, OK
(34.93397118100006, -95.76960951299998)"
131,CORRECTIONS DEPARTMENT,OWNED,OFFICE BUILDING ,OKLAHOMA STATE PENITENTIARY PRINT SHOP,WEST & STONEWALL,PITTSBURG,,CLOSED,"SECTION 35
TOWNSHIP 6 NORTH
RANGE 14 EAST","13,184 SF","561,000",0,,100,13184,0,,,,,,,,,,,,,,,"WEST &amp; STONEWALL
MCALESTER, OK
(34.93397118100006, -95.76960951299998)"
131,CORRECTIONS DEPARTMENT,OWNED,TICKET BOOTH ,OKLAHOMA STATE PENITENTIARY RODEO TICKET BOOTH,WEST & STONEWALL,PITTSBURG,,CLOSED,"SECTION 35
TOWNSHIP 6 NORTH
RANGE 14 EAST","1,025 SF","19,316",0,,100,,0,100,,,,,,,,,,,,,,"WEST &amp; STONEWALL
MCALESTER, OK
(34.93397118100006, -95.76960951299998)"
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING ,OKLAHOMA STATE PENITENTIARY RESTROOM MEN&WOMAN W ENTRN,WEST & STONEWLL,PITTSBURG,,CLOSED,"SECTION 35
TOWNSHIP 6 NORTH
RANGE 14 EAST",448 SF,"27,466",0,,100,,0,100,,,,,,,,,,,,,,"WEST &amp; STONEWLL
MCALESTER, OK
(34.93397118100006, -95.76960951299998)"
131,CORRECTIONS DEPARTMENT,OWNED,LAND,MABEL BASSETT CORRECTIONAL CENTER FORMER AMBULANCE BLDG,29501 KICKAPOO,POTTAWATOMIE,2003,LAND,"SECTION 7
TOWNSHIP 11 NORTH
RANGE 2 EAST I.M.",0 SF,,0,,0,,0,0,,,,,,,,,,,NO,NO,NO,"29501 KICKAPOO
MCLOUD, OK
(35.449322678000044, -97.12991115899996)"
131,CORRECTIONS DEPARTMENT,OWNED,SHOP BUILDING ,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER MAINTENANCE SHOP,3200 NW 39TH,OKLAHOMA,1959,VACANT/MAINTENACE SHOP,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W",990 SF,"125,000",0,1950,0,,,0,,,,,,,,,,,,,,"3200 NW 39TH
OKLAHOMA CITY, OK
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED, MECHANICAL BUILDING,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER MECH RM FOR HEAT/AIR,3200 NW 39TH,OKLAHOMA,1959,VACANT/MECH RM HEAT & AIR,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W",400 SF,"55,000",0,1959,0,,0,0,,,,,,,,,,,,,,"3200 NW 39TH
OKLAHOMA CITY, OK
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,OFFICE BUILDING ,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER  OFFICES,3200 NW 39TH,OKLAHOMA,1959,VACANT/ADMIN/STAFF OFFICES,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W","9,308 SF","1,750,000",0,1959,0,,,0,,,,,,,,,,,,,,"3200 NW 39TH
OKLAHOMA CITY, OK
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,DINING BUILDING ,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER  DINING FACILITY,3200 NW 39TH,OKLAHOMA,1959,VACANT/FOOD PREP,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W","3,440 SF","500,000",0,1959,0,,,0,,,,,,,,,,,,,,"3200 NW 39TH
OKLAHOMA CITY, OK
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,OFFENDER HOUSING ,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER  RESIDENCE/HOUSING,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER  RESIDENCE/HOUSING,OKLAHOMA,1959,VACANT/RESIDENT HOUSING,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W","9,880 SF","1,930,000",0,1959,0,,,0,,,,,,,,,,,,,,"FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER RESIDENCE/HOUSING
OKLAHOMA CITY, OK
(35.472030747000076, -97.52106835299998)"
131,CORRECTIONS DEPARTMENT,OWNED,OFFENDER HOUSING ,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER  RES HOUSE/OFC/CONF,3200 NW 39TH,OKLAHOMA,1959,VACANT/RES HOUSING/OFF/CONF,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W","6,232 SF","1,930,000",0,1959,0,,,0,,,,,,,,,,,,,,"3200 NW 39TH
OKLAHOMA CITY, OK
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING ,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER  SECURITY/PROP STOR,3200 NW 39TH,OKLAHOMA,1959,VACANT/SECURITY OFFICE/STORAGE,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W",960 SF,"150,000",0,1959,0,,,0,,,,,,,,,,,,,,"3200 NW 39TH
OKLAHOMA CITY, OK
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,STORAGE BUILDING ,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER  ARCHIVES BUILDING,3200 NW 39TH,OKLAHOMA,1997,VACANT/STORAGE/ARCHIVES,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W",288 SF,"3,500",0,1977,0,,,0,,,,,,,,,,,,,,"3200 NW 39TH
OKLAHOMA CITY, OK
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,STORAGE BUILDING ,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER STORAGE,3200 NW 39TH,OKLAHOMA,1950,VACANT/STORAGE BUILDING MATERIALS,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W","3,000 SF","225,000",0,1950,0,,,100,,,,,,,,,,,,,,"3200 NW 39TH
OKLAHOMA CITY, OK
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER DENTAL CLINIC/STORAG,3200 NW 39,OKLAHOMA,1950,VACANT DENTAL CLINIC/ STORAGE,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W","4,000 SF","500,000",0,1950,0,,0,0,,,,,,,,,,,,,,"3200 NW 39
OKLAHOMA CITY, OK
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING ,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER  W CENTRAL REG OFF,3200 NW 39,OKLAHOMA,1950,VACANT/ADM / TREAMNT/ OFFICE / CLASS,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W","6,750 SF","506,250",0,1950,0,,,0,,,,,,,,,,,NO,NO,NO,"3200 NW 39
OKLAHOMA CITY, OK
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,GREEN HOUSE,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER  GREEN HOUSE,3200 NW 39,OKLAHOMA,,VACANT/CLOSING,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W",175 SF,"2,500",0,1980,0,,,0,,,,,,,,,,,,,,"3200 NW 39
OKLAHOMA CITY, OK
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING ,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER PROGRAMS BUILDING,3200 NW 39,OKLAHOMA,,VACANT/CLOSING,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W",400 SF,"15,000",0,2003,0,,,0,,,,,,,,,,,,,,"3200 NW 39
OKLAHOMA CITY, OK
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,STORAGE BUILDING ,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER CAUSTICS FLAM STRG,3200 NW 39,OKLAHOMA,,VACANT/CLOSING,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W",306 SF,"22,000",0,2001,0,,,0,,,,,,,,,,,,,,"3200 NW 39
OKLAHOMA CITY, OK
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,STORAGE BUILDING ,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER  LAWN MOWER BUILDING,3200 NW 39,OKLAHOMA,,VACANT/CLOSING,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W",150 SF,"8,000",0,1959,0,,,0,,,,,,,,,,,,,,"3200 NW 39
OKLAHOMA CITY, OK
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,STORAGE BUILDING ,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER  STORAGE,3200 NW 39TH,OKLAHOMA,1959,VACANT/CLOSING,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W","1,060 SF","5,000",0,1959,0,,,0,,,,,,,,,,,,,,"3200 NW 39TH
OKLAHOMA CITY, OK
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING ,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER  WOOD SHOP,3200 NW 39TH,OKLAHOMA,,VACANT/CLOSING,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W",700 SF,"50,000",0,1950,0,,,0,,,,,,,,,,,,,,"3200 NW 39TH
OKLAHOMA CITY, OK
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,FENCE ,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER  FENCE,3200 NW 39,OKLAHOMA,,VACANT/FENCE,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W","1,500 SF","30,000",0,2004,0,,,0,,,,,,,,,,,,,,"3200 NW 39
OKLAHOMA CITY, OK
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,LAND,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER ,3200 NW 39TH STREET,OKLAHOMA,,VACANT/PRISON,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W",2 ACRES,,0,,0,1,,0,,,,,2,2,,VACANT-CORRECTIONAL FACILITY ,,,NO,NO,NO,"3200 NW 39TH STREET
OKLAHOMA CITY, OK
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING,MACK ALFORD CORRECTIONAL CENTER TOWER #5,1151 N HIGHWAY 69,ATOKA,1978,SECURITY,"SECTION 22
TOWNSHIP 2 S
RANGE 11 E",192 SF,"65,000",0,1978,0,,0,100,,,,NONE,,,,,,,NO,NO,NO,"1151 N HIGHWAY 69
STRINGTOWN, OK
(34.46467809600006, -96.05939694499995)"
230,EAST CENTRAL UNIVERSITY,OWNED,VACANT LOT,FUTURE PARKING LOT,1036 E. 10TH STREET,PONTOTOC,,VACANT LOT,SECTION 34 TOWNSHIP4N          RANGE 6E               QUARTER SW,,,0,,100,,,100,,,,DAILY,0.43,0.43,,FUTURE PARKING LOT,,,,,,"1036 E. 10TH STREET
ADA, OK
(34.77563518900007, -96.66451531499996)"
230,EAST CENTRAL UNIVERSITY,OWNED,FUTURE PARKING LOT,906 14TH,906 E. 14 ST,PONTOTOC,,VACANT LOT,SECTION 34 TOWNSHIP4N          RANGE 6E               QUARTER SW,"1,200 SF",0,0,2012,0,,,0,,0,,N/A,0.2,0.2,,FUTURE PARKING LOT,,,,,,"906 E. 14 ST
ADA, OK
(34.77134771300007, -96.66647032599997)"
230,EAST CENTRAL UNIVERSITY,OWNED,VACANT LOT,VACANT LOT,817 AND 815EAST 12TH STREET,PONTOTOC,2013,FUTURE PARKING,SECTION 34 TOWNSHIP4N          RANGE 6E               QUARTER SW,,"$25,000.00",0,,,,,,,,,,,,,FUTURE PARKING,,,,,,"817 AND 815EAST 12TH STREET
ADA, OK
(34.77506249000004, -96.67865756499998)"
230,EAST CENTRAL UNIVERSITY,OWNED,VACANT LOT,VACANT LOT,213 AND 215 NORTH FRANCIS,PONTOTOC,,FUTURE PARKING,SECTION 34 TOWNSHIP4N          RANGE 6E               QUARTER SW,,,0,,,,,,,,,,0.22,0.22,,FUTURE PARKING,,,,,,"213 AND 215 NORTH FRANCIS
ADA, OK
(34.77629100200005, -96.66525351699994)"
230,EAST CENTRAL UNIVERSITY,OWNED,VACANT LOT,VACANT LOT,9TH AND FRANCIS SW CORNER,PONTOTOC,,FUTURE PARKING,SECTION 34 TOWNSHIP4N          RANGE 6E               QUARTER SW,,,0,,,,,,,,,,0.22,0.22,,PARKING LOT,,,,,,"9TH AND FRANCIS SW CORNER
ADA, OK
(34.77506249000004, -96.67865756499998)"
230,EAST CENTRAL UNIVERSITY,OWNED,VACANT LOT,VACANT LOT,12TH AND CENTER SW CORNER,PONTOTOC,,FUTURE PARKING,SECTION 34 TOWNSHIP4N          RANGE 6E               QUARTER SW,,,0,,,,,,,,,,0.22,0.22,,FUTURE PARKING,,,,,,"12TH AND CENTER SW CORNER
ADA, OK
(34.77506249000004, -96.67865756499998)"
230,EAST CENTRAL UNIVERSITY,OWNED,VACANT LOT,VACANT LOT,13TH AND CENTER SE CORNER,PONTOTOC,,FUTURE PARKING,SECTION 34 TOWNSHIP4N          RANGE 6E               QUARTER SW,,,0,,,,,,,,,,0.31,0.31,,FUTURE PARKING,,,,,,"13TH AND CENTER SE CORNER
ADA, OK
(34.77506249000004, -96.67865756499998)"
240,EASTERN OKLAHOMA STATE COLLEGE,OWNED,DORMITORY,SALMON HALL,1301 W. MAIN,LATIMER,1908,MEN'S DORMITORY,"SECTION: 8
TOWNSHIP: 5N
RANGE: 19E"," 25,090 SF",,0,1968,0,,0,0,,,,,,,,,,,,,,"1301 W. MAIN
WILBURTON, OK
(34.91298916000005, -95.32751758699999)"
340,HEALTH DEPARTMENT,OWNED,MEDICAL CLINIC AND OFFICE BUILDING,LEFLORE COUNTY HEALTH DEPARTMENT,1212 REYNOLDS,LEFLORE,1989,MEDICAL CLINIC/OFFICE BUILDING. PREVIOUSLY OLD NURSING HOME,,"17,144 SF",,0,1940,0,,,0,,,,,,,,,,,,,,"1212 REYNOLDS
POTEAU, OK
(35.04308250400004, -94.61530661199998)"
350,HISTORICAL SOCIETY,OWNED,MUSEUM,STATE CAPITAL PUBLISHING MUSEUM,301 W. HARRISON,LOGAN,1975,MUSEUM/HISTORIC SITE,"SECTION 8
TOWNSHIP 16N 
RANGE 2W ","50,000 SF",5634232,50,1902,20,,0,,,,,NONE,,,,,,,YES,NHL,,"301 W. HARRISON
GUTHRIE, OK
(35.876952344000074, -97.42770929499994)"
830,HUMAN SERVICES DEPARTMENT,OWNED, LAND  ,,SE 6TH STREET,HARPER,2003,VACANT LAND,,,"APPRAISED - 11,750",0,,,,,,,,,,0.7,0,,VACANT LAND,,0,,,,"SE 6TH STREET
BUFFALO, OK
(36.83288742000008, -99.62275674699998)"
830,HUMAN SERVICES DEPARTMENT,OWNED, BARBER/BEAUTY SHOPS ,"SOUTHERN OKLAHOMA RESOURCE CENTER (SORC), MARLAND HALL",100 HOPE AVE,GARVIN,1930, VACANT ,"SECTIONS 27, 28,34 & 35 TOWNSHIP 3N RANGE1E"," 8,923.9 SF   1,032 ACRES","BUILDING REPLACEMENT 1,606,302   TOTAL SORC LAND ESTIMATED AT 2,063,800",0,1930,0,8924,TOTAL SORC FTE 126,0,,,,,,,,,,,,,,"100 HOPE AVE
PAULS VALLEY, OK
(34.740203407000024, -97.22179861699999)"
830,HUMAN SERVICES DEPARTMENT,OWNED, FOOD SERVICE ,"SORC, CAFETERIA/KITCHEN",750 INDEPENDENCE,GARVIN,1968,VACANT,"SECTIONS 27, 28,34 & 35 TOWNSHIP 3N RANGE1E"," 8,340.2 SF   1,032 ACRES","BUILDING REPLACEMENT 1,501,236     TOTAL SORC LAND ESTIMATED AT 2,063,800",0,1968,0,8340,TOTAL SORC FTE 126,0,,,,,,,,,,,,,,"750 INDEPENDENCE
PAULS VALLEY, OK
(34.740203407000024, -97.22179861699999)"
830,HUMAN SERVICES DEPARTMENT,OWNED, FOOD SERVICE ,"SORC, LODGE (TRADING POST/CANTEEN)",200 EAGLE ST,GARVIN,1961,VACANT,"SECTIONS 27, 28,34 & 35 TOWNSHIP 3N RANGE1E"," 1,922.3 SF 1,032 ACRES","BUILDING REPLACEMENT 346,014       TOTAL SORC LAND ESTIMATED AT 2,063,800",0,1961,0,1922,TOTAL SORC FTE 126,0,,,,,,,,,,,,,,"200 EAGLE ST
PAULS VALLEY, OK
(34.740203407000024, -97.22179861699999)"
830,HUMAN SERVICES DEPARTMENT,OWNED, FOOD SERVICE ,"SORC, DINING ROOM/KITCHEN (KERR/CALVERT DINING ROOM)",250 HOPE AVE,GARVIN,1958, VACANT ,"SECTIONS 27, 28,34 & 35 TOWNSHIP 3N RANGE1E"," 7,307.2 SF 1,032 ACRES","BUILDING REPLACEMENT 1,315,296       TOTAL SORC LAND ESTIMATED AT 2,063,800",0,1958,0,7307,TOTAL SORC FTE 126,0,,,,,,,,,,,,,,"250 HOPE AVE
PAULS VALLEY, OK
(34.740203407000024, -97.22179861699999)"
