X,Y,OBJECTID,ID,LOCAL_ID,ASMNT_DT,ADMIN_ST,ADM_UNIT_CD,RPRN_WTLND_AREA_NM,AREA_ID,NWI_NHD_RCH_CD,ASMNT_APRCH,ACRES,AREA_BREAK_RATIONALE,PTNTL_DESC,ALTR_PTNTL,LENTIC_TYPE,SPRING_TYPE,GEOL_STR_TYPE,PRMRY_LITHOLOGY,DISCHARGE_PERMANENCE,DEV_NOTES,LIVESTOCK_SEASON,COMMENTS,RPRN_WTLND_AREA_SAT,RATIONALE,FLUCTUATE_WTR_LVL_NOT_EXCSVE,RATIONALE_2,RPRN_WTLND_AREA_ENLRGE,RATIONALE_3,WTRSHD_NOT_CONTRIBUTE_DEGRADE,RATIONALE_4,WTR_QLTY_SFCNT,RATIONALE_5,SRFCE_SBSRFCE_FLOW_NOT_ALT,RATIONALE_6,STRCTRE_ACCOMMODATE,RATIONALE_7,DVRSE_AGE_DSTRBN_VEG,RATIONALE_8,DVRSE_CMPSTN_VEG,RATIONALE_9,SPCS_INDCT_MAINT_SOIL,RATIONALE_10,ROOT_WTHSTND_EVENT,RATIONALE_11,RPRN_PLANT_HIGH_VIGOR,RATIONALE_12,VEG_DSPTE_ENERGY,RATIONALE_13,HEAVE_NOT_PRSNT,RATIONALE_14,FVRBL_MICROSITE_CND_MAINT,RATIONALE_15,CHEM_NOT_AFFECT_PLANT,RATIONALE_16,SOIL_SAT_SFCNT,RATIONALE_17,WTR_PERCOLATION_RSTRCT,RATIONALE_18,RPRN_WTLND_AREA_IN_BAL,RATIONALE_19,SHORELINE_CHAR_DSPTE_EVENT,RATIONALE_20,RATE_TREND,RATE_RATIONALE,TREND_MTHD,TREND_RATIONALE,THERMOMETER,PRIORITY,VEG_NOTES,FCTR_PRSNT,FLOW_REGLTN,CHANNELIZATION,DEWATERING,DREDGING,LND_OWN,MINING,ROAD,SPRING_DEV,WTRSHD_CND,OIL_FLD_WTR_DISCH,AGMNT_FLOW,OTHER,FCTR_EXPLN,REPORT,CMLTVE_NOTES,SG_GRS_FRBS,DSTNC_SG_BRSH,CREATE_DATE,MODIFY_DATE,created_date,last_edited_date,GlobalID,SG_GRS_PRSNT,PRFD_FRB_AVLBL
,,1,{8442B569-8FE6-4F5A-BD4B-B7BF004959C1},603FERR0101,2001/06/21 00:00:00+00,CO,COS01000,FERRIS RESERVOIR,,,COMPLETE_RECON,,,,,,,,,,,,PRE-LIVESTOCK USE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARD,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,NO,HEADCUT IN SPILLWAY CAUSING POTENTIAL FOR EXCESSIVE EROSION,,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{0137B4F7-9B5E-4F32-A769-4337095B38ED},,
,,2,{2D12BA50-D35B-444D-B359-A8A80F7D850F},603FERR0101,2010/08/05 00:00:00+00,CO,COS01000,FERRIS RESERVOIR,,,COMPLETE_RECON,,,,,,,,,,,,PRE-LIVESTOCK USE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFC,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,NO,PRE-LIVESTOCK USE,,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{60837BB2-2BC2-4B0E-B715-F85094B0BB94},,
,,3,{670008AD-8298-40D1-A5A5-5FDC6DC3CF1B},603DRY0101,2010/08/05 00:00:00+00,CO,COS01000,DRY LAKE,,,COMPLETE_RECON,,,,,,,,,,,,PRE-LIVESTOCK USE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFC,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,PRE-LIVESTOCK USE,,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{2CD0DFDB-6324-46F9-90B6-E1EE86BF822B},,
,,4,{6FFC5265-0FEA-4C24-9712-2EAB09BB6B84},602CABI0101,2001/06/13 00:00:00+00,CO,COS01000,CABIN RESERVOIR,,,COMPLETE_RECON,,,,,,,,,,,,PRE-LIVESTOCK USE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARNA,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,NO,"HEADCUTS AT SPILLWAY, TRAILING INTO WETLAND CAN CHANNELIZE FLOWS AND REDUCE SIZE OF WETLAND",,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{6D1C227D-A8C4-4B12-808F-CE06DC5547A6},,
,,5,{DC346F31-1DD9-4E06-98AF-BA675C4AA190},602CABI0101,2010/08/05 00:00:00+00,CO,COS01000,CABIN RESERVOIR,,,COMPLETE_RECON,,,,,,,,,,,,PRE-LIVESTOCK USE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFC,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,NO,PRE-LIVESTOCK USE,,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{9A49D3BC-6B5F-430E-801E-EB1F9BD215FE},,
,,6,{543EAF2F-3EDA-42C9-A904-AFC7B7C3C8D8},406DUNH0101,2010/08/30 00:00:00+00,CO,COS01000,DUNHAM RESERVOIR,,,COMPLETE_RECON,,,,,,,,,,,,PRE-LIVESTOCK USE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFC,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,PRE-LIVESTOCK USE,,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{F6916121-F7A4-47A0-A80E-03E8A92056F4},,
,,7,{22C90E2D-ABA1-48D4-A563-B110D49AE17F},601HOPP0101,2010/08/30 00:00:00+00,CO,COS01000,HOPPE RESERVOIR,,,COMPLETE_RECON,,,,,,,,,,,,WATER QUALITY ISSUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARNA,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,WATER QUALITY ISSUES,,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{50A01179-FB58-41B5-853D-5958EF04C0A9},,
,,8,{17A08B28-3D2D-440F-98B6-075B60F4942B},601HOPS0101,2010/08/30 00:00:00+00,CO,COS01000,HOPPE SPRING,,,COMPLETE_RECON,,,,,,,,,,,,"PRISTINE, UNDEVELOPED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFC,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,"PRISTINE, UNDEVELOPED",,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{2E91D60E-36E6-4919-B60D-61B15360BB63},,
,,9,{E28F4CF8-5A6F-4E91-B381-5BD2AEE4F94D},601SBNH0101,2010/08/30 00:00:00+00,CO,COS01000,SALTER BENCH RESERVOIR,,,COMPLETE_RECON,,,,,,,,,,,,SMALL RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFC,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,SMALL RESERVOIR,,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{C0FAB2C3-5E2C-42D2-AA78-225C7B763EEA},,
,,10,{D9E7CF2D-0109-41BB-BACB-A6341A139102},406KNOL0101,2010/08/30 00:00:00+00,CO,COS01000,KNOLLS RESERVOIR,,,COMPLETE_RECON,,,,,,,,,,,,USED BY TWO PASTURES?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARD,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,USED BY TWO PASTURES?,,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{9C94C177-9F1D-473C-8B3F-10C96BCA4B81},,
