OBJECTID,WSR_NAME,WSR_CLASS,ORV,CASEFILE,DSG_MILES,BLM_ORG_CD,GIS_MILES,SHAPE_Length
1,Deschutes River Segment D,SCENIC,FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044713,,ORP06,0.27453609,0.00541305571744243
2,Deschutes River Segment D,SCENIC,FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044713,,ORP06,0.32625971,0.00594949105132409
3,Deschutes River Segment D,SCENIC,FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044713,,ORP06,0.25565283,0.00417423004200425
4,Deschutes River Segment D,SCENIC,FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044713,,ORP06,0.40670929,0.00730576770285867
5,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,0.75560596,0.0132567782573714
6,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,4.92085653,0.082805910945238
7,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,0.66322781,0.0111765809276945
8,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,0.1455692,0.00279107728097108
9,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,0.33521398,0.00532712835535759
10,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,0.0386203,0.000781510592163035
11,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,0.52779281,0.00853730705084851
12,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,0.38479072,0.00690226155117274
13,Donner and Blitzen Segment F Fish Creek,WILD,FISH/GEOL/HIST/OTHR/REC/SCENIC/WLDL,OROR 044715,,ORB06,0.19238119,0.00325121547024514
14,Donner and Blitzen Segment F Fish Creek,WILD,FISH/GEOL/HIST/OTHR/REC/SCENIC/WLDL,OROR 044715,,ORB06,0.85409049,0.0161177916032493
15,Missouri Creek,SCENIC,,OROR   069753,,ORM07,3.11230984,0.047762030626677
16,East Fork Rum Creek,WILD,,OROR   06975801,,ORM07,1.2813518,0.020614067432094
17,Dulog Creek,SCENIC,,OROR   069763,,ORM07,0.44292857,0.00839273920469814
18,Howard Creek,WILD,,OROR   06975102,,ORM07,6.4205121,0.103431703910676
19,Bald Mountain Creek,REC,,OROR   069878,,ORC00,0.61726356,0.0109489274697873
20,Rum Creek,WILD,,OROR   06975501,,ORM07,2.21738809,0.0343402118357797
21,Mule Creek,SCENIC,,OROR   069752,,ORM07,3.4391973,0.0605677383320412
22,Quail Creek,WILD,,"OROR   069782
",,ORM07,1.73097396,0.0269521572699689
23,North Fork Silver Creek,REC,,"OROR   069808
",,ORM07,6.24396753,0.109986563572706
24,Clackamas River Segment E,SCENIC,FISH/CULT/OTHR/REC/WLDL,OROR 044710,,ORN01,6.16558463,0.105203450353975
25,Roaring River,WILD,FISH/OTHR/REC/SCENIC/WLDL,OROR 044743,,ORN01,2.89573388,0.055025435156976
26,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.06798736,0.00101165196990336
27,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.33297483,0.00500035140276155
28,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.13331709,0.00206645917717268
29,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.34222786,0.00590578578766247
30,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.05166796,0.000923771967991943
31,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.20615873,0.00401650354485037
32,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.09265902,0.00166927312523898
33,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.07274927,0.00140065074200219
