OBJECTID,Bank_Name,HCPB_Num,Comment,AltName,SA_Credits,Checked,DB_Check,Bank_Status_20221216,Key_SA_w_species,Shape_Leng,Shape__Area,Shape__Length
1,Grasslands Mitigation Bank,1798-2013-07-R4, , ,Seasonal Wetlands,Westervelt,Yes,Open,1,,24725723714.4922,1504309.01939849
2,Grasslands Mitigation Bank,1798-2013-07-R4, , ,Giant Garter Snake,Westervelt,Yes,Open,2,,18032517165.7188,1232762.44034078
3,Pilgrim Creek Mitigation Bank,1802-1999-038-5,Caltrans Only Credits,Pilgrim Creek WA,"Primary SA: Wetlands; Coastal sage scrub (CA Gnatcatcher)(Caltrans Only Credits)",Folder,Yes,Open (Sold Out),3,,2082665684.21484,323409.880049387
4,Pilgrim Creek Mitigation Bank,1802-1999-038-5,Caltrans Only Credits Sale after performance standard met,Pilgrim Creek WA,"Secondary SA: Wetlands; Coastal sage scrub (CA Gnatcatcher)(Caltrans Only Credits)",Folder,Yes,Open (Sold Out),4,,843031198.09375,120257.891237506
5,Barry Jones Wetland Mitigation Bank,1802-1997-001-06,"Eastern edge of SA may be ""fuzzy"". Check with sponsor",Skunk Hollow Wetland Mitigation Bank,Wetlands,Folder,Maybe.changed from VP Pres,Open,5,,5223698982.54688,323136.858194698
6,Carinalli-Todd Road Mitigation Bank,1802-2006-009-03,Boundary of Santa Rosa Plain, ,"Vernal Pool/Seasonal Wetland Creation and Preservation; Sebastopol Meadowfoam, Sonoma Sunshine",Folder,Blank. None present,Open,6,,552899465.925781,132589.962592611
7,Elsie Gridley Mitigation Bank,1802-2004-008-02, , ,Vernal Pools and Associated Species,Folder - maps,No - VP Preservation?,Open,7,,5925616743.21484,501172.12901124
8,Hale Mitigation Bank,1802-1999-036-03, ,Santa Rosa Plain Vernal Pool ER,"California tiger salamander; Sebastopol meadow foam; Sonoma sunshine; Wetlands",Folder- minor dev,No mention of plant species,Open,8,,552462687.8125,130467.665996123
9,Hazel Mitigation Bank,1802-2005-006-03, ,Santa Rosa Plain Vernal Pool ER,Seasonal Wetlands,Binder - Dev Plan,No,Open,9,,552226075.449219,131868.552481102
10,Horn Avenue Mitigation Bank,1802-2005-014-03, ,Santa Rosa Plain Vernal Pool ER,Seasonal Wetlands,Folder - minor diff,Blank. None present,Open,10,,472663696.34375,94710.0976895015
11,Beach Lake Mitigation Bank,1802-1993-041-02,"Caltrans only credits Only below 1500 ft in Amador, Calaveras, Colusa, El Dorado, Nevada, Placer, Sacramento, San Joaquin, Solano, Stanislaus, Sutter, Tuolumne, Yolo, Yuba", ,"Freshwater wetland (seasonal & permanent), Woody riparian (forested & scrub/shrub),  Valley Oak woodland, Swainson's hawk foraging habitat (Caltrans Only Credits)",Folder,Yes.,Open,11,,34318642658.918,2651736.87410031
12,Daley Ranch Conservation Bank,2835-1997-003-5,"East edge actually representation of edge of cismontane SD County; not line", ,"Chaparral, Coastal Sage Scrub, Wetlands, Non-Native Grassland, Oak Riparian Woodland",Folder - SA figure,Yes,Open,12,,6671157844.05469,475927.435399137
13,Palo Prieto Conservation Bank,1802-2005-019-03,San Luis Obispo County, ,San Joaquin Kit Fox,web,Yes,Open,13,,12924065850.0781,733939.939162318
14,Kern Water Bank Conservation Bank,2081-1995-027-04,, ,"San Joaquin kit fox; Tipton kangaroo rat; San Joaquin Wooly threads, Swainson's Hawk",web site,Fixed. Blank Changed ot match desc. iin bank info,Open,14,,9868984607.17578,538137.913902688
15,North Suisun Mitigation Bank,1802-2005-007-03, , ,California Tiger Salamander,Wildlands,Yes,Open,15,,13591266385.2656,570433.359239042
16,North Suisun Mitigation Bank,1802-2005-007-03, , ,"Vernal Pool Preservation, Vernal Pool Creation",Wildlands,No,Open,16,,6163462680.03125,517243.429719197
17,Sacramento River Ranch Mitigation Bank,1802-2007-011-02, ,Sacramento River Ranch Wetland Mitigation Bank,"Freshwater Marsh, Jurisdictional Riparian",Folder ExB,Yes,Open,17,,4963839744.85156,516140.598506785
18,Sutter Basin Conservation Bank,1802-2011-004-02, , ,Giant Garter Snake,Westervelt,Yes,Open (Sold Out),18,,10029572727.6563,802856.290673296
19,Santa Paula Creek Mitigation Bank,1802-2011-006-05,"SA based on HUs; May mitigate outside SA on case-by-case basis as approved by CDFW", ,CDFW 1600 - Waters of the State,web,No,Open,19,,8258916923.17969,626924.987082621
20,Santa Paula Creek Mitigation Bank,1802-2011-006-05,"SA based on HUs; May mitigate outside SA on case-by-case basis as approved by CDFW", ,"Wetlands, Coastal Sage and Floodplain Scrub, Chaparral, Riparian and Upland Woodland",web,No. no wetlands,Open,20,,12417690631.9727,724832.490151652
21,San Vicente Conservation Bank,1802-1996-01-R5,SA from text description -county, ,"Coastal Sage Scrub, Chaparral ( CA Gnatcatcher)",Folder BEI p2,Yes,Open,21,,15600400045.7422,667756.168747129
22,Colusa Basin Mitigation Bank,1798-2013-01-R2, , ,Giant Garter Snake,Westervelt,Yes,Open,22,,8682895174.90234,955185.762871909
23,La Purisima Conservation Bank,1798-2013-03-R5, , ,California Tiger Salamander,Vollmar Consulting,Yes,Open,23,,9772248940.04297,495437.202273366
24,Chiquita Canyon Conservation Bank,1802-2004-006-05,"Only areas outside of HCP or NCCP; defined by counties", ,"Coastal sage scrub; California gnatcatcher",Folder - BEI,Yes,Open,24,,138449649731.414,2151712.79234376
25,Liberty Island Conservation Bank,1802-2009-021-02, , ,"Chinook salmon, Central Valley steelhead, Delta smelt, Longfin smelt, Tule Marsh, shaded riverine aquatic",Folder,Maybe. Also WST,Open,25,,4835637126.39844,477111.497974626
26,Soquel Canyon Mitigation Bank,1798-2013-02-R6,Projects outside SA may mitigate on case-by-case basis. No mitigation for tidal impacts., ,Wetlands,"Folder ExB, web","Maybe.. changed to wetland, per DB",Open,26,,8479590549.00391,676315.281766532
27,Soquel Canyon Mitigation Bank,1798-2013-02-R6,Projects outside SA may mitigate on case-by-case basis. No mitigation for tidal impacts., ,CDFW 1602: Waters of the State,"Folder ExB, web",No. Not mentioned,Open,27,,4368618850.57813,465562.947650767
28,San Luis Rey Mitigation Bank,1798-2013-02-R5,May allow projects outside of SA to mitigate on project by project basis, ,"Floodplain Riparian; Floodplain Mosaic Wetlands, Wetlands, Riparian",Folder BEI ExB,Yes. Changed to clarify based on DB,Open,28,,2705431689.20313,326815.4732025
29,Brook Forest Mitigation Bank,1798-2013-06-R5,May have species credits in future, ,"Habitat: Diegan coastal sage scrub; Open Engelmann oak woodland; Mafic southern mixed chaparral; Native grassland; Southern coast live oak riparian; Non-native grassland. Species:  Engelmann oak;",Folder,Blank. Not Clear,Open,29,,1996404404.33203,500353.216247894
30,Brook Forest Mitigation Bank,1798-2013-06-R5, , ,Waters of the State Primary Service Area,web,No. Not Present,Open,30,,2705431689.20313,326815.4732025
31,Clay Station Mitigation Bank,1802-1999-050-02,verified as amended SA per our documents, ,Vernal Pool,Folder-amend 1,Maybe. change to VP per DB,Open,31,,7664828550.75391,414310.078429891
32,SMUD Nature Preserve Mitigation Bank,1802-2009-017-02,SMUD Only Credits, ,"Seasonal Wetland, Vernal Pool, Vernal Swale; Native Grassland;  California tiger salamander; Tricolored blackbird;  CEQA plant species: Boggs Lake Hedge-hyssop; Dwarf downingia; Legenere(SMUD Only Credits)  ",Folder,Yes,Open,32,,14900712836.3945,552045.655091897
33,Desmond Mitigation Bank,1802-2005-003-03, , ,"Wetlands (Riparian, Seasonal Wetlands); Sebastopol Meadowfoam",Folder (RIBITS),"No - only mentions CTS, others credit table",Open,33,,429138480.246094,90745.7039367527
34,Martin Conservation Bank,1802-2007-001-03,Based on Santa Rosa Plain Conservation Strategy =- generalized, ,California Tiger Salamander,Folder - Maps,Yes,Open,34,,485375356.742188,137698.883898876
35,Hazel Mitigation Bank,1802-2005-006-03, ,Santa Rosa Plain Vernal Pool ER,California Tiger Salamander,Binder - Dev Plan,Yes,Open,35,,485375356.742188,137698.883898876
36,Carinalli-Todd Road Mitigation Bank,1802-2006-009-03,"copied Martin, which was digitized from map. Rough.", ,California Tiger Salamander,Folder,Blank. None present,Open,36,,485375356.742188,137698.883898876
37,Cornerstone Lands Conservation Bank,2081-1999-020-05,County of San Diego per BEI, ,MSCP threatened and endangeres species credits: coastal sage scrub/non-native grassland/CA Gnatcatcher,Folder-BEI,Yes. removed Caltrans Only,Open,37,,15601185011.7578,674518.29785846
38,Crestridge Conservation Bank,1802-1995-043-5,"MSCP and MHCP and subareas per amendment figure; excludes areas near coast", ,"Oak riparian woodland; Inland sage scrub; Chaparral; Non-native grassland/CA Gnatcatcher",Folder-amendment,Yes. added CA gnatcatcher,Open,38,,5810065132.08984,740769.304955673
39,Alton North Conservation Bank,1802-2007-005-03, , ,"California Tiger Salamander, Vernal Pool Preservation (Burke's Goldfields, Sonoma Sunshine)",Folder,Yes,Open,39,,383144584.046875,227303.685449966
40,Elsie Gridley Mitigation Bank,1802-2004-008-02, , ,"Swainson's Hawk, Burrowing Owl",web,No,Open,40,,20110976628.8516,866280.99079359
41,North County Habitat Bank,1802-2007-002-05, , ,"Primary SA - Wetlands (Sold Out), Riparian Enhancement (Sold Out), Upland, Coastal Sage Scrub",McCollum Web,"No riparian, but sold out anyway",Open,41,,614017303.59375,116833.67932999
42,Swift/Turner Conservation Bank,1802-2006-006-03, , ,"CA Tiger Salamander, Wetland Restoration (Sebastopol meadowfoam, Sonoma Sunshine, Burkes Goldfields)",Folder,Blank. None mentioned,Open,42,,383144584.046875,227303.685449966
43,Petersen Ranch Mitigation Bank,1798-2013-04-R5, , ,Swainson's Hawk Foraging,SA Desc (Exhibit B),Yes,Open,43,,8223124725.32422,471430.766328937
44,Petersen Ranch Mitigation Bank,1798-2013-04-R5, , ,"CEQA - Alluvial floodplain; Ephemeral stream; Wetland riparian; Non-wetland riparian; Freshwater marsh; Open water, Seasonal wetland; Chaparral, Great Basin scrub; Valley and Foothill",SA Desc (Exhibit B),Blank. No credits listed,Open,44,,12164731037.707,772700.311540439
45,Petersen Ranch Mitigation Bank,1798-2013-04-R5, , ,Waters of the State,SA Desc (Exhibit B),Blank. No Credits listed,Open,45,,8630997880.34375,506444.822005189
46,Ramona Conservation Bank,1798-2013-01-R5,Service Area within South County MSCP - East Otay Mesa Specific Plan Area,Ramona Grasslands Conservation Bank,Primary SA: Non-native grassland/burrowing owl habitat,McCollum web,Yes,Open,46,,18061359.3554688,25436.5014271009
47,Ramona Conservation Bank,1798-2013-01-R5,Secondary Service Area,Ramona Grasslands Conservation Bank,Secondary SA: Non-native grassland/burrowing owl habitat,McCollum web,Yes,Open,47,,1270272407.6875,365352.414330354
48,Ramona Conservation Bank,1798-2013-01-R5,Service Area within North County MSCP,Ramona Grasslands Conservation Bank,Vernal Pool Conservation,McCollum web,Yes,Open,48,,355217426.027344,145221.686237918
49,Alkali Sink Conservation Bank,1798-2015-01-R4, , ,Swainson's Hawk,SA Maps (folder),Yes,Open,49,,48669553993.6523,1365855.90569511
50,Alkali Sink Conservation Bank,1798-2015-01-R4, , ,Burrowing Owl,SA Maps (folder),Yes,Open,50,,49078923355.7852,1208587.89355207
51,Burdell Ranch Wetland Mitigation Bank,1802-1999-002-3, , ,Wetlands (non-tidal),Folder,Yes,Open,51,,2910991543.34766,319698.82318928
52,Brook Forest Mitigation Bank,1798-2013-06-R5, , ,Waters of the State Secondary Service Area,web,No. Not Present,Open,52,,1516589478.31641,419323.907935828
53,Manchester Avenue Conservation Bank,2835-1997-005-05,Conservation credits for biological impacts within the San Diego MHCP and MSCP areas., ,"Orange-throated whiptail; San Diego thorn mint; Southern maritime chaparral; Coastal sage Scrub; Coastal gnatcatcher habitat",Folder - BEI,No orange throated whiptail,Open,53,,15600400045.7422,667756.168747129
54,Sparling Ranch Conservation Bank,1798-2013-08-R4, , ,California Tiger Salamander,RIBBITS,Yes,Open,54,,26181889543.293,1008085.1196717
55,West Mojave Conservation Bank,1798-2016-01-R4, , ,Intermittent stream/Riparian (Wash/Waters),Folder ExB,Yes,Open,55,,83720911937.8398,2088543.43202064
56,West Mojave Conservation Bank,1798-2016-01-R4, , ,Desert Tortoise,Folder ExB,Yes,Open,56,,67646209023.3906,1711967.09630159
