OBJECTID,TRBG80,TRACT80,BLKGRP80,AREA_SQFT,AREA_ACRES,SF1LOGRECNO,SF3LOGRECNO,SHAPE_Length,SHAPE_Area
1,200.5,200,5,3562086.75770074,81.8,05110,02639,7911.47291418979,3562086.51562856
2,200.6,200,6,3271751.54283747,75.1,05112,02640,7470.03660124823,3271751.67189663
3,300.1,300,1,6264639.76494689,143.8,05116,02642,10976.8016096813,6264639.46068124
4,300.3,300,3,2650018.80793099,60.8,05120,02644,6644.97564396653,2650018.89030668
5,400.1,400,1,10302737.0302685,236.5,05124,02646,13134.5620410856,10302737.0827596
6,400.2,400,2,7664661.20249734,176,05126,02647,15240.2437671537,7664661.28860586
7,400.3,400,3,3473638.03780655,79.7,05128,02648,7896.61861253852,3473637.87391995
8,400.4,400,4,2885287.01083391,66.2,05130,02649,8351.34309769619,2885287.06382537
9,400.5,400,5,2726152.62919119,62.6,05132,02650,8343.54020220706,2726152.55517765
10,400.6,400,6,2607972.29898946,59.9,05134,02651,7866.39218082738,2607972.29661307
11,400.7,400,7,4379969.21129146,100.6,05136,02652,9268.20115835188,4379969.23793252
12,500.1,500,1,9904052.65057692,227.4,05140,02654,17086.726964223,9904052.60075028
13,500.2,500,2,2599622.93705257,59.7,05142,02655,6691.97697943062,2599623.02279231
14,500.3,500,3,6989675.72243493,160.5,05144,02656,16224.1499807737,6989675.68612774
15,500.4,500,4,10868128.0289232,249.5,05146,02657,22473.4166117004,10868127.9789269
16,600.2,600,2,5353567.52968542,122.9,05152,02660,10591.0011656954,5353567.67631555
17,600.3,600,3,11189849.5288019,256.9,05154,02661,17703.5041201121,11189849.4818228
18,600.4,600,4,8288471.64247938,190.3,05156,02662,18469.4888049992,8288471.64385255
19,600.5,600,5,5956660.15486511,136.7,05158,02663,12197.4775276927,5956659.81122054
20,600.6,600,6,6229901.76808146,143,05160,02664,10691.3774527489,6229901.94142857
21,700.1,700,1,1319251.46346204,30.3,05164,02666,4810.07498670631,1319251.52452547
22,700.2,700,2,1706321.51308222,39.2,05166,02667,5753.69062861216,1706321.30059057
23,700.3,700,3,2334541.40266505,53.6,05168,02668,8048.77102379519,2334541.33132094
24,700.4,700,4,1744915.30920793,40.1,05170,02669,5284.67875612732,1744915.41529843
25,700.5,700,5,1743419.95778948,40,05172,02670,5284.36921676407,1743419.85651012
26,700.6,700,6,3508405.49093258,80.5,05174,02671,7953.70702603005,3508405.62746887
27,700.7,700,7,1564596.31131704,35.9,05176,02672,5364.60082525379,1564596.39060219
28,800.1,800,1,2417528.58015031,55.5,05180,02674,6193.96775197753,2417528.68764122
29,800.2,800,2,4335158.50734338,99.5,05182,02675,8556.14983312567,4335158.42342301
30,800.3,800,3,5539863.50043531,127.2,05184,02676,9656.35248840964,5539863.77527821
31,900.1,900,1,3282462.53667285,75.4,05188,02678,8989.01814365541,3282462.52958885
32,900.2,900,2,2342927.86837577,53.8,05190,02679,7718.29177148485,2342927.68605617
33,900.3,900,3,3779735.99214877,86.8,05192,02680,18947.2530247613,3779735.9394659
34,1000.1,1000,1,4002626.07263476,91.9,05196,02682,8820.8240328645,4002626.01989374
35,1000.2,1000,2,6274243.37476595,144,05198,02683,10923.4170354694,6274243.30315578
36,1100.1,1100,1,3419273.69773924,78.5,05202,02685,8582.70900788155,3419273.30665919
37,1100.2,1100,2,4414316.10282763,101.3,05204,02686,9037.60495532536,4414316.33232175
38,1100.3,1100,3,3036050.21516896,69.7,05206,02687,7033.78265003927,3036050.46503533
39,1200.1,1200,1,2543695.92295062,58.4,05210,02689,6503.22814872184,2543695.73920207
40,1200.2,1200,2,3209513.44175524,73.7,05212,02690,9823.67146160657,3209513.37019236
41,1200.3,1200,3,4862884.16313574,111.6,05214,02691,9979.59537524349,4862884.3101119
42,1200.4,1200,4,9664251.44163681,221.9,05216,02692,13776.8975843576,9664250.87773128
43,1300.1,1300,1,3966681.64990006,91.1,05220,02694,7987.64391665131,3966681.98239022
44,1300.2,1300,2,3300910.47723113,75.8,05222,02695,8664.69598549097,3300910.3970675
45,1300.3,1300,3,3330008.1447177,76.4,05224,02696,7943.24302915504,3330008.35674897
46,1300.4,1300,4,2638495.92598056,60.6,05226,02697,6875.55156813897,2638495.6935425
47,1400.1,1400,1,2170720.99884048,49.8,05230,02699,5925.91535122156,2170721.19209848
48,1400.2,1400,2,2613197.98018892,60,05232,02700,6596.58682997314,2613198.01578908
49,1400.3,1400,3,3190180.20739246,73.2,05234,02701,9861.55940592571,3190180.0990714
50,1400.4,1400,4,3069519.79459512,70.5,05236,02702,7619.92220354321,3069519.54551337
51,1400.5,1400,5,7701740.71611931,176.8,05238,02703,16659.3934126587,7701740.68425607
52,1400.6,1400,6,4233021.83972644,97.2,05240,02704,12205.255234267,4233021.97210681
53,1500.1,1500,1,4941279.06706016,113.4,05244,02706,10459.5620074224,4941279.05052189
54,1500.2,1500,2,4614263.6934052,105.9,05246,02707,9644.25218517744,4614263.73296117
55,1500.3,1500,3,2801870.63078194,64.3,05248,02708,11204.9954633255,2801870.72244455
56,1600.1,1600,1,9470553.28622353,217.4,05252,02710,17303.8996109048,9470553.37344814
57,1600.3,1600,3,4026670.00387445,92.4,05256,02712,9721.22618444355,4026669.99884827
58,1600.4,1600,4,3235357.77236094,74.3,05258,02713,7821.25469635154,3235357.94365323
59,1600.5,1600,5,3221203.06534959,73.9,05260,02714,8971.92525533555,3221203.10491378
60,1700.1,1700,1,2843215.76045634,65.3,05264,02716,7933.91059643569,2843215.79977095
61,1700.2,1700,2,3277403.98300204,75.2,05266,02717,7927.08383335557,3277404.04609045
62,1700.3,1700,3,3484689.57455367,80,05268,02718,9238.35815978244,3484689.72906588
63,1700.4,1700,4,3497494.51351812,80.3,05270,02719,7946.48916173437,3497494.61330217
