OBJECTID,DEVELOPEDSITEID,CASENAME,LOCALCASEID,REGION,AREATYPE,AREANAME,FS_STATUS_METHOD,ACTIONDATE,EXPIRATIONDATE,BOUNDARYSTATUS,BLM_SERIALNO_EXT,OFFICIALACRES,GIS_ACRES,COMMENTS,SHAPEAREA,SHAPELEN
1666133,333783010667,LOS CONVERSION WITHDRAWAL CASE,NONE,02,ADMINISTRATIVE SITE,LOUIS LAKE GUARD STATION  PLO 2978,,1963/03/18 00:00:00+00,,,,19,22.793,LOS CONVERSION WITHDRAWAL CASE,1.01169403622e-05,0.015708093495779
1666134,201451010667,PUBLIC LAND ORDER 3143,NONE,02,RECREATION SITE,"UPPER STILLWATER AREA ADDITION, PLO 3143",,1963/07/30 00:00:00+00,,,,70,69.93,,2.98623042394e-05,0.0463801564609064
1666135,320747010667,PLO 2314,NONE,02,RECREATION SITE,DEER CREEK CAMPGROUND  PLO 2314,,1959/08/25 00:00:00+00,,,,60,60.081,DEER CREEK CAMPGROUND  PLO 2314,2.54632966829e-05,0.0213684519747866
1666136,193341010667,PLO 4788,NONE,02,ADMINISTRATIVE SITE,BRUSH CREEK ADMINISTRATIVE SITE  PLO 2278,,1961/02/27 00:00:00+00,,,,70,69.053,LOS CONVERSION WITHDRAWAL CASE,3.00637106299e-05,0.0239450093007379
1666137,193391010667,ESTERBROOK  (25 LOTS IN ESTERBROOK TOWNSITE)),NONE,02,ADMINISTRATIVE SITE,ESTERBROOK  (25 LOTS IN ESTERBROOK TOWNSITE)),,1940/08/16 00:00:00+00,,,,4.79,4.783,ESTERBROOK  (25 LOTS IN ESTERBROOK TOWNSITE)),2.1172172062e-06,0.0133752526862804
1666138,187749010667,PLO 1627,NONE,02,ADMINISTRATIVE SITE,SEEPAGE CREEK ADMINISTRATIVE SITE  PLO 1627,,1958/05/06 00:00:00+00,,,,468,474.786,SEEPAGE CREEK ADMINISTRATIVE SITE  PLO 1627,0.0001964178630293,0.0718898448578414
1666139,333820010667,LOS CONVERSION WITHDRAWAL CASE,NONE,02,RECREATION SITE,REEF CREEK CAMPGROUND  PLO 2682,,1962/05/23 00:00:00+00,,,,18,16.864,LOS CONVERSION WITHDRAWAL CASE,7.76786809405e-06,0.0136682820085904
1666140,333853010667,LOS CONVERSION WITHDRAWAL CASE,NONE,02,RECREATION SITE,CRAZY CREEK CAMPGROUND  PLO 2682,,1962/05/23 00:00:00+00,,,,40,40.157,LOS CONVERSION WITHDRAWAL CASE,1.852796038855e-05,0.0174249724501505
1666141,187703010667,PLO 2732,NONE,02,RECREATION SITE,ROAD CANYON RESERVOIR FISHERMAN PARKING  PLO 2732,,1962/07/19 00:00:00+00,,,,200,182.267,,7.542487989095e-05,0.0657285980490152
1666142,333795010667,LOS CONVERSION WITHDRAWAL CASE,NONE,02,RECREATION SITE,DEAD INDIAN CAMPGROUND  PLO 2682,,1962/05/23 00:00:00+00,,,,80,80.309,LOS CONVERSION WITHDRAWAL CASE,3.693416206425e-05,0.0262338613698634
1666143,187696010667,PLO 3092,NONE,02,RECREATION SITE,MEDANO CREEK CAMPGROUND  PLO 3092,,1963/05/22 00:00:00+00,,,,180,180.425,MEDANO CREEK CAMPGROUND  PLO 3092,7.4740593764e-05,0.0432495925243289
1666144,858342010667,PLO 1493,NONE,02,RECREATION SITE,BROWN PARK CAMPGROUND  PLO 1493,,1957/09/09 00:00:00+00,,,,60,67.983,,2.93554611825e-05,0.0220886911699829
1666145,193368010667,PLO 3250,NONE,02,RECREATION SITE,NORTH FORK CAMPGROUND PLO 3250,,1963/10/10 00:00:00+00,,,,80,78.701,,3.427138645315e-05,0.0250733109365836
