X,Y,OBJECTID,Comments,DateLastEdit,LaneWidth,SegKey,TextRotation,TextSize_,UseDesignation
-13618392.1648,6041366.4126,1,,,12,,301,4,
-13618374.7083,6041371.5309,2,,,10,,301,4,
-13618391.574,6041349.6129,3,,,29,,301,4,
-13618378.0382,6041346.7467,4,,,12,,301,4,
-13618762.2762,6042508.9194,5,,,10,,318,4,
-13618766.0549,6042510.8138,6,,,10,,318,4,
-13618769.8551,6042513.3077,7,,,10,,318,4,
-13618673.4001,6042621.7115,8,,,12,,318,4,
-13618664.0594,6042613.4989,9,,,20,,318,4,
-13618669.3282,6042618.1433,10,,,12,,318,4,
-13618670.2001,6042633.1942,11,,,11,,318,4,
-13618651.4671,6042616.765,12,,,11,,318,4,
-13618640.4229,6042607.4287,13,,,11,,301,4,
-13618715.8467,6042572.4343,14,,,14,,318,4,
-13618711.3875,6042568.5232,15,,,12,,318,4,
-13618707.3662,6042564.9962,16,,,12,,318,4,
-13618751.382,6042533.1861,17,,,10,,318,4,
-13618748.1745,6042530.3731,18,,,10,,318,4,
-13618745.0776,6042527.657,19,,,10,,318,4,
-13618739.7705,6042522.9334,20,,,16,,318,4,
-13618853.8723,6042393.5722,21,,,10,,138,4,
-13618857.2628,6042396.5431,22,,,10,,138,4,
-13618861.5128,6042400.2664,23,,,15,,138,4,
-13618851.5351,6042391.5089,24,,,7,,138,4,
-13618958.7713,6042287.1339,25,,,19,,138,4,
-13618900.1674,6042350.9099,26,,,12,,138,4,
-13618895.2291,6042346.698,27,,,23,,138,4,
-13618968.0274,6042282.042,28,,,15,,48,4,
-13618954.216,6042280.589,29,,,16,,138,4,
-13618943.5982,6042309.7644,30,,,7,,138,4,
-13618904.1281,6042354.5057,31,,,7,,138,4,
-13618951.8685,6042276.7762,32,,,7,,138,4,
-13618959.6209,6042268.9144,33,,,20,,48,4,
-13618607.9823,6042677.6493,34,,,20,,318,4,
-13618627.1644,6042682.0742,35,,,11,,318,4,
-13618607.842,6042666.4325,36,,,11,,318,4,
-13618612.8787,6042682.2503,37,,,12,,317,4,
-13618617.0368,6042686.001,38,,,12,,317,4,
-13619096.2018,6042386.0671,39,,,10,,48,4,
-13619099.1183,6042382.723,40,,,10,,48,4,
-13619101.9722,6042379.4507,41,,,10,,48,4,
-13619104.4395,6042376.6218,42,,,9,,48,4,
-13619108.1988,6042372.3113,43,,,13,,48,4,
-13618986.544,6042289.8423,44,,,10,,48,4,
-13618989.4604,6042286.4982,45,,,10,,48,4,
-13618992.3143,6042283.226,46,,,10,,48,4,
-13618998.541,6042276.0868,47,,,13,,48,4,
-13618994.7816,6042280.3972,48,,,9,,48,4,
-13618995.16,6042272.3992,49,,,12,,48,4,
-13618979.2689,6042286.8198,50,,,5,,48,2,
-13618993.6688,6042275.139,51,,,5,,48,2,
-13618980.7903,6042284.0454,52,,,10,,48,4,
-13618983.4393,6042280.9562,53,,,10,,48,4,
-13618986.3491,6042277.6198,54,,,10,,48,4,
-13618988.6328,6042275.0014,55,,,9,,48,4,
-13618984.0045,6042275.5643,56,,,10,,318,4,
-13618970.9468,6042252.07,57,,,12,,318,4,
-13618986.5381,6042248.5857,58,,,10,,48,4,
-13618959.6499,6042252.2094,59,,,10,,31,4,
-13618963.1017,6042249.174,60,,,10,,31,4,
-13618966.4479,6042246.2131,61,,,10,,31,4,
-13618973.5136,6042239.9016,62,,,13,,31,4,
-13618969.2161,6042243.7258,63,,,9,,31,4,
-13618990.134,6042243.0826,64,,,11,,318,4,
-13618993.4088,6042249.9675,65,,,21,,318,4,
-13619057.8643,6042461.9846,66,,,9',,318,4,
-13619061.2385,6042464.982,67,,,9',,318,4,
-13619063.8721,6042467.2921,68,,,7',,318,4,
-13619055.7333,6042460.0283,69,,,10',,318,4,
-13619052.1805,6042456.6948,70,,,7',,318,4,
-13619011.9408,6042523.5155,71,,,10',,318,4,
-13619007.8035,6042519.8891,72,,,9',,318,4,
-13619004.3534,6042516.9055,73,,,18',,318,4,
-13619036.0053,6042484.4229,74,,,9',,138,4,
-13619014.0357,6042525.3226,75,,,7',,318,4,
-13619039.2156,6042486.9791,76,,,9',,138,4,
-13619031.8471,6042480.7719,77,,,10',,138,4,
-13619041.5624,6042489.0358,78,,,7',,138,4,
-13619029.7905,6042479.1011,79,,,7',,138,4,
-13618708.9358,6042580.3585,80,,,14,,318,4,
-13618704.4766,6042576.4473,81,,,12,,318,4,
-13618700.2159,6042572.4415,82,,,14,,318,4,
-13618433.6874,6042742.9932,83,,,16,,43,4,
-13618427.9402,6042746.8052,84,,,8,,43,4,
-13618423.4556,6042749.4679,85,,,17,,43,4,
-13618427.6748,6042748.9564,86,,,5,,43,2,
-13618431.8272,6042745.9661,87,,,5,,43,2,
-13618421.5791,6042757.349,88,,,12,,43,4,
-13618441.2946,6042725.4709,89,,,10,,301,4,
-13618397.952,6042747.4302,90,,,10,,301,4,
-13618395.5318,6042743.5172,91,,,10,,301,4,
-13618394.6307,6042738.2579,92,,,11,,301,4,
-13618276.0272,6042823.1511,93,,,10,,301,4,
-13618273.6247,6042819.2665,94,,,10,,301,4,
-13618400.3625,6042751.3276,95,,,11,,301,4,
-13618278.4923,6042827.1369,96,,,11,,301,4,
-13618390.6715,6042947.3643,97,,,12,,318,4,
-13618386.7704,6042943.9417,98,,,12,,318,4,
-13618382.7144,6042940.3169,99,,,12,,318,4,
-13618378.5787,6042936.5558,100,,,12,,318,4,
-13618420.7905,6042912.9721,101,,,12,,318,4,
-13618416.8893,6042909.5496,102,,,12,,318,4,
-13618412.8335,6042905.9248,103,,,12,,318,4,
-13618408.6976,6042902.1636,104,,,12,,318,4,
-13618516.896,6042772.5214,105,,,12,,138,4,
-13618518.0554,6042779.5025,106,,,12,,138,4,
-13618518.8846,6042787.1722,107,,,12,,138,4,
-13618519.4198,6042792.9914,108,,,12,,138,4,
-13618556.8274,6042792.8024,109,,,9,,6,4,
-13618539.8844,6042795.2429,110,,,10,,6,4,
-13618534.9318,6042795.7475,111,,,9,,6,4,
-13618520.2464,6042807.3439,112,,,16,,317,4,
-13618563.0897,6042795.6186,113,,,16,,7,4,
-13618530.9001,6042808.2316,114,,,16,,7,4,
-13618601.6786,6042688.8065,115,,,12,,48,4,
