Year,Prscrbr_Geo_Lvl,Prscrbr_Geo_Cd,Prscrbr_Geo_Desc,RUCA_Cd,Breakout_Type,Breakout,Tot_Prscrbrs,Tot_Opioid_Prscrbrs,Tot_Opioid_Clms,Tot_Clms,Opioid_Prscrbng_Rate,Opioid_Prscrbng_Rate_5Y_Chg,Opioid_Prscrbng_Rate_1Y_Chg,LA_Tot_Opioid_Clms,LA_Opioid_Prscrbng_Rate,LA_Opioid_Prscrbng_Rate_5Y_Chg,LA_Opioid_Prscrbng_Rate_1Y_Chg
2021,National,,National,,Totals,Overall,1286336,784670,61178886,1498082887,4.08,-1.24,-0.14,6059331,9.9,-2.98,-0.63
2021,National,,National,,Rural/Urban,Rural,138060,93478,10635915,254208535,4.18,-1.31,-0.14,980797,9.22,-3,-0.52
2021,National,,National,,Rural/Urban,Urban,1147131,690502,50501915,1242982960,4.06,-1.23,-0.14,5736336.5,11.36,-2.61,-0.63
2021,State,01,Alabama,,Totals,Overall,16377,9653,1700995,28366581,6,-1.47,-0.2,115986,6.82,-3.14,-0.4
2021,State,02,Alaska,,Totals,Overall,2872,1847,83652,1711086,4.89,-2.05,0.14,13679,16.35,-2.94,-0.2
2021,State,04,Arizona,,Totals,Overall,27033,16049,1261909,26432513,4.77,-1.82,-0.18,153263,12.15,-4.21,-0.7
2021,State,05,Arkansas,,Totals,Overall,10297,7239,932572,17715122,5.26,-1.13,-0.14,61237,6.57,-3.23,-0.59
2021,State,06,California,,Totals,Overall,131565,78983,5310187,136568726,3.89,-1.18,-0.13,506513,9.54,-2.83,-0.73
2021,State,08,Colorado,,Totals,Overall,22175,15254,929751,17688807,5.26,-1.85,-0.17,116976,12.58,-3.38,-0.5
2021,State,09,Connecticut,,Totals,Overall,18379,10380,545364,16930762,3.22,-0.92,-0.06,71939,13.19,-3.56,-0.78
2021,State,10,Delaware,,Totals,Overall,3913,2436,179027,4423646,4.05,-1.96,-0.08,29732,16.61,-2.51,-0.33
2021,State,11,District of Columbia,,Totals,Overall,4919,2822,61183,1982997,3.09,-1.14,-0.19,5499,8.99,-1.68,-1.66
2021,State,12,Florida,,Totals,Overall,84535,46407,4710619,113822866,4.14,-1.07,-0.18,545906,11.59,-2.68,-0.82
2021,State,13,Georgia,,Totals,Overall,33802,21517,2350170,46468573,5.06,-0.91,-0.11,213685,9.09,-1.48,-0.49
2021,State,15,Hawaii,,Totals,Overall,4747,2905,136544,4213956,3.24,-0.61,-0.1,14253,10.44,-3.62,-1.3
2021,State,16,Idaho,,Totals,Overall,6677,4544,387528,7066606,5.48,-1.84,-0.21,46932,12.11,-4.65,-0.93
2021,State,17,Illinois,,Totals,Overall,50157,31554,1931928,51827342,3.73,-0.95,-0.09,138184,7.15,-3.38,-0.6
2021,State,18,Indiana,,Totals,Overall,24677,16043,1680310,34343323,4.89,-1.24,-0.15,141850,8.44,-3.91,-0.74
2021,State,19,Iowa,,Totals,Overall,12250,7550,585639,16615905,3.52,-1.01,-0.03,57476,9.81,-4.27,-0.91
2021,State,20,Kansas,,Totals,Overall,10694,7358,675824,14192994,4.76,-1.15,-0.22,69733,10.32,-4.55,-0.93
2021,State,21,Kentucky,,Totals,Overall,17614,10187,1436162,29602045,4.85,-0.66,-0.15,78726,5.48,-3.01,-0.49
2021,State,22,Louisiana,,Totals,Overall,19070,12626,1262756,26538860,4.76,-1.06,-0.16,80986,6.41,-2.27,-0.64
2021,State,23,Maine,,Totals,Overall,6640,4164,282486,7077806,3.99,-1.59,-0.21,42509,15.05,-3.83,-0.81
2021,State,24,Maryland,,Totals,Overall,25128,15150,870614,19603239,4.44,-1.39,-0.08,126411,14.52,-3.23,-0.91
2021,State,25,Massachusetts,,Totals,Overall,37548,21903,1082759,34242597,3.16,-0.76,-0.06,144301,13.33,-2.28,-0.64
2021,State,26,Michigan,,Totals,Overall,44228,29974,2431291,50809715,4.79,-1.96,-0.09,232675,9.57,-2.99,-0.7
2021,State,27,Minnesota,,Totals,Overall,23816,15558,819435,23742192,3.45,-1.38,-0.09,88980,10.86,-3.7,-0.77
2021,State,28,Mississippi,,Totals,Overall,10070,7013,760464,16973699,4.48,-1.51,0.02,46878,6.16,-2.45,-0.37
2021,State,29,Missouri,,Totals,Overall,23560,13863,1620838,35592458,4.55,-1.01,-0.12,136831,8.44,-3.88,-0.81
2021,State,30,Montana,,Totals,Overall,4592,3124,230556,4565759,5.05,-1.31,-0.14,28008,12.15,-4.66,-0.6
2021,State,31,Nebraska,,Totals,Overall,7816,5241,371945,9713516,3.83,-0.89,-0.04,46494,12.5,-1.79,-0.52
2021,State,32,Nevada,,Totals,Overall,9329,5711,557886,10076394,5.54,-1.96,-0.24,61271,10.98,-3.52,-0.7
2021,State,33,New Hampshire,,Totals,Overall,6667,4085,222747,6085118,3.66,-1.47,-0.18,37981,17.05,-3.69,-0.8
2021,State,34,New Jersey,,Totals,Overall,33869,19325,1082606,36554721,2.96,-1.11,-0.13,136799,12.64,-3.93,-1.08
2021,State,35,New Mexico,,Totals,Overall,7978,4871,331920,7418402,4.47,-1.78,-0.16,27157,8.18,-4.02,-0.57
2021,State,36,New York,,Totals,Overall,98815,49400,2312127,97458650,2.37,-0.64,-0.06,268897,11.63,-2.94,-0.71
2021,State,37,North Carolina,,Totals,Overall,40322,27237,2569416,53007722,4.85,-1.13,-0.14,296346,11.53,-1.96,-0.32
2021,State,38,North Dakota,,Totals,Overall,3201,2145,121941,3837649,3.18,-1.05,-0.01,13284,10.89,-6.34,-0.74
2021,State,39,Ohio,,Totals,Overall,49789,32111,2300485,63237011,3.64,-1.44,-0.11,187288,8.14,-2.37,-0.57
2021,State,40,Oklahoma,,Totals,Overall,13069,8217,989198,18073763,5.47,-1.87,-0.19,105377,10.65,-3.56,-0.58
2021,State,41,Oregon,,Totals,Overall,18362,12191,920443,17414512,5.29,-1.68,-0.13,99910,10.85,-5.48,-0.9
2021,State,42,Pennsylvania,,Totals,Overall,61397,35190,2490904,73910999,3.37,-1.36,-0.13,310984,12.48,-3.22,-0.79
2021,State,44,Rhode Island,,Totals,Overall,5370,3232,162880,5693495,2.86,-0.69,0.01,16883,10.37,-1.55,0.3
2021,State,45,South Carolina,,Totals,Overall,19450,12549,1197355,25861142,4.63,-1.32,-0.09,104630,8.74,-1.47,-0.47
2021,State,46,South Dakota,,Totals,Overall,3722,2514,162212,4302297,3.77,-1.32,-0.1,21037,12.97,-4.01,-0.79
2021,State,47,Tennessee,,Totals,Overall,26863,17770,2033851,39804431,5.11,-1.89,-0.24,175987,8.65,-4.5,-0.49
2021,State,48,Texas,,Totals,Overall,84530,51986,4152139,98326468,4.22,-1.29,-0.27,307071,7.4,-1.57,-0.28
2021,State,49,Utah,,Totals,Overall,10080,7119,510922,8559592,5.97,-1.56,-0.23,65293,12.78,-2.11,-0.52
2021,State,50,Vermont,,Totals,Overall,2777,1671,102784,2747645,3.74,-1.71,-0.08,17980,17.49,-4.78,-1.08
2021,State,51,Virginia,,Totals,Overall,29498,18944,1206107,31157875,3.87,-1.5,-0.17,123203,10.21,-1.46,-0.72
2021,State,53,Washington,,Totals,Overall,30629,19374,1279065,25692226,4.98,-1.74,-0.15,157745,12.33,-3.92,-0.76
2021,State,54,West Virginia,,Totals,Overall,7936,4698,434447,11398791,3.81,-1.49,-0.13,31391,7.23,-1.43,0.12
2021,State,55,Wisconsin,,Totals,Overall,24011,15814,1076042,27587869,3.9,-1.69,-0.15,121108,11.25,-5.72,-1.03
2021,State,56,Wyoming,,Totals,Overall,2079,1350,86800,1836307,4.73,-1.22,-0.12,10338,11.91,-3.03,-1.27
2021,State,60,American Samoa,,Totals,Overall,2,0,0,109,0,-7.69,0,0,,,
2021,State,66,Guam,,Totals,Overall,162,90,1922,130423,1.47,-0.72,-0.48,157,8.17,0.06,0.97
2021,State,69,Northern Mariana Islands,,Totals,Overall,33,13,151,10073,1.5,-1.08,-0.06,,,,
2021,State,72,Puerto Rico,,Totals,Overall,11065,5611,236681,28849182,0.82,-0.71,-0.02,5251,2.22,0.08,-0.09
2021,State,78,Virgin Islands,,Totals,Overall,180,108,3347,216330,1.55,-0.05,0.27,319,9.53,2.11,-0.02
