obsid,studyid,studyname,studygroup,specid,specname,estid,estname,pubyear,pubtype,table,depvar_desc,depvar_assessed,funcform,logtype,wqintrx,distgradient,distbuf,distbuf_infer,spatial_fe,spatial_lag,spatial_auto,sampsize,sample_firstyr,sample_lastyr,geog,state,sampextent,hometypes,avgprice,avgprice_unit,census_yr,census_geog,census_geog_name,census_fips,census_inc,census_totpop,census_popcol,census_blk,census_hisp,census_tothh,census_totarea,northeast,midwest,south,west,waterbody,wbsize,wbsizeorig,wbsize_units,wbnum,wbtype,wqvar,avgwqvar,wqvar_units,wqvar_infer,avgwqrorig,avgwqrorig_units,wqvar_type,num_wqvars,other_wqvars,avghmin,avgcmax,avgprctchangepop,avgdist,avgdistorig,avgdistunits,avgwfdummy,avgtime,avgclearlow,wqdesc_var1,wqintx_var1,wqcoef_var1,wqcoef_se_var1,wqcoef_t_var1,wqcoef_sl_var1,wqcoef_desc_var1,wqdesc_var2,wqintx_var2,wqcoef_var2,wqcoef_se_var2,wqcoef_t_var2,wqcoef_sl_var2,wqcoef_desc_var2,wqdesc_var3,wqintx_var3,wqcoef_var3,wqcoef_se_var3,wqcoef_t_var3,wqcoef_sl_var3,wqcoef_desc_var3,wqdesc_var4,wqintx_var4,wqcoef_var4,wqcoef_se_var4,wqcoef_t_var4,wqcoef_sl_var4,wqcoef_desc_var4,wqdesc_var5,wqintx_var5,wqcoef_var5,wqcoef_se_var5,wqcoef_t_var5,wqcoef_sl_var5,wqcoef_desc_var5,wqelast,wqpctdp,elast_sim,elast_sim_se,semi_elast_sim,semi_elast_sim_se,wqelast_comments,wqsemi_comments,cov_assum0
1,1,Boyle et al 1999,Boyle et al. ME Group,1,Lewiston/Auburn,1,Lake area * ln(Water clarity),1999,Journal,Table 1,Property sale price,0,lin-log,e,water surface area,"None, only waterfront homes",1,0,None,0,0,48,1990,1995,Lewiston / Auburn area in Maine,ME,just waterfront homes,All waterfront homes,104069,NR,1990,county,"Androscoggin County, ME",23001,29028,105259,8881,448,494,43815,1218.00341796875,1,0,0,0,Lakes in Maine,14220666,3514,acres,Multiple,LakeRes,Water Clarity (Secchi depth),6.119999885559082,meters,0,6.119999885559082,meters,Quantitative,1,0,,,,,,NA,,,,Water clarity (Secchi disk depth in meters):  the minimum value observed during summer months in the year the property was sold,surface area,7.375697135925293,2168,,,implicit price per meter,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,.2490482330322266,.0406941547989845,.0602236315608025,73.36183929443359,.0098404614254832,11.98722839355469,,,
2,1,Boyle et al 1999,Boyle et al. ME Group,2,Waterville,1,Lake area * ln(Water clarity),1999,Journal,Table 1,Property sale price,0,lin-log,e,water surface area,"None, only waterfront homes",1,0,None,0,0,112,1990,1995,Waterville area in Maine,ME,just waterfront homes,All waterfront homes,85880,NR,1990,county,"Kennebec County, ME",23011,29524,115904,14182,266,402,51648,2247.026611328125,1,0,0,0,Lakes in Maine,14220666,3514,acres,Multiple,LakeRes,Water Clarity (Secchi depth),4.130000114440918,meters,0,4.130000114440918,meters,Quantitative,1,0,,,,,,NA,,,,Water clarity (Secchi disk depth in meters):  the minimum value observed during summer months in the year the property was sold,surface area,3.16743016242981,1230,,,implicit price per meter,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,.1296035200357437,.0313809961080551,-.057953380048275,50.34860992431641,-.0140322959050536,12.19094657897949,,,
3,1,Boyle et al 1999,Boyle et al. ME Group,3,Bangor,1,Lake area * ln(Water clarity),1999,Journal,Table 1,Property sale price,0,lin-log,e,water surface area,"None, only waterfront homes",1,0,None,0,0,68,1990,1995,Bangor area in Maine,ME,just waterfront homes,All waterfront homes,73938,NR,1990,county,"Penobscot County, ME",23019,27069,146601,17247,638,802,61359,8794.8896484375,1,0,0,0,Lakes in Maine,14220666,3514,acres,Multiple,LakeRes,Water Clarity (Secchi depth),5.389999866485596,meters,0,5.389999866485596,meters,Quantitative,1,0,,,,,,NA,,,,Water clarity (Secchi disk depth in meters):  the minimum value observed during summer months in the year the property was sold,surface area,3.584641456604004,2097,,,implicit price per meter,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,.1703647673130035,.0316075645387173,.493855208158493,99.7568359375,.091624341905117,18.50776100158691,,,
4,1,Boyle et al 1999,Boyle et al. ME Group,4,Camden,1,Lake area * ln(Water clarity),1999,Journal,Table 1,Property sale price,0,lin-log,e,water surface area,"None, only waterfront homes",1,0,None,0,0,21,1990,1995,Camden area in Maine,ME,just waterfront homes,All waterfront homes,100350,NR,1990,county,"Knox County, ME",23013,25531,36310,5004,51,79,19009,947.0848388671875,1,0,0,0,Lakes in Maine,14220666,3514,acres,Multiple,LakeRes,Water Clarity (Secchi depth),3.549999952316284,meters,0,3.549999952316284,meters,Quantitative,1,0,,,,,,NA,,,,Water clarity (Secchi disk depth in meters):  the minimum value observed during summer months in the year the property was sold,surface area,13.07054615020752,15690,,,implicit price per meter,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,.4576970636844635,.1289287507534027,-.009269967675209,549.0432739257813,-.0026112839113921,154.6600799560547,,,
5,2,Gibbs et al 2002,Boyle et al. NH Group,1,Conway/Milton,1,Lake Area* ln(Water Clarity),2002,Journal,Table 3,Property sale price,0,lin-log,e,water surface area,"None, only waterfront homes",1,0,None,0,0,115,1990,1995,Conway/Milton area in New Hampshire,NH,just waterfront homes,All waterfront homes,138763.05,1995,1990,county,"Carroll County, Strafford County, NH","33003, 33017",31913.43359375,139643,20914,617,906,74533,3373.61376953125,1,0,0,0,Lakes in New Hampshire,5000988,1235.77001953125,acres,Multiple,LakeRes,Water Clarity (Secchi depth),4.880000114440918,meters,0,4.880000114440918,meters,Quantitative,1,0,,,,,,NA,,,,Surface area of lake (acres) * ln(Water clarity).  Water clarity is measured in Secchi disk depth in meters - the minimum value observed during the year the property was sold,surface area,4.480599880218506,1.740038871765137,2.575000047683716,.0099999997764826,"mean implicit price per ln(meter), per acre of  surface water",NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,.0399024896323681,.0081767393276095,.0399338938295841,.0155157120898366,.0081831747666001,.0031794488895684,,,
6,2,Gibbs et al 2002,Boyle et al. NH Group,2,Winnipesaukee,1,Lake Area* ln(Water Clarity),2002,Journal,Table 3,Property sale price,0,lin-log,e,water surface area,"None, only waterfront homes",1,0,None,0,0,178,1990,1995,Winnipesaukee area in New Hampshire,NH,just waterfront homes,All waterfront homes,175157.73,1995,1990,county,"Belknap County, Carroll County, NH","33001, 33003",30432.30078125,84626,12826,150,350,62452,3457.871337890625,1,0,0,0,Lakes in New Hampshire,7604454.5,1879.099975585938,acres,Multiple,LakeRes,Water Clarity (Secchi depth),5.880000114440918,meters,0,5.880000114440918,meters,Quantitative,1,0,,,,,,NA,,,,Surface area of lake (acres) * ln(Water clarity).  Water clarity is measured in Secchi disk depth in meters - the minimum value observed during the year the property was sold,surface area,17.34000015258789,5.95262622833252,2.913000106811523,.0099999997764826,"mean implicit price per ln(meter), per acre of  surface water",NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,.1860242933034897,.0316367857158184,.1861164271831512,.0640321969985962,.0316524542868137,.0108898300677538,,,
7,2,Gibbs et al 2002,Boyle et al. NH Group,3,Derry/Amherst,1,Lake Area* ln(Water Clarity),2002,Journal,Table 3,Property sale price,0,lin-log,e,water surface area,"None, only waterfront homes",1,0,None,0,0,80,1990,1995,Derry/Amherst area in New Hampshire,NH,just waterfront homes,All waterfront homes,132162.84,1995,1990,county,"Rockingham County, Hillsborough County, NH","33015, 33011",40230.5078125,581918,104030,5163,8365,237395,4069.714599609375,1,0,0,0,Lakes in New Hampshire,864328.375,213.5800018310547,acres,Multiple,LakeRes,Water Clarity (Secchi depth),4.179999828338623,meters,0,4.179999828338623,meters,Quantitative,1,0,,,,,,NA,,,,Surface area of lake (acres) * ln(Water clarity).  Water clarity is measured in Secchi disk depth in meters - the minimum value observed during the year the property was sold,surface area,76.76999664306641,34.3643684387207,2.233999967575073,.0500000007450581,"mean implicit price per ln(meter), per acre of  surface water",NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,.124063141644001,.0296801775693893,.1240532845258713,.0556602403521538,.0296778194606304,.0133158471435308,,,
8,2,Gibbs et al 2002,Boyle et al. NH Group,4,Spofford/Greenfield,1,Lake Area* ln(Water Clarity),2002,Journal,Table 3,Property sale price,0,lin-log,e,water surface area,"None, only waterfront homes",1,0,None,0,0,74,1990,1995,Spofford/Greenfield area in New Hampshire,NH,just waterfront homes,All waterfront homes,167104.7,1995,1990,county,"Cheshire County, Hillsborough County, NH","33005, 33011",38015.0625,406194,71568,3166,6079,165972,4101.9111328125,1,0,0,0,Lakes in New Hampshire,1148053.75,283.6900024414063,acres,Multiple,LakeRes,Water Clarity (Secchi depth),4.349999904632568,meters,0,4.349999904632568,meters,Quantitative,1,0,,,,,,NA,,,,Surface area of lake (acres) * ln(Water clarity).  Water clarity is measured in Secchi disk depth in meters - the minimum value observed during the year the property was sold,surface area,149.6000061035156,29.05982971191406,5.14799976348877,.0099999997764826,"mean implicit price per ln(meter), per acre of  surface water",NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,.2539726495742798,.0583845190703869,.2540512681007385,.0493106581270695,.058402594178915,.0113357827067375,,,
9,3,Leggett & Bockstael 2000,Leggett & Bockstael 2000,1,Total Price: Linear,1,Fecal Coliform,2000,Journal,Table 2,Property sale price,0,linear,NA,NA,"None, only waterfront homes",1,0,None,0,0,1183,1993,1997,"Anne Arundel County, MD",MD,just waterfront homes on navigable sections of tributaries of the main stem of the Chesapeake Bay,"Private, arms-length transactions of waterfront homes ",378540,1997,2000,county,"Anne Arundel County, MD",24003,61768,489656,100078,66428,12902,178670,1077.274169921875,0,0,1,0,Navigable sections of tributaries of the main stem of the Chesapeake Bay,,,NR,Multiple,Estuary,Fecal coliform,107.6600036621094,counts per 100mL,0,107.6600036621094,counts per 100mL,Quantitative,1,0,,,,,,NA,,,,Median fecal coliform concentration in year of sale (counts/100mL),NA,-.0511000007390976,.0281387679278851,-1.815999984741211,.1000000014901161,"implicit price of additional fecal coliform count per 100 mL (measured in $1,000s)",NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,-.0000145332996908,-1.34992006906e-07,-.0000145732001329,8.01526039140e-06,-1.35362995479e-07,7.44498009908e-08,,,
10,3,Leggett & Bockstael 2000,Leggett & Bockstael 2000,2,Total Price: Double-log,1,Fecal Coliform,2000,Journal,Table 2,Property sale price,0,log-lin,e,NA,"None, only waterfront homes",1,0,None,0,0,1183,1993,1997,"Anne Arundel County, MD",MD,just waterfront homes on navigable sections of tributaries of the main stem of the Chesapeake Bay,"Private, arms-length transactions of waterfront homes ",378540,1997,2000,county,"Anne Arundel County, MD",24003,61768,489656,100078,66428,12902,178670,1077.274169921875,0,0,1,0,Navigable sections of tributaries of the main stem of the Chesapeake Bay,,,NR,Multiple,Estuary,Fecal coliform,107.6600036621094,counts per 100mL,0,107.6600036621094,counts per 100mL,Quantitative,1,0,,,,,,NA,,,,Median fecal coliform concentration in year of sale (counts/100mL),NA,-.0001999999949476,.0000747524027247,-2.67549991607666,.0099999997764826,semi-elasticity of additional fecal coliform count per 100 mL,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,-.0215319991111755,-.0001999999949476,-.0215446073561907,.0080656129866838,-.0002001170068979,.0000749175014789,,,
