X,Y,OBJECTID,MAP,MAP_NUMBER,SITE_NAME,PUBLIC_PRI,BOATING_MA,CAMPING,FIELD_SPOR,COURT_SPOR,GOLF,SWIMMING,TRAIL,PICNIC_PLA,SKIING,FIPS_CODE,DATE_,ALT_NAME,S_ADDRESS,S_TOWN,S_PHONE,CONTACT,ORGANIZ,CO_ADDRESS,CO_TOWN,CO_STATE,CO_ZIP,CO_PHONE,CO_FAX,OPERATOR,A_ARCHTARG,B_BASESOFT,C_BICYCL,D_BOATMTR,E_BOATNMTR,F_CAMP,G_FISH,H_FTSOCLAC,I_GOLF,J_HIKING,K_HISTIMP,L_HORSRID,M_HUNT,N_ICESKAT,O_INSKAT,P_MTRCYL,Q_MTBIKE,R_NATATTR,S_NATOBSER,T_ORGEVENT,U_PICNIC,V_SKIDOWN,W_SKICROSS,X_SKINSCUB,Y_SLIDE,Z_SNOWMOB,AA_SNOWSHO,AB_SWIMPOO,AC_SWIMLAK,AD_SWIMRIV,AE_TENNIS,AF_VOLLEY,AG_WALKJOG,AH_O1_YN,AH_OTHR1,AI_O2_YN,AI_OTHR2,ENTERPRISE,ENT_OTHR,ACREAGE,N_PARKSUM,N_PARKWIN,Q_WATACC,WATER_NM,Q_AMUSE,Q_NATRCENT,N_CARLAUND,N_PAVERAMP,N_GRAVRAMP,N_BOATSLIP,N_MOORING,N_DRYDOCK,Q_TRANSIEN,Q_PUMPING,Q_BOATRENT,N_TENTS,N_SHELTER,N_WINCABIN,N_VEHICLE,Q_SEWERAGE,N_ELECTRY,N_WATER,N_BOTH,Q_GROUP,Q_PRIM,Q_WINCAMP,TOTALFLDS,Q_BASEB,Q_SOFTB,Q_LITLEA,Q_SOCCR,Q_FOOTB,OTHFLD,TOTALCRTS,Q_TENNIS,Q_BASKET,Q_VOLLEY,OTHCRTS,Q_PICNIC,Q_PICSHEL,PLYGND,N_REGHOLES,N_PAR3HOLE,Q_DRIVING,Q_MINATURE,F_BEACH,N_OUTPOOLS,SKITYPE,N_DOWNHILL,N_LIFTS,Q_SNOWMAKE,N_XCSKI,M_TRLTOTAL,Q_HIKING,Q_BIKING,MOUNTBIK,Q_ATV,Q_SNOWMOBL,Q_XSKI,Q_HORSEBK,CNTYCODE,NAME
488831.72,278704.91,1,80001,7A,RICHFORD COUNTRY CLUB,2, , , , ,Y, , , , ,11060,2/9/95, ,P.O. BOX 21,"RICHFORD, VT  05476",802-848-3257,AL BELLROSE,RICHFORD COUNTRY CLUB,P.O. BOX 21,RICHFORD,VT,05476,802-848-3527, ,10, , , , , , , , ,X, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,78,85,0,N, ,N, ,0,0,0,0,0,0, , , ,0,0,0,0, ,0,0,0, , , ,0, , , , , , ,0, , , , , , , ,9,1,N,N,0,0,0,0,0, ,0,0, , , , , , , ,11,FRANKLIN
485869.38,275896.0,2,80002,7B,RICHFORD ELEMENTARY SCHOOL,1, , ,Y,Y, , , ,Y,Y,11060,2/8/95, ,329 SOUTH MAIN STREET,"RICHFORD, VT  05476",802-848-7453,CHUCK PEARCE,RICHFORD ELEMENTARY SCHOOL,329 SOUTH MAIN STREET,RICHFORD,VT,05476,802-848-7453,802-848-7827,7, ,X, , , , , ,X, ,X, , , , , , , , , , , , ,X, , , , , , , , ,X,X, , , , ,98,SCHOOL,40,50,50,N, ,N,N,0,0,0,0,0,0, , , ,0,0,0,0, ,0,0,0, , , ,2,Y,Y,Y,Y,N, ,2,N,Y,Y, ,N,N,Y,0,0, , ,0,0,2,0,0,1,0,0, , , , , , , ,11,FRANKLIN
485609.75,276821.529999999,3,80003,7D,RICHFORD PLAYGROUND,1, , ,Y,Y, , , ,Y, ,11060,2/7/95, ,P.O. BOX 236,"RICHFORD, VT  05476",802-848-7752,DONALD ROBERTS,RICHFORD PLAYGROUND ASSN.,P.O. BOX 236,RICHFORD,VT,05476,802-848-7752,802-848-7752,4, ,X,X, , , , , , , , , , , , , , , , , ,X, , , , , , , , , , , , , , , , ,19, ,10,25,25,N, ,Y,N,0,0,0,0,0,0, , , ,0,0,0,0, ,0,0,0, , , ,2,Y,Y,Y,N,N, ,1,N,Y,N, ,Y,N,Y,0,0, , ,0,0,0,0,0, ,0,0, , , , , , , ,11,FRANKLIN
486403.31,277090.529999999,4,80004,7E,RICHFORD SKATING RINK,1, , , , , , , , , ,11060,2/7/95, ,P.O. BOX 236,"RICHFORD, VT  05476",802-848-7752,JOHN NUTTING,VILLAGE OF RICHFORD,P.O. BOX 236,RICHFORD,VT,05476,802-848-7752,802-848-7752,1, , , , , , , , , , , , , ,X, , , , , , , , , , , , , , , , , , , , , , , ,10, ,0,0,10,N,N,N, ,0,0,0,0,0,0, , , ,0,0,0,0, ,0,0,0, , , ,0, , , , , , ,0, , , , , , , ,0,0, , ,0,0,0,0,0, ,0,0, , , , , , , ,11,FRANKLIN
492948.56,272110.630000001,5,80005,8E,RICHFORD TOWN FOREST,1, , , , , , , , , ,11060,2/7/95, ,P.O. BOX 236,"RICHFORD, VT  05476",802-848-7752,TOWN CLERK,TOWN OF RICHFORD,P.O. BOX 236,RICHFORD,VT,05476,802-241-7751,802-848-7752,4, , , , , , , , , ,X, , ,X, , , , , ,X, , , , , , ,X, , , , , , , , , , , ,14, ,100,0,0,N,N,N, ,0,0,0,0,0,0, , , ,0,0,0,0, ,0,0,0, , , ,0, , , , , , ,0, , , , , , , ,0,0, , ,0,0,0,0,0, ,0,0, , , , , , , ,11,FRANKLIN
505478.94,265614.84,6,80006,9F,WESTFIELD VILLAGE CENTER,1, , ,Y,Y, , , ,Y, ,19090,2/14/95,WESTFIELD TOWN LAND,WESTFIELD CENTER,"WESTFIELD, VT  05874", ,YVES DAIGLE,TOWN OF WESTFIELD,RR 1 BOX 143,WESTFIELD,VT,05874,802-744-2247, ,4, ,X, , , , , ,X, , ,X, , , , , , , , , ,X, , , , , , , , , ,X,X,X, ,BASKETBALL, , ,11, ,5,25,10,N, ,N,N,0,0,0,0,0,0, , , ,0,0,0,0, ,0,0,0, , , ,4,Y,Y,Y,Y,Y, ,1,Y,Y,Y, ,Y,N,Y,0,0, , ,0,0,0,0,0, ,0,0, , , , , , , ,19,ORLEANS
505579.59,265423.560000001,7,80007,9D,MILL BROOK CAMPGROUND,2, ,Y, ,Y, , ,Y,Y, ,19090,2/7/95, ,RT 100,"WESTFIELD, VT  05874", ,JOYCE CRAWFORD, ,P.O. BOX 129,WESTFIELD,VT,05874,802-744-6673, ,10, ,X,X, , ,X,X, , ,X, , , , , , ,X,X, , ,X, , , , , , , , , , ,X, , , , , ,1, ,3,30,0,N, ,N,N,0,0,0,0,0,0, , , ,6,0,0,24,Y,0,0,30,Y,Y,N,0, , , , , , ,1,N,N,Y, ,Y,N,Y,0,0, , ,0,0,0,0,0, ,0,0,Y,Y,Y, , , , ,19,ORLEANS
505162.41,261979.52,8,80008,26B,BARREWOOD CAMPGROUND,2, ,Y, ,Y, ,Y,Y,Y, ,19090,3/25/95, , ,"WESTFIELD, VT  05874",802-744-6340,TERRIE DAVIS-PERRY,BARREWOOD CAMPGROUND, ,WESTFIELD,VT,05874,802-744-6340, ,9, , ,H, , , ,H, , ,H, , , , , , , ,H,H, ,H, , , , , , ,H, ,H, ,H,H, , , , ,1, ,12,48,0, ,TAFT BROOK,Y, ,0,0,0,0,0,0, , , ,8,0,0,42,Y,0,0,42, , , ,0, , , , , , ,1, , ,Y, ,Y,N,Y,0,0, , ,0,1,0,0,0, ,0,0,Y, , , , , , ,19,ORLEANS
498250.53,260176.75,9,80009,25B,HAZEN'S NOTCH STATE PARK,1, ,Y, , , , ,Y, ,Y,19090,5/5/95, ,RTE. 58,"WESTFIELD, VT  05874", ,JIM HORTON,"DEPT. FORESTS, PARKS & REC.",184 PORTLAND ST.,ST. JOHNSBURY,VT,05819,802-748-8787, ,1, , , , , , , , , ,X, , ,X, , , , , , , ,X, ,X, , ,X,X, , , , , ,X, , , , ,14, ,197,0,0,N, ,N,N,0,0,0,0,0,0, , , ,0,0,0,0, ,0,0,0, ,Y, ,0, , , , , , ,0, , , , , , , ,0,0, , ,0,0,2,0,0, ,0,0,Y, ,Y, ,Y,Y, ,19,ORLEANS
493016.56,263519.91,10,80010,25D,HAZEN'S NOTCH NORDIC SKI AREA,2, , , , , , ,Y, ,Y,11055,2/5/95, ,HAZENS NOTCH ROAD,"MONTGOMERY, VT  05471",802-326-4708,VAL SCHADINGER,HAZEN'S NOTCH CROSS COUNTRY,BOX 730,MONTGOMERY CENTER,VT,05471,802-326-4708, ,10, , , , , , , , , ,X, , , , , , , , , , , , ,X, , , ,X, , , , , , , , , , ,9, ,2000,0,30,N, ,N,N,0,0,0,0,0,0, , , ,0,0,0,0, ,0,0,0, , , ,0, , , , , , ,0, , , , , , , ,0,0, , ,0,0,2,0,0, ,20,28,N,N,N,N,N,Y,N,11,FRANKLIN
