58.x,-8.9580200001229,-85.9580200001229
8.y,35.1884489996217,32.9247799996973
2.cnty,01123,01073
12.lon,-147.823146,-86.850552
5633.necta,uN,N
2748.nmcsa,"Cleveland-Akrgon-Canton, OH","Cleveland-Akron-Canton, OH"
13.objectid,14,13
1990.y,37.8081160002533***,37.8081160002533
724.necta,eN,N
1723.cnty,26136,26163
2.y,32.5993779997949,33.5056969998167
3272.necta,7700,77200
10.objectid,28,10
13.unitid,101453,101028
20.x,-88.1863289998834,-85.4658360000313
6.lat,32.582312,33.207015
4.x,-86.2956770003932,-86.6404489996216
5633.nmnecta,,N
5957.nmcnty,Erie Couynty,Erie County
11.cnty,01089,01081
4113.lon,-83.98684,-83.908684
1068.locale,2,12
7.y,33.1062500000375,33.2118750002311
7.unitid,104443,100751
1731.stfip,6,26
47.nmcnty,Tuscaoosa County,Tuscaloosa County
329.x,-117.192072999996,-117.192072999969
1785.sldu,2607,26007
3530.state,XT,TX
3.x,-87.322041000092,-86.1740099996617
6.unitid,103501,100733
16.y,31.8006719999129,30.8513430003792
3.unitid,101514,100690
6069.nmnecta,kN,N
2.objectid,21,2
4.objectid,5,4
23.unitid,101462,101365
6064.state,LI,IL
524.y,37.814249996641,37.7814249996641
6811.nmcnty,Allbegheny County,Allegheny County
6.y,34.8067380002586,33.2070150000422
2305.cbsa,3a5620,35620
1723.necta,,N
5863.csa,,N
96.nmcsa,,N
9.cnty,01073,01083
85.csa,,N
16.lon,-87.56148,-87.778193
3.y,32.5823119996991,32.3626089998056
7.x,-85.9452660001257,-87.5459780000846
11.unitid,101480,100858
6.cbsa,40780,46220
7.objectid,1,7
24.unitid,104090,101435
17.y,33.5909090002502,32.3841809999532
23.cbsatype,u1,1
53.nmcsa,"oMontgomery-Selma-Alexander City, AL","Montgomery-Selma-Alexander City, AL"
19.unitid,101189,101277
4584.stfip,1,01
4376.lon,-97.774238***,-97.774238
11.x,-86.7072330001029,-85.4882579998068
6631.cbsatype,***,1
73.nmcbsa,"Phoenix-Mesa-Cehandler, AZ","Phoenix-Mesa-Chandler, AZ"
997.cd,1770,1707
17.lon,-86.791799,-86.21641
26.objectid,5,26
4964.cd,9310,3910
6847.lat,44708803,44.708803
15.lat,33.994001,31.297496
2.unitid,101462,100663
4139.cbsa,27e140,27140
7.cnty,01083,01125
4897.lon,-83.a908684,-83.908684
9.objectid,14,9
18.unitid,101879,101240
342.cbsa,4140,41940
21.lon,-86.310895,-86.781935
6.objectid,22,6
4.cbsa,45980,26620
6817.cbsa,104b20,10420
8.unitid,102030,100760
6655.cnty,39h153,39153
14.lat,34.806793,32.342684
4060.locale,1f1,11
16.unitid,101541,101161
6586.nmcnty,bDallas County,Dallas County
5.cbsa,12220,33860
5855.nmcbsa,"New Haven-Milfor, CT","New Haven-Milford, CT"
19.lon,-87.013294,-86.196931
6711.sldl,20992,29092
4650.csa,***,N
22.x,-87.322041000092,-87.0132940002179
1951.cbsatype,z1,1
6306.nmcsa,"Cleveland-Akro-nCanton, OH","Cleveland-Akron-Canton, OH"
10.x,-87.322041000092,-86.1775439998557
664.lat,41.55549,41.535549
3.nmcbsa,"Huntsville, AL","Montgomery, AL"
15.lon,-87.315206,-85.836956
23.lon,-87.678089,-86.832465
21.lat,64.85756,34.072439
2.x,-86.9646980003124,-86.7993450003714
3.objectid,34,3
5.unitid,102632,100724
4842.sldu,48080,48008
1062.locale,u11,11
192.state,RA,AR
6.lon,-85.465836,-87.529594
8.lat,32.445917,32.92478
10.y,32.6292529997262,32.3673600003638
1864.sldl,275A0,2750A
3.lon,-86.452262,-86.17401
1718.nmcsa,"Detroit-Warren-Ann Arbor ,MI","Detroit-Warren-Ann Arbor, MI"
12.objectid,101,12
1985.cbsatype,***,1
2349.stfip,3f6,36
5561.nmcbsa,"Minneapoils-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI"
29.unitid,107743,101505
24.objectid,16,24
1731.nmcsa,"Detroit-Warren-An nArbor, MI","Detroit-Warren-Ann Arbor, MI"
2.nmcbsa,"Tuscaloosa, AL","Birmingham-Hoover, AL"
6824.cd,3505,5305
2512.csa,014,104
546.lat,37.23698,37.26398
13.x,-86.8650990001187,-85.0314850004324
4188.x,-118.15c0013,-118.150013
4693.y,33.403078p999796,33.403078999796
5090.sldu,2921,29021
19.lat,36.293328,34.27871
19.objectid,45,19
2.cbsa,12220,13820
4964.stfip,9,39
2007.sldu,92030,29030
8.lon,-86.216488,-85.945266
11.lat,32.420387,32.599378
20.objectid,64,20
13.y,34.7563440001755,32.4239100001465
2297.nmcbsa,"AlbanyS-chenectady-Troy, NY","Albany-Schenectady-Troy, NY"
4.lat,32.36736,34.724557
1.lon,-91.895351,-86.568502
16.x,-149.111972000407,-87.7781929996072
17.lat,33.10625,32.384181
20.lat,32.629253,31.315274
12.unitid,101471,100937
3639.cd,818,4818
13.lon,-85.957094,-85.031485
6810.cnty,0009,09009
10.cnty,53011,01101
22.unitid,101471,101301
