NDC-1,NDC-2,NDC-3,NDC-11,FDA Name,COD Status,FDA Application Number/OTC Monograph Number,Drug Category,Drug Type,Unit Type,Units Per Package Size,Line Extension,Therapeutic Equivalent Code,FDA Approval Date,Market Date,Date Certified,Drug Termination Date
00078,0722,10,00078072210,AZOPT SUSPENSION 1% 10ML,3,20816,I,1,ML,10,N,AB,4/1/1998,4/10/1998,3/17/2022,
10702,0808,03,10702080803,"Cyclosporine Opthalmic Emulsion, 0.05% 30 x 0.4 ML",4,50790,I,1,EA,30,N,AB,2/2/2022,2/7/2022,3/18/2022,
10702,0808,06,10702080806,"Cyclosporine Opthalmic Emulsion, 0.05% 60 x 0.4 ML",4,50790,I,1,EA,60,N,AB,2/2/2022,2/7/2022,3/18/2022,
39822,1410,05,39822141005,REZIPRES (Ephedrine Hydrochloride Injection),3,213536,I,1,ML,5,N,NR,6/14/2021,3/15/2022,3/18/2022,
39822,1410,06,39822141006,REZIPRES (Ephedrine Hydrochloride Injection),3,213536,I,1,ML,50,N,NR,6/14/2021,3/15/2022,3/18/2022,
55111,0789,48,55111078948,SevelamerCarbonateTabs800mg 1sBlisUS-IP,1,206094,N,1,TAB,1,N,AB,9/29/2017,9/29/2017,3/15/2022,
60505,0564,02,60505056402,Brimonidine Tartrate Ophthalmic Solution,1,78479,N,1,EA,1,N,AT,1/31/2022,1/31/2022,3/18/2022,
62135,0490,30,62135049030,Anastrozole Oral Tablet 1mg,1,206037,N,1,TAB,30,N,AB,11/9/2018,11/1/2019,3/18/2022,
62135,0490,90,62135049090,Anastrozole Oral Tablet 1mg,1,206037,N,1,TAB,90,N,AB,11/9/2018,11/1/2019,3/18/2022,
62135,0491,30,62135049130,Letrozole Oral Tablet 2.5mg,1,205869,N,1,TAB,30,N,AB,11/14/2018,12/1/2019,3/18/2022,
62135,0491,90,62135049190,Letrozole Oral Tablet 2.5mg,1,205869,N,1,TAB,90,N,AB,11/14/2018,12/1/2019,3/18/2022,
65649,0651,02,65649065102,Uceris Rectal Foam 1 canister 33.4 gm,3,205613,S,1,GM,33.4,N,NR,10/7/2014,11/25/2015,3/18/2022,
69097,0934,98,69097093498,"Lanthanum Carb Chew Tablets,500 mg",1,206868,N,1,TAB,90,N,AB,1/27/2022,2/25/2022,3/15/2022,
69097,0935,98,69097093598,"Lanthanum Carb Chew Tablets, 750 mg",1,206868,N,1,TAB,90,N,AB,1/24/2022,2/25/2022,3/15/2022,
69097,0936,98,69097093698,"Lanthanum Carb Chew Tablets, 1000 mg",1,206868,N,1,TAB,90,N,AB,1/24/2022,2/25/2022,3/15/2022,
70436,0022,82,70436002282,"Vancomycin for Injection, 5 gram",1,215821,N,1,EA,1,N,AP,11/18/2021,2/24/2022,3/17/2022,
70436,0023,82,70436002382,"Vancomycin for Injection, 10 gram",1,215821,N,1,EA,1,N,AP,11/18/2021,2/24/2022,3/17/2022,
70700,0161,17,70700016117,"Naftifine Hydrochloride Cream, USP 2% - 60g Tube",1,210038,N,1,GM,60,N,AB,9/22/2020,2/28/2022,3/18/2022,
70700,0161,18,70700016118,"Naftifine Hydrochloride Cream, USP 2% - 45g Tube",1,210038,N,1,GM,45,N,AB,9/22/2020,2/28/2022,3/18/2022,
70748,0173,26,70748017326,Sevelamer Hydrochloride,1,213145,N,1,TAB,180,N,AB,6/16/2021,2/25/2022,3/15/2022,
76282,0679,42,76282067942,Albuterol Sulfate Inhalation Aerosol 90,1,209959,N,1,GM,6.7,N,AB,4/8/2020,4/20/2020,3/15/2022,
