NDC1,NDC2,NDC3,Labeler Name,Labeler Status,FDA Name,COD Status,FDA Application Number/OTC Monograph Number,Drug Category,Drug Type,Line Extension,FDA Approval Date,Market Date,Unit Type,Units Per Package Size,Therapeutic Equivalent Code,5i Indicator,Purchased Product Date,Coverage Effective Date,Drug Termination Date,Drug Reactivation Date,Date Reported to CMS
00093,3234,01,"TEVA PHARMACEUTICALS USA, INC.",Active,SULFASALAZINE 500MG TABLETS 100,1,85828,N,1,N,9/30/1990,8/24/1998,TAB,1,AB,N,12/20/2022,12/20/2022,,,1/5/2023
00187,2219,01,"BAUSCH HEALTH US, LLC.",Active,"Cereve Baby Moisturizing Lotion, 237ml",10,part347,N,2,N,12/1/2013,5/2/2014,ML,237,NR,N,,5/2/2014,,,1/6/2023
00480,0127,89,"Teva Pharmaceuticals, Inc.",Active,ICOSAPENT ETHYL GEL CAPSULE 1000 MG 120,1,209525,N,1,N,9/11/2020,12/19/2022,CAP,1,AB,N,,12/19/2022,,,1/5/2023
00480,3154,45,"Teva Pharmaceuticals, Inc.",Active,ADAPALENE/BENZOYL PEROXI 0.3/2.5% 1X45G,1,209641,N,1,N,6/22/2022,12/8/2022,GM,45,AB,N,,12/8/2022,,,1/5/2023
00480,4490,56,"Teva Pharmaceuticals, Inc.",Active,TASIMELTEON CAPSULE 20MG 30,1,211601,N,1,N,12/12/2022,12/29/2022,CAP,1,AB,N,,12/29/2022,,,1/5/2023
00480,8704,10,"Teva Pharmaceuticals, Inc.",Active,LEVOTHYROXINE SOD TABLETS 0.112 MG 1000,1,207588,N,1,N,5/10/2022,9/28/2022,TAB,1,AB,N,,9/28/2022,,,1/5/2023
00480,8707,10,"Teva Pharmaceuticals, Inc.",Active,LEVOTHYROXINE SOD TABLETS 0.125 MG 1000,1,207588,N,1,N,5/10/2022,9/26/2022,TAB,1,AB,N,,9/26/2022,,,1/5/2023
00480,8715,10,"Teva Pharmaceuticals, Inc.",Active,LEVOTHYROXINE SOD TABLETS 0.15 MG 1000,1,207588,N,1,N,5/10/2022,9/27/2022,TAB,1,AB,N,,9/27/2022,,,1/5/2023
13107,0195,30,"AUROBINDO PHARMA USA, INC.",Active,Losartan Potassium Tablets USP 25 mg,1,90083,N,2,N,10/6/2010,12/22/2020,TAB,30,AB,N,,12/22/2020,3/31/2022,,1/3/2023
13107,0195,90,"AUROBINDO PHARMA USA, INC.",Active,Losartan Potassium Tablets  USP 25 mg,1,90083,N,2,N,10/6/2010,12/22/2020,TAB,90,AB,N,,12/22/2020,3/31/2022,,1/3/2023
13107,0195,99,"AUROBINDO PHARMA USA, INC.",Active,Losartan Potassium Tablets USP 25 mg,1,90083,N,2,N,10/6/2010,12/22/2020,TAB,1000,AB,N,,12/22/2020,3/31/2022,,1/3/2023
13107,0196,30,"AUROBINDO PHARMA USA, INC.",Active,Losartan Potassium Tablets USP 50 mg,1,90083,N,1,N,10/6/2010,12/23/2020,TAB,30,AB,N,,12/23/2020,9/30/2021,,1/3/2023
13107,0196,90,"AUROBINDO PHARMA USA, INC.",Active,Losartan Potassium Tablets USP 50 mg,1,90083,N,1,N,10/6/2010,12/23/2020,TAB,90,AB,N,,12/23/2020,3/31/2022,,1/3/2023
13107,0196,99,"AUROBINDO PHARMA USA, INC.",Active,Losartan Potassium Tablets USP 50 mg,1,90083,N,1,N,10/6/2010,12/23/2020,TAB,1000,AB,N,,12/23/2020,3/31/2022,,1/3/2023
13107,0197,30,"AUROBINDO PHARMA USA, INC.",Active,Losartan Potassium Tablets USP 100 mg,1,90083,N,1,N,10/6/2010,12/22/2020,TAB,30,AB,N,,12/22/2020,12/31/2021,,1/3/2023
13107,0197,90,"AUROBINDO PHARMA USA, INC.",Active,Losartan Potassium Tablets USP 100 mg,1,90083,N,1,N,10/6/2010,12/22/2020,TAB,90,AB,N,,12/22/2020,4/30/2022,,1/3/2023
13107,0197,99,"AUROBINDO PHARMA USA, INC.",Active,Losartan Potassium Tablets USP 100 mg,1,90083,N,1,N,10/6/2010,12/22/2020,TAB,1000,AB,N,,12/22/2020,2/28/2022,,1/3/2023
39328,0029,12,"PATRIN PHARMA, INC.",Active,Hydrocortisone Acetate Suppositories,5,,N,1,N,9/30/1990,2/1/2022,SUP,12,NR,N,,2/1/2022,,,1/4/2023
39328,0029,24,"PATRIN PHARMA, INC.",Active,Hydrocortisone Acetate Suppositories,5,,N,1,N,9/30/1990,2/1/2022,SUP,24,NR,N,,2/1/2022,,,1/4/2023
39328,0129,12,"PATRIN PHARMA, INC.",Active,Hydrocortisone Acetate Suppositories,5,,N,1,N,9/30/1990,3/14/2022,SUP,12,NR,N,,3/14/2022,,,1/4/2023
43598,0131,01,"DR. REDDY'S LABORATORIES, INC.",Active,Hydroxychloroquine Sulfate Tab400mg100ct,1,210441,N,1,N,9/19/2022,12/27/2022,TAB,1,AB,N,12/27/2022,12/27/2022,,,1/6/2023
43598,0132,01,"DR. REDDY'S LABORATORIES, INC.",Active,Hydroxychloroquine Sulfate Tab300mg100ct,1,210441,N,1,N,9/19/2022,12/27/2022,TAB,1,AB,N,12/27/2022,12/27/2022,,,1/6/2023
43598,0133,01,"DR. REDDY'S LABORATORIES, INC.",Active,Hydroxychloroquine Sulfate Tab100mg100ct,1,210441,N,1,N,9/19/2022,12/27/2022,TAB,1,AB,N,12/27/2022,12/27/2022,,,1/6/2023
43598,0162,11,"DR. REDDY'S LABORATORIES, INC.",Active,Javygtor 500mg Powder OS Sachet -Inner Pack,1,215798,N,1,N,3/30/2021,12/22/2022,EA,1,AB,N,12/22/2022,12/22/2022,,,1/4/2023
43598,0162,30,"DR. REDDY'S LABORATORIES, INC.",Active,Javygtor 500mg Powder Sachet 30ct,1,215798,N,1,N,3/30/2021,12/22/2022,EA,30,AB,N,12/22/2022,12/22/2022,,,1/4/2023
55150,0329,01,AUROMEDICS PHARMA LLC,Active,Medroxyprogesterone Acetate Injectable Suspension USP SDV1,1,212824,N,1,N,8/22/2022,12/22/2022,ML,1,AB,Y,,12/22/2022,,,1/4/2023
55150,0329,25,AUROMEDICS PHARMA LLC,Active,Medroxyprogesterone Acetate Injectable Suspension USP SDV1,1,212824,N,1,N,8/22/2022,12/22/2022,ML,25,AB,Y,,12/22/2022,,,1/4/2023
55150,0330,01,AUROMEDICS PHARMA LLC,Active,Medroxyprogesterone Acetate Injectable Suspension USP PFS1,1,212844,N,1,N,8/22/2022,12/22/2022,ML,1,AB,Y,,12/22/2022,,,1/4/2023
55150,0384,01,AUROMEDICS PHARMA LLC,Active,Triamcinolone Acetonide Injectable Suspension USP MDV 200mg,1,212400,N,1,N,7/5/2022,12/30/2022,ML,5,AB,Y,,12/30/2022,,,1/4/2023
55150,0385,01,AUROMEDICS PHARMA LLC,Active,Triamcinolone Acetonide Injectable Suspension USP MDV 400mg,1,212400,N,1,N,7/5/2022,12/30/2022,ML,10,AB,Y,,12/30/2022,,,1/4/2023
55150,0438,01,AUROMEDICS PHARMA LLC,Active,"Ketamine HCL Injection, 200mg/20mL MDV	",1,76092,N,1,N,9/30/2008,10/1/2008,ML,20,AP,Y,12/21/2022,12/21/2022,,,1/4/2023
55150,0438,10,AUROMEDICS PHARMA LLC,Active,"Ketamine HCL Injection, 200mg/20mL MDV - 10s	",1,76092,N,1,N,9/30/2008,10/1/2008,ML,200,AP,Y,12/21/2022,12/21/2022,,,1/4/2023
55150,0439,01,AUROMEDICS PHARMA LLC,Active,"Ketamine HCL Injection, 500mg/10mL MDV	",1,76092,N,1,N,12/28/2001,2/1/2002,ML,10,AP,Y,12/30/2022,12/30/2022,,,1/4/2023
55150,0439,10,AUROMEDICS PHARMA LLC,Active,"Ketamine HCL Injection, 500mg/10mL MDV - 10s	",1,76092,N,1,N,12/28/2001,2/1/2002,ML,100,AP,Y,12/30/2022,12/30/2022,,,1/4/2023
60687,0684,11,AMERICAN HEALTH PACKAGING,Active,Nateglinide Tablet-INNER,1,77463,N,1,N,11/8/2022,12/30/2022,TAB,1,AB,N,,12/30/2022,,,1/5/2023
60687,0684,21,AMERICAN HEALTH PACKAGING,Active,Nateglinide Tablet,1,77463,N,1,N,11/8/2022,12/30/2022,TAB,30,AB,N,,12/30/2022,,,1/5/2023
62332,0177,30,ALEMBIC PHARMACEUTICALS INC.,Active,Tadalafil Tablets 2.5mg,1,204809,N,1,N,3/26/2019,3/27/2019,TAB,30,AB,N,,3/27/2019,,,1/4/2023
65086,0002,05,"SANTEN, INC.",Active,Omlonti,3,215092,S,1,N,9/22/2022,1/23/2023,ML,2.5,A1,N,,1/23/2023,,,1/5/2023
68001,0534,36,BLUEPOINT LABORATORIES,Active,Bortezomib Injection,1,212958,N,1,N,7/31/2022,12/27/2022,EA,1,AP,N,,12/27/2022,,,1/5/2023
68462,0436,90,"GLENMARK PHARMACEUTICALS, INC., USA",Active,"Olmesartan Medoxomil Tablets, 5 mg",1,203281,N,1,N,5/25/2017,5/31/2017,TAB,90,AB,N,,5/31/2017,,,1/6/2023
70000,0604,02,"CARDINAL HEALTH 110, LLC. DBA LEADER",Active,LDR ASPIRIN REGMN TB 81MG 120 EC,9,PART343,N,2,N,6/1/2022,6/1/2022,TAB,120,NR,N,,6/1/2022,,,1/5/2023
70000,0611,01,"CARDINAL HEALTH 110, LLC. DBA LEADER",Active,LDR MIGRAINE RELIEF TB 80 GTB,1,75794,N,2,N,8/8/2022,8/8/2022,TAB,80,NR,N,,8/8/2022,,,1/5/2023
71332,0005,01,"RIGEL PHARMACEUTICALS, INC.",Active,REZLIDHIA 150MG CAP,3,215814,S,1,N,12/1/2022,12/21/2022,CAP,30,NR,N,,12/21/2022,,,1/5/2023
