STATEFP,ELSDLEA,SCSDLEA,UNSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_YEAR,SCHOOLYEAR,Shape_Length,Shape_Area,OBJECTID
04, ,07530, ,0407530,Santa Cruz Valley Union High School District,00,09,12, ,E,1857316232,3443532,+32.6418079,-111.4345331,2018,2017-2018,2.32216304432769,0.17880989798799,1
04, ,01740, ,0401740,Casa Grande Union High School District,00,09,12, ,E,3365208891,1185232,+32.8391529,-111.9208947,2018,2017-2018,3.50080801753225,0.324238400678998,2
04, ,01160, ,0401160,Bicentennial Union High School District,00,09,12, ,E,9842302355,22973076,+33.6694969,-113.9521527,2018,2017-2018,5.55456113788978,0.959081280118489,3
04, ,00720, ,0400720,Antelope Union High School District,00,09,12, ,E,7937907742,3400,+32.9920489,-113.8173717,2018,2017-2018,3.82521490913583,0.765869214784995,4
04, ,09630, ,0409630,Yuma Union High School District,00,09,12, ,E,6343220088,13322679,+32.5295065,-114.0048912,2018,2017-2018,4.88723196851878,0.609818758187855,5
04, ,00082, ,0400082,Colorado River Union High School District,00,09,12, ,E,2711174269,74638171,+35.1052137,-114.4678343,2018,2017-2018,3.41397401802776,0.275382256357996,6
04, ,00450, ,0400450,Agua Fria Union High School District,00,09,12, ,E,244645640,735546,+33.4814273,-112.4078710,2018,2017-2018,0.763610221736429,0.0238042540080029,7
04, ,01410, ,0401410,Buckeye Union High School District,00,09,12, ,E,3167017504,214246,+33.3198987,-112.8117940,2018,2017-2018,3.16723687657356,0.30666477992601,8
04, ,03450, ,0403450,Glendale Union High School District,00,09,12, ,E,153780176,412966,+33.5743168,-112.1351943,2018,2017-2018,0.667933995202204,0.0149735716599996,9
04, ,06330, ,0406330,Phoenix Union High School District,00,09,12, ,E,449279210,1970521,+33.4408648,-112.0990258,2018,2017-2018,1.16146623111393,0.0437546189120033,10
04, ,08340, ,0408340,Tempe Union High School District,00,09,12, ,E,428728943,2511986,+33.3111998,-111.9835387,2018,2017-2018,1.03245251314466,0.0417530540895037,11
04, ,08520, ,0408520,Tolleson Union High School District,00,09,12, ,E,264923255,636238,+33.4119203,-112.2743781,2018,2017-2018,0.881034690395499,0.0257411535105,12
04, ,05070, ,0405070,Mingus Union High School District,00,09,12, ,E,1320301122,401767,+34.8350635,-112.0838977,2018,2017-2018,1.85492454697328,0.130140594688504,13
04, ,08910, ,0408910,Valley Union High School District,00,09,12, ,E,1470351069,694059,+31.8655400,-109.6700375,2018,2017-2018,2.41556054506786,0.140166228001485,14
04, ,06030, ,0406030,Patagonia Union High School District,00,09,12, ,E,1795991587,1646872,+31.5472872,-110.6799581,2018,2017-2018,1.91248668661613,0.170752077079074,15
06, ,29130, ,0629130,Oroville Union High School District,00,09,12, ,E,1661910695,69733993,+39.6041742,-121.4309121,2018,2017-2018,2.47420959889726,0.181614251044999,16
06, ,06005, ,0606005,Scott Valley Unified School District (9-12),00,09,12,A,F,1665938719,4125720,+41.2663944,-123.1705167,2018,2017-2018,2.27398820405676,0.179459972132993,17
06, ,02630, ,0602630,Anaheim Union High School District,00,07,12, ,E,105048292,442229,+33.8273173,-117.9621537,2018,2017-2018,0.589552082488497,0.0102736812910019,18
06, ,18060, ,0618060,Huntington Beach Union High School District,00,09,12, ,E,115697404,103496911,+33.6846338,-118.0211933,2018,2017-2018,0.791891531033953,0.0112858266535984,19
06, ,30250, ,0630250,Petaluma Joint Union High School District,00,07,12, ,E,636423419,43431378,+38.1988275,-122.6342934,2018,2017-2018,1.9651932878856,0.0660517927395135,20
06, ,35110, ,0635110,San Rafael City High School District,00,09,12, ,E,93232090,61043649,+38.0055686,-122.5028113,2018,2017-2018,0.720909717871746,0.00962682493552111,21
06, ,38790, ,0638790,Tamalpais Union High School District,00,09,12, ,E,442302443,319621374,+37.9456236,-122.6863881,2018,2017-2018,1.88259504827356,0.0465156717918609,22
06, ,30210, ,0630210,Perris Union High School District,00,07,12, ,E,126795187,41199,+33.7737016,-117.2937067,2018,2017-2018,0.594676681813882,0.0123448349899995,23
06, ,12070, ,0612070,El Dorado Union High School District,00,09,12, ,E,2881672649,28426293,+38.7079090,-120.5909221,2018,2017-2018,3.02988148382225,0.301370586834499,24
06, ,06034, ,0606034,Perris Union High School District (9-12),00,09,12,A,F,343624234,1127032,+33.7329262,-117.1489895,2018,2017-2018,1.15180717522823,0.0335391045399995,25
06, ,42350, ,0642350,Wheatland Union High School District,00,09,12, ,E,403285498,3700187,+39.0852587,-121.4073702,2018,2017-2018,1.23126451182315,0.0423715841834968,26
06, ,11820, ,0611820,East Side Union High School District,00,09,12, ,E,354509776,516255,+37.3270983,-121.7770803,2018,2017-2018,1.33960507547998,0.0360934080229979,27
06, ,26310, ,0626310,Mountain View-Los Altos Union School District,00,09,12, ,E,96960365,9223664,+37.3868098,-122.0998178,2018,2017-2018,0.691874779916541,0.00990141773779564,28
06, ,14430, ,0614430,Fremont Union High School District,00,09,12, ,E,144990996,349209,+37.3293586,-122.0614987,2018,2017-2018,1.05158115975405,0.0147762827394998,29
06, ,22800, ,0622800,Los Gatos-Saratoga Joint Union School District,00,09,12, ,E,365679777,2432713,+37.1752816,-121.9659947,2018,2017-2018,1.37179828015079,0.0373519837379968,30
06, ,07230, ,0607230,Campbell Union High School District,00,09,12, ,E,78445531,148821,+37.2754238,-121.9462937,2018,2017-2018,0.61198543455181,0.00798491126299926,31
06, ,38730, ,0638730,Taft Union High School District,00,09,12, ,E,1441819224,2410560,+35.3198328,-119.6178338,2018,2017-2018,2.68405777499369,0.143161645751011,32
06, ,41430, ,0641430,Wasco Union High School District,00,09,12, ,E,1991512575,4717058,+35.6380655,-119.7608514,2018,2017-2018,3.02930757015789,0.198647392033497,33
06, ,21270, ,0621270,Le Grand Union High School District,00,09,12, ,E,465322621,0,+37.2358769,-120.2614015,2018,2017-2018,1.13395659350535,0.0472500144069993,34
06, ,24660, ,0624660,Merced Union High School District,00,09,12, ,E,1803931124,9497004,+37.3573198,-120.5256084,2018,2017-2018,2.43881073502965,0.1844320072225,35
06, ,06038, ,0606038,Healdsburg Unified School District (7-12),00,07,12,A,F,368813934,1103730,+38.7021284,-122.8741436,2018,2017-2018,1.90899328206546,0.0382690410865138,36
06, ,09810, ,0609810,Corning Union High School District,00,09,12, ,E,1570562599,14233130,+39.8936816,-122.4874293,2018,2017-2018,2.56123701935037,0.166898138398013,37
06, ,32010, ,0632010,Red Bluff Joint Union High School District,00,09,12, ,E,5520210848,18078873,+40.2517171,-122.1687142,2018,2017-2018,5.34537952529203,0.586039806912491,38
06, ,14760, ,0614760,Fullerton Joint Union High School District,00,09,12, ,E,112064141,173320,+33.9036909,-117.9491871,2018,2017-2018,0.66282529299154,0.0109402636184995,39
06, ,08160, ,0608160,Chaffey Joint Union High School District,00,09,12, ,E,423267179,99794,+34.1385568,-117.5776791,2018,2017-2018,1.29177916024808,0.0413809152490017,40
06, ,06006, ,0606006,Trinity Alps Unified School District (9-12),00,09,12,A,F,2968843743,65289153,+40.9170777,-123.0617825,2018,2017-2018,5.8829585102613,0.324392728106006,41
06, ,06025, ,0606025,Hamilton Unified School District (9-12),00,09,12,A,F,30867817,929530,+39.7787191,-122.0754139,2018,2017-2018,0.291245166520992,0.00334291628849501,42
06, ,06003, ,0606003,Twin Rivers Unified School District (9-12),00,09,12,A,F,64094764,36883,+38.7392057,-121.4806566,2018,2017-2018,0.52181947178127,0.00664449439650231,43
06, ,06004, ,0606004,Twin Rivers Unified School District (7-12),00,07,12,A,F,25662735,0,+38.6551086,-121.4473217,2018,2017-2018,0.253174023193804,0.00265582483950022,44
06, ,02670, ,0602670,West Sonoma County Union High School District,00,09,12, ,E,835756691,195335943,+38.4845855,-123.0858851,2018,2017-2018,2.56144482757773,0.0865377091628212,45
06, ,35830, ,0635830,Santa Rosa High School District,00,07,12, ,E,476361859,859758,+38.4570453,-122.6692775,2018,2017-2018,1.42559080294996,0.0492549665545007,46
