AGENCY NO,STATE AGENCY,PROPERTY CLASSIFICATION,TYPE OF PROPERTY,NAME OF BUILDING,PHYSICAL ADDRESS,CITY,COUNTY,YEAR PROPERTY ACQUIRED,PURPOSE - BUILDING,SECTION,TOWNSHIP,RANGE,LEGAL DESCRIPTION,SQUARE FEET OF STRUCTURE (NUMBER ONLY),ACRES ASSOCIATED WITH A STRUCTURE (NUMBER ONLY),ADDITIONAL DESCRIPTION OF SIZE/SPACE (TEXT AND NUMBER),LIST VALUE,ADDITIONAL DESCRIPTION OF LIST VALUE,% OF PROPERTY BEING UTILIZED,YEAR BUILT,OCCUPANCY RATE OF THE BUILDING,ADDITIONAL DESCRIPTION OF OCCUPANCY RATE,STATE EMPLOYEES AT THIS LOCATION (FTE) NUMBER ONLY,ADDITIONAL DESCRIPTION OF FTE,% OCCUPIED BY THE STATE,ADDITIONAL DESCRIPTION OF % OCCUPIED BY STATE,% OF THE BUILDING BEING LEASED OR SUBLEASED,ADDITIONAL DESCRIPTION % BUILDING LEASED OR SUBLEASED,"USAGE BY STATE: DAILY, WEEKLY, MONTHLY - BUILDING",ACRES,ACRES USED BY STATE,ADDITIONAL DESCRIPTION OF ACRES (TEXT AND NUMBER),PURPOSE - LAND,"USAGE BY STATE: DAILY, WEEKLY, MONTHLY - LAND",% OF ACRES OF THE LAND BEING LEASED OR SUBLEASED,ADDITIONAL DESCRIPTION % LAND LEASED OR SUBLEASED,VACANT SQUARE FOOTAGE,LISTED ON THE NATIONAL REGISTER OF HISTORIC PLACES,LISTED WITH THE NATIONAL TRUST FOR  HISTORIC PRESERVATION,PROPERTY IS OF POTENTIAL HISTORIC SIGNIFICANCE,RISK MGMT #,AGENCY INVENTORY ID,ESTIMATED VALUE
825,UNIVERSITY HOSPITALS AUTHORITY,OWNED,OFFICE BUILDING,BIELSTEIN TOWER,940 NE 13TH ST,OKLAHOMA CITY,OKLAHOMA,1927,OFFICE SPACE,27,12N,3W,"SECTION 27
TOWNSHIP 12N
RANGE 3W SE QTR","184,783",,,37.3 MILLION (ESTIMATED),,10,1927,10,,25,,10,,10,UNIVERSITY HOSPITALS AUTHORITY OWNS THE BUILDING AND SUBLEASES IT TO HCA (OU MEDICAL CENTER),DAILY,,,,,,,,166305,,,,825-14283,,30575850
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,LAND,GRIFFIN MEMORIAL HOSPITAL LAND,900 EAST MAIN STREET,NORMAN,CLEVELAND,,VACANT LAND,,,,,,50,,,,0,,,,,,,,,,,50,,,VACANT LAND,,,,,,,,,,6534000
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,LAND,GRIFFIN MEMORIAL HOSPITAL,105 STATE STREET,NORMAN,CLEVELAND,50+,LAND- BUILDING DEMOLISHED,29,9N,2W,"NE/4 OF SECTION 29, T9N, R2W",,,,,,0,50+,,,,,100,,,,,,,,VACANT LAND,,,,,,,,452-09097,,6534000
830,HUMAN SERVICES DEPARTMENT,OWNED,RESIDENT HOUSING,"SORC, KERR COTTAGE",300 HOPE AVE,PAULS VALLEY,GARVIN,1951,VACANT,"27,28,34,35",3N,1E,,"19,502.60","1,032",,"BUILDING REPLACEMENT 4,992.666      TOTAL SORC LAND ESTIMATED AT 2,063,800",,0,1951,0,,126,TOTAL SORC FTE 126,0,,,,,,,,,,,,19503,,,,830-02808,,"$2,824,250 TOTAL ESTIMATED CAMPUS VALUE"
830,HUMAN SERVICES DEPARTMENT,OWNED,STORAGE BUILDING,"SORC, LAUNDRY ROOM (AGRI BUSINESS)",200 FARM ROAD,PAULS VALLEY,GARVIN,1951,VACANT,"27,28,34,35",3N,1E,,"2,250","1,032",,"BUILDING REPLACEMENT 225,000       TOTAL SORC LAND ESTIMATED AT 2,063,800",,0,1951,0,,126,TOTAL SORC FTE 126,0,,,,,,,,,,,,2250,,,,830-02827,,"$2,824,250 TOTAL ESTIMATED CAMPUS VALUE"
830,HUMAN SERVICES DEPARTMENT,OWNED,STORAGE BUILDING,"SORC, MATERNITY/CALF BARN","FARM ROAD, PAULS VALLEY",PAULS VALLEY,GARVIN,1968,VACANT,"27,28,34,35",3N,1E,,"2,754","1,032",,"BUILDING REPLACEMENT 275,400         TOTAL SORC LAND ESTIMATED AT 2,063,800",,0,1968,0,,126,TOTAL SORC FTE 126,0,,,,,,,,,,,,2754,,,,830-02828,,"$2,824,250 TOTAL ESTIMATED CAMPUS VALUE"
830,HUMAN SERVICES DEPARTMENT,OWNED,CLASSROOMS,"SORC, MURRAY HALL",101 PROMISE AVE,PAULS VALLEY,GARVIN,1931,VACANT,"27,28,34,35",3N,1E,,"12,730.40","1,032",,"BUILDING REPLACEMENT 2,291,472   TOTAL SORC LAND ESTIMATED AT 2,063,800",,0,1931,0,,126,TOTAL SORC FTE 126,0,,,,,,,,,,,,12730,,,,830-02809,,"$2,824,250 TOTAL ESTIMATED CAMPUS VALUE"
830,HUMAN SERVICES DEPARTMENT,OWNED,RESIDENT HOUSING,"SORC, GARY COTTAGE",250 HOPE AVE,PAULS VALLEY,GARVIN,1958,VACANT,"27,28,34,35",3N,1E,,"13,502.70","1,032",,"BUILDING REPLACEMENT 3,456,691      TOTAL SORC LAND ESTIMATED AT 2,063,800",,0,1958,0,,126,TOTAL SORC FTE 126,0,,,,,,,,,,,,13503,,,,830-02805,,"$2,824,250 TOTAL ESTIMATED CAMPUS VALUE"
830,HUMAN SERVICES DEPARTMENT,OWNED,EDUCATION,"SORC, HILLTOP SCHOOL",800 INDEPENDENCE,PAULS VALLEY,GARVIN,1968,VACANT,"27,28,34,35",3N,1E,,"20,726.40","1,032",,"BUILDING REPLACEMENT 3,730,752       TOTAL SORC LAND ESTIMATED AT 2,063,800",,0,1968,0,,126,TOTAL SORC FTE 126,100,,,,,,,,,,,,20726,,,,830-02821,,"$2,824,250 TOTAL ESTIMATED CAMPUS VALUE"
830,HUMAN SERVICES DEPARTMENT,OWNED,FEMALE HOUSING,"SORC, CALVERT COTTAGE",200 HOPE AVE,PAULS VALLEY,GARVIN,1949,VACANT,"27,28,34,35",3N,1E,,"23,378.70","1,032",,"BUILDING REPLACEMENT 5,984,947     TOTAL SORC LAND ESTIMATED AT 2,063,800",,0,1949,0,,126,TOTAL SORC FTE 126,0,,,,,,,,,,,,23379,,,,830-02803,,"$2,824,250 TOTAL ESTIMATED CAMPUS VALUE"
830,HUMAN SERVICES DEPARTMENT,OWNED,RECREATION,"SORC, MULTI-PURPOSE ACTIVITY BLDG (GYM & POOL)",700 INDEPENDENCE,PAULS VALLEY,GARVIN,1971,VACANT,"27,28,34,35",3N,1E,,"27,544.50","1,032",,"BUILDING REPLACEMENT 5,508,900   TOTAL SORC LAND ESTIMATED AT 2,063,800",,0,1971,0,,126,TOTAL SORC FTE 126,100,,,,,,,,,,,,27544,,,,830-02823,,"$2,824,250 TOTAL ESTIMATED CAMPUS VALUE"
830,HUMAN SERVICES DEPARTMENT,OWNED,STORAGE BUILDING,"SORC, CONCRETE BLOCK STORAGE",HILLTOP LOOP,PAULS VALLEY,GARVIN,1974,VACANT,"27,28,34,35",3N,1E,,"3,200","1,032",,"BUILDING REPLACEMENT 320,000      TOTAL SORC LAND ESTIMATED AT 2,063,800",,0,1974,0,,126,TOTAL SORC FTE 126,0,,,,DAILY,,,,,,,,3200,,,,830-02843,,"$2,824,250 TOTAL ESTIMATED CAMPUS VALUE"
830,HUMAN SERVICES DEPARTMENT,OWNED,RESIDENT HOUSING,"SORC, MULTI UNIT (NORTH)",400 INDEPENDENCE,PAULS VALLEY,GARVIN,1979,VACANT,"27,28,34,35",3N,1E,,"40,955.40","1,032",,"BUILDING REPLACEMENT 10,484,582    TOTAL SORC LAND ESTIMATED AT 2,063,800",,0,1979,0,,126,TOTAL SORC FTE 126,0,,,,,,,,,,,,40955,,,,830-02811,,"$2,824,250 TOTAL ESTIMATED CAMPUS VALUE"
830,HUMAN SERVICES DEPARTMENT,OWNED,FOOD SERVICE,"SORC, LODGE (TRADING POST/CANTEEN)",200 EAGLE ST,PAULS VALLEY,GARVIN,1961,VACANT,"27,28,34,35",3N,1E,,"1,922","1,032",,"BUILDING REPLACEMENT 346,014       TOTAL SORC LAND ESTIMATED AT 2,063,800",,0,1961,0,,126,TOTAL SORC FTE 126,0,,,,,,,,,,,,1922,,,,830-02801,,"$2,824,250 TOTAL ESTIMATED CAMPUS VALUE"
830,HUMAN SERVICES DEPARTMENT,OWNED,FOOD SERVICE,"SORC, DINING ROOM/KITCHEN (KERR/CALVERT DINING ROOM)",250 HOPE AVE,PAULS VALLEY,GARVIN,1958,VACANT,"27,28,34,35",3N,1E,,"7,307.20","1,032",,"BUILDING REPLACEMENT 1,315,296       TOTAL SORC LAND ESTIMATED AT 2,063,800",,0,1958,0,,126,TOTAL SORC FTE 126,0,,,,,,,,,,,,7307,,,,830-02802,,"$2,824,250 TOTAL ESTIMATED CAMPUS VALUE"
830,HUMAN SERVICES DEPARTMENT,OWNED,SATELLITE CLASSROOM,"SORC, PORTABLE CLASSROOM",FARM ROAD,PAULS VALLEY,GARVIN,1985,VACANT,"27,28,34,35",3N,1E,,720,"1,032",,"BUILDING REPLACEMENT 72,000         TOTAL SORC LAND ESTIMATED AT 2,063,800",,0,1985,0,,126,TOTAL SORC FTE 126,0,,,,DAILY,,,,,,,,720,,,,830-05112,,"$2,824,250 TOTAL ESTIMATED CAMPUS VALUE"
830,HUMAN SERVICES DEPARTMENT,OWNED,RESIDENT HOUSING,"SORC, MULTI UNIT (SOUTH)",500 INDEPENDENCE,PAULS VALLEY,GARVIN,1961,VACANT,"27,28,34,35",3N,1E,,"8,213.80","1,032",,"BUILDING REPLACEMENT 2,102,733   TOTAL SORC LAND ESTIMATED AT 2,063,800",,0,1961,0,,126,TOTAL SORC FTE 126,0,,,,,,,,,,,,8214,,,,830-02810,,"$2,824,250 TOTAL ESTIMATED CAMPUS VALUE"
830,HUMAN SERVICES DEPARTMENT,OWNED,FOOD SERVICE,"SORC, CAFETERIA/KITCHEN",750 INDEPENDENCE,PAULS VALLEY,GARVIN,1968,VACANT,"27,28,34,35",3N,1E,,"8,340.20","1,032",,"BUILDING REPLACEMENT 1,501,236     TOTAL SORC LAND ESTIMATED AT 2,063,800",,0,1968,0,,126,TOTAL SORC FTE 126,0,,,,,,,,,,,,8340,,,,830-02800,,"$2,824,250 TOTAL ESTIMATED CAMPUS VALUE"
830,HUMAN SERVICES DEPARTMENT,OWNED,LAUNDRY,"SORC, MOBILE RECYCLING",100 PROMISE AVE,PAULS VALLEY,GARVIN,1973,VACANT,"27,28,34,35",3N,1E,,"8,428","1,032",,"BUILDING REPLACEMENT 842,800    TOTAL SORC LAND ESTIMATED AT 2,063,800",,0,1973,0,,126,TOTAL SORC FTE 126,0,,,,,,,,,,,,8428,,,,830-02840,,"$2,824,250 TOTAL ESTIMATED CAMPUS VALUE"
830,HUMAN SERVICES DEPARTMENT,OWNED,BARBER/BEAUTY SHOPS,"SOUTHERN OKLAHOMA RESOURCE CENTER (SORC), MARLAND HALL",100 HOPE AVE,PAULS VALLEY,GARVIN,1930,VACANT,"27,28,34,35",3N,1E,,"8,923.90","1,032",,"BUILDING REPLACEMENT 1,606,302   TOTAL SORC LAND ESTIMATED AT 2,063,800",,0,1930,0,,126,TOTAL SORC FTE 126,0,,,,,,,,,,,,8924,,,,830-02799,,"$2,824,250 TOTAL ESTIMATED CAMPUS VALUE"
830,HUMAN SERVICES DEPARTMENT,OWNED,LAUNDRY STORAGE,"NORC, LAUNDRY STORAGE",SEMINOLE STREET,ENID,GARFIELD,1958,VACANT,33,23N,6W,,"1,035",640,,"BUILDING REPLACEMENT 186,300       TOTAL NORCE LAND ESTIMATED 1,600,000",,0,1958,0,,59,TOTAL NORCE FTE 59,0,,,,,,,,,,,,10612,,,,830-02998,,"$1,796,000 TOTAL ESTIMATED CAMPUS VALUE"
830,HUMAN SERVICES DEPARTMENT,OWNED,CHAPEL/ED/THERAPY,"NORC, CHAPEL/ARTS AND CRAFTS",2610 CHICHASAW,ENID,GARFIELD,1926,VACANT,33,23N,6W,,"8,834.60",640,,"BUILDING REPLACEMENT 1,590,228    TOTAL NORCE LAND ESTIMATED 1,600,000",,0,1926,0,,59,TOTAL NORCE FTE 59,0,,,,,,,,,,,,8835,,,,830-02994,,"$1,796,000 TOTAL ESTIMATED CAMPUS VALUE"
