OBJECTID,ID305B,CYCLE,NAME,LOCATION,MILES,NHD_BASIN,AQUATIC_LIFE,RECREATION,FISH_CONSUMPTION,DRINKING_WATER_SUPPLY,SHAPE_Length
1,CT3300-00_01,2010,French River-01,"From mouth at confluence with Quinebaug River (just DS of West Thompson Flood Control dam), US to North Grosvenordale Pond outlet dam (just US of Buckley Hill Road crossing), Thompson.",4.61,01100001,Insufficient Information,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,24349.5341708195
2,CT3300-00_02,2010,French River-02,"From inlet to North Grosvenordale Pond (east of Route 12, just DS of Langers Pond), US to Massachusetts state line.  Segment includes Langers Pond.",1.08,01100001,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,5700.27897904739
3,CT3400-00_01,2010,Fivemile River (Killingly)-01,"From mouth at confluence with Quinebaug River (just DS of Route 6 crossing), Danielson, US through Fivemile Pond to river entrance at northwest portion.",0.95,01100001,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,5035.95161748999
4,CT3400-00_03,2010,Fivemile River (Killingly-Thompson)-03,"From confluence with Attawaugan Brook (just west of Route 395 crossing), US to Quaddick Reservoir outlet dam (just US of Quaddick Road crossing).  Segment includes Ballouville and Lower Ponds. ",10.06,01100001,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,53109.684017698
5,CT3400-00_04,2010,Fivemile River (Thompson)-04,"From inlet to Quaddick Reservoir (northwest portion, also called Stump Pond), US to Little (Schoolhouse) Pond outlet dam (just US of Jezierski Road crossing), Thompson.",4.54,01100001,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,23972.6447893976
6,CT3401-00_01,2010,Rocky Brook-01,"From mouth at confluence with Fivemile River (DS of New Road crossing), US to confluence with unnamed tributary near East Thompson Road (in marsh), Thompson.",0.72,01100001,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,3795.8355143465
7,CT3401-00_02,2010,Rocky Brook-02,"From confluence with unnamed tributary (in marsh on south side of East Thompson Road), US to Massachusetts border, Thompson.",0.24,01100001,Not Assessed,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1241.99947572718
8,CT3404-00_01,2010,Whetstone Brook-01,"From mouth at confluence with Fivemile River, US to Bog Meadow Reservoir outlet dam, Killingly.",4.64,01100001,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,24523.2593522675
9,CT3500-00_01,2010,Moosup River-01,"From mouth at confluence with Quinebaug River, Plainfield, US to and including Plainfield North POTW outfall, Central Village.",1.77,01100001,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,9334.18012493851
10,CT3500-00_02,2010,Moosup River-02,"From POTW outfall (just DS from Black Hill Road crossing), Central Village, US to Brunswick Mill Dam #1(first impoundment in Almyville, parallel to Route 14), Plainfield.",4.01,01100001,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,21166.1349196916
